('恺英网络 科士达 银河电子 日发精机！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-24 02:59:35')
('喜欢停牌的最后只会变乞丐以后股民的灭顶之灾，就是猝不及防突然停牌。看看一汽夏利，看看st中安消，看看st众合，大连电瓷。现在又来了个保千里，乐视网，接着又是东方市场。顺威股份，千山药机，邦讯技术，海达股份，亿阳信通，神雾节能，神雾环保....，总之太多太多。以后还有更多这样的股票，都是 ...展开全文c', '2018-02-26 08:42:10')
('发布了头条文章：《300320海达股份：主力频频震仓，谁在诱骗散户“下车”？》 $海达股份 sz300320$ #财经头条文章# |300320海达...', '2018-02-23 22:50:25')
('分享自丛林路标《追击涨停板必须考虑的问题（续二）》 - 上次我们说到蓝晓科技和海达股份这两个个股，同样是多空临界点粘合放量突破，为什么后面的技术走势是截然不同的... (来自 @头条博客) |追击涨停板...', '2018-02-17 22:01:32')
('10家公司年报现险资身影数据统计发现，在沪深两市已披露2017年年报的上市公司中，截至目前有10家公司2017年年末前十大流通股股东名单中出现险资身影。其中，江南高纤、海达股份、英维克等3家公司为险资2017年四季度新进持有，持股数量分别为：1169.31万股、799.95万股、20.00万股，对应持股市值分别 ...展开全文c', '2018-02-13 09:11:14')
('$海达股份 sz300320$ 7.66进的海达股份，看好后市，小中线5个点可期待', '2018-02-12 20:53:02')
('从一月底到现在，1、3、5浪短线机会一个都没成，本身应该在外喝茶欣赏下跌，因为耐不住买了超跌的海达股份，损失了一条大腿。这次下跌完美的证明了1、3、5浪短线技术的成功，和我的失败', '2018-02-08 21:41:14')
('个股方面，数据宝统计显示，剔除近两个月上市的次新股，616只创业板股1月以来累计下跌，占比逾九成。12只个股期间累计跌幅在40%以上，分别有乐视网、科斯伍德、千山药机、神雾环保、海达股份、联合光电等。跌幅最高的是乐视网，1月以来累计跌幅68.56%，该股自1月24日复牌以来已经遭遇连续11个一字板跌 ...展开全文c', '2018-02-07 06:49:49')
('【海达股份2017年度业绩说明会】2月8日下午三点在全景·路演天下举行。海达股份公布的2017年年报显示，公司2017年实现营业收入1,291,652,918.33元，比上年同期增长50.94%，归属于上市公司股东的净利润140,280,141.21元，比上年同期增长69.05% 。 明天下午三点锁定全景·路演天下平台，与海达股份高管一 ...展开全文c', '2018-02-07 04:24:16')
('发布了头条文章：《海达股份300320：主力暴力洗盘或是上车良机？此点将是重中之重》$海达股份 sz300320$ #热门股票推荐# #热门股票点评# #A股# #微博股票热议榜# |海达股份30...', '2018-02-06 06:19:17')
('跌停超400个 我的判断 今晚会有一大批公司紧急停盘老佛去准备收评 待会见 有疑问的股友可以私信我代码+成本$中科三环 sz000970$ $浪潮软件 sh600756$$内蒙一机 sh600967$ $海达股份 sz300320$$浙江众成 sz002522$ $海峡股份 sz002320$', '2018-02-06 02:20:53')
('目前资金流入速度最快的个股为：海达股份，科顺股份，紫金矿业，联创互联，贵州茅台。', '2018-02-06 00:59:52')
('截至上周五，创业板均价为 21.46 元，迪森股份、旋极信息、金科文化、海达股份等 4 只被机构看好的绩优创业板个股最新收盘价均低于这一数值，分别为：15.33 元、15.01 元、10.70 元、7.93 元。已公布一季报预告全部预喜 机构盯上4只低价创蓝筹股 |已公布一季...', '2018-02-05 11:35:37')
('【已公布一季报预告全部预喜 机构盯上4只低价创蓝筹股】2017年年报披露工作刚开始,部分公司就迫不及待的呈现2018年一季报业绩预告.日前已披露2017年年报的农尚环境、海达股份、利尔化学等公司又成2018年一季报业绩预告的先行者,且继不错的2017年年报后,2018年一季报有望更加喜人。网页链接', '2018-02-05 04:02:28')
('【已公布一季报预告全部预喜 机构盯上4只低价创蓝筹股】亮眼的业绩也令机构关注度大幅提升。近30日内，有12家公司获机构给予“买入”或“增持”等看好评级，其中，创业板公司占据5席，这5家创业板公司分别为：金科文化、迪森股份、旋极信息、海达股份、智云股份。网页链接', '2018-02-04 20:05:03')
('【一季报预告全部预喜 紧盯低价中小创】2017年年报披露工作刚刚开始，部分公司就已迫不及待的呈现2018年一季报业绩预告。日前已披露2017年年报的农尚环境、海达股份、利尔化学等公司又成为2018年一季报业绩预告的先行者，而且继不错的2017年年报之后，2018年一季报有望更加喜人。统计发现，包括上述3家 ...展开全文c', '2018-02-04 18:34:14')
('本周股市大幅震荡，周三周四连续两日出现百股跌停，数据显示，截至2月1日，本周跌幅超过20%的公司达到84家。其中，乐视网、罗顿发展、顺威股份、海达股份、南纺股份、益生股份、科融环境、安泰集团、天际股份、汇金股份跌幅超过25%。', '2018-02-01 22:35:38')
('大盘放量下跌，大家都没有买入的胆量了，趁此时机分析一下海达股份：1.昨天企业自查，确认去年增长60%，预计一季度利润翻番。2.从13.87元下跌60%，没有反弹。3.从29号放量大跌后，大盘放量下跌，而它量递减。4.大盘在3444反弹大概率。5.半小时、小时级别今天出了明显的底信号。综上五点我今天➕倍仓', '2018-01-30 20:27:20')
('开的够吓人，看能不能回补', '2018-02-01 04:41:48')
('#股池数据# $海达股份 sz300320$ 创业板一季报，预增暴跌，嘿嘿，你懂得……', '2018-01-31 21:47:44')
('@乔伊俞:答重组委审核回复，评估作价中包含募投收益的合理性，补充近期过会案例：收益法评估时将拟建项目的新增产能纳入评估且剔除募集资金使用成本：世嘉科技、美欣达、华自科技、太阳鸟、帝王洁具、沙隆达A、维科精华、得润电子；不剔除资金成本：海达股份、江山化工、博深工具、三花智控、中际装备', '2017-12-27 08:12:59')
('金冠电气，并购重组，有条件过会，重组委审核意见：请申请人进一步说明本次交易评估作价中包含募投项目收益的合理性，以及预测营业收入的可实现性。二次反馈：收益法评估下，承诺业绩及预测期内业绩均包含本次募投项目产生的收益。结合募投项目未来年度经营业绩占比，量化分析募投项目对本次交 ...展开全文c', '2018-01-31 04:28:06')
('基金新进100万股以上，并且2017年净利润增幅或预增中值大于50%的17只个股走势分化，除2只连续停牌外，其余股票仅4只股价上涨。具体来看，利尔化学、健康元新年以来涨幅超过一成；海达股份、豫金刚石跌幅超过一成。数据宝对近三年业绩梳理发现，被4只基金扎堆新进，合计持有131万股的福晶科技，业绩持 ...展开全文c', '2018-01-30 09:56:44')
('基金持有748万股的海达股份今日披露年度报告，2017年营业收入与净利润分别增长51%、69%。不仅如此，根据1月份销售趋势和在手订单情况，公司预计2018 年一季度营业收入有较好增长；预计公司发行股份购买资产的标的公司——宁波科诺精工科技有限公司将于2月份开始纳入合并报表范围，贡献部分利润。今年一 ...展开全文c', '2018-01-30 09:56:04')
('发布了头条文章：《A股最新罕见内幕消息：海达股份 西藏矿业 锌业股份 古井贡酒》 $海达股份 sz300320$ $西藏矿业 sz000762$ $锌业股份 sz000751$ $古井贡酒 sz000596$ #上证快讯# #新浪看点# |A股最新罕...', '2018-01-30 01:47:25')
('目前资金流入速度最快的个股为：广汇能源，新湖中宝，晋亿实业，海达股份，鑫茂科技。', '2018-01-30 01:07:49')
('300320.海达股份的钱振宇。你个死畜牲凭什么拿50.88万。而其它几个才60000多？狗日的小日本人。', '2018-01-29 22:19:21')
('我刚刚调仓了微博股票组合网页链接，委托卖出$海达股份 sz300320$。', '2018-01-29 20:25:46')
('停牌复牌汇总;【停牌个股】万家乐，商业城，秦安股份，海澜之家，豫金刚石，朗科科技，科达股份，凯恩股份【复牌个股】科融环境，益生股份，亿利洁能，宏达矿业，盈趣科技【限售解禁】华东科技，208711万股；【高送转披露】海达股份，拟不分配不转增；东音股份，拟10派1.00元(含税)；', '2018-01-29 09:28:10')
('发布了头条文章：《海达股份300320：庄家多次布局，主力重金锁仓，有望荣登18年妖王宝》 $海达股份 sz300320$ $乐视网 sz300104$ #今日话题# #明日头条征文# |海达股份30...', '2018-01-29 08:38:23')
('海达股份年报浅印象债务挺重，盈利欠佳，47亿的市值偏高，不适宜价投。属于炒概念个股。 |佛山·大沥...', '2018-01-29 08:02:46')
('【海达股份：2017年报业绩同比增近七成 一季度净利预增约一倍】海达股份发布2017年年度报告，营业收入12.92亿元，同比增长50.94%；归属于上市公司股东的净利润1.40亿元，同比增长69.05%；基本每股收益0.2657元；加权平均净资产收益率15.91%；公司2017年度不分配，不转增。公司预计2018年一季度盈利4248 ...展开全文c', '2018-01-29 07:43:59')
('#年报【海达股份：年报净利同比增长69.05% 一季报预增80% -110%】云财经讯，海达股份：2017年净利1.4亿元，同比增长同比增长69.05%，一季报净利预增80% -110%。', '2018-01-29 04:14:24')
('发布了头条文章：《A股史上从不坑人的“均线”战法，经典至极，值得散户珍藏20年！》#海达股份 sz300320[股票]# #张家港行 sz002839[股票]# #三安光电 sh600703[股票]# #千山药机 sz300216[股票]# #新浪股吧# #新浪看点# |A股史上从...', '2018-01-29 03:29:43')
('发布了头条文章：《A股疯狂走势精彩揭秘：海马汽车 中兴通讯 北方华创 海达股份》 $海马汽车 sz000572$ $中兴通讯 sz000063$ $北方华创 sz002371$ $海达股份 sz300320$ #上证快讯# |A股疯狂走...', '2018-01-29 02:29:28')
('发表了博文《大盘本周支撑及年前走势分析》今日开盘前我就提示了大盘将震荡，开盘前就提示了追涨题材股有风险，并在早盘提示了市场分化严重，个股风险加剧，点评了部分暴跌股警示大家市场风险（海达股份豫金刚石忽然|大盘本周支...', '2018-01-29 02:19:08')
('【创业板资金解析】截至目前创业板资金流入最多的五家公司为：长盛轴承、暴风集团、立昂技术、万达信息、划策影视；资金流出最多的五家公司 ：东方财富、网宿科技、晶盛机电、千山药机、海达股份。以上资金大幅流出的个股，如持有的朋友，保持谨慎为佳。@微博股票 $上证指数 sh000001$ ...展开全文c', '2018-01-29 00:42:38')
('今天赌一单，海达股份，明天出年报，还有我这种赌徒吗$海达股份 sz300320$', '2018-01-28 23:45:09')
('目前资金流入速度最快的个股为：华友钴业，山鹰纸业，新能泰山，海达股份，贵州茅台。', '2018-01-28 22:06:28')
('$上证指数 sh000001$ #微博股票# 10：17 大盘在周期股的带领下继续保持强势，资金扎堆还是比较明显， 但市场分化也相当严重，比如（300320海达股份）（300064豫金刚石）忽然就连续2个跌停板，（300107建新股份）上周的强势股今日低开直接跌停，（600209罗顿发展）也前几天的强势股忽然就跌停了，5G ...展开全文c', '2018-01-28 21:19:10')
('市场分化也相当严重，$海达股份 sz300320$ $豫金刚石 sz300064$ 忽然就连续2个跌停板，$建新股份 sz300107$ 上周的强势股今日低开直接跌停，$罗顿发展 sh600209$ 前几天的强势股忽然就跌停，5G大盘绩优龙头横盘后连续跳水，目前大盘拉拉手，但两市跌的个股比涨的个股还多#微博自媒体# #原创首发# ...展开全文c', '2018-01-28 21:07:30')
('早盘半个小时，跌停股有点多，7只，像豫金刚石、海达股份、建新股份等带有强势跌停特征 $深证成指 sz399001$ 网页链接', '2018-01-28 21:02:56')
('证券时报股市大数据新媒体“数据宝”统计，1月26日龙虎榜中机构席位资金净买入0.14亿元，其中，净买入的个股4只；净卖出的个股8只。净买入较多个股分别是成飞集成、横店影视、上峰水泥等，净买入金额占当日成交额比例达16.20%、3.51%、1.97%。此外，机构净卖出居前个股分别为华联控股、海达股份、蓝晓 ...展开全文c', '2018-01-27 11:03:04')
('💥二零一八海达股份年会💕台前幕后，今年全部经历过了，我们期待的这一刻都展现的非常精彩！狗年大吉💕 |江阴·周庄...', '2018-01-26 08:32:21')
('海达股份，继续下跌。', '2018-01-26 07:21:41')
('海达股份的年报预披露是1月30日，业绩预增，这是今年第二只一月份披露年报的事故。之前的早披露没事，这个小技巧失灵了。', '2018-01-26 07:13:10')
('盘后数据显示，今日龙虎榜中，共13只个股出现了机构的身影，有4只股票呈现机构净买入，9只股票呈现机构净卖出。当天机构净买入前三的股票分别是横店影视、成飞集成、上峰水泥，净买入金额分别为5641万元、3559万元、1841万元。当天机构净卖出前三分别是蓝色光标、华联控股、海达股份，机构资金流出净额 ...展开全文c', '2018-01-26 04:42:08')
('收盘，本周大盘四阳一阴走势，上证周涨幅2.05%，创业板周涨幅5.13%。下周可能是先抑后扬走势，下跌是机会，勇敢一些，后面还会不断新高。祝大家过个轻松愉快的周末。给大家解析手中的票，有需要的评论下方$海达股份 sz300320$ $贵州燃气 sh600903$ $信维通信 sz300136$ $金奥博 sz002917$ ...展开全文c', '2018-01-26 02:24:22')
('黑色周五了，大家战情如何？？手中谁有这些票，评论留言，我帮你们看下走势。$乐视网 sz300104$ $汇金科技 sz300561$ $金奥博 sz002917$ $南纺股份 sh600250$ $海达股份 sz300320$ $风华高科 sz000636$ $悦心健康 sz002162$ $安洁科技 sz002635$ $万马科技 sz300698$', '2018-01-26 01:37:08')
('信维通信(300136)和海达股份(300320)这种股票都是逆势下跌，一路新低，这种股票已经走出完全的下降趋势，是绝对不能去追的。#投资达人说# @微博股票 $乐视网 sz300104$ $上海钢联 sz300226$', '2018-01-25 21:35:14')
('问：海达股份(300320) 老师好！该股套着现是否可补仓降低成本？答：该股股价位置过高，虽然短期调整，但依然在今年的历史高位附近，所以后市很可能还有进一步的下跌走势出现，这个位置不建议继续补仓操作。#海达股份 sz300320[股票]#', '2018-01-25 19:47:41')
('基金大手笔新进股整体收获超额收益，但个股之间走势分化。5只基金集体新进，累计持有540万股的石英股份，去年10月以来跌幅两成，宝钛股份、东富龙、海达股份跌幅均超过10%。相比之下，被12只基金新进持有的恒力股份，去年第四季度以来股价稳步攀升，涨幅达到七成。此外，恒逸石化、利尔化学、浙江医药 ...展开全文c', '2018-01-23 08:56:51')
('#海达股份#创新升级。有质增长。拼搏进取。共赢成长。 网页链接', '2018-01-21 04:48:10')
('发布了头条文章：《海达股份300320：是跌入深渊，还是绝地反弹？拭目以待！》 $海达股份 sz300320$ #财经头条# #微博股票# #投资达人说# |海达股份30...', '2018-01-19 02:31:42')
('碳纤维相关公司“光威复材(300699)”“海达股份(300320)“海源机械(002529)”...展开全文c', '2018-01-14 20:03:54')
('发布了头条文章：《A股最新行情揭秘：先锋电子 信立泰 海达股份》 |A股最新行...', '2018-01-12 22:53:04')
('建立投资组合：青岛海尔、格力电器、汤臣倍健、中国神华、招商银行、建设银行、享通光电、中兴通讯、士兰微、绿地控股、科大讯飞、海达股份、华英农业。', '2018-01-10 02:04:34')
('发布了头条文章：《海达股份(300320)：主力7亿蓄势待发，本周已现最佳介入机会！》 $海达股份 sz300320$ #海达股份 sz300320[股票]# #我要上头条# |海达股份(3...', '2018-01-09 07:54:40')
('发布了头条文章：《本周A股走势重磅揭秘： 旺能环境+海达股份+国创高新+海能达》 |本周A股走...', '2018-01-09 01:40:37')
('海达股份年报预增65%-85%新华联年报预增53%-72%润达医疗预计2017年净利润同比增长76%-110%', '2018-01-08 01:14:23')
('发布了头条文章：《下周迎来重磅利好：紫金矿业 海达股份 中兴通讯 民生银行 》 |下周迎来重...', '2018-01-08 01:06:05')
('【解套宝】今日个股实战：海达股份 300320为例，每日盘前查询【解套宝】（每日更新），今日使用【解套宝】可做出5.32%的差价。更多资讯关注：金正解套', '2018-01-08 00:37:20')
('海达股份，庄股！！原则上，是中线股，但是我们中线短做，10%主动止盈，今天高开2%，没有开盘拉升，卖出，10%止盈。什么是庄股呢？有技巧的', '2018-01-07 21:24:03')
('截止目前，2000股下跌，符合调整的预期。不过，今天我们实盘有3股到了止盈10%的标准。他们分别是盐湖股份，华谊兄弟，海达股份 并且，旗滨集团，卫星石化，山西焦化等股，继续创新高！！！ 完美地看对了市场节奏', '2018-01-07 21:19:51')
('【业绩报告】东睦股份年报预增60%-80%东尼电子年报预增158%至189%海达股份：2017年净利预增65%-85%海螺水泥年报业绩预增70%-90%康隆达年报业绩预减6%-16%利亚德2017年度业绩预增65%-85% ...展开全文c', '2018-01-07 20:30:17')
('东尼电子（603595）：年报预增158%至189%海达股份（300320）：年报预增65%-85%新华联（000620）：年报预增53%-72%润达医疗（603108）：年报预增76%到110%利亚德（300296）：2017年度业绩预增65%-85%海螺水泥（600585）：年报预增70%-90%先河环保（300137）：2017年度业绩预增75%-90% ...展开全文c', '2018-01-07 20:29:28')
('个股利好：杭州高新：2017年拟推10转9派1.5；东尼电子年报预增158%至189%；先河环保2017年度业绩预增75%-90%；海螺水泥年报业绩预增70%-90%；亚德2017年度业绩预增65%-85%；海达股份：2017年净利预增65%-85%； ...展开全文c', '2018-01-07 20:24:16')
('海达股份(300320)：预计公司2017年净利润为1.37亿元-1.54亿元，同比增长65%-85%。公司上年同期盈利8298万元。2017年度业绩同向上升的主要原因是：公司的营业收入较上年度有较大幅度增长，其中轨道交通和汽车领域的业务收入继续保持较大幅度增长。评:低于预期目标，且公司经营性现金流严重不足!', '2018-01-07 20:23:35')
('早间机会股：$润达医疗 sh603108$ ：预计2017年净利润同比增加76.07%-110.43%$海达股份 sz300320$ ：年报预增65%-85%$飞乐音响 sh600651$ ：联合中标11.86亿元PPP项目$科陆电子 sz002121$ ：签署1.7亿元储能项目合同', '2018-01-07 20:09:16')
('参考上市公司重要消息一览:1、润达医疗：预计2017年净利润同比增加76.07%-110.43%2、海达股份：2017年净利预增65%-85%3、新华联：2017年净利预增53%-72%4、今世缘：预计2017年净利润同比增加15%-25%5、奥特佳：实控人完成增持计划累计增持逾5000万元... 网页链接', '2018-01-07 18:19:38')
('悟公告 300320 海达股份【2017年度 净利润13691.9-15351.52万元，比上年同期上升65%-85%。2017年度业绩同向上升的主要原因是：轨道交通和汽车领域的业务收入继续保持较大幅度增长，公司航运、建筑领域的业务收入止跌回升，均有较好的增长；轨道交通、汽车领域业务收入占比进一步增大，销售同比增长带动 ...展开全文c', '2018-01-07 07:52:27')
('新浪财经全球市场7*24小时直播 - 【海达股份年报预增65%-85%】海达股份7日晚间公告，公司预计2017年归属于上市公司股东的净利润13691.90万元–15351.52万元，比上年同期上升65%-85%。主因公司营业收入较上年度有较大幅度增长，其中轨... 网页链接', '2018-01-07 07:42:10')
('海达股份:2017年净利预增65%-85%海达股份晚间公告,预计公司2017年净利润为1.37亿元-1.54亿元,同比增长65%-85%。公司上年同期盈利8298万元。2017年度业绩同向上升的主要原因是:公司的营业收入较上年度有较大幅度增长,其中轨道交通和汽车领域的业务收入继续保持较大幅度增长,公司航运、建筑领域的业务收 ...展开全文c', '2018-01-07 04:55:04')
('发布了头条文章：《令哥《龙头战法》 飞力达 华大基因 尔康制药 五 粮 液 》 $飞力达 sz300240$ $华大基因 sz300676$ $尔康制药 sz300267$ $五 粮 液 sz000858$ #潜能恒信# 宁沪高速惠博普金力泰棕榈股份晨鸣纸业天马股份茂化实华福达股份科隆股份新文化双林股份海达股份锦江投资广东榕泰红 宝 丽万和 ...展开全文c', '2018-01-05 10:49:03')
('年报行情开启！$农尚环境 sz300536$ 成沪深两市年报预披露第一股，将于1月19日预披露，$杭电股份 sh603618$ 、$盈峰环境 sz000967$ 1月23日预披露，佳沃股份1月26日预披露，健友股份、世嘉科技1月27日预披露，海达股份1月30日预披露，*ST沈机1月31日预披露。', '2018-01-02 04:13:18')
('元旦期间市场消息：沪深两市年报披露日程表出炉，$农尚环境 sz300536$ 1月19日发布年报，成为两市第一家出年报个股，沪市第一家为$杭电股份 sh603618$ ，其它披露日期靠前的个股还有盈丰环境、$佳沃股份 sz300268$ 、健友股份、海达股份、东音股份、人民同泰、利达光电等。', '2018-01-01 20:02:47')
('$海达股份 sz300320$铁路基建和特斯拉概念，前三季度业绩同比上升55％以上，近期股价在60线附近震荡，12月29日收根大阳线，后期将沿60日线震荡向上。#今日看盘##微博股票#@微博股票点评团', '2018-01-01 03:11:32')
('【农尚环境成沪深两市年报预披露第一股】农尚环境1月19日预披露，盈峰环境1月23日预披露，佳沃股份1月26日预披露，世嘉科技1月27日预披露，海达股份1月30日预披露，*ST沈机1月31日预披露。此前上交所公布，杭电股份、健友股份分别于2018年1月23日，1月27日预披露年报。深市主板、中小板年报预披露时间 ...展开全文c', '2017-12-29 04:38:44')
