('【云计算概念股被公募基金重仓持有】合计持股数量为6.81亿股，合计持股市值约119.38亿元。其中，亚联发展（002316）、深信服、华东电脑（600850）、工业富联、二三四五、恒华科技（300365）、捷成股份、浪潮信息（000977）、万达信息、中国长城（000066）、中科曙光（603019）、泛微网络（603039）、 ...展开全文c', '2018-07-18 20:33:03')
('国产软件湘邮科技二连板，国产软件板块也被刺激的来了一波拉升，龙一湘邮科技，龙二浪潮信息，龙三泛微网络，湘邮科技连续两天大长腿，吸引了市场无数的目光。', '2018-05-03 22:34:38')
('泛微网络自成立以来一直专注于协同办公OA软件领域。目前OA软件市场还没有形成明显的头部企业，泛微目前在技术产品以及渠道方面表现出来的竞争优势，有望逐步发展成为中国最大的协同管理软件企业', '2018-04-28 23:44:54')
('发布了头条文章：《A股节后利好爆出：贵航股份 泛微网络 上海沪工》 $贵航股份 sh600523$ $泛微网络 sh603039$ $上海沪工 sh603131$ #财经头条# |A股节后利...', '2018-04-28 02:09:08')
('收盘，巨亏0.96%。持仓：长亮科技、东方通、中国软件、美格智能、天邑股份、振德医疗、科蓝软件、安硕信息、泛微网络、网达软件。赌IPO、赌假期一片太平，希望能赌赢，不然就要核按钮了…', '2018-04-27 04:35:14')
('发布了头条文章：《五一后市主力惊天揭秘：三六零 江苏有线 泛微网络 乐惠国际 》 $三六零 sh601360$ $江苏有线 sh600959$ $泛微网络 sh603039$ $乐惠国际 sh603076$ #上证快讯# |五一后市主...', '2018-04-27 03:38:40')
('昨天尾盘买$泛微网络 sh603039$ ，接近涨停砸掉抄底$中毅达 sh600610$ ，风骚的走位', '2018-04-26 04:40:51')
('收盘，小赚0.02%，持仓：长亮科技、东方通、中国软件、柳钢股份、科蓝软件、泛微网络、安硕信息。不知道说什么，还是不说了吧…老年躺赚选手的躺赚之路要到头了吗…今天才星期四就恐慌成这样，明天呢？', '2018-04-26 04:15:34')
('发布了头条文章：《【603039 泛微网络】珍惜手中的筹码，主力随时可能拉升！》 #a股~股市~股票~大盘~指数# #股市分析# #财经# #A股# #股市# #股票分析# #大盘~股市~股票~证券~中线~短线#$泛微网络 sh603039$ |【603039 ...', '2018-04-26 03:28:57')
('发布了头条文章：《独家个股详解：泛微网络+卫宁健康+中国联通+吉大通信》 #泛微网络 sh603039[股票]# #卫宁健康 sz300253[股票]# #中国联通 sh600050[股票]# #吉大通信 sz300597[股票]# #财经头条# |独家个股详...', '2018-04-26 02:15:33')
('发布了头条文章：《最新A股消息：鼎胜新材 莎普爱思 泛微网络 风神股份》 $鼎胜新材 sh603876$ $莎普爱思 sh603168$ $泛微网络 sh603039$ $风神股份 sh600469$ #上证快讯# #头条文章# #微博股票热议榜# #股票# |最新A股消...', '2018-04-25 23:54:51')
('超短线午后关注：湖南盐业，鲁北化工，泛微网络，移为通信，飞凯材料。', '2018-04-25 23:37:09')
('发布了头条文章：《603039 泛微网络：强势格局全面开启，后期买卖点已布局!》 #财经头条文章# #股票分析# $泛微网络 sh603039$ |603039 泛...', '2018-04-25 23:19:06')
('软件股早盘走强。$科大国创 sz300520$ 涨停，科蓝软件大涨6%，泛微网络、浪潮软件、联络互动、浪潮信息、顶点软件、格尔软件等个股跟随上涨。', '2018-04-25 22:59:42')
('【软件股早盘崛起 机构：今年将成为国产替代的投资价值元年】4月26日讯，随着早盘芯片股的走强，软件概念股也随之发力。截至发稿，科大国创涨停，科蓝软件大涨6%，泛微网络、浪潮软件、联络互动、浪潮信息、顶点软件、格尔软件等个股跟随上涨。|软件股早盘...财通证券认为，国内电子通信行业的国 ...展开全文c', '2018-04-25 22:19:45')
('发布了头条文章：《A股主力蠢蠢欲动：引力传媒 泛微网络 一汽富维》 $引力传媒 sh603598$ $泛微网络 sh603039$ $一汽富维 sh600742$  #上证指数# #股票# #头条文章# #新浪看点# #新浪股吧# |A股主力蠢...', '2018-04-22 03:41:49')
('发布了头条文章：《诡异信号曝光主力阴谋：金钼股份+中信银行+晶方科技+合锻智能》 #财经头条文章# #中科曙光 sh603019[股票]# #石大胜华 sh603026[股票]# #德新交运 sh603032[股票]# #泛微网络 sh603039[股票]# |诡异信号曝...', '2018-04-20 01:54:06')
('$美芝股份 sz002856$ $泛微网络 sh603039$ $龙津药业 sz002750$ 美芝股份、泛微网络、龙津药业macd出现这个信号，在未来几天有望形成一波猛烈攀升！！！#涨停牛股早知道# #牛股推荐# 大界AA的秒...', '2018-04-19 04:17:26')
('【泛微网络年报发布前一个月三股东大笔减持 “赶巧”逢高套现5000万元】泛微网络的投资者遇到了另类的烦恼：公司营业收入同比增长52.66%，归属于母公司所有者的净利润同比增长33.35%。这样的成绩单，却依旧挡不住第三大股东坚定的去意。网页链接', '2018-04-19 02:30:03')
('发布了头条文章：《主力最新揭秘:宝信软件、中科曙光、泛微网络》 #股票分析# #股票推荐# $宝信软件 sh600845$ 、$中科曙光 sh603019$ 、$泛微网络 sh603039$ |主力最新揭...', '2018-04-18 23:29:24')
('明日推荐：城市传媒胜宏科技同方股份凯盛科技航天电子三雄极光 ...展开全文c', '2018-04-18 04:37:36')
('收盘，大赚3.65%，一把新高。持仓：智能自控、天邑股份、威唐工业、凯伦股份、宏川智慧、佳发安泰、泛微网络。早盘大跌淡定抄底，午后高抛减仓，没有天地板可惜了，不然可以拿一天20%的单子装逼了，不过次新就是暴利在下次新之王回来了！！', '2018-04-18 04:23:40')
('创业板指数即将拉红，国产软件品种在近期异动比较多，周一启动，昨天被砸，今天再度启动，属于在近期持续性比较久的版块卫宁健康，美亚柏科，中国软件，泛微网络等。 网页链接', '2018-04-18 01:27:25')
('软件服务泛微网络，卫宁健康，北信源走势都比较强', '2018-04-17 23:27:34')
('发布了头条文章：《主力大阴谋蓄势待发：大豪科技+众源新材+苏博特+泛微网络》 $大豪科技 sh603025$ $众源新材 sh603527$ $苏博特 sh603916$ $泛微网络 sh603039$ #上证快讯# |主力大阴谋...', '2018-04-16 03:35:45')
('国产软件概念持续拉升，龙头科蓝软件封涨停，宝信软件、东方国信、超图软件、二三四五、泛微网络等个股均大幅上涨。盈亏分析升级！实时同步，智能提醒！', '2018-04-15 22:45:15')
('#股票配资集中营# 国产软件概念持续拉升，龙头科蓝软件封涨停，宝信软件、东方国信、超图软件、二三四五、泛微网络等个股均大幅上涨。', '2018-04-15 22:28:31')
('收盘，小赚2.4%，持仓：大烨智能、凯伦股份、恒锋信息、威唐工业、智能自控、泛微网络、佳发安泰、汇金科技。早上医疗信息化给了高抛机会，下午继续打捞了大烨智能，反正前两天打捞的第二天都涨停了排一字板又被炸成狗了，哈哈哈一字狗不好当啊', '2018-04-13 23:09:24')
('发布了头条文章：《诡异信号曝光主力阴谋:海联金汇+中科信息+智度股份+泛微网络》 #财经头条文章# #川恒股份 sz002895[股票]# #中航沈飞 sh600760[股票]# #山大华特 sz000915[股票]# |诡异信号曝...', '2018-04-12 23:02:44')
('发布了头条文章：《下周走势精准预测：苏州科达、泛微网络、浪潮信息、神州信息》 $苏州科达 sh603660$ $泛微网络 sh603039$ $浪潮信息 sz000977$ $神州信息 sz000555$ #上证快讯# |下周走势精...', '2018-04-12 10:26:33')
('发布了头条文章：《A股最新主力揭秘：中马传动 泛微网络 盛和资源 四通股份 》 $中马传动 sh603767$ $泛微网络 sh603039$ $盛和资源 sh600392$ $四通股份 sh603838$ #上证快讯# |A股最新主...', '2018-04-12 04:46:43')
('发布了头条文章：《603039泛微网络： 主力“洗盘”暗藏杀机，后期走势独家揭秘》 #一手财经数据# #新浪财经头条# $泛微网络 sh603039$ |603039泛微...', '2018-04-12 03:25:33')
('一顿操作猛如虎，一看收益…不谈了…小亏1.43%，持仓：卫宁健康、凯伦股份、上海钢联、大烨智能、恒锋信息、和仁科技、智能自控、泛微网络、佳发安泰。学做一字狗，受到了应有的惩罚', '2018-04-12 03:11:31')
('我说过的，挖冷门股我是专业的万兴科技、和仁科技、泛微网络、佳发安泰，还有这回的恒锋信息，都是我率先挖掘出来的，从无人问津然后走起来，甚至走出了市场大妖。因为比较闲，研究的比较多，干一行爱一行，既然决定做软件股，就对板块内所有个股做了研究，自然就能发掘啦，我的冷门票仓里还有很 ...展开全文c', '2018-04-12 02:40:29')
('发布了头条文章：《A股本周最佳上车机会：联泰环保 泛微网络 爱柯迪》$联泰环保 sh603797$ $泛微网络 sh603039$ $爱柯迪 sh600933$ #财经头条# |A股本周最...', '2018-04-11 03:33:36')
('泛微网络除了贵 没啥毛病 算是互联网届的酱油 等均线回归60日线应该是买点', '2018-04-11 01:55:33')
('【交易记录】泛微网络，今日做个小T3个多点，底仓继续潜伏，等待拉升。若今明后日能出现长阳，则指标会出现拒绝死叉的形态，股价也会加速上涨突破118元以上。若明后日指标死叉，则短线调整时间延长，但是调整过后大概率依旧要突破118元。', '2018-04-10 23:24:59')
('收盘，小亏1.18%，持仓：九典制药、卫宁健康、智能自控、上海钢联、天源迪科、久其软件、和仁科技、泛微网络、恒锋信息、佳发安泰。早上捞了九典，下午清了美亚柏科，买了点恒锋信息，冷门票买起来好尴尬新热点出来了，明天有方向了，就没多大问题了。', '2018-04-10 05:19:26')
('目标：603039 泛微网络潜龙入水模式，次新股趋势龙头，调整有一定的企稳迹象，值得开盘价以下逢低关注。', '2018-04-09 20:04:14')
('发布了头条文章：《资金涌动暗藏玄机：泛微网络+金逸影视+上海电影+雪榕生物》 |资金涌动暗...', '2018-04-09 04:37:03')
('收盘，小赚3.14%，持仓：智能自控、卫宁健康、上海钢联、天源迪科、久其软件、美亚柏科、和仁科技、泛微网络、佳发安泰。早上planZ以不变应万变，午后planψ减仓了一些软件股。连亏三天，一天就全回来了。赌国运赌对了，明天继续。', '2018-04-09 04:04:33')
('发布了头条文章：《A股异常走势横行股市：泛微网络+宜宾纸业+元成股份+安记食品》 $泛微网络 sh603039$ $宜宾纸业 sh600793$ $元成股份 sh603388$ $安记食品 sh603696$ #微博股票# |A股异常走...', '2018-04-08 21:56:25')
('发布了头条文章：《603039 泛微网络：主力强势洗盘，庄家吸筹，后势必有惊人表现》 $泛微网络 sh603039$ #涨停股票分析# |603039 泛...', '2018-04-08 21:32:43')
('发布了头条文章：《 A股沉睡黑马复苏： 泛微网络 华正新材 维格娜丝》 $泛微网络 sh603039$ $华正新材 sh603186$ $维格娜丝 sh603518$ #财经头条# |A股沉睡黑...', '2018-04-04 23:39:18')
('发布了头条文章：《新一波行情出现: 东尼电子+华友钴业+泛微网络+汇顶科技》 $东尼电子 sh603595$ $华友钴业 sh603799$ $泛微网络 sh603039$ $汇顶科技 sh603160$ #股市~a股~大盘~股票# #财经头条文章# |新一波行情...', '2018-04-04 21:57:55')
('搬起石头砸自己脚…点火把自己烧死…没状态了…低估了这个市场的力量，巨亏0.89%，持仓：卫宁健康、美亚柏科、智能自控、上海钢联、天源迪科、久其软件、和仁科技、泛微网络、佳发安泰。溜了溜了 今天太丢人了', '2018-04-04 10:50:02')
('发布了头条文章：《A股神秘走势大揭幕： 华资实业 罗顿发展 泛微网络》$华资实业 sh600191$ $罗顿发展 sh600209$ $泛微网络 sh603039$ #微博股票# |A股神秘走...', '2018-04-03 22:47:24')
('这盘面就是最轻松的盘面了，一边吃着冰淇淋，一边抠脚看队长小翼今天小亏0.53%，持仓：万兴科技、美亚柏科、智能自控、天源迪科、久其软件、佳发安泰、泛微网络、和仁科技。有急跌就低吸，没急跌反正尾盘也能收回来', '2018-04-03 03:07:20')
('发布了头条文章：《特大利好消息曝光：泛微网络 上海九百 华友钴业》 |特大利好消...', '2018-04-03 00:14:41')
('发布了头条文章：《A股最新动向：博思软件300525泛微网络603039》# 博思软件300525##泛微网络603039##上海钢联300226##股票###微博股票热议榜# |A股最新动...', '2018-04-02 22:42:39')
('续“软件一点儿也不软”——再加两只软件好股，$美亚柏科 sz300188$ 和 $信息发展 sz300469$ ……（相比于上次的 神州信息和泛微网络，这两只都属于当前短线最强指数之创业板。）', '2018-04-02 18:08:43')
('#庄股、次新和重组篇# 我们要撤资了哦⊙∀⊙！#财经# 看吧#牛股推荐# ！做#股票# 趋势多重要，两个多月47% 。加上上次的泛微网络35%，#组合收益pk赛# 三个月赚80%差不多了吧', '2018-04-02 06:43:19')
('收盘，今日巨亏1.25%，持仓：万兴科技、美亚柏科、智能自控、先导智能、天源迪科、久其软件、佳发安泰、泛微网络。幸好卖的早…这行情不适合我…看似很强，其实挺弱的。', '2018-04-02 03:28:27')
('5、 次新+两年次新+软件：和仁科技、泛微网络、多伦科技次新+芯片+军工：宏达电子次新+智能制造：赛腾股份 ...展开全文c', '2018-04-01 18:06:33')
('$泛微网络 sh603039$ |泛微网络', '2018-04-01 10:47:45')
('最近市场围绕年报预增，次新股，软件，科技，为市场热点炒作。接下来看权重股动态，创业板收盘收在五日均线之上。软件，泛微网络，超图软件，和仁科技，航天信息，科创信息，金桥信息，立思辰，文化传媒，新经典，当代明诚，次新股，精测电子，必创科技，迦南科技，712，友讯达，博创科技，科信技术 ...展开全文c', '2018-04-01 08:19:04')
('#新浪理财师# #大盘直击# #今日看盘# 计算机股：云赛智联、润欣科技、超图软件、航天信息、和仁科技、富瀚微、泛微网络、中科创达、金桥信息、立思辰、新北洋、博思软件、太极股份、启明星辰。电子信息股：云赛智联、有研新材、麦达数字、北方华创、士兰微、安彩高科、长电科技、思创医惠、紫光股份、 ...展开全文c', '2018-04-01 03:26:26')
('优质次新股：正海生物，生物再生材料。凯莱英，医药CMO龙头。飞荣达，5G。精测电子，面板，半导体，新能源检测设备。泛微网络，OA。深南电路，IC基板。 ...展开全文c', '2018-03-31 11:50:36')
('发布了头条文章：《603039泛微网络 美国传来重大利好 权重蓝筹要再发力？》 #股票分析# #微博股票热议榜# #氯碱化工 sh600618[股票]# $复旦复华 sh600624$ $浙数文化 sh600633$ |603039泛微...', '2018-03-31 03:23:01')
('泛微网络这种K线主升浪我们小散都敢买，可是打开看到庄股分时我们小散就都没胆买了。我们小散炒股还是简单点好', '2018-03-31 02:04:37')
('泛微网络今天涨停原因找到了，收到了5900亿政府补贴', '2018-03-30 22:39:23')
('#软件股#作为创业板个股大本营的软件股，今天同样出现涨停潮行情。超图软件、泛微网络、中科创达、金桥信息、立思辰、科创信息等超10只个股涨停，中新赛克、博思软件、太极股份、启明星辰均暴涨8%以上，数字认证、北信源、万达信息、易华录、川大智胜等个股亦有不同程度的大涨。软件股今天的强势，更 ...展开全文c', '2018-03-30 18:13:31')
('收盘，3月也很完美，大赚3.05%，持仓：赣锋锂业、先导智能、万兴科技、寒锐钴业、美亚柏科、智能自控、中科创达、上海钢联、佳发安泰、泛微网络。竞价结束后，在和仁科技和泛微网络中犹豫纠结了5分钟后选择了低吸泛微网络…遗憾错失和仁科技今天这行情运气好罢了，如果非要说点什么的话 ...展开全文c', '2018-03-30 12:12:04')
('【突然涨停背后政府补贴闹出乌龙指 泛微网络董秘还能笑得出来吗？】冒失不是一天养成的，也不是一天改掉的，比如泛微网络董秘金戈，在继3名监事投出9票后，又出现获得政府补助5900亿的低级错误。不过还好公司股价今天涨停了，投资者情绪偏向于积极，对于低级错误也是付之一笑。 |突然涨停背...', '2018-03-30 11:31:57')
('本月盈利14.5%；主要得益于泛微网络，目前已清仓！当月新入手江苏租赁，止损了兴业银行。当前持股碧水源、华兰、基蛋、御家汇、江苏租赁，六成仓位（其余均止盈清仓了）。', '2018-03-30 05:08:56')
('#市场观察#今日市场上涨，创业板大涨超过3%，深证成指上涨1%，上证指数微幅上涨。创业板本周上涨接近10%，强烈反弹。IOT，软件，军工，北斗，零售，网络安全，医疗等概念领涨。保险，实话，地产，天然气，银行领跌。个股方面，数字中国概念中台基股份，航天信息，泛微网络科创信息等股票涨停，紫光 ...展开全文c', '2018-03-30 02:46:18')
('泛微网络、天喻信息、宏达电子、金桥信息。都是说过的！科创信息是前面那个涨停早盘-2个点那我洗出去的。连续三天都咬牙切齿！随便你也要吃一个板！昨天状态差点跌停！今天地天板的状态！', '2018-03-30 02:30:51')
('发布了头条文章：《下周惊天利好曝光：三诺生物+中新赛克+东方材料+泛微网络》 |下周惊天利...', '2018-03-30 02:30:46')
('泛微网络涨停了不过，下午盘面发散出来了，军工雄安都出来捣乱了，不排除马上有更多题材出来捣乱，那就是老套路了，下午市场冲高回落的压力会很大了，不宜再追高了，低吸不好么这市场有一颗牛市的心，却没有牛市的命呀', '2018-03-30 02:24:25')
('#股票##股票分析#2018年3月30日1点到2点盘面：强势板块：高送转：泛微网络、智能自控、安科生物、精测电子芯片：富瀚微、振芯科技、苏州固锝、北方华创、正邦股份、风华高科、长川科技、润欣科技5G：科信技术、超讯通信、光库科技、吉大通信、OLED：丹邦科技、同兴达、隆华节能、濮阳惠成 ...展开全文c', '2018-03-30 02:13:29')
('感谢泛微网络，再拿下一个涨停板，从七八十一路盯着做过来这个波段做的非常满足了。。。 |榆林·榆阳...', '2018-03-30 01:35:44')
('别猜了我买的不说有道理的！泛微网络---超级天花板的票！我未必叫你们追。都不要买。这票不垮就是趋势。垮起来瞬间两根断头扎。', '2018-03-29 23:33:48')
('603039泛微网络很牛，炒股票，三线顺上 是基本条件，五日线 10日线 20日线顺 五线顺上就是大牛股，看看泛微网络，不停涨，涨不停。 #温榆河杯百万实盘大赛##直击融创业绩发布会##今日看盘# $乐视网 sz300104$', '2018-03-29 23:27:22')
('软件一点儿也不软——继用友网络•赢时胜之后，博主又发现两只软件好股，他们是$神州信息 sz000555$ 和 $泛微网络 sh603039$ ……（作为主流热点之一的软件板块，她不仅是短线关注对象 更是中长线可持品种，你值得拥有！）', '2018-03-29 21:40:52')
('发布了头条文章：《惊天阴谋被揭露:威星智能+振东制药+顺丰控股+艾德生物 》 #财经头条文章# #泛微网络 sh603039[股票]# #同有科技 sz300302[股票]# #振东制药 sz300158[股票]# |惊天阴谋被...', '2018-03-27 23:03:11')
('国内办公软件龙头，业务快速增长 泛微网络是OA行业龙头，且是唯一在主板上市的OA软件公司。目前市场格局仍较为分散，行业内的优秀企业市场份额占比仍有较大的提升空间。公司作为我国最早的一批OA软件企业,积累了大量经验，建立了完备的... 分享自@雪球 |［新时代证...', '2018-03-27 21:21:01')
('发布了头条文章：《泛微网络603039：主力控股诡异，散户将何去何从》#财经头条文章# #泛微网络 sh603039[股票]# |泛微网络60...', '2018-03-27 03:11:04')
('中大力德是前些天筛出的年报送转预期股，动了。然而发现还是强者恒强，比如新泉股份和泛微网络同样属于年报送转预期，送转幅度也类似，但泛微网络并没有高位见光死。股性很重要，行业题材还是要有一定想象力。这周或许能看的只有这些了。三月底仍存在季节性流动性问题，配合全球加息周期，打一枪就 ...展开全文c', '2018-03-26 01:36:50')
('发布了头条文章：《泰豪科技(600590)：主力“洗盘”暗藏杀机，后期走势独家揭秘》 #反击贸易战# #支付宝# $东尼电子 sh603595$ $泛微网络 sh603039$ |泰豪科技(6...', '2018-03-25 22:38:03')
('【年报送转】梅泰诺，拟10转18派1.5；塞力斯，拟10转15派1；高升控股，拟10转10；美晨生态，拟10转8派0.8；星星科技，拟10转5派0.2；泛微网络，拟10转4.8派1.5；新泉股份，拟10转4派5；灵康药业、来伊份，拟10转4派4；丽珠集团，拟10转3派20；伟星新材，拟10转3派6；新华制药，拟10转3派0.5；', '2018-03-25 22:01:37')
('华新水泥（600801）：2017年业绩增长359.72%中信重工（601608）：2017年业绩实现扭亏为盈泛微网络（603039）：2017年净利增逾三成上海机场（600009）：年报净利增逾三成拟10派5.8元益丰药房（603939）：2017年净利增逾四成中国石化（600028）：2017年实现净利511亿元同比增一成新疆众和（600088 ...展开全文c', '2018-03-25 21:26:56')
('泛微网络（603039）$泛微网络 sh603039$ ：2017年净利增逾三成公司2017年营业收入704,217,665.37元，同比增长52.66%；归属于上市公司股东的净利润86,970,596.44元，同比增长33.35%；基本每股收益1.33元。', '2018-03-25 21:23:44')
('高送转·梅泰诺年报拟10转18派1.5元 一季报预增逾17倍丽珠集团年报净利增465% 拟10转3派20元泛微网络：2017年净利同比增33% 拟10转4.8派1.5元星星科技年报拟10转5派0.2元伟星新材年报拟10转3派6元 ...展开全文c', '2018-03-25 21:08:43')
('#投资达人说# #今日看盘# @微博股票 $哈高科 sh600095$ $贵州茅台 sh600519$ 个股信息，利好：梅泰诺年报拟10转18派1.5；塞力斯年报拟10转15派1；高升控股年报拟10转10；美晨生态年报拟10转8派0.8；星星科技年报拟10转5派0.2；泛微网络年报拟10转4.8派1.5；新泉股份年报拟10转4派5；灵康 ...展开全文c', '2018-03-25 20:51:58')
('14:16 财联社3月25日讯，泛微网络拟10转4.8派1.5元。(来自财联社APP)', '2018-03-25 10:53:09')
('#股淋大会#中小创小盘计算机TMT股备受青睐，万兴科技、平治信息、诚迈科技、赛意信息、辰安科技、奥飞数据、科创信息、朗新科技、丝路视觉、真视通、泛微网络、新晨科技、佳发安泰、思特奇、格尔软件、信息发展、麦迪科技、顶点软件、南威软件、金桥信息受落 发布了头条文章：《股淋大会第12周：有怪兽 ...展开全文c', '2018-03-25 06:26:25')
('发布了头条文章：《泛微网络603039：后势将上演意想不到的走势》$泛微网络 sh603039$ #财经头条# #今日看盘# #股票分析# |泛微网络60...', '2018-03-23 02:19:10')
('发布了头条文章：《603039泛微网络：惊人内幕曝光，后市将如何演绎？》#财经头条文章# #泛微网络 sh603039[股票]# |603039泛微...', '2018-03-22 04:25:05')
('发布了头条文章：《主力意欲何为:欧派家居+华友钴业+东尼电子+泛微网络》 $欧派家居 sh603833$ $华友钴业 sh603799$ $东尼电子 sh603595$ $泛微网络 sh603039$ #头条文章# #微博股票热议榜# #微博股票热议榜# |主力意欲何...', '2018-03-22 03:57:26')
('发布了头条文章：《泛微网络603039主力在暗中吸筹，后市应该如何演绎！》#泛微网络 sh603039[股票]# #头条文章# |泛微网络60...', '2018-03-22 02:45:25')
('发布了头条文章：《万兴科技(300624)：主力“洗盘”暗藏杀机，后期走势独家揭秘》 #头条文章# #上证快讯# $恒瑞医药 sh600276$ $泛微网络 sh603039$ |万兴科技(3...', '2018-03-21 22:12:38')
('发布了头条文章：《海鸥住工(002084)：底部放量惊现反转信号，第二波主升浪即将开启》 #上证指数# #新浪财经# $恒瑞医药 sh600276$ $泛微网络 sh603039$ |海鸥住工(0...', '2018-03-20 22:25:16')
('发布了头条文章：《主力惊天阴谋揭露：亚士创能+江丰电子+泛微网络+华胜天成》 $亚士创能 sh603378$ $江丰电子 sz300666$ $泛微网络 sh603039$ $华胜天成 sh600410$ #微博股票# |主力惊天阴...', '2018-03-19 07:49:49')
('发布了头条文章：《双星新材(002585):主力精心布局曝光，洗盘未结束？后市精准解析》 #新浪看点# #上证快讯# $四方冷链 sh603339$ $泛微网络 sh603039$ |双星新材(0...', '2018-03-18 22:49:15')
('第14期次新股分析。泛微网络603039。公司研发投入占过去两年均不到14%，技术能力一般，但公司资产质量优异，成长性尚可，产品有一定亮点，$泛微网络 sh603039$ 但短期面临天花板问题，需要观察，保持一般关注。', '2018-03-18 19:12:49')
('发布了头条文章：《603039泛微网络：最新主力动向曝光,后市展望精准预测》$泛微网络 sh603039$ #财经头条文章# |603039泛微...', '2018-03-17 22:53:57')
('发布了头条文章：《A股最强龙头诞生：光电股份+万向德农+泛微网络+民丰特纸》 $光电股份 sh600184$ $万向德农 sh600371$ $泛微网络 sh603039$ $民丰特纸 sh600235$ #上证快讯# |A股最强龙...', '2018-03-17 22:07:34')
('发布了头条文章：《资金涌动暗藏玄机：西藏珠峰+皖新传媒+中油工程+泛微网络》 |资金涌动暗...', '2018-03-16 23:39:17')
('发布了头条文章：《重磅消息：中航资本+泛微网络+华西股份，本周详细操作策略》 $中航资本 sh600705$ +$泛微网络 sh603039$ +$华西股份 sz000936$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-03-16 05:26:54')
('发布了头条文章：《可立克(002782)：主力强势扫货，新一轮行情这样布局稳稳稳》 #新浪看点# #上证指数# $汇顶科技 sh603160$ $泛微网络 sh603039$ |可立克(002...', '2018-03-13 21:58:25')
('【大盘：国产软件概念股盘中走强 中国软件涨幅过9%】国产软件概念股盘中走强，截至发稿，中国软件(15.890, 1.32, 9.06%)涨幅过9%，湘邮科技(15.430, 0.74, 5.04%)涨幅过4%，浪潮软件(17.280, 0.54, 3.23%)、泛微网络(84.180, 2.19, 2.67%)涨幅过3%，科蓝软件(31.480, 1.08, 3.55%)、安硕信息(20.840, 0 ...展开全文c', '2018-03-12 23:27:37')
('发布了头条文章：《泛微网络(603039)：主力吹响反攻号角，后市有望暴涨拉升！》 $泛微网络 sh603039$ |泛微网络(6...', '2018-03-12 11:34:36')
('#穿越而来的时空# $泛微网络 sh603039$ 面临突破', '2018-03-10 05:20:53')
('发布了头条文章：《快乐购 通润装备 亿晶光电 泛微网络：股票市场牛股强势回归》 #热门股票# #头条文章# #新浪股吧# #上证快讯# #股票# #A股# #新浪证券# |快乐购 ...', '2018-03-09 04:20:07')
('发布了头条文章：《本周揭秘疯狂走势：泛微网络 唐山港 山鼎设计 中泰股份》 $泛微网络 sh603039$ $唐山港 sh601000$ $山鼎设计 sz300492$ $中泰股份 sz300435$ #上证快讯# |本周揭秘疯...', '2018-03-07 07:30:16')
('#安信证券实盘晒活动##今日财经# 安信A股机器人组合（2018年3月7日）一、机器人昨日收益率1.00%，中证800指数昨日涨幅为1.24%。二、机器人今日开盘调入：603729龙韵股份、002151北斗星通、000901航天科技、000532华金资本、603039泛微网络。三、机器人今日收盘调出：000032深桑达A、002341新纶科 ...展开全文c', '2018-03-06 19:19:20')
('发布了头条文章：《今日牛股趋势讲解:兆易创新 汇顶科技 养元饮品 泛微网络》 #头条文章# #新浪看点# $中科曙光 sh603019$ $保利地产 sh600048$ |今日牛股趋...', '2018-03-05 21:37:38')
('发布了头条文章：《A股最新走势大揭秘： 东安动力 泛微网络 畅联股份》 $东安动力 sh600178$ +$泛微网络 sh603039$ +$畅联股份 sh603648$ |A股最新走...', '2018-03-04 22:33:18')
('发布了头条文章：《A股最新走势揭秘：保利地产+中国平安+养元饮品+泛微网络》 |A股最新走...', '2018-03-04 22:06:12')
('发布了头条文章：《000565渝三峡Ａ603039泛微网络600995文山电力：A股强势股票解析》 $渝三峡Ａ sz000565$ $泛微网络 sh603039$ $文山电力 sh600995$ #上证快讯# |000565渝三...', '2018-03-04 03:08:58')
('【10:30】分化行情，龙头穿越，跟风调整。板块:工业互联网:东土科技 沈阳机床 用友网络（板块不能追涨，只能低吸）稀土永磁:中科三环 英洛华（特斯拉用永磁电机）...展开全文c', '2018-03-01 21:35:47')
('上周五早盘，$泛微网络 sh603039$ ，今天中阳创推后新高。', '2018-03-01 06:01:06')
('【10:45】热点不明显，个股普涨。海南板块相对略强。今日交易:买了5%仓位的泛微网络。', '2018-02-28 21:44:13')
('超短线收盘前顺序关注：中国国航（南方航空），太阳纸业，建发股份，泰格医药，泛微网络', '2018-02-22 01:48:47')
('发布了头条文章：《300319麦捷科技603039泛微网络300671富满电子：一周暴跌下周又该如何》 |300319麦捷...', '2018-02-11 04:53:32')
('发布了头条文章：《泛微网络603039：劲爆消息提前公布，后市或已成定局》 $泛微网络 sh603039$ #热门股票推荐# #热门股票点评# #A股# #微博股票热议榜# |泛微网络60...', '2018-02-08 00:32:25')
('发布了头条文章：《今日股市最新重磅牛股:美都能源 佳都科技 闻泰科技 泛微网络 》 $美都能源 sh600175$ $佳都科技 sh600728$ $闻泰科技 sh600745$ $泛微网络 sh603039$ #股票# #微博股票热议榜# #上证快讯# #头条文章# #微博头条文章作者# |今日股市最...', '2018-02-07 22:32:18')
('发布了头条文章：《今日股市行情个股解析:中毅达+内蒙一机+中毅达+农发种业》 #头条文章# #上证快讯# $泛微网络 sh603039$ $益丰药房 sh603939$ $浪莎股份 sh600137$ |今日股市行...', '2018-02-07 21:22:47')
