('目前来说，会员布局抄底成功002366台海核电涨7.37%。000413东旭光电+300534陇神戎发+002154报喜鸟 都在盈利，其他都在保本。配资刚好适合操作短线，加油，股市没毛病，抄底。', '2018-07-16 03:02:44')
('年度黑马来袭？鼎胜新材+华夏航空+台海核电+欣天科技，$鼎胜新材 sh603876$ $华夏航空 sz002928$ $台海核电 sz002366$ $欣天科技 sz300615$ #个股推荐与走势分析# #短线牛股# #上证指数 sh000001[股票]# 月落玩财经...', '2018-06-13 03:36:15')
('#东方雨虹 sz002271[股票]# #中航机电 sz002013[股票]# #德邦股#恒逸石化 sz000703[股票]##兴民智通 sz002355[股票]##台海核电 sz002366[股票]##士兰微 sh600460[股票]# 彭曲评股的...', '2018-06-13 01:13:30')
('两市利好消息一览，一股10转10派2.4，股民：良心股，宝宝发财了#恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 彭曲评股的...', '2018-06-12 05:55:30')
('利好【核电工业获政策性支持 机构：核电审批重启已近在咫尺(附股)】值得一提的是，目前已有22家核电上市公司发布了2018年中报预告，其中有17家实现盈利，占比超77%。从公布中报预告的核电上市公司来看，台海核电的业绩仍然位居榜首，预计净利润达5亿元至6亿元，最高涨幅超40%。', '2018-06-11 23:20:32')
('我看空$台海核电 sz002366$国企没有一家不是亏损的。这台海核电也将和中原特钢一样。直接责任人拿到最高的工资，业绩一路亏损。', '2018-06-11 22:43:40')
('【22家核电公司发布中报预告 超七成核电公司预计盈利】除龙头企业中国核电外，从目前来看，已有22家核电上市公司发布了2018年中报预告，其中，有17家实现盈利，占比超77%。从公布中报预告的核电上市公司来看，台海核电的业绩仍然位居榜首，预计净利润达5亿元至6亿元，最高涨幅超40%。', '2018-06-11 20:59:12')
('最“意外”的小散，65元赌气满仓5万股，如今以变成炒股牛散！#恒逸石化 sz000703[股票]# #兴民智通 sz002355[股票]# #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 彭曲评股的...', '2018-06-11 04:44:59')
('核能是当前世界上应用最为广泛的清洁能源之一，核电站的发展符合我国大气污染解决治理的目标方向，随着国内环保压力的增加，成熟的第三代核电技术市场空间在进一步放大。 |掌握核心技...', '2018-06-08 22:56:44')
('发布了头条文章：《高考日A股突发异动：台海核电+湖南盐业+浪潮信息+青岛海尔》 |高考日A股...', '2018-06-08 02:36:40')
('好长时间没说股票，最近的市场确如死鱼一般，想盈利很难，还一不小心就会亏钱，所以多看少动是现在的大原则。给大家推荐一只我自认为还算保险的个股：002366台海核电，理由：超跌、股东基本上都是基金还有社保基金、近期不断发布利好，有大股东增持2亿元兜底。向上看最起码5元左右的获利空间还是有的。 ...展开全文c', '2018-06-07 22:44:02')
('发布了头条文章：《重磅消息：台海核电+盘龙药业+陇神戎发，本周操作策略解读》 $台海核电 sz002366$ +$盘龙药业 sz002864$ +$陇神戎发 sz300534$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-07 08:10:22')
('发布了头条文章：《主力最新阴谋揭露：嘉友国际+台海核电+晨鸣纸业》$嘉友国际 sh603871$台海核电 sz002366$晨鸣纸业 sz000488$ \ue627 A股股票[超话]# |主力最新阴...', '2018-06-07 03:48:22')
('发布了头条文章：《台海核电002366：主力狂妄震仓暴露惊天阴谋,小散们能否摆脱危机》 $台海核电 sz002366$ $贵州茅台 sh600519$ $华谊兄弟 sz300027$ #财经头条# |台海核电00...', '2018-06-07 01:19:25')
('#台海核电 sz002366[股票]# 技术面，中期下跌，短期反弹，目前没能扭转下跌趋势，建议逢反弹减仓，关注15.9附近支撑，缺口19.97附近压力。', '2018-06-07 01:08:58')
('操盘手记05周二关注盘中异动个股603157拉夏贝尔和002413雷科防务，雷科防务为中短线股今日盘面以下跌震荡为主，两极分化比较严重昨天布局002366台海核电成功获利8个点出局，昨日布局成功做T002237恒邦股份再次获利两个点废话不多少回复518，带你建仓牛股，就是有这样的信心再次声明：不收费，不卖 ...展开全文c', '2018-06-04 02:43:57')
('台海核电与核工院合作研制不锈钢管道及管件-兰格钢铁网 网页链接', '2018-06-03 21:18:03')
('新浪财经和新浪娱乐这是要学今日头条的公关手段啊，随便找一个不知名的自媒体，说崔道歉了，然后拼命转发，真不要脸，上周黑台海核电让我忽然想起了当年的21世纪经济报道。@来去之间 @鹅厂坊间八卦 @崔永元', '2018-06-03 12:42:06')
('新浪真不要脸啊，颠倒黑白搞了好几次了，上周还突然发一篇狗屁不通的文章质疑台海核电关联交易，这次又选择性等我忽悠小崔道歉，你们丫咋不分析一下华谊兄弟怎么做的关联交易和商誉增值？呸！@崔永元', '2018-06-03 11:53:41')
('【崔永元：向范冰冰致歉 "4天6000万合同"与她无关】对目前事件的进展，崔永元表示始料未及，“好像被逼上梁山……一开始我只是想跟刘震云、冯小刚讨个清白”。在记者的求证下，崔永元明确指出，“4天6000万片酬合同”涉事明星并非范冰冰，涉案金额也远超目前曝光金额的十倍以上。|崔永元：向...', '2018-06-03 12:36:26')
('发布了头条文章：《下周最新操作策略：紫光股份+华泰证券+台海核电》$紫光股份 sz000938$华泰证券 sh601688$台海核电 sz002366$ \ue627 股票A股[超话]# |下周最新操...', '2018-06-03 07:32:11')
('台海核电6月1日晚回复深交所关注函称，控股股东增持事项未违反规定。控股股东发布增持公告并立即实施增持，是在公司被媒体捕风捉影的不正当质疑后，公司股价受到非理性情绪冲击影响而大幅下跌，导致公司正常生产经营受到严重影响，控股股东及广大中小投资者利益受到严重损害的情况下，为维护市场稳定而 ...展开全文c', '2018-06-02 18:32:04')
('操盘手记04周一关注盘中异动个股002237恒邦股份和002366台海核电今日盘面以下跌震荡为主，封涨停炸板较多，昨天布局603031安德利成功获利4个点出局，布局000952广济药业成功获利12个点出局，昨日布局002237恒邦股份今日上午回调增持4成仓位，下午成功做T，挑战跳空缺口，废话不多少回复518，带你建仓 ...展开全文c', '2018-06-01 03:18:56')
('午间公告：青岛双星：控股子公司收到2000万元土地收储补偿款；台海核电：子公司收到3003万元政府补助款；斯太尔：全资子公司部分银行账户被冻结。', '2018-06-01 01:50:50')
('台海核电全资子公司收到政府补贴3003万元-股票频道-金融界 |台海核电全...', '2018-06-01 01:36:29')
('台海核电子公司收到3003万元政府补助款台海核电6月1日午间公告称，经公司相关部门确认，公司一级全资子公司烟台台海玛努尔核电设备有限公司于5月31日收到政府补助款3003万元。台海核电公告显示，截至2018年5月31日，烟台台海核电及公司二级控股子公司德阳台海核能装备有限公司、二级控股子公司德 ...展开全文c', '2018-06-01 01:22:20')
('我看空$台海核电 sz002366$吃社保的公司。所有业绩都是假的，所有利好都是空的，靠国家救济的钱撑起来的业绩。', '2018-05-31 22:39:04')
('台海核电与核工院合作研制不锈钢管道及管件-股票频道-金融界 |台海核电与...', '2018-05-31 22:24:54')
('发布了头条文章：《普利特 章源钨业 伟星新材 台海核电：妖气冲天，志在远方？！》 $普利特 sz002324$ $章源钨业 sz002378$ $伟星新材 sz002372$ $台海核电 sz002366$ $上证指数 sh000001$ |普利特 章...', '2018-05-31 10:45:53')
('【暴跌不止的台海核电，喊冤你信吗？】程郡：2015年和2016年，台海核电的归母净利润为只有4.2亿，相比于13.9亿的对赌利润，还相差将近10亿利润。而2017年，公司的归母净利润恰好就是10.1亿元。也许也是一个神奇的巧合吧。我能感受到，对于台海集团和王雪欣来说，整个2017年一定非常紧张，也非常艰难。 ...展开全文c', '2018-05-31 10:04:29')
('#财经头条文章##股票#台海核电被疑造假，1季报期末现金余额数据出错 证券波线图...', '2018-05-30 22:27:23')
('为什么说核潜艇呢，中国唯一建造核潜艇的工厂是渤海重工，渤海重工同时作为唯一海洋核动力平台，无论是核潜艇和核动力航母，核动力平台都为渤海重工提供，而台海核电和渤海重工关系非常密切，有太多合作和剪不断的联系！（忽悠完毕）', '2018-05-30 21:47:58')
('台海核电与中广核研究院签署合作协议 控股股东增持59.52万股_股票频道_证券之星 |台海核电与...', '2018-05-30 21:39:55')
('刀口舔血 跌停附近抄底台海核电，今晚或者明晚公告增持，两天内获利走人！你大爷的！', '2018-05-30 19:12:35')
('台海核电 开始增持了！明天不担心了', '2018-05-30 11:09:45')
('赣锋锂业，湖南盐业，比亚迪，台海核电$赣锋锂业 sz002460$$湖南盐业 sh600929$$比亚迪 sz002594$$台海核电 sz002366$ 持有以上票的老铁被套，有不懂的直接评论，关注私聊都可。#微博股票#', '2018-05-30 03:43:53')
('发布了头条文章：《台海核电002366：主力暗中酝酿惊天阴谋，散户提高警惕》\ue627 财经头条文章 #台海核电 sz002366[股票]# |台海核电00...', '2018-05-30 03:31:32')
('发布了头条文章：《贸易战争热点布局：深圳惠程 长春高新 中兵红箭 台海核电》 \ue627 微博股票 $深圳惠程 sz002168$ $长春高新 sz000661$ $中兵红箭 sz000519$ $台海核电 sz002366$ |贸易战争热...', '2018-05-30 02:35:23')
('#台海核电 sz002366[股票]# 技术面来看，近期下跌趋势中，目前没有止跌，表现依然较差，建议逢冲高减仓为主', '2018-05-30 01:29:29')
('近期又出现一批闪崩股，如台海核电、首航节能等，有解禁因素，有爆仓强平等因素，但最关键的是公募基金、社保基金也均有持股，而这些个股闪崩前实际上已经有过一段时间走弱，并不是说没有任何前兆，主要是很过股民认为大资金在里面被套，从而心存侥幸，值得重视。', '2018-05-29 19:09:16')
('\ue627 财经头条文章 #发布了头条文章：《个股跌停潮有玄机，6月两大因素是主导》：本周个股跌停潮频频持续，有大热品种，有次新股，有弱势股，还是有闪崩股，仔细研究可以发现，6月将迎来的两大重要因素，如MSCI、解禁高峰是导致个股异动的关键因素，今儿就此来逐一分析。 |个股跌停...', '2018-05-30 00:57:35')
('【台海核电：股价被严重低估 控股股东拟增持逾2亿元】台海核电30日早间公告，公司控股股东烟台市台海集团有限公司拟在十二个月内择机增持公司股票。公告称，大股东认为目前股价严重偏离公司基本面，被严重低估，承诺本次增持规模至少为人民币2亿元，期限不超过一年，合计增持股份不超过公司总股本的2% ...展开全文c', '2018-05-29 23:04:51')
('#大盘直击#【开盘：股指大幅低开沪指跌1.26% 板块个股表现低迷】截止今日开盘，沪指报3081.14点，跌1.26%；创指报1744.24点，跌1.66%。台海核电今日早间公告称公司大股东拟增持逾2亿元，再跌8.18%。药明康德止步16个涨停，开盘涨3.99%。|开盘：股指...', '2018-05-29 22:13:29')
('老规矩持有这些票的有什么问题，评论区留言或私信我，我会一一回复大家$永安行 sh603776$ $莱茵体育 sz000558$$中国重工 sh601989$ $台海核电 sz002366$', '2018-05-29 22:10:58')
('台海核电：控股股东拟增持不少于2亿元-股票频道-金融界 |台海核电：...', '2018-05-29 22:05:48')
('开盘市场急速释放利空，现在杀跌 持有这几只票的朋友，还不知道如何操作，可留言或私信我，我来帮你看看。$台海核电 sz002366$ $昊志机电 sz300503$$江苏租赁 sh600901$ $中天科技 sh600522$', '2018-05-29 21:59:05')
('【上市公司敏感舆情指数榜】2018年5月30日，#长安汽车#三名副总裁同时离任，排名第一；#美丽生态#涉嫌信披违法违规，公司及实控人遭证监会立案调查，排名第二。#台海核电#澄清质疑仍跌停，龙虎榜上现4家机构急卖出，排名第三。', '2018-05-29 21:27:29')
('【上市公司敏感舆情指数榜】2018年5月30日，#长安汽车#三名副总裁同时离任，排名第一；#美丽生态#涉嫌信披违法违规，公司及实控人遭证监会立案调查，排名第二。#台海核电#澄清质疑仍跌停，龙虎榜上现4家机构急卖出，排名第三。更多排名请点击大图查阅。扫描二维码前往财新“数据+”，查阅更多你感兴趣 ...展开全文c', '2018-05-29 21:38:44')
('【遭立案调查】美丽生态公司及实控人；【股东增持】华丽家族、九鼎投资、大禹节水、山鼎设计；【股东拟增持】申通快递、台海核电、*ST正源。【股东减持】万孚生物；【股东拟减持】和科达、GQY视讯、新易盛、美力科技、寿仙谷、浙江仙通、万通智控。【今日复牌】现代投资、华谊嘉信、邦宝益智。【 ...展开全文c', '2018-05-29 21:16:19')
('#上市公司那点事儿# 【台海核电：股价被严重低估 控股股东拟增持逾2亿元】台海核电30日早间公告，公司控股股东烟台市台海集团有限公司拟在十二个月内择机增持公司股票。公告称，大股东认为目前股价严重偏离公司基本面，被严重低估，承诺本次增持规模至少为人民币2亿元，期限不超过一年，合计增持股份不 ...展开全文c', '2018-05-29 21:09:51')
('今天闪崩的股票一大堆，凯瑞德（002072）、台海核电（002366）、华昌达（300278）等，这类跌停的股票属于典型具有闪崩特征的股票，我在公众号文章里专门提到闪崩股票的走势特的特点，价值好几个亿哦！|读懂K线密...', '2018-05-29 21:01:44')
('#e公司快讯# 【早间公告：台海核电控股股东抛增持计划；金盾股份希望引入外部投资机来化解风险】e公司讯，台海核电控股股东台海集团拟一年内增持不超2%股份，增持规模至少2亿元，若股价仍未反映公司合理价值，不排除进一步增持；金盾股份公告，周建灿去世后，周纯等遗产继承人预计无法妥善处理债务问题 ...展开全文c', '2018-05-29 20:31:51')
('网页链接 证券时报记者唐强5月28日，广东骏亚[股评]和台海核电[股评]均演绎了“非一般”的走势，前者从几乎跌停大逆转一度触及涨停...|广东骏亚放...', '2018-05-29 19:30:01')
('周一午后开盘，市场又出现久违的闪崩的现象，台海核电和首航节能2只核电概念股瞬间被打到跌停，并有巨量封单封死。 |又见闪崩，...', '2018-05-29 16:46:59')
('盘后龙虎榜显示，今日机构净买入顺鑫农业、一品红、普洛药业、科信技术、海川智能、大东海A、汉嘉设计和*ST天马等8股，太龙药业、台海核电机构净卖出金额超千万元。', '2018-05-29 13:12:05')
('【机构买入这8股，卖出台海核电6843万元】盘后数据显示，5月29日龙虎榜中，共16只个股出现了机构的身影，有8只股票呈现机构净买入，8只股票呈现机构净卖出。当天机构净买入前三的股票分别是顺鑫农业、一品红、普洛药业。 |机构买入这...', '2018-05-29 09:05:36')
('今日四熊：太空制造、美尔雅、深圳惠程、台海核电，持有这四只票的朋友有什么疑惑可以问我。$太空智造 sz300344$ $美尔雅 sh600107$$深圳惠程 sz002168$ $台海核电 sz002366$', '2018-05-29 07:35:29')
('$台海核电 sz002366$ ，核弹爆炸。', '2018-05-29 07:33:05')
('【台海核电澄清质疑仍跌停 龙虎榜上现4家机构急卖出】5月28日新浪财经发布《台海核电涉嫌通过12.56亿元关联交易虚增业绩》，质疑台海核电通过关联交易虚增利润，针对相关质疑，台海核电于5月29日早间紧急发布澄清公告称，该报道在不了解相关法律法规、会计准则及公司实际情况的前提下，对其进行恶意指 ...展开全文c', '2018-05-29 05:28:48')
('【被质疑伪造关联交易虚增业绩，这家公司连吃两跌停，3家机构6000万资金出逃，公司紧急澄清！】5月28日午间，有网络媒体报道，就在台海核电业绩承诺的最后一年，上市公司和台海集团之间一笔12.56亿元的关联交易存在诸多疑点。受此消息影响，当日午盘后，台海核电呈现出跳水式坠落，成交量迅速放大，其 ...展开全文c', '2018-05-29 05:26:50')
('【29日收评】量能稍显不足 后市会有反复周二再度延续阴跌格局，五连阴让场内做多人气基本消失殆净，这一次下跌和以往有所不同，基本是几大指数普跌，市场可以说是节节败退，阴跌比急跌更可怕。资金情绪还在恐慌释放中，闪崩股如002366台海核电出现连续跌停趋势，这类个股有个特征，就是本来趋势就很弱 ...展开全文c', '2018-05-29 05:24:40')
('台海核电澄清:12亿为含税关联交易 诉讼未达披露标准 |台海核电澄...', '2018-05-29 05:11:35')
('股市收盘简评：高位股风险必须规避 适当关注填权股周二再度延续阴跌格局，五连阴让场内做多人气基本消失殆净，这一次下跌和以往有所不同，基本是几大指数普跌，市场可以说是节节败退，阴跌比急跌更可怕。资金情绪还在恐慌释放中，闪崩股如002366台海核电出现连续跌停趋势，这类个股有个特征， ...展开全文c', '2018-05-29 04:12:46')
('年度黑马来袭：步长制药+台海核电+海南瑞泽+美的集团$步长制药 sh603858$ $台海核电 sz002366$ $海南瑞泽 sz002596$ $美的集团 sz000333$ \ue627 股票分析 #短线牛股# #热门股票推荐# 月落玩财经...', '2018-05-29 03:55:45')
('【被质疑伪造关联交易虚增业绩，这家公司连吃两跌停，3家机构6000万资金出逃，公司紧急澄清！】5月28日早盘，台海核电小幅低开，原本股价整体表现平稳。然而，当日午间一则“重磅”负面报道流出，让其中小投资者吃了一记“闷棍”，台海核电股价遭遇连续跌停。据悉，该报道直指台海核电涉嫌伪造关联交易 ...展开全文c', '2018-05-29 02:52:03')
('【被质疑伪造关联交易虚增业绩，台海核电连吃两跌停，3家机构6000万资金出逃】5月28日午间，台海核电一则“重磅”负面报道流出。当日午盘后台海核电呈现出跳水式坠落，其股价在数分钟内便被砸在跌停板之上。数据显示，上述负面报道吓退了机构投资者，3家机构席位快速斩仓出货6000余万元。针对质疑，台 ...展开全文c', '2018-05-29 01:23:18')
('台海核电午后闪崩 公司释关联交易之惑', '2018-05-28 22:24:15')
('【台海核电午后闪崩 公司释关联交易之惑】股价从微跌到跌停，台海核电(002366.SZ)仅经历了不到十分钟时间。台海核电股价闪崩的背后，或许与当日午间出现的一则质疑其关联交易的文章有关。有媒体报道称，台海核电2017年营业收入大增14.6亿元的背后，公司与大股东烟台市台海集团有限公司之间一笔12.56亿 ...展开全文c', '2018-05-28 22:22:03')
('持有这些票拿不准的可以评论留言。$台海核电 sz002366$$雏鹰农牧 sz002477$$珠江啤酒 sz002461$$鸿博股份 sz002229$', '2018-05-28 21:59:12')
('昨天一犹豫，再加上接了个电话，吃了两个跌停#台海核电#', '2018-05-28 21:57:18')
('今天市场依旧弱势，持有这几只票的朋友们有什么拿捏不准的问题留言或私信我。$台海核电 sz002366$ $银河生物 sz000806$$嘉泽新能 sh601619$ $浙江医药 sh600216$#微博股票# #个股解析#', '2018-05-28 21:53:46')
('【早间公告：台海核电澄清媒体报道不实】 木林森：与井冈山经济开发区签订《合作框架协议》，启动第四期半导体生产项目，主要从事半导体封装测试、生产、销售；台海核电：《台海核电现金收购大股东资产合理性存疑》报道不实，已对公司正常生产经营造成极其恶劣的影响，股价暴跌也造成广大中小股东的利 ...展开全文c', '2018-05-28 21:50:20')
('本周有非农，一般非农周大盘都是弱势周，弱势板块会更弱。台海核电本来弱势，造谣结果导致盘面更弱。紧抓基金主买板块，回避主卖板块。如果本周再杀一波，我看有些技术派要跳楼了。', '2018-05-28 21:39:23')
('#上市公司那点事儿# 【台海核电澄清:12亿为含税关联交易 诉讼未达披露标准（附全文）】台海核电关联交易等问题引起市场质疑，公司和台海集团之间一笔12.56亿元的关联交易存在诸多疑点。今日台海核电发布澄清公告表示，公司该类项目按照企业会计准则中的建造合同准则核算，完工进度以累计实际发生的合同 ...展开全文c', '2018-05-28 21:39:07')
('【上市公司敏感舆情指数榜】2018年5月29日，深交所作出#*ST烯碳#股票终止上市决定，排名第一；#台海核电#澄清媒体质疑，排名第二。#首航节能#回应股价跌停：不排除大户爆仓，排名第三。', '2018-05-28 21:28:22')
('【上市公司敏感舆情指数榜】2018年5月29日，深交所作出#*ST烯碳#股票终止上市决定，排名第一；#台海核电#澄清媒体质疑，排名第二。#首航节能#回应股价跌停：不排除大户爆仓，排名第三。更多排名请点击大图查阅。扫描二维码前往财新“数据+”，查阅更多你感兴趣企业的敏感舆情指数 。', '2018-05-28 21:38:38')
('【被疑虚增业绩 台海核电股价闪崩】昨天市场突然出现一些质疑，认为上市公司台海核电和大股东台海集团之间的一笔12.56亿元的关联交易，存在诸多疑点。但这笔关联交易既没有为台海核电带来现金收入，也没有带来应收账款。台海核电涉嫌伪造12.56亿元关联交易虚增业绩。|被疑虚增业...', '2018-05-28 21:29:18')
('首航节能和台海核电出现了闪崩，大家注意一定要避开大股东爆仓风险股，没有业绩和资金面支撑的冷门股是千万不要去炒的！ 网页链接', '2018-05-28 21:21:24')
('【台海核电涉嫌伪造12.56亿元关联交易虚增业绩】台海核电2014年借壳丹甫股份时，台海核电的大股东曾做出三年内实现净利润13.89亿元的业绩承诺。2017年，发现该公司和台海集团之间一笔12.56亿元的关联交易存在诸多疑点。同时，台海核电还因现金收购大股东资产合理性存疑等诸多问题而备受关注。', '2018-05-28 21:13:38')
('【早间公告：台海核电澄清媒体质疑】台海核电早间公告，公司关注到国内某媒体报道称“台海核电涉嫌伪造12.56亿元关联交易虚增业绩”、“1.5亿诉讼未公告，涉信披违法”。台海核电经审慎核查后认为：上述报道不实。该报道在不了解相关法律法规、会计准则及公司实际情况的前提下，对公司进行恶意指责、诱 ...展开全文c', '2018-05-28 20:57:50')
('【一分钟内这两家同行业公司相继闪崩，到底怎么回事？】5月28日，A股又出现了神奇一幕——两家同行上市公司股价在1分钟内相继闪崩。这对位难兄难弟分别是首航节能与台海核电。首航节能13:07闪崩，1分钟后，台海核电也闪崩跌停。|一分钟内这...', '2018-05-28 20:17:53')
('实时播报：【台海核电：《台海核电现金收购大股东资产合理性存疑》报道不实，已对公司正常生产经营造成极其恶劣的影响，股价暴跌也造成广大中小股东的利益严重受损】注：台海核电昨日午后闪崩跌停。', '2018-05-28 19:53:45')
('赌场各种累，今天有好多股票意念跌停了，首航节能董秘牛逼，比特么常山药业套路还深；丝路视觉减持、正海生物减持、台海核电暴雷……涨一点股东就要跑路，突然闪崩更是可怕，涨了要停牌自查，跌多了要停牌公布重要事项，各种雷，各种套路，为了割韭菜无所不用其极，能在大A股活下来不止需要体力、智力 ...展开全文c', '2018-05-28 19:37:30')
('#上市公司那点事儿# 【台海核电股价闪崩 负责人回应：关联交易不存在伪造】5月28日，台海核电午后开盘后触及跌停，创下近一年来新低。其股价闪崩的背后，或许与媒体质疑其关联交易的文章有关。台海核电相关负责人对此回应称，自己也不清楚股价闪崩的具体原因，但对于质疑文章提到的关联交易问题，其表 ...展开全文c', '2018-05-28 19:34:34')
('个股闪崩再现，比如首航节能、台海核电。有媒体扒出首航节能现金流下滑，去杠杆不好借钱，大跌当晚宣布停牌，控股股东、大股东16643万股股票质押触及平仓线，有平仓风险。台海核电跌停，机构抛售，被疑伪造关联交易虚增净利。金龙机电、金一文化大股东股票质押要爆仓，别碰。', '2018-05-28 19:22:43')
('网页链接 相关消息：台海核电1.5亿诉讼未公告涉嫌信披违法台海核电现金收购大股东资产合理性存疑台海核电涉嫌伪造12.56亿元关联交...|快讯：首航...', '2018-05-28 14:46:02')
('台海核电、首航节能闪崩，市场局部内部风险不得不防！', '2018-05-28 12:00:21')
('$台海核电 sz002366$ ，台海核电，白马股，白马股今年的逻辑被破掉，加上容易被杀流动性，又被5日线压着单边向下，光从形态上看就很难看，遭遇机构出货清盘，就算跌了很久，也很难反弹', '2018-05-28 11:49:21')
('发布了头条文章：《得利斯 同德化工 台海核电 伟星新材：会反转还是探底？》 $得利斯 sz002330$ $同德化工 sz002360$ $台海核电 sz002366$ $伟星新材 sz002372$ $上证指数 sh000001$ |得利斯 同...', '2018-05-28 10:47:17')
('将只能做多的嵌套场外期权的收益凭证纳入监管，引发今天个股跳水，并且又有了闪崩个股，如首航节能、台海核电出现闪崩，更有首航节能等几家公司因大股东质押股份已经低于平仓线而停牌，A股又一次证明了政策多变善变引起的风险才是最大的风险。', '2018-05-28 09:36:08')
('台海核电：除了靠技术，小散是无法避开的。之前就开始暴跌，肯定有人提前晓得雷，不计代价出逃。就让这种雷导致现在中小创真心不敢玩。太可怕。', '2018-05-28 08:32:38')
('2280多只下跌，但幽灵护城河公司大涨一大批跌停，闪崩潮来了，炒垃圾的代价$光正集团 sz002524$ $中科创达 sz300496$ $台海核电 sz002366$ $合肥城建 sz002208$', '2018-05-28 07:49:19')
('网页链接 文|柳川2017年4月25日和6月19日二重集团（德阳）重型装备股份有限公司（下称二重公司）先后两次对台海核电[股评]侵...|台海核电1....', '2018-05-28 07:27:47')
('#台海核电# 跌哭了，质疑文章一出果然跌停，然而上市公司并没有公告作为回应吗？', '2018-05-28 07:10:28')
('一路往下的三聚环保，发不出去债暴跌的东方园林。今天又突爆利空的台海核电。欠债几百亿的盾安集团。对比疯狂的摇号购房。如果有一天三聚环保突爆债务危机，那整个实体经济应该是岌岌可危了吧。三聚的业绩如此靓丽，股价却这么不忍直视，ppp项目会不会把三聚拖死。流动性匮乏已经不是什么稀罕的事，有 ...展开全文c', '2018-05-28 06:59:43')
('5月28日午后，$台海核电 sz002366$ 闪崩跌停报19.97元，成交额3.31亿元较昨日未明显放大。盘后数据显示，前五卖出席位合计卖出8267.77万元，其中三个机构席位合计卖出5158.66万元；前五买入席位9098.48万元，买一席位海通证券上海建国西路买入2855.05万元，一个机构席位买入2367.11万元。', '2018-05-28 05:40:20')
('收盘了持有这几支票的朋友有什么不懂得留下你们的代码或留言私信我，在线一一回复大家$新晨科技 sz300542$ $浙江医药 sh600216$$北信源 sz300352$ $台海核电 sz002366$#今日看盘# #微博看市#', '2018-05-28 04:11:21')
('$首航节能 sz002665$ 、$台海核电 sz002366$ 午后闪崩跌停。', '2018-05-28 03:56:50')
('【首航节能回应股价跌停：不排除大户爆仓】首航节能(002665)董秘侯建峰表示，对于股价午后跌停，首航节能方面不知晓是何原因，公司方面也在追查原因，公司业务层面没有出现问题，未来还会有一些利好将要释放。他同时表示，不排除有个人大户投资者爆仓、倒仓的情况。', '2018-05-28 01:52:16')
('$首航节能 sz002665$ 、$台海核电 sz002366$ 午后闪崩跌停。', '2018-05-28 03:32:27')
('次新股尾盘出现跳水，次新股是市场的风向标，所以，尾盘个股出现回落，市场还是依旧弱势，弱势格局下，谨慎就是最好的操作！市场早盘下杀后超跌反弹，午后继续回落，今天明显已经杀出恐慌盘，但是距离底部还有一段距离。$台海核电 sz002366$ $万盛股份 sh603010$$亚普股份 sh603013$ ...展开全文c', '2018-05-28 03:26:08')
('$包钢股份 sh600010$ 跌停给钢铁、有色敲响了警钟，我从春节以后一直强调注意回避去年大涨过的煤炭、银行、钢铁、有色及$贵州茅台 sh600519$ 为代表的白马股板块，目前跌停板许多个股和基本面无关，$台海核电 sz002366$ 市盈率才23倍，股价创新低，$天神娱乐 sz002354$ 市盈率14倍，股价也在新低，今天 ...展开全文c', '2018-05-28 02:49:56')
('午后台海核电等股票闪崩，再次说明市场大多数股票下方承接盘少的可怜。大资金扎推白马股，蓝筹股，考虑的是流动性，缺乏基本面支持，高估值的股票，一旦场内筹码松动，是没有资金救的', '2018-05-28 02:38:53')
('大A的绝唱，昨日美军舰闯西沙，今日资本市场军工遭屠杀，主流的沈飞/机电/船舶大跌，非主流的台海核电跌停', '2018-05-28 02:14:56')
('海南板块反弹拉升，钧达股份、海汽集团、海南瑞泽、大东海A、海峡股份、海航创新、罗牛山 等个股均有拉升表现。午后闪崩的首航节能 和台海核电 跌停后对题材股做多情绪有所打击', '2018-05-28 02:03:51')
('#基金那点事儿# 【台海核电“闪崩” 富国基金旗下两产品日浮亏6000万】据悉，2017年12月14日，信永中和曾因对登云股份2013年年报出具的审计报告存在虚假记载，被证监会处罚450万元。查阅2018年一季报，数据显示，富国基金旗下富国改革动力混合（001349）与富国天惠成长混合（LOF）共计持有2973.0 ...展开全文c', '2018-05-28 02:02:49')
('【台海核电涉嫌伪造12.56亿元关联交易虚增业绩】台海核电2014年借壳丹甫股份时，台海核电大股东烟台市台海集团有限公司曾做出2015~2017年三年内实现净利润13.89亿元的业绩承诺。新浪财经发现就在台海核电业绩承诺的最后一年，公司和台海集团之间一笔12.56亿元的关联交易存在诸多疑点。同时，台海核 ...展开全文c', '2018-05-28 01:50:03')
('5月28日午后，首航节能(002665)、台海核电(002366)直线下挫，已跌停', '2018-05-28 01:38:05')
('$首航节能 sz002665$ 节能午后闪崩跌停，封单超24万手，$台海核电 sz002366$ 亦闪崩跌停。', '2018-05-28 01:33:46')
('实时播报：首航节能午后闪崩跌停，封单超24万手，台海核电亦闪崩跌停。', '2018-05-28 01:31:20')
