('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！方正证券(sh601901) 亚夏汽车(sz002607) 金信诺(sz300252) 旗滨集团(sh601636) 江苏国信(sz002608) 捷顺科技(sz002609)', '2018-07-24 14:06:02')
('17岁股市奇才曝：股市“量比选股”，字字珠玑,背熟6句可实现千万$方大炭素 sh600516$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-05 08:22:11')
('老股民打死不传的短线选股技巧大曝光,从未失手,准确率98％$华通医药 sz002758$ $大禹节水 sz300021$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ 汪振峯1983...', '2018-07-05 07:29:51')
('老股民打死不传的短线选股技巧大曝光,从未失手,准确率98％$方大炭素 sh600516$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-05 07:29:29')
('一旦股票出现“长阴倒拔杨柳”形态，十买九涨，值得散户深度学习$远望谷 sz002161$ $亚夏汽车 sz002607$ $工业富联 sh601138$ $中兴通讯 sz000063$ 汪振峯1983...', '2018-07-05 05:56:41')
('一旦股票出现“长阴倒拔杨柳”形态，十买九涨，值得散户深度学习$深深宝Ａ sz000019$ $桂发祥 sz002820$ $亚夏汽车 sz002607$ $万科Ａ sz000002$ 汪振峯1983...', '2018-07-05 05:56:36')
('浙江女博士直言：学会区别洗盘和出货，庄家夜夜难眠，只分享一次$中国软件 sh600536$ $风华高科 sz000636$ $亚夏汽车 sz002607$ $北方华创 sz002371$ 李洐沄1985...', '2018-07-05 05:18:58')
('发布了头条文章：《18年惊世黑马预警启动？002607亚夏汽车+600569安阳钢铁》 $亚夏汽车 sz002607$ $安阳钢铁 sh600569$ #股票分析# #个股推荐与走势分析# #短线牛股# |18年惊世黑...', '2018-07-05 04:44:51')
('强势个股，赫美集团四板，但这种超跌反弹板，若没有在之前介入现在不要接力了！邦讯技术昨天涨停，今天被摁死！本来想来个天地板，无奈时机不宜吖，总有人喜欢抄跌停板，以为每个都有天地板！今天邦讯就有不少人抄。明天会死给你看的！看看近期牛股，亚夏汽车，超频三，见顶后毫无招架之力！大家就 ...展开全文c', '2018-07-05 03:59:29')
('《从欢乐海岸的两次折戟看龙头首阴的失效》 欢乐海岸这个大咖游资，不得不说是市场的扛把子，眼光犀利，敢打敢上敢锁，而且是高位锁。成功的案例，比如亚夏汽车介入后，2个一字板起，超频三介入后，也是2个一字板起。然而，英雄难以常年英雄，今年在次新龙头上两次折戟，一次是宏川智慧（亏损1300万， ...展开全文c', '2018-07-05 03:16:04')
('早上川金诺亚夏汽车核按钮跑了，一碗小面还是吃得人妥妥滴，今儿快意电梯伊戈尔两个换手硬板，又把人自信心打得满满滴……在这样狗屎 一样的行情下，（ 说，关我什么事）只能够不断地加强学习加强学习， ...展开全文c', '2018-07-05 03:10:34')
('“内盘外盘”是A股唯一赚钱黄金指标,新手牢记,可实现百亿梦想$远望谷 sz002161$ $亚夏汽车 sz002607$ $工业富联 sh601138$ $中兴通讯 sz000063$ 汪振峯1983...', '2018-07-05 03:02:48')
('老股民打死不传的短线选股技巧大曝光,从未失手,准确率98％$深深宝Ａ sz000019$ $桂发祥 sz002820$ $亚夏汽车 sz002607$ $万科Ａ sz000002$ 汪振峯1983...', '2018-07-05 02:58:47')
('\ue627 今日看盘 \ue627 新浪财经 午后横盘震中28分叉加大，没有热点出来，按这个走势到收盘也没戏了。欣天科技、亚夏汽车、丽鹏股份、超频三，前段时间的牛股都跌停了', '2018-07-05 02:29:50')
('国产芯片第一黑马诞生，底部爆发被严重低估，估将斩获n个涨停板$宁德时代 sz300750$ $常山药业 sz300255$ $京东方Ａ sz000725$ $亚夏汽车 sz002607$ 李洐沄1985...', '2018-07-05 01:50:57')
('股市永不坑人黄金指标：“十字星”信号，值得收藏$中国软件 sh600536$ $风华高科 sz000636$ $亚夏汽车 sz002607$ $北方华创 sz002371$ 李洐沄1985...', '2018-07-05 01:45:59')
('A股唯一“不骗人”的MACD顺口溜,熟读3句不再被洗出局$远望谷 sz002161$ $亚夏汽车 sz002607$ $工业富联 sh601138$ $中兴通讯 sz000063$ 汪振峯1983...', '2018-07-05 00:32:08')
('A股唯一“不骗人”的MACD顺口溜,熟读3句不再被洗出局$深深宝Ａ sz000019$ $可立克 sz002782$ $亚夏汽车 sz002607$ $万科Ａ sz000002$ 汪振峯1983...', '2018-07-05 00:31:15')
('午间说两句：今天的砸其实也想到了，昨天晚间复盘也说了，大家应该有心理准备，目前来看教父早上买了环能科技，二选一买了个弱的，MMP，总是这样。下午我补一点宏川智慧，买一点亚夏汽车，选择装死了。下周开始出去休假，最近时间太累了，股票就放着不动了，让股票随风而去，我欲乘风归去，又恐琼楼 ...展开全文c', '2018-07-04 23:54:08')
('股票一旦出现“线上阴线”试盘形态，定是大牛股，千万别急着卖出$中国软件 sh600536$ $风华高科 sz000636$ $亚夏汽车 sz002607$ $北方华创 sz002371$ 李洐沄1985...', '2018-07-04 23:38:07')
('资金在模仿超频三，想搞一个邦讯技术的地天板，但也有可能搞成亚夏汽车。邦讯技术的介入点，我认为应该在大长腿后第二天的分歧转一致。今天只能搞跌停板，途中和打板，我觉得没有参与意义，风险收益不成比例。 |塔城地区·...', '2018-07-04 23:05:23')
('发布了头条文章：《本周上演主力阴谋论：柳钢股份 邦讯技术 光环新网 亚夏汽车》$柳钢股份 sh601003$ $邦讯技术 sz300312$ $光环新网 sz300383$ $亚夏汽车 sz002607$ #上证快讯# |本周上演主...', '2018-07-04 21:52:30')
('北京女股神终把“量价关系”讲明白了,牢记8句实现千万梦想$美的集团 sz000333$ $阿石创 sz300706$ $中国平安 sh601318$ $五粮液 sz000858$ $亚夏汽车 sz002607$ 论A股堂的...', '2018-07-04 21:39:54')
('亚夏汽车被盘面直接带下来了，很是无奈～不过好在今天没有亏损。其实股票连续6.7个涨停板，并且没有出现特停，就说明股市出现了一些不可告人的事情了。能轻仓躲避是最好的。砸权重，砸白马股，不是正常人能办到的。', '2018-07-04 21:30:17')
('资深老股民手把手教你卖出绝招，看懂分分钟找到最高点，收好了$亚夏汽车 sz002607$ $恒瑞医药 sh600276$ $格力电器 sz000651$ $五粮液 sz000858$ 李洐沄1985...', '2018-07-04 21:26:33')
('A股史上唯一用上瘾的MACD金叉战法，十买九涨，值得散户深度$宁德时代 sz300750$ $常山药业 sz300255$ $京东方Ａ sz000725$ $亚夏汽车 sz002607$ 李洐沄1985...', '2018-07-04 21:17:30')
('#今日看盘# 截止7月4日收盘总仓7.8成：长线5.3成：国电南瑞（成本15.91 /3.5成）、新华医疗（成本15.04 /1成）、159949（成本0.665/0.8成）中线2成：葛洲坝（成本8.224/ 1.5成）、京东方A（成本4.046/0.5成）短线0.5成：新光药业（成本25.008/0.5成）记录：昨天亚夏汽车其实表现很好，不过尾盘回落 ...展开全文c', '2018-07-04 20:13:43')
('低吸短线标的：300139晓程科技 002607亚夏汽车阿石创继续走牛，今天累计收获20%+阿石创能走牛得意去他是昨天芯片启动的情绪票，带动芯片上攻的发动机，所以今天给出一个涨停板的溢价不为过。昨日金奥博昨日提示盘中跌破33.4元就止损，今天跌破了就可以先出来。昨日彩讯股份跌破20日线可以先出来 ...展开全文c', '2018-07-04 10:29:52')
('29岁女博士直言：所有股票尾盘拉升 都是庄家游资在做短线差价$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-04 08:50:03')
('北京女教授坦白：新股最佳申购时间点，打新股23中20，值得珍藏$绿色动力 sh601330$ $会畅通讯 sz300578$ $亚夏汽车 sz002607$ 汪振峯1983...', '2018-07-04 08:17:40')
('炒股只看20MA均线，越简单的方法越容易操作越容易选出黑马股$引力传媒 sh603598$ $云南城投 sh600239$ $亚夏汽车 sz002607$ 汪振峯1983...', '2018-07-04 08:10:57')
('35岁上海女博士的自白：7年坚持只做一种股票，股市就是提款机$湖南盐业 sh600929$ $京泉华 sz002885$ $亚夏汽车 sz002607$ 汪振峯1983...', '2018-07-04 07:58:29')
('52岁杭州女股民公开庄家洗盘内幕，颠覆股民三观，赢得18次掌声$深深宝Ａ sz000019$ $亚夏汽车 sz002607$ $路畅科技 sz002813$ 汪振峯1983...', '2018-07-04 07:54:32')
('清华老教授自创MACD技巧：经典实用，掌握收获涨停板！$深深宝Ａ sz000019$ $亚夏汽车 sz002607$ $路畅科技 sz002813$ 汪振峯1983...', '2018-07-04 07:44:00')
('庄家最害怕的盘中擒牛股技巧，出手全是大牛股，堪称经典价值连城$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-04 07:37:43')
('尾盘买入选股”，记住一根均线"CCI"，学会出手就是涨停$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-04 07:25:05')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-04 07:18:01')
('万一股票出现“钓鱼线”形态，毫不犹豫清仓，否则深度套牢$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-04 07:15:26')
('上海老股神：A股28年唯一盈利指标——CCI，字字抖金，速度珍藏$科大讯飞 sz002230$ $方大炭素 sh600516$ $亚夏汽车 sz002607$ $红宇新材 sz300345$ 枝gigitota...', '2018-07-04 07:11:01')
('股市高手未必知晓的高位出逃绝技，亏损者往往就输在了这一步$会畅通讯 sz300578$ $亚夏汽车 sz002607$ $宁德时代 sz300750$ 汪振峯1983...', '2018-07-04 07:01:08')
('这轮上证完美沿着5日线下跌，一旦加速下跌，离开五日线就引发一个反抽，然后继续沿着均线下跌。这轮是看错底部了，主要原因是下跌过程中投机情绪依然热烈，牛股辈出（宏川智慧，亚夏汽车，超频三，晓程科技，欣锐科技，邦讯技术……），无缝衔接，不管指数怎么惨，每天几十个涨停，短线资金和中长线资 ...展开全文c', '2018-07-04 06:00:58')
('一旦出现股票“长针射击”试盘，必是大牛股，捂紧躺着等涨停$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ $沧州明珠 sz002108$ 郑傅琦看盘...', '2018-07-04 05:46:35')
('上海一女博士说破股市: “七不买”黄金口诀, 背熟7句实现千万梦想$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ $沧州明珠 sz002108$ 郑傅琦看盘...', '2018-07-04 05:28:28')
('一位“剁手”老股民的血泪史：短线的生存法则，堪称股市反面教材$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ 汪振峯1983...', '2018-07-04 05:00:40')
('20年资深老股民：股市赚钱的人都是用这种“笨”方法的！$集泰股份 sz002909$ $亚夏汽车 sz002607$ $中弘股份 sz000979$ 汪振峯1983...', '2018-07-04 04:55:35')
('资深操盘手自爆主力吸筹留下的K线形态，学会个股翻倍不是问题！$亚夏汽车 sz002607$ $恒瑞医药 sh600276$ $格力电器 sz000651$ $五粮液 sz000858$ 李洐沄1985...', '2018-07-04 04:53:41')
('草根股神分享密不外传boll指标操作技巧，让无数散户走向光明 $亚夏汽车 sz002607$ $赣锋锂业 sz002460$ $风华高科 sz000636$ 汪振峯1983...', '2018-07-04 04:52:51')
('亚夏汽车前期的妖股之一。从高位开始回调后，自己一直关注。6月28日，跌停板后，有游资逆市吃货。是的，它就是中信证券杭州四季路。当天它吃了3090万元。估计在跌停板上吃的比较多。6月29日，亚夏汽车反弹，在6个点的范围内震荡。当天大资金流入净额高达7000多万元。随后两天，K线也是 ...展开全文c', '2018-07-04 04:30:28')
('今天持股四只分别三只冲击过涨停～回口血了，调整调整心态。 永和智控、大富科技、亚夏汽车～～～还一只原油表现还能接受。\ue627 今日看盘 $上证指数 sh000001$ 继续努力～感谢运气。', '2018-07-04 04:00:08')
('财经女博士公开的庄家洗盘内幕，短短三分钟，获得18次掌声$宁德时代 sz300750$ $常山药业 sz300255$ $京东方Ａ sz000725$ $亚夏汽车 sz002607$ 李洐沄1985...', '2018-07-04 03:36:46')
('上海85岁退休老教授：27年坚持只做一种股票，字字珠玑，建议珍藏$中国软件 sh600536$ $风华高科 sz000636$ $亚夏汽车 sz002607$ $北方华创 sz002371$ 李洐沄1985...', '2018-07-04 02:13:26')
('#亚夏汽车 sz002607[股票]# 该股是汽车服务，独角兽概念，前期强势龙头股，涨幅很大，这几日振荡整理，表现偏弱，没有的话建议观望', '2018-07-04 01:55:04')
('发布了头条文章：《亚夏汽车002607：热点龙头股，逆袭之战能否会打响？》 $亚夏汽车 sz002607$ \ue627 短线牛股 #财经头条文章# #投资达人说# |亚夏汽车00...', '2018-07-04 01:37:04')
('A股史上唯一用上瘾的均线操盘口诀——线乱不看，形散不买 $格力电器 sz000651$ +$亚夏汽车 sz002607$ +$陕西煤业 sh601225$ +$中科曙光 sh603019$ 郑傅琦看盘...', '2018-07-04 00:32:01')
('预判亚夏汽车，接下来会拉一个涨停出来，昨天高抛，尾盘又低吸回来，爽的不要不要！！今天可惜就是大中兴，卖点差了，二个多点卖了，奶奶的！少赚6个多点！柳钢，跌破分时黄线，获利3.4%，尾盘，估计要接回来的，西宁特钢，明天肯定会继续板，还会带动钢铁起来，今天钢铁，主要是大 ...展开全文c', '2018-07-03 23:55:51')
('发布了头条文章：《A股震荡筑底：海格通信+华兰生物+亚夏汽车》 $海格通信 sz002465$ $华兰生物 sz002007$ $亚夏汽车 sz002607$ #股票分析# |A股震荡筑...', '2018-07-03 23:55:05')
('一旦股票出现“集合竞价”试盘，坚决捂股，必有一波翻倍行情！$欣锐科技 sz300745$ $绿色动力 sh601330$ $会畅通讯 sz300578$ $亚夏汽车 sz002607$ 汪振峯1983...', '2018-07-03 23:31:44')
('午间机会发布：亚夏汽车没有给机会，教父准备转战宏川智慧，吃一个回锅肉，目标现价为激进买点，补仓价39附近，反弹一触即发，要靠妖股养家#宏川智慧 sz002930[股票]# #亚夏汽车 sz002607[股票]#', '2018-07-03 23:30:10')
('股市不会骗人的走势——三金叉见底，字字珠玑，建议散户$亚夏汽车 sz002607$ $中弘股份 sz000979$ $猛狮科技 sz002684$ $晨鑫科技 sz002447$ 汪振峯1983...', '2018-07-03 23:22:34')
('股市唯一不骗人的超短线九大要点，句句在理，建议散户收藏$兄弟科技 sz002562$ $陕西金叶 sz000812$ $亚夏汽车 sz002607$ $赣锋锂业 sz002460$ 汪振峯1983...', '2018-07-03 23:21:19')
('$欣锐科技 sz300745$ $阿石创 sz300706$福达合金 sh603045$北京文化 sz000802$永和智控 sz002795$邦讯技术 sz300312$亚夏汽车 sz002607$欣天科技 sz300615$三联虹普 sz300384$ 风晓解股的...', '2018-07-03 23:14:48')
('发布了头条文章：《万一发现股票“长针射击”试盘，必是大牛股，捂紧躺着等涨停》 $亚夏汽车 sz002607$ $中国软件 sh600536$ $中来股份 sz300393$ $鼎信通讯 sh603421$ |万一发现股...', '2018-07-03 23:02:40')
('股市唯一不骗人的超短线九大要点，句句在理，建议散户收藏$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ $沧州明珠 sz002108$ 郑傅琦看盘...', '2018-07-03 22:51:41')
('观察金力泰、深信服、金奥博、天地数码、盛弘股份、邦宝益智、宏川智慧、创源文化、集泰股份、中新科技、宁德时代、汉嘉设计、风华高科、春兴精工、嘉泽新能、亚夏汽车、福达合金、南京证券、中信建投、亿嘉和', '2018-07-03 22:42:54')
('南京证券冲击跌停，欣锐科技炸板，说了不要追不要追，市场目前没啥主线，老妖股亚夏汽车动了，配合和他相同概念的丽鹏股份，带起了股权转让，深深宝A,都有拉升，不过大环境还是不强，反弹在下午，已经反复说了，近端次新股在走W,昨天下午加今天早上跌了有一天了，下午很可能有反弹，没有好的。目前就先 ...展开全文c', '2018-07-03 22:40:25')
('发布了头条文章：《亚夏汽车002607 ：底部反弹暗藏主力诱多阴谋，此压力位做好万全准备》 $亚夏汽车 sz002607$ #亚夏汽车 sz002607[股票]#股票最热门#微博股票热议榜#股票分析[超话]\ue627 微博股票 |亚夏汽车00...', '2018-07-03 22:23:55')
('弱势行情下不贪不惧，见好就收。不要让赚钱变亏钱，面临指数每天暴跌百点的行情，散户朋友要想自己炒好股票绝非易事。加入草根团队，一起稳中求胜，稳步增值才是明智之选。今天的亚夏汽车002607 有希望做一个反抽板。网页链接', '2018-07-03 22:17:15')
('发布了头条文章：《“内盘外盘”是A股唯一赚钱黄金指标,新手牢记,可实现百亿梦想》 $方大炭素 sh600516$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ $远望谷 sz002161$ |“内盘外盘”...', '2018-07-03 22:10:42')
('发布了头条文章：《赤峰黄金+亚夏汽车+农发种业:后市展望精准预测》#股票# #新浪股吧# #新浪财经# #头条文章# #上证指数# $赤峰黄金 sh600988$ +$亚夏汽车 sz002607$ +$农发种业 sh600313$ |赤峰黄金+...', '2018-07-03 21:58:06')
('#亚夏汽车 sz002607[股票]# 会涨停吗？实盘群前天进 昨天做了个T 成本9.95，早上挂单了10块钱加仓 结果只去了10.06没加到，现在出完了 我个人觉得难涨停', '2018-07-03 21:57:49')
('深圳一女博士扬言：28年坚持“七不买”口诀，盈利至今，建议收藏$宁德时代 sz300750$ $常山药业 sz300255$ $京东方Ａ sz000725$ $亚夏汽车 sz002607$ 李洐沄1985...', '2018-07-03 21:46:49')
('发布了头条文章：《中国芯第一股从47跌至2元，神秘机构6300万股增持，7月有望飙涨封妖》 $方大炭素 sh600516$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ $远望谷 sz002161$ |中国芯第一...', '2018-07-03 21:38:07')
('老教授讲解短线操作风险控制，股市操作，安全很重要$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ $沧州明珠 sz002108$ 郑傅琦看盘...', '2018-07-03 21:24:43')
('亚夏汽车在自选股里躺了好久了', '2018-07-03 19:53:44')
('首先#亚夏汽车 sz002607[股票]# 低吸两次也就在成本线附近徘徊，行情转暖，这股已经属于MTM指标创新低，BIAS2小于-6，极容易反转的股，也就短线，本想着这两天反弹，上一波独角兽概念也都调整差不多了，所以低吸了点龙头看看。啧啧啧，尾盘还是很恶心的。明天反抽不喜欢的可以反抽后换股，行情已经被 ...展开全文c', '2018-07-03 11:24:29')
('002607亚夏汽车   今天盘面上老妖股已经开始出现反抽， 道森股份，永和智控，中原特钢，并且都是硬版，作为前期的老妖股，亚夏汽车，没有理由不相信他就会这样一泻千里。这股今天的尾盘的杀跌，就是杀出最后的潜伏盘，明天又到了可以低吸的点位了，这个点位介入的安全性很大，明天早盘就可以开始 ...展开全文c', '2018-07-03 09:40:02')
('晚上复盘：今天的走势有些许刺激，全天走了一V，教父之前多次和大家强调急跌我们就扫货。今天我早盘还是按照计划扫了百元芯片股#富瀚微 sz300613[股票]# ，其他个股的没有动，这两天买的富瀚微有点多，这个标的我的目标是150元左右，明天我将会止盈。对于后市的走势，教父的判断是，对于真正的底部区 ...展开全文c', '2018-07-03 08:38:13')
('股市永不骗人“集合竞价”6条黄金口诀, 一旦熟背, 将实现千万梦想$方大炭素 sh600516$ $亚夏汽车 sz002607$ $海川智能 sz300720$$华谊兄弟sz300027$ 佛山章鱼妈...', '2018-07-03 04:27:21')
('继罗牛山，宇环数控后，工业互联网发展计划龙头股，下周有望领涨$亚夏汽车 sz002607$ $路畅科技sz002813$$南京证券 sh601990$ $宏川智慧 sz002930$ 佛山章鱼妈...', '2018-07-03 04:19:57')
('17岁股市奇才自曝：掌握“股票四口诀”, 实现千万梦想，建议珍藏 $中兴通讯 sz000063$$亚夏汽车 sz002607$ $湖南盐业 sh600929$ $千山药机 sz300216$ 佛山章鱼妈...', '2018-07-03 04:17:37')
('股市不坑人的黄金定律：五线之上买，三线之下卖 ,其他都是马后炮 $万华化学 sh600309$ $中兴通讯 sz000063$$亚夏汽车 sz002607$ $湖南盐业 sh600929$ 佛山章鱼妈...', '2018-07-03 04:17:35')
('一位股海高手20年悟出成交量炒股战法，学会出手就是强势股！精辟 $猛狮科技 sz002684$$亚夏汽车 sz002607$ $中弘股份 sz000979$ $京东方Ａ sz000725$ 佛山章鱼妈...', '2018-07-03 04:10:01')
('收盘看票，把【成本+代码】在评论栏留言$汉嘉设计 sz300746$$南方航空 sh600029$$亚夏汽车 sz002607$$安凯客车 sz000868$ #大盘-个股-趋势-解答# #宇宙首席分析师# #股票# #今日看盘#', '2018-07-03 03:46:22')
('一旦出现股票“回抽阴线”拉升，定是大牛股，必有一波大涨行情！$深深宝Ａ sz000019$ $亚夏汽车 sz002607$ $路畅科技 sz002813$ $工业富联 sh601138$ 马旷盈的秒...', '2018-07-03 03:29:51')
('神奇指标KDJ：“指标+KDJ”双剑合璧，一旦掌握，跻身高手行列！$会畅通讯 sz300578$ $亚夏汽车 sz002607$ $宁德时代 sz300750$ $京泉华 sz002885$ 马旷盈的秒...', '2018-07-03 03:22:26')
('一位顶级游资大佬：价值千万的KDJ黄金口诀，一买就涨从不例外！$会畅通讯 sz300578$ $亚夏汽车 sz002607$ $宁德时代 sz300750$ $安阳钢铁 sh600569$ 马旷盈的秒...', '2018-07-03 03:15:36')
('记录一下这2个月操作最成功的2只股票，一是亚夏汽车，6月7日反包打板买入，13日怕特停期间出现幺蛾子，板上卖出。二是欣锐科技，6月25日打板买入，今天分三次板上卖出。卖出是因为欣锐科技所引领的新能源汽车板块前日高潮、昨日分化后今日延续分化，小弟000678冲高回落，300484走势更弱，同时欣锐科技 ...展开全文c', '2018-07-03 02:49:20')
('上海一女教授自曝“尾盘买入法”口诀，只分享一次，错过等150年$恒基达鑫sz002492$$方大炭素 sh600516$ $亚夏汽车 sz002607$ $海川智能 sz300720$ 佛山章鱼妈...', '2018-07-03 02:41:20')
('北京股神永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ $沧州明珠 sz002108$ 马旷盈的秒...', '2018-07-03 02:05:31')
('新股最佳申购时间分解，十打九中，中签率高达884%，坚持就会成功$格力电器 sz000651$ +$亚夏汽车 sz002607$ +$陕西煤业 sh601225$ +$中科曙光 sh603019$ 论A股堂的...', '2018-07-03 00:40:54')
('一名良心操盘手曝光做庄思路，简单实用，造福无数亏钱的散户！$湖南盐业 sh600929$ $京泉华 sz002885$ $亚夏汽车 sz002607$ $潍柴动力 sz000338$ 马旷盈的秒...', '2018-07-02 23:32:46')
('80后美女股神分享选股技巧: 涨停板回调买入法及加仓, 建议收藏$来伊份 sh603777$ $深深宝Ａ sz000019$ $亚夏汽车 sz002607$ $路畅科技 sz002813$ 马旷盈的秒...', '2018-07-02 23:21:35')
('上海一女博士看破股市：内盘外盘口诀，过今晚删除，建议珍藏$深深宝Ａ sz000019$ $亚夏汽车 sz002607$ $路畅科技 sz002813$ $工业富联 sh601138$ 马旷盈的秒...', '2018-07-02 23:13:50')
('上海美女股神讲述利用MACD指标逃顶，再也不怕被套，值得收藏$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ $沧州明珠 sz002108$ 郑傅琦看盘...', '2018-07-02 22:27:24')
('庄家最害怕的盘中擒牛股技巧，出手全是大牛股，堪称经典价值连城$常山药业 sz300255$ $亚夏汽车 sz002607$ $方大炭素 sh600516$ $沧州明珠 sz002108$ 马旷盈的秒...', '2018-07-02 21:46:28')
('上海女博士: "集合竞价"是股市唯一获利指标, 再忙也花3分钟看完$深深宝Ａ sz000019$ $可立克 sz002782$ $亚夏汽车 sz002607$ $万科Ａ sz000002$ 汪振峯1983...', '2018-07-02 21:35:51')
('上海女博士: "集合竞价"是股市唯一获利指标, 再忙也花3分钟看完$远望谷 sz002161$ $亚夏汽车 sz002607$ $工业富联 sh601138$ $中兴通讯 sz000063$ 汪振峯1983...', '2018-07-02 21:35:37')
('股市唯一不欺骗人“成交量”买入，句句真理，一但学会股市是印钞$方大炭素 sh600516$ $亚夏汽车 sz002607$ $海川智能 sz300720$$华谊兄弟sz300027$ 佛山章鱼妈...', '2018-07-02 21:18:38')
('厦门博士豪言“集合竞价”口诀，庄家听后跪求删帖，建议珍藏$亚夏汽车 sz002607$ $中弘股份 sz000979$ $猛狮科技 sz002684$ $晨鑫科技 sz002447$ 马旷盈的秒...', '2018-07-02 21:18:30')
('用技术测量，亚夏汽车在9.9元处有一个强支撑。正在努认的学习技术呢～', '2018-07-02 19:24:56')
('顶级短线老股民：分享给新手的短线快速获利实战经验，大道至简$格力电器 sz000651$ $宁德时代 sz300750$ $常山药业 sz300255$ $亚夏汽车 sz002607$ 马旷盈的秒...', '2018-07-02 07:06:51')
('我今天算总结出来了，玩妖股的反抽板，一定要持股到下午二点后！上次，猛狮科技，获利4个点卖了，二点后拉涨停板，这次，超频三获利1.6%，又是二点后拉涨停板！仔细想想之前的妖股反抽板，都是在下午打出来的，好吧，我深刻记住了！欣锐科技，晓程科技，亚夏汽车，接下来，我看你们反抽板，怎么把我振 ...展开全文c', '2018-07-02 05:03:26')
('最新利好消息 三聚环保 亚夏汽车 招商银行光线传媒 天赐财金的...', '2018-07-02 04:14:07')
('一旦遇见“断头铡刀”股票，火速出逃，晚了有你后悔的$猛狮科技 sz002684$$亚夏汽车 sz002607$ $中弘股份 sz000979$ $京东方Ａ sz000725$ 佛山章鱼妈...', '2018-07-02 04:09:08')
('#新股最佳申购时间分解，十打九中，中签率高达316%，坚持就会成功# $国脉科技 sz002093$ $中润资源 sz000506$ $华瑞股份 sz300626$ $亚夏汽车 sz002607$ 郑傅琦看盘...', '2018-07-02 03:33:03')
('股市最基本的MACD选股六技巧曝光，句句经典，简单易懂#中兴通讯 #罗牛山 #亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-07-02 03:07:09')
('“内盘外盘”是A股唯一赚钱黄金指标,新手牢记,可实现百亿梦想$深深宝Ａ sz000019$ $可立克 sz002782$ $亚夏汽车 sz002607$ $万科Ａ sz000002$ 汪振峯1983...', '2018-07-02 02:29:06')
('发布了头条文章：《7月将开启赚钱机会，大盘需确认反弹周期》$方大炭素 sh600516$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ $远望谷 sz002161$ |7月将开启...', '2018-07-02 02:21:06')
('发布了头条文章：《A股7月走势揭秘 ：亚夏汽车 超频三 华谊兄弟 吉艾科技 》 $亚夏汽车 sz002607$ $超频三 sz300647$ $华谊兄弟 sz300027$ $吉艾科技 sz300309$ #上证快讯# |A股7月走势...', '2018-07-02 02:15:17')
('明天就是找新锐科技和晓程科技的补涨龙类似宏川智慧和道森科技华锋股份和永和智控亚夏汽车和深深宝A的关系', '2018-07-02 02:01:21')
('上海美女股神讲述利用MACD指标逃顶，再也不怕被套，值得收藏$兆日科技 sz300333$ $华锋股份 sz002806$ $格力电器 sz000651$ $亚夏汽车 sz002607$ 郑傅琦看盘...', '2018-07-02 01:47:58')
('炒股，要有格局，要有大局观。我们很多朋友总是喜欢慢一拍。比如亚夏汽车草根在6月6日前后布局操作的股票，当时不少人都赚29%。做完亚夏汽车，又给大家抓了超频三，然后做完超频三，又在25日给大家首板抓到了 欣锐科技300745，现在已经强势6连扳了。然后，到今天居然还要股友，在亚夏汽车上流连忘返。 ...展开全文c', '2018-07-02 01:45:16')
('77岁上海资深老股民炒股技巧总结:四个信号揭示主力建仓中，珍藏$宏川智慧 sz002930$ $亚夏汽车 sz002607$ $乐视网 sz300104$ $华大基因 sz300676$ 胡亦彰的秒...', '2018-07-02 01:34:44')
