('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏 $新经典 sh603096$ $深南电A sz000037$ $步步高 sz002251$ $京威股份 sz002662$ 马旷盈的秒...', '2018-07-24 12:13:13')
('战略选择这里首先最怕龙头天通地后、次日再跌停的预期兑现。如果出现这种情况，对二进三、三进四的情绪将会是毁灭性打击，市场很容易调转枪口进入临时性亏钱效应。不是说最怕就一定会出现，也说不定今天京威股份、玉龙股份和维科技术一定能合力把龙头顶回去来个反包——一切皆有可能， ...展开全文c', '2018-07-16 21:15:34')
('昨天$天华超净 sz300390$ 天地板，一些高位股雪崩，市场高度也由6板降到3板。现在资金都很谨慎，不爱盲目追高。今天是市场空间由3板向4板的时间窗口，$意华股份 sz002897$ $京威股份 sz002662$ 谁能担起重任？近期低价+超跌+中报业绩增长题材股成为市场热点，受到资金热捧，掀起首板潮，值得关注。题材 ...展开全文c', '2018-07-16 21:14:38')
('板块机会连板梯队：总龙头天华超净长阴灌顶后，个股高度被压制到三板，新的空间龙头可能从中诞生，关注意华股份/通产丽星/京威股份（3板），英特集团/中能电气/科迪乳业/玉龙股份/盛洋科技/维科技术（2板）。科技股：主要是受中兴解禁利好提振，加上最高领导人多次提及自主可控，炒作主要围绕5G（ ...展开全文c', '2018-07-16 21:02:05')
('各位早！指数不多说，大阳过后高位两颗小阴线，上涨中继形态，多空近期面临选择，883900缩量小阳。7月8月磨底阶段，急跌敢于低吸。超短连板：5G独角兽概念意华股份3板、新材料富勒烯通产丽星（参与难度大）、新能源汽车的京威股份三板。5G软件芯片日内虽然大涨但是整体进二退一，大涨无跟进机会相 ...展开全文c', '2018-07-16 20:57:06')
('早评市场再次下跌，连跌的行情，本身酝酿连板的个股持续，从三板的个股看，京威股份2个涨停板后一字涨停板开盘，再次涨停板封住的走势，意华股份2个涨停板一字背后，一分涨停板的加速走势，超跌连板个股依然带动市场的人气，维科技术一字涨停板后，再次一分涨停板的加速，超跌启动连板行情，依然是市 ...展开全文c', '2018-07-16 20:39:16')
('盘面热点①连板股：9只个股连板。3连板意华股份、京威股份、通产丽星，2连板英特集团、玉龙股份、中能电气、维科技术、科迪乳业、盛洋科技。②5G概念：7只个股涨停。意华股份3连板，中兴通讯、创意信息、美格智能、长江通信、纵横通信、沃特股份。③国产软件：中国软件、超图软件、安硕信息、泛微网 ...展开全文c', '2018-07-16 20:27:59')
('方向1：连板梯队：总龙头天华超净长阴灌顶后，个股高度被压制到三板，新的空间龙头可能从中诞生，关注意华股份/通产丽星/京威股份（3板），英特集团/中能电气/科迪乳业/玉龙股份/盛洋科技/维科技术（2板）。', '2018-07-16 20:15:31')
('发布了头条文章：《07.16深然复盘作业——怎样才能赚钱》 #今日看盘# $至纯科技 sh603690$ $京威股份 sz002662$ |07.16深然...', '2018-07-16 20:09:13')
('7.16日复盘：（一）大局观：伴随天华超净瀑布流，昨日跌停数增加到30几家，又到了一不小心凉凉的境况，总体控制仓位为上。（二）板块及个股：1.中兴通讯领衔的5G板块，关注意华股份换手放量二封板，以及昨日逆势板纵横通信；2.京威股份领衔的锂电池板块，总龙头天华超净倒了，小弟日子估计不会好 ...展开全文c', '2018-07-16 19:00:28')
('7.17日关注焦点：5G龙头：意华股份 3板新能源车龙头：京威股份 3板富勒烯龙头：通产丽星 3板次新龙头：彤程新材业绩趋势牛：风华高科', '2018-07-16 18:41:58')
('今日强势股，三连板总龙头意华股份，其余强势牛股明日重点关注的有，彤程新材，京威股份，通产丽星，盛洋科技，安井食品，玉龙股份，维科技术，中能电气，科迪乳业，英特集团！节奏比较快，有利润，牢记落袋为安！跑得快！核按钮随时准备', '2018-07-16 18:41:39')
('明日捉妖股方案：$彤程新材 sh603650$ 、锐科激光、盛洋科技$京威股份 sz002662$ 、奥维通信、美格智能$意华股份 sz002897$ 、英特集团、联建光电$金运激光 sz300220$ 、通产丽星、风华高科', '2018-07-16 11:36:01')
('最近市场恐缩量板，逻辑为何，欣锐科技，福大合金一字板加速，当然作为强势股，出现分歧就到头了，演化为山河药辅一字板之后，哪怕有换手接力，第三天打板的资金也出现亏钱效应，倘若明日京威股份，维科技术，都弱于玉龙股份，那么确实成立。还有，5G板块的意华股份低于放量且滞后涨停的标的，则成立', '2018-07-16 11:35:06')
('今日资金攻击线路图（热点概念与活跃概念,及部分强势品种）：早盘： 5G概念（涨停：盛阳科技）=>富勒烯（涨停：通产丽星）=>超跌反弹（涨停：京威股份）=>业绩预增（涨停：北方国际）午盘： 超跌反弹（涨停：盛运环保）=>次新股（涨停：彤程新材）', '2018-07-16 11:28:03')
('市场龙头天华超净遭遇核按钮，从红盘打到-7%,市场亏钱效应明显，文灿股份，绿色动力等盘中跌停。天变科技看起来弱不禁风，反而冲四板了，意华股份三连板领涨元器件，京城的威哥，京威股份三连板周五勇猛无比的宏达矿业，长盛轴承全部都暴跌，唯有读懂市场的情绪，方能驰骋股海，看技术指标炒股的人熊 ...展开全文c', '2018-07-16 11:06:38')
('老票拉起护盘出，助拉票成功封板，游资明将继续助拉$中兴通讯 sz000063$ $京威股份 sz002662$ $英特集团 sz000411$ $维科技术 sh600152$ #大通燃气 sz000593[股票]# #锐科激光 sz300747[股票]# 令哥复盘的...', '2018-07-16 10:58:28')
('发布了头条文章：《5G+中兴禁令解除：002897意华股份、明天令哥有可能买入，》 #京威股份 sz002662[股票]# #天永智能 sh603895[股票]# $华铁科技 sh603300$ $通产丽星 sz002243$ $中能电气 sz300062$ $维科技术 sh600152$ |5G+中兴禁...', '2018-07-16 10:57:44')
('7.16晚间汇总:空间板：3B，意华股份/通产丽星/京威股份。7B，欣锐科技/天华超净。5G：意华股份（+填权），纵横通信，中兴通讯。芯片：金安国纪。 ...展开全文c', '2018-07-16 10:48:55')
('关注股池新股：宁德时代、锐科激光、彤程新材业绩：风华高科，神马股份、青松股份锂电：天华超净、寒锐钴业、京威股份科技：意华股份、中兴通讯、至纯科技、中国软件、长亮科技超跌：盛运环保、科迪乳业', '2018-07-16 10:29:03')
('2018/7/17 狙击龙头整理今日市场主线有5G、业绩预增、新股次新股、并购重组、富勒烯、超跌。结合涨停时间先后顺序、人气强弱、实际流通盘大小，题材主线等多方面因素，推导出以下兼具领袖气质个股：通产丽星、意华股份、京威股份、盛洋科技、维科技术。', '2018-07-16 10:25:43')
('#强势股#虽然两市没有了明显的领涨总龙头，但依旧有强势连板个股出现。通产丽星、京威股份、意华股份强势三连板，在没有总龙头的行情下，三只个股开始争夺市场总龙头的宝座。科迪乳业、盛洋科技、中能电气等个股则走出两连板行情，紧跟三板个股的脚步。作为市场情绪风向标的总龙头个股将在明日产生， ...展开全文c', '2018-07-16 09:53:27')
('文来头狼精选（周二）头狼回顾：意华股份继续涨停，中兴通讯如期而至。涨停板精选1、意华股份 ...展开全文c', '2018-07-16 09:50:27')
('我发表了头条文章:《复盘time之20180716:意华股份、京威股份、纵横通信、彤程新材》 |复盘time之...', '2018-07-16 09:40:49')
('发布了头条文章：《0716复盘笔记》 $天华超净 sz300390$ $宁德时代 sz300750$ $锐科激光 sz300747$ $彤程新材 sh603650$ $京威股份 sz002662$ $风华高科 sz000636$ $金银河 sz300619$ |0716复盘笔...', '2018-07-16 09:29:55')
('吓死宝宝了，还好天华超净跑的快现在仓位：三变科技，天华超净（重仓）明天计划：三变科技没有板，我会出掉，也许会去接力次新绿色动力的连板天华超净，拿着，等待！以上是昨天的计划，今天早盘京威股份一字，可是天华超净却只开了7点多，这个竞价多少有些不及预期，而且上板 ...展开全文c', '2018-07-16 09:21:23')
('明日打板自己：（1.意华股份 2.盛洋科技 3.京威股份 4.美格智能）一字板的海达股份和盛屯矿业加自选。', '2018-07-16 09:17:45')
('$中能电气 sz300062$ 中能电气：公告预告业绩大幅上升，但7元上方压力位较为明显，注意滞涨时减仓。$京威股份 sz002662$ 京威股份：公告业绩预告大幅上升，但上涨量能缺乏，注意高位放量时派发。$合兴包装 sz002228$ 合兴包装：业绩大升，放量涨停。目前虽呈多头排列，长线股短线加速，注意减仓。', '2018-07-16 09:08:01')
('收盘下午的盘面跟周五类似，周期涨价概念发酵一部分,整体都在走分歧状态。尾盘市场资金最后搞了一把新能源车相关。而早盘强势的5g通信概念并没有继续发酵，这里面更多还是围绕着事件本身中兴通讯的估值修复而进行。新能源车存在着龙头切换或者说补涨龙出现的情况。京威股份周五和今天都基本上没有受到 ...展开全文c', '2018-07-16 08:45:33')
('今日强势板块：超跌：涨停15家：龙一维科技术，龙二英特集团，龙三金安国纪业绩：涨停10家 ：龙一京威股份，龙二海达股份，龙三耐威科技5G ：涨停8家 ：龙一意华股份，龙二纵横通信，龙三中兴通讯重组 ：涨停5家 ：龙一盛洋科技，龙二盛屯矿业，龙三益丰药房 ...展开全文c', '2018-07-16 08:45:11')
('【A股7月16日个人操作策略复盘】A股周一沪深两市小幅低开，随后三大股指冲高回落、震荡下行，午盘前探底回升，创业板指一度翻红，午后股指再度持续走弱。截止收盘沪指跌0.6%，创业板指跌0.1%，上证50指数跌逾1%。周一六只票表现尚可，京威股份高开高走涨停，无低吸介入机会；开能环保符合深水低吸条 ...展开全文c', '2018-07-16 08:30:29')
('7/16涨停板记录5G002886 沃特股份、603602 纵横通信、002881 美格智能、002897 意华股份、002231 奥维通信、000063 中兴通讯、300366 创意信息业绩预增300062 中能电气、002662 京威股份、000065 北方国际、000676 智度股份、002228 合兴包装、002882 金龙羽、603345 安井食品、002842 翔鹭钨业、 ...展开全文c', '2018-07-16 08:20:05')
('新能源：龙头天华超净出现炸板，只留下了京威股份、$中能电气 sz300062$ 、维科技术。天华超净明天继续核按钮，那么短期内这些中位股都有补跌的可能低位的星云股份一度出现反包，但是天华超净那边完全没有反应，星云股份顶单的大资金也比较虚，只能在快吃到的时候把单子撤掉挂到后排，午后炸板 ...展开全文c', '2018-07-16 08:02:56')
('0717计划：今天盘中买了星云股份，太辰光，价位比较低，明天看竞价。明天主要看通产丽星，意华股份，京威股份谁能换手承接好，就上谁。星云看宁德时代，太辰光看中兴通讯。', '2018-07-16 07:45:14')
('1、业绩增长龙头：京威股份32、并购重组龙头：盛洋科技23、中兴通讯概念龙头：意华股份3中军：中兴通讯1+1 ...展开全文c', '2018-07-16 07:11:54')
('A神7.16竞价天华超净7.22%不及预期。京威股份开一字，星云股份开3.83%，长盛轴承开2.48%略超预期。龙头小弟高低预期不一致,提示板块的不确定性。绿色动力-2.42%符合预期，文灿股份3.94%符合预期。锐科激光1.42%不及预期。 次新回调预期在兑现。中兴通讯4.11%,H00763开7.57%超预期。这种要马上反应 ...展开全文c', '2018-07-16 06:59:39')
('【天天牛股】1，002662京威股份。2，002881美格智能。3，300223北京君正。4，300474景嘉微。如果觉得文章对你操作有用还请帮忙转发点赞，有问题也欢迎大家提问讨论，多谢多谢。#上证快讯##原创首发# $上证指数 sh000001$ #投资达人说##股票点评团##付费阅读##午盘聚焦##财经头条文章##超级话题# ...展开全文c', '2018-07-16 06:32:37')
('明日策略在这里！！！（2018-07-16 游资复盘）打开公众号关注一下，看复盘更方便：网页链接#上证指数sh000001# \ue627 财经头条文章 \ue627 微博股评团 \ue627 投资 \ue627 今日看盘 #京威股份 sz002662[股票]# #意华股份 sz002897[股票]# #通产丽星 sz002243[股票]# ...展开全文c', '2018-07-16 06:19:31')
('今日盘面解读：沪深创同步低开，深证低开幅度最小。开盘竞价方面：市场总龙头天华超净高开7.25个点，盛屯矿业，茂业通信重组上会利好消息刺激，盛屯矿业一字涨停开盘，业绩预增消息刺激，京威股份涨停开盘，半年报业绩预增，海达股份涨停开盘，汽车整车板块低开，安凯客车低开6.31个点，长安汽车低 ...展开全文c', '2018-07-16 05:01:05')
('午后震荡走低，延续上午低位整理的格局，一批底部明显放量的低价股走强，盛运环保、玉龙股份、维科技术、通产丽星、京威股份等封涨停，食品股出现异动，科迪乳业、安井食品、广州酒家、恒顺醋业、煌上煌等领先。', '2018-07-16 04:58:24')
('发布了头条文章：《京威股份(002662)截止目前，京威股份两三板，超跌反弹》 \ue627 微博股票 \ue627 新浪财经 #上证指数sh000001# #新浪股吧# #新浪股吧# ##股市看点# # 牛股推荐# |京威股份(0...', '2018-07-16 04:55:53')
('0716复盘：今天又是注定大面的一天，情绪瞬间崩了天华超净日内18个点大面。京威股份管你大哥死不死，我就得上位，这像及了无道义的帮派，大哥死了连伤心都没有，就赶紧上位。早盘5g在中兴带领下有了板块效应。很多人看好意华股份，我就等着明天炸板看看承接再说。明天方向很简单，看通产、京威股份、意 ...展开全文c', '2018-07-16 04:49:47')
('【7.16复盘】指数全天震荡整理，新旧热点切换；前期强势股大跌，锂电池的天华超净天地板、次新的绿色动力跌停；5G：意华股份3板、中兴通讯2板等七股涨停；富勒烯：通产丽星3板，亿利达等两股涨停；中报预增：京威股份3板、中能电气2板等十二股涨停。', '2018-07-16 04:41:30')
('这个京威股份也挺搞笑的，今天能活下来完全是盘子小的原因，明天必死！', '2018-07-16 04:27:19')
('今日强势焦点：（1.意华股份 2.京威股份 3.科迪乳业 4.盛洋科技 5.维科技术 6.联建光电）弱势焦点：（1.天华超净 2.绿色动力 3.三变电器 4.长盛轴承 5.文灿股份 6.山河药辅）佛山盛运环保 环球中心南京新百今天上板，广东甘化明天差不多可以进场了。', '2018-07-16 04:24:57')
('我可以教给大家一个绝招，就是找出那种爆仓的大跌股票，必须是爆仓的啊，然后通过他们的公告找到他们采取了股权转让协议，这可是关系到他后市能否上涨的关键啊，周末选了好几个今天都涨停了，科迪乳业京威股份都是爆仓有协议的，很简单的，你会看基本面的信息吗？ 晚上讲给大家听。还有 盛源环保也是一 ...展开全文c', '2018-07-16 03:48:39')
('连板：通产丽星-3、京威股份-3、意华股份-3、科迪乳业-2、维科技术-2、中能电气-2、玉龙股份-2、英特集团-2、盛洋科技-2、5G：意华股份、纵横通信、中兴通讯、8家唯一的题材了吧！带不动大盘啊！后面该怎么走呢？！', '2018-07-16 03:29:43')
('收评：振荡筑底小幅调整，有47只涨停，所以不好不坏，5G芯片活跃，今天追板$天华超净 sz300390$的大面一碗，趋势股稳步上攻，震荡洗盘不用担心，有利于行情的发展，关注$意华股份 sz002897$$京威股份 sz002662$等，指数在低位2800，只要仓位合适，可以介入操作，反弹远没有结束。小可不如预期，明有反 ...展开全文c', '2018-07-16 03:21:29')
('按照刚才事件驱动李小伙伴的发现，京威股份当新能源汽车股新龙头是有疑问的，他的三个涨停更有可能与自己的事相关，与新能源汽车不相关。暂时连板的重点就是5G的意华股份和富勒烯的通产丽星。这两个板块都是超级热点，他们的龙头能连续三板，成为市场目前连板股里最强的品种，也预示着这两个板块后面有 ...展开全文c', '2018-07-16 02:32:03')
('最近几天京威股份连续涨停，今天更是接近涨停开盘，开盘后很快涨停，和其他新能源汽车股节奏并不一致，伙伴们查了一下他的涨停原因，发现最近有一条关于京威股份出售三家子公司的新闻，是为了偿还借款，现在债务风险可能消除，她之所以涨停，可能和此有关。', '2018-07-16 02:31:21')
('这么看富勒烯与石墨烯类似，都是非常重要的新材料，石墨烯前几年多次反复活跃，没少当过热点，所以富勒烯后面可能也不会消停，不会就这一次活跃。咱们得记住这次成热点的活跃股和龙头股。这次龙头股是通产丽星，连续三板，上午我还说连续三板的股票中，5G的意华股份和新能源汽车的京威股份是有热点板块支持的，现在看又多了一个有热点支持的连续三板股：通产丽星，后面值得重点留意。收起全文d', '2018-07-16 02:30:37')
('今天行情有点困，不用太担心了，主要就是高位妖股，和次新股的补跌，整个市场还是比较稳定的，等吧，今天跌完，明天只要出现杀跌就是入场机会，周期一轮一轮的，现在还是一样的市场没啥好题材，目前看一个意华股份带着的5g，京威股份，中能电气带着的新能源算是比较主线的行情，可能最近还是个股行情为 ...展开全文c', '2018-07-16 02:27:01')
('发布了头条文章：《庄家也在用的MACD选股顺口溜：二次金叉+选股公式，百分百伏击大牛股》 $维科技术 sh600152$ $中能电气 sz300062$ $京威股份 sz002662$ $南京新百 sh600682$ |庄家也在用...', '2018-07-16 01:56:14')
('上周，中报前三甲：1 风华高科 2 佩蒂股份 3 神马股份。最强1 维科技术 2 京威股份 3通讯中，但车和芯，我预判不可能同时，总要有一个线以退为进', '2018-07-16 01:48:40')
('午评通产丽星 三板一字开盘 化工龙头 带动化工套利板京威股份 加速三板 代表锂电池类 的补涨 劣势 总龙同类股 优势 补涨 受总龙头 的影响不大意华股份 在中军中兴通讯 的支撑下 三板 带动 5G通讯类 优势 有中军 中兴 加分 龙头 加分 劣势 股 ...展开全文c', '2018-07-16 01:13:40')
('那么下周星期一围绕天华净超这条主线就会有2种情况出现：第一情况：天华超净开一字板，那么就是挖掘补涨龙的最好时机。星期五天华超净涨停。早晨京威股份是卡位了星期四最强势的华昌达、跟天成自控的。那么这只股票肯定是最有可能成为补涨龙的。但是大概率估计一字了。那么重点就是这3只：星云股份 ...展开全文c', '2018-07-16 00:31:21')
('午评：早上有一只前排没上车也就停手了，市场信心恢复非一日之功，越是在底部，情绪越是波动大，底是盘出来的，坚持观点，2800不是下半年的高点，早盘5G芯片活跃，有$意华股份 sz002897$$中兴通讯 sz000063$$京威股份 sz002662$等，只要你认为市场会有一波反弹，那么就不会在乎大盘的短期波动，大盘下 ...展开全文c', '2018-07-15 23:58:14')
('发布了头条文章：《京威股份+欧菲科技+烽火通信 , 主力阴谋凸显,明日走势至关重要》$京威股份 sz002662$欧菲科技 sz002456$烽火通信 sh600498$上证指数 sh000001$ |京威股份+...', '2018-07-15 23:56:51')
('确认解禁，科技股振兴，次新走弱，标高压缩1.存量博弈下，指数的持续性很弱，大概率小幅震荡为主，重心略微缓慢走高。分类指数对比看，创业板强于主板，也是由于科技股大涨带动的（中兴通讯被解禁，5G、芯片、软件再次起爆）。2.主要热点：富勒烯概念，通产丽星3连板；锂电池产业链，京威股份3连板 ...展开全文c', '2018-07-15 23:48:02')
('午评 世界杯法国夺冠，A股$华帝股份 sz002035$ 涨停后回落，压法国夺冠退款成中国品牌最大胜家。大盘弱市，耐心等待机会，稳健者空仓。5G $意华股份 sz002897$ 和中兴通讯并购 京威股份， 盛洋科技业绩预增 先达股份 海达股份 ...展开全文c', '2018-07-15 23:39:08')
('#赢在早盘# 周一早盘指数弱势震荡，盘面偏弱机会不多；富勒烯概念的通产丽星一字三连板，维科技术T字连板，玉龙股份平开连板；锂电池京威股份T字三连板，宁德时代概念的星云股份高开连板，天华超净高开7连板放量回调；中兴通讯解禁复产，意华股份高开三连板，纵横通信高开反包板，中兴通讯高开反包板， ...展开全文c', '2018-07-15 23:34:35')
('目前依然看反弹，二类大肉机会，一类是走主升突破的个股，这类票往往启动都是大肉，近期的风华高科，仁和药业等等，第二类是底部超跌反弹个股，京威股份先达股份等，横盘震荡的一律不要碰，板块方面关注稀土有色，芯片软件，人民币贬值等概念。还有一个可以关注的是医药次新，上周提过的，能否走出一个 ...展开全文c', '2018-07-15 23:23:09')
('市场连板的几个明星股，在我们看来，有板块支持的比独自上涨的要更好，比如意华股份的三连板要好于三变科技的四连板，因为意华股份背后有5G股的支持。这样看来，目前连板股里最有潜力的是5G股意华股份（三连板）和新能源汽车股京威股份（三连板）。不止是他们上涨过程中的均线买点，还有对应5G股和新能 ...展开全文c', '2018-07-15 23:17:48')
('【看他们发妖】没买但早盘跟踪的几票已妖气迸出，如：#三变科技 sz002112[股票]# 、中能电气、京威股份、合纵科技、通产丽星、集泰股份等。通讯芯片股在中兴通讯的带领下有太三辰光、#意华股份 sz002897[股票]# 、台基股份、邦讯技术、兆日科技、#科信技术 sz300565[股票]# 、中富通、欣天科技等跟 ...展开全文c', '2018-07-15 23:11:35')
('天华超净的3个小弟，京威股份，中能电气，板了2个，唯独星云股份没板，周末复盘看了这3个票，无论从形态还是量能看星云股份都是攻击力最强的，中能电气是最安全的位置低市直小，京威的缺陷是周五没放量', '2018-07-15 23:11:06')
('【热点解析】股指快速杀跌延续调整，中兴事件彻底尘埃落定，5G（纵横通信、意华股份、中兴通讯）、集成电路（至纯科技、万盛股份）等科技股走强。连板股方面，天华超净冲击七板被砸，绿色动力低开震荡迅速跌停，资金自发高低切换，三变科技四连板成为高度担当，通产丽星（富勒烯）、京威股份（新能源 ...展开全文c', '2018-07-15 22:38:19')
('宁德时代锂电池概念：天华超净、京威股份、星云股份；科技兴国：中兴通讯、风华高科、意华股份、至纯科技；股权：大通燃气、华昌达、宏达矿业、通产丽星。不过分追高，像绿色动力，锐科激光之类的新股我看就算了。', '2018-07-15 22:34:52')
('打板意华股份、京威股份；低吸大通燃气。', '2018-07-15 22:21:05')
('新能源车：天华超净六板晋升空间龙头，今天若能加速七板，或刺激新能源车产业链走强，个股可关注星云股份、寒锐钴业、京威股份、合纵科技等。科技股：中兴事件正式尘埃落定，科技股或迎来反弹动作，国产替代主线将反复活跃，5G（意华股份、锐科激光）、集成电路（风华高科、长川科技）、软件（中国软 ...展开全文c', '2018-07-15 22:11:21')
('早盘 特斯拉相关 补涨 龙头天华超净 缩量被砸 昨天尾盘抢筹是买点 补涨龙 京威股份中兴通讯中军 带动5G 电气设备相关 意华股份 龙头', '2018-07-15 22:09:31')
('截至目前，板块表现出现分化，京威股份（三连板）和中能电气（两连板）继续涨停，蓝海华腾、科恒股份、安凯客车触及跌停，板块内部回调个股的比例更大。#今日看盘# $京威股份 sz002662$ @微博股票', '2018-07-15 22:05:40')
('对于股神来说，一年十倍很正常。周五买入$意华股份 sz002897$ 今天轻松收个涨停！今天买入的$京威股份 sz002662$ 今天轻松收个涨停！#原创微博##收盘说说##投资达人说##微博财报##股票点评团##今日看盘##微博股评团##原油##股票涨停##微博时评团##短线牛股##微博看市##今日热门推荐##微博头条# ...展开全文c', '2018-07-15 22:05:24')
('开盘次新人气龙头绿色动力直接低开按跌停封稳了，天华超净本来冲7连板但被砸的够狠。。而助攻的均3板京威股份。盘面次新被带坑里了。', '2018-07-15 21:40:34')
('5月底、6月初曾建议交流区用户后期跟踪关注的极品超跌股002662京威股份再度涨停，新能源车题材', '2018-07-15 21:38:53')
('【周一看点关注】强者恒强：#京威股份 sz002662[股票]# 、#通产丽星 sz002243[股票]# 、中能电气、三变科技、合纵科技、大通燃气。更有可操作的转强票：#振华股份 sh603067[股票]# 、集泰股份丶星云股份、丽鹏股份、锦富技术、建新股份。停盘开盘机会股：华鹏飞。 ...展开全文c', '2018-07-15 21:21:52')
('7月16日早评天华超净：6板成妖，预期将会是一字板，目前只能欣赏；关注他的小弟是（星云股份、京威股份、雪莱特、星源材质）宁德时代同属于新能源汽车板块，所以这几天带动了这个板块的爆发，还记得我之前说的那条线吗（锂钴资源、正负极材料、隔膜、电容器、锂电池）做这些，整车的别碰）。至纯科 ...展开全文c', '2018-07-15 21:01:52')
('热门板块跟踪个股 ：天华超净（新能源 独角兽）6连杀超神，至纯科技（并购，光传感）四连板。四连板大通燃气股权转让。三变科技三连板，国改，前期董事长举牌概念。锐科激光开板次新，也算是5G概念股。遇到中兴的解禁。二连板京威股份（锂电池）意华股份（高送填权，中兴受益）锦富技术（股权转让，苹 ...展开全文c', '2018-07-15 20:58:57')
('新能源：这几天板哥牛股营说的龙头天华超净早上加速板这个在预期内，早盘京威股份2板助攻，宁德时代供应商这条线的星云股份和雪莱特有资金尝试点火但是没人做板，然后资金跑去拉了独角兽概念的麦破破达数字和华金资本这些，逻辑上我是没看懂，拉这些的理由，最后市场也不认可全部开板。', '2018-07-15 20:50:11')
('个人看法：7/16 周一一，大盘，上证震荡巩固，逢低布局，仍然以中小创为主。注意结构性的机会。二，板块，1，新能源，300390天华超净尾盘封回六板，龙头，引领市场，继续关注锂电+宁德时代：300390天华超净、300684星云股份 ...展开全文c', '2018-07-15 20:35:02')
('方向1：新能源车，#天华超净 sz300390[股票]# 六板晋升空间龙头，今天若能加速七板，或刺激新能源车产业链走强，个股可关注星云股份、寒锐钴业、京威股份、合纵科技等。', '2018-07-15 20:19:18')
('$上证指数 sh000001$ 核心1板：中能电气、陇神戎发、鼎汉技术核心2板：京威股份、通产丽星、意华股份核心3板：三变科技', '2018-07-15 20:04:22')
('今晚看球不更新了，继续空仓🤓明天关注京威股份和星云股份就好，换手板', '2018-07-15 11:55:08')
('文来头狼精选（周一）头狼回顾：意华股份涨停，中兴通讯上涨接近6%，总体强势。涨停板精选1、意华股份 ...展开全文c', '2018-07-15 10:55:46')
('上海一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $物贸B股 sh900927$ $京威股份 sz002662$ $中国电建 sh601669$ $民和股份 sz002234$ 李域悟看盘...', '2018-07-15 10:30:05')
('今日复盘:1.新能源汽车概念 天华超净人气第一股，不过板块梯队脱节了，小弟长盛轴承4板炸板，只剩下低位的2板京威股份。明天如果天华一字就可以考虑板块今天涨停的1板股，中能电气，星云股份。星云股份周末吹的也多，要注意之前连两次高位的大阴线，明天又是突破这两根阴线的位置，所以如果明天缩量 ...展开全文c', '2018-07-15 09:51:05')
('\ue627 股票 #魔都夜行的复盘计划# \ue627 财经 #a股[超话]# \ue627 A股盘面空间：六板：天华超净四板：至纯科技 大通燃气三板：三变科技二板：京威股份 锐科激光 意华股份 锦富技术 通产丽星 东尼电子 ...展开全文c', '2018-07-15 09:41:04')
('发表了博文《上周操作总结，及明日操作策略》大盘指数终于收了一个周线阳，个股也开始活跃起来，龙头也打开高度，在利空的多次冲击下，短期阶段底部在形成。新能源龙头天华超净早上加速板这个在预期内，早盘京威股份|上周操作总...', '2018-07-15 08:31:56')
('热点复盘（7-15）持续热点：1、 业绩预增概念有8只股票涨停，其中鼎汉技术、顾地科技可以继续跟踪。2、 锂电池新能源汽车概念有4只股票涨停，其中京威股份、中能电气可以继续跟踪。新增热点：其他热点：可以重点关注三变科技、陇神戎发。', '2018-07-15 07:52:11')
('发布了头条文章：《天华超净有可能替代半年报业绩龙头宝座！天华超净有可能成为妖股！》 #天华超净 sz300390[股票]# $三变科技 sz002112$ $先锋新材 sz300163$ $陇神戎发 sz300534$ $京威股份 sz002662$ $中能电气 sz300062$ |天华超净有...', '2018-07-15 07:23:14')
('明日天华超净的关键一战（2018-07-15 游资复盘）打开公众号关注一下，看复盘更方便：|2018-02-23...#上证指数sh000001# \ue627 财经头条文章 \ue627 微博股评团 \ue627 投资 \ue627 今日看盘 #大通燃气 sz000593[股票]# #至纯科技 sh603690[股票]# #三变科技 sz002112[股票]# ...展开全文c', '2018-07-15 07:23:03')
('周一捉妖股方案：$天华超净 sz300390$ $锐科激光 sz300747$ $至纯科技 sh603690$ $绿色动力 sh601330$$神马股份 sh600810$ $风华高科 sz000636$ $大通燃气 sz000593$ $京威股份 sz002662$$英特集团 sz000411$ $集泰股份 sz002909$ $汉鼎宇佑 sz300300$ $三变科技 sz002112$ ...展开全文c', '2018-07-15 06:06:57')
('发布了头条文章：《京威股份002622又一妖王崛起，有望暴涨成妖！》$京威股份 sz002662$ $上证指数 sh000001$ #财经头条文章# #股票分析# |京威股份00...', '2018-07-15 04:17:39')
('个股状态：在确认大前提后自然转入具体操作，那么怎么认识形态？略提几种。天源迪科这种（注意是周均线）是已经完成上升第一波段，现在盘整完，开始重拾升势。浙数文化初做底，还要4个月才能完成。华谊兄弟价值底部，做底中，爆发在明年。吉比特白马，未来提倡对象，多加关注。京威股份这样的才是短线 ...展开全文c', '2018-07-14 21:28:28')
('妖王天华超净喜获第6板；昨天的四个3连扳全部冲4板，他们是（出场不分先后）：大通燃气，长盛轴承（被砸），宏达矿业（被砸），至纯科技，鼓掌；昨天极强股华昌达、天成自控变成坑货次新、填权、锂电池活跃，今天强股还有：三变科技，锐科激光，陇神戎发，科迪乳业，锦富技术，京威股份，意华股份， ...展开全文c', '2018-07-13 10:24:58')
