('今天有一只新股，明德生物。别忘记申购，点赞的都中签。', '2018-06-28 21:36:03')
('深南电A(000037)深大通(000038)中集集团(000039)东旭蓝天(000040#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:42:45')
('深深房A(000029)富奥股份(000030)中粮地产(000031)深桑达A(00003#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:42:32')
('新都退(000033)神州数码(000034)中国天楹(000035)华联控股(00003#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:42:24')
('特力A(000025)飞亚达A(000026)深圳能源(000027)国药一致(000028)#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:41:46')
('深科技(000021)深赤湾A(000022)深天地A(000023)招商地产(000024)#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:41:21')
('深中华A(000017)神州长城(000018)深深宝A(000019)深华发A(000020#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:41:22')
('*ST石化A(000013)沙河股份(000014)PT中浩A(000015)深康佳A(00001#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:40:46')
('中国宝安(000009)美丽生态(000010)深物业A(000011)南玻A(000012)#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:40:23')
('世纪星源(000005)深振业A(000006)全新好(000007)神州高铁(000008#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:39:58')
('平安银行(000001) 万科A(000002)PT金田A(000003)国农科技(000004)#股票分析[超话]# #股票[超话]# #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:39:32')
('上海一老教授看破股市：27年坚持只做“七不买”,可实现百亿梦想 $两面针 sh600249$ $明德生物 sz002932$ $湖北广电 sz000665$ $智飞生物 sz300122$ 3305079245...', '2018-07-11 14:11:24')
('【湖北又一家公司上市，女首富要换人了？】7月10日，明德生物在深圳证券交易所中小板敲响上市钟声，首日股票由发行价20.45元/股飙涨至29.45元/股。10年前，明德生物在武汉光谷成立，始终致力于POCT快速诊断试剂与快速检测仪器的研发、生产与销售。POCT即“即时检验”，指采样现场进行的、利用便捷式分 ...展开全文c', '2018-07-11 10:26:57')
('扬子石化(000866)安凯客车(000868)张裕A(000869)吉电股份#股票分析[超话]# #股票[超话]# #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #华昌达 sz300278[股票]# #丰元股份 sz002805[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-10 23:30:18')
('长城动漫(000835)鑫茂科技(000836)秦川机床(000837)财信发展#股票分析[超话]# #股票[超话]# 芯能科技 sh603105[股票]##大通燃气 sz000593[股票]##山河药辅 sz300452[股票]##长盛轴承 sz300718[股票]##丰元股份 sz002805[股票]##明德生物 sz002932[股票]##科锐国际 sz300662##五洲新春 sh603667 ...展开全文c', '2018-07-10 23:25:48')
('鲁西化工(000830)五矿稀土(000831)*ST龙涤(000832)贵糖股份#股票分析[超话]# #股票[超话]# 芯能科技 sh603105[股票]##大通燃气 sz000593[股票]##山河药辅 sz300452[股票]##长盛轴承 sz300718[股票]##丰元股份 sz002805[股票]##明德生物 sz002932[股票]##科锐国际 sz300662##五洲新春 sh603667 ...展开全文c', '2018-07-10 23:25:32')
('启迪桑德(000826)*ST长兴(000827)东莞控股(000828)天音控股#股票分析[超话]# #股票[超话]# 芯能科技 sh603105[股票]##大通燃气 sz000593[股票]##山河药辅 sz300452[股票]##长盛轴承 sz300718[股票]##丰元股份 sz002805[股票]##明德生物 sz002932[股票]##科锐国际 sz300662##五洲新春 sh603667 ...展开全文c', '2018-07-10 23:25:11')
('京山轻机(000821)山东海化(000822)超声电子(000823)太钢不锈#股票分析[超话]# #股票[超话]# 芯能科技 sh603105[股票]##大通燃气 sz000593[股票]##山河药辅 sz300452[股票]##长盛轴承 sz300718[股票]##丰元股份 sz002805[股票]##明德生物 sz002932[股票]##科锐国际 sz300662##五洲新春 sh603667 ...展开全文c', '2018-07-10 23:24:44')
('辽河油田(000817)航锦科技(000818)岳阳兴长(000819)神雾节能\ue627 股票分析 \ue627 股票 芯能科技 sh603105[股票]##大通燃气 sz000593[股票]##山河药辅 sz300452[股票]##长盛轴承 sz300718[股票]##丰元股份 sz002805[股票]##明德生物 sz002932[股票]##科锐国际 sz300662##五洲新春 sh603667 ...展开全文c', '2018-07-10 23:23:50')
('斯太尔(000760)本钢板材(000761)西藏矿业(000762)锦州石化\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:15:29')
('新华制药(000756)浩物股份(000757)中色股份(000758)中百集团\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:15:07')
('超频三 猛狮科技 欣锐科技 福达合金 亚夏汽车 晓程科技 芯能科技 大通燃气 山河药铺 长盛轴承 明德生物 科锐国际 五洲新春\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# ...展开全文c', '2018-07-10 23:14:41')
('厦门信达(000701)正虹科技(000702)恒逸石化(000703)浙江震元\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:11:10')
('炼石有色(000697)沈阳化工(000698)S*ST佳纸(000699)模塑科技\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:10:45')
('亚太实业(000691)惠天热电(000692)*ST华泽(000693)滨海能源(0006\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:10:33')
('华讯方舟(000687)建新矿业(000688)ST宏业(000689)宝新能源\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:10:02')
('东方电子(000682)远兴能源(000683)中山公用(000685)东北证券\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:09:42')
('襄阳轴承(000678)大连友谊(000679)山推股份(000680)视觉中国\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:09:30')
('东北制药(000597)兴蓉环境(000598)青岛双星(000599)建投能源科锐国际 五洲新春\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# ...展开全文c', '2018-07-10 23:03:31')
('大通燃气(000593)国恒退(000594)宝塔实业(000595)古井贡酒(00059科锐国际 五洲新春\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# ...展开全文c', '2018-07-10 23:02:03')
('大通燃气 山河药铺 长盛轴承 明德生物 科锐国际 五洲新春\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 23:01:19')
('猛狮科技 欣锐科技 福达合金 亚夏汽车 晓程科技\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 22:40:31')
('华金资本(000532)万家乐(000533)万泽股份(000534)*ST猴王(000535\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 22:21:55')
('柳工(000528)广弘控股(000529)大冷股份(000530)穗恒运A(000531)\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 22:14:02')
('岭南控股(000524)红太阳(000525)紫光学大(000526)美的电器(000527)\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 22:13:44')
('长航凤凰(000520)长虹美菱(000521)白云山A(000522)广州浪奇(0005\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 22:13:36')
('国际医学(000516)荣安地产(000517)四环生物(000518)中兵红箭(000\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 22:13:04')
('发布了头条文章：《游资手法：反转形态逻辑拆解，亚夏汽车、超频三将复牌，咋玩？》 \ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# ...展开全文c', '2018-07-10 22:11:56')
('烯碳退(000511)丽珠集团(000513)渝开发(000514)攀渝钛业(000515)\ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# #科达利 sz002850[股票]# ...展开全文c', '2018-07-10 22:07:39')
('发布了头条文章：《前排龙头缩量加速！福达合金、天永智能、山河药辅该怎么接力？》 \ue627 股票分析 \ue627 股票 #芯能科技 sh603105[股票]# #大通燃气 sz000593[股票]# #山河药辅 sz300452[股票]# #长盛轴承 sz300718[股票]# #明德生物 sz002932[股票]# #五洲新春 sh603667[股票]# ...展开全文c', '2018-07-10 21:59:00')
('7月10日上午，明德生物正式在深交所上市，股票代码002932，发行价20.45元，总发行数1664.6287万股。明德生物于今年5月通过发审会审核，今天正式在深交所敲钟，完成上市的最后步骤。武汉明德生物科技股份有限公司成立于2008年，主要从事POCT快速诊断试剂与快速检测仪器的自主研发、生产和销售，曾 ...展开全文c', '2018-07-10 20:19:28')
('光谷生物产业10年迎收获期！明德生物在深交所敲钟上市|光谷生物产...祝贺', '2018-07-10 09:53:19')
('【明德生物上市五大蹊跷 负责人卧底成子公司股东】蹊跷一：两大直销客户不存在针对医疗检测试剂的业务需求。蹊跷二：明德生物关键客户负责人潜藏于明德生物的控股子公司股东名单中。蹊跷三：直销毛利率与产品成本、价格变化幅度不符。 |明德生物上...', '2018-07-10 05:35:50')
('2018年7月10日，武汉明德生物科技股份有限公司（证券代码：002932）在我所举行上市仪式。上市仪式结束后，公司的董监高还参加了由我所中小板公司管理部举办的“上市公司诚信与规范第一讲”培训活动。', '2018-07-10 05:33:20')
('明德生物今登A股：君联资本大健康产业的投资逻辑网页链接', '2018-07-10 03:16:32')
('继锐科激光（300747，SZ)成功挂牌之后，光谷2018年度第3家上市公司正式产生。7月10日，光谷生物医药领域知名创业公司武汉明德生物科技股份有限公司（以下简称明德生物）在深交所挂牌上市，股票代码002932、发行价20.45元。荆楚连线 网页链接', '2018-07-09 23:25:53')
('高通量POCT领先者#明德生物#今天上市啦！武汉明德生物科技股份有限公司成立于2008年，是一家专业从事体外诊断试剂及配套仪器（POCT\\分子诊断\\化学发光\\血气等）以及移动心电产品的研发、生产和销售的国家高新技术企业。公司先后通过欧盟CE认证和ISO13485质量管理体系认证，拥有CFDA注册的POCT快速诊断 ...展开全文c', '2018-07-09 22:19:20')
('【今日IPO早餐】明德生物今日上市，发行价26.71元；舒华体育IPO：业绩增长乏力，大客户安踏是关联方', '2018-07-09 21:40:52')
('明德生物准备数板了 你们猜会有几个', '2018-07-09 21:39:47')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $江苏雷利 sz300660$ $盛讯达 sz300518$ $明德生物 sz002932$ $天威视讯 sz002238$ 我的小蜗牛...', '2018-07-09 21:18:58')
('限售解禁：002431 棕榈股份300387 富邦股份 603305 旭升股份 002024 苏宁易购002225 濮耐股份300671 富满电子 002568 百润股份002325 洪涛股份 002932 明德生物300358 楚天科技603008 喜临门603598 引力传媒000910 大亚圣象复牌深赤湾A（000022）、三聚环保（300072、至纯科技（603690）。...展开全文c', '2018-07-09 21:12:33')
('#安信证券实盘晒活动#【2018-07-10】交易提示●新股申购日780869 长飞光纤●新股上市日002932 明德生物●可转债中签号公布日 ...展开全文c', '2018-07-09 20:47:11')
('北京股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $ST坊展 sh600149$ $好想你 sz002582$ $鲁泰A sz000726$ $明德生物 sz002932$ 爛Gag澔革...', '2018-07-09 18:45:03')
('一旦股票出现“长上影线”试盘，坚决捂股，必有一波翻倍行情！ $好莱客 sh603898$ $明德生物 sz002932$ $合金投资 sz000633$ $*ST创兴 sh600193$ 爛Gag澔革...', '2018-07-09 10:54:19')
('股市唯一可300%获利“均线”指标曝光，句句经典，简单易懂！ $*ST工新 sh600701$ $金利华电 sz300069$ $明德生物 sz002932$ $煌上煌 sz002695$ 爛Gag澔革...', '2018-07-08 01:33:12')
('草根股神分享“均线”追涨技巧，简单实用，必能抓龙头股一夜致富 $耀皮玻璃 sh600819$ $明德生物 sz002932$ $中科金财 sz002657$ $粤电力A sz000539$ yokki阳sup...', '2018-07-07 13:10:19')
('中字头军工又一新龙头再次封王，净利翻4346倍，6月或将碾压成妖 $长鹰信质 sz002664$ $明德生物 sz002932$ $青山纸业 sh600103$ $冰轮环境 sz000811$ 爛Gag澔革...', '2018-07-07 10:00:37')
('【湖北首家A+H上市公司即将诞生，大股东或变竞争对手？】本月中旬，长飞光纤将在上交所敲钟，正式成为A股的一员。这将是湖北今年第7家新上市公司。此前敦信金融、盛世乐居、声荣环保、尚德机构、锐科激光已相继上市，明德生物也将于近日上市。这也将是湖北第一家于两地市场公开上市的企业（A+H上市公司 ...展开全文c', '2018-07-06 06:00:17')
('股市唯一不骗人的指标——“换手率”，字字珠玑，建议散户收藏！ $春秋航空 sh601021$ $金银河 sz300619$ $上海九百 sh600838$ $明德生物 sz002932$ 欧欧欧哈的...', '2018-07-05 09:06:03')
('香港一老教授终把“股票七不买”讲清楚了，背熟5句下个股神是你 $聚龙股份 sz300202$ $明德生物 sz002932$ $广电网络 sh600831$ $美凯龙 sh601828$ 3305079245...', '2018-07-05 05:54:33')
('国产芯片第一龙头沉睡5年，大股东增持87亿，后市碾压京东方A！ $白云机场 sh600004$ $塔牌集团 sz002233$ $杭叉集团 sh603298$ $明德生物 sz002932$ L-花花-V幸...', '2018-07-04 12:03:11')
('中了明德生物，今年中了3只了，这个有肉吗？', '2018-07-04 01:04:19')
('这么多年，明德生物，', '2018-07-03 22:06:23')
('明德生物上市五大蹊跷 客户负责人卧底成子公司股东？ - 明德生物上市五大蹊跷 客户负责人卧底成子公司股东？ 网页链接', '2018-07-03 21:30:50')
('上海一女博士自暴“集合竞价”口诀，过了今夜永久删除，建议珍藏 $通化金马 sz000766$ $明德生物 sz002932$ $兴蓉环境 sz000598$ $美亚柏科 sz300188$ L-花花-V幸...', '2018-07-03 03:12:14')
('从4月底的空仓到只能申请新股，逐步远离股市。宁德时代中签带来的额度，从而继续能够申请新股，今晚明德生物再次中签，这是让人没法远离股市了……', '2018-07-02 10:29:06')
('#上证快讯#【明德生物中签号码出炉 共33292个】武汉明德生物科技股份有限公司首次公开发行股票网上定价发行摇号中签结果出炉，中签号码共有33,292个，每个中签号码只能认购500股武汉明德生物科技股份有限公司A股股票。|明德生物中...', '2018-07-02 09:05:51')
('明德生物中签号码出炉，中签号码共有33,292个，每个中签号码只能认购500股。', '2018-07-02 09:03:13')
('【明德生物：网上发行中签率为0.0145%】明德生物(002932)7月1日晚公告，本次网上定价发行的中签率为0.0145%，有效申购倍数为6881倍。本次发行采用直接定价方式，全部股份通过网上向公众投资者发行，不进行网下询价和配售。本次发行价格为20.45元/股。', '2018-07-02 00:47:23')
('一旦股票出现“长上影线”试盘，坚决捂股，必有一波翻倍行情！ $胜宏科技 sz300476$ $庞大集团 sh601258$ $鄂尔多斯 sh600295$ $明德生物 sz002932$ 我的小蜗牛...', '2018-07-01 09:58:52')
('黄金顺口溜——线上不做空，线下不做多，不会翻黑，不要卖 $明德生物 sz002932$ $中富通 sz300560$ $海南海药 sz000566$ $西宁特钢 sh600117$ 欧欧欧哈的...', '2018-07-01 09:54:34')
('涨价概念主力跑步进场抄底，后市有望疯狂拉升.. $欣锐科技 sz300745$ $明德生物 sz002932$ $文峰股份 sh601010$ $万里股份 sh600847$ QueenieL的...', '2018-06-30 22:28:22')
('股市唯一不“骗人”的指标——“均线”，句句经典，建议散户收藏 $广电网络 sh600831$ $朗姿股份 sz002612$ $金城医药 sz300233$ $明德生物 sz002932$ 欧欧欧哈的...', '2018-06-30 14:42:44')
('史上最适合抄底的技术形态,5分钟教你学会“抄底”,永不被套 $隆基股份 sh601012$ $维格娜丝 sh603518$ $明德生物 sz002932$ $大连热电 sh600719$ 欧欧欧哈的...', '2018-06-30 10:48:50')
('史上最全“选股顺口溜”，再忙也要花上5分钟背熟，堪称价值连城 $舍得酒业 sh600702$ $明德生物 sz002932$ $方盛制药 sh603998$ $东音股份 sz002793$ 欧欧欧哈的...', '2018-06-29 16:02:51')
('【提醒】1、新股申购——明德生物：申购代码002932，申购上限1.65万股，申购价格20.45元2、中兴通讯召开2017年度股东大会', '2018-06-29 05:20:01')
('【今日1新股申购】：明德生物，申购代码：002932，申购上限1.65万股，申购价格20.45元！——通常我建议盘尾申购，今天最后一次提醒，祝大家好运！', '2018-06-29 02:49:36')
('#新股申购# 明德生物，申购代码002932，申购价格20.45，申购上限1.65万股。', '2018-06-29 02:46:27')
('今日新股申购：明德生物此次发行总数约1664.63万股，网上发行为1664.6万股，发行市盈率22.99倍，申购代码为：002932，申购价格：20.45元', '2018-06-29 01:55:15')
('#东方财富#明德生物今日申购指南 顶格申购需配市值16.5万元|明德生物6...东方财富', '2018-06-28 23:45:33')
('早上好今日新股申购:明德生物爱点赞的容易中签哦这年头能中个新股数数板 简直赛过活神仙呐', '2018-06-28 23:44:17')
('6.29：新股申购①明德生物(002932)发行价20.45元，申购上限16500股。公司成立于2008年，是一家专业从事体外诊断试剂的研发、生产和销售的高科技生物公司。', '2018-06-28 23:07:29')
('关于 润建通信 做T的操作，及后期走势分析！ $中化国际 sh600500$ $珠海中富 sz000659$ $应流股份 sh603308$ $明德生物 sz002932$ 李小麦同学...', '2018-06-28 22:25:08')
('【6.29早盘】今日新股申购明德生物002932；昨日市场早盘低开后出现小幅反弹并翻红，但未能突破5日线，便遭遇抛压，午后直接回落翻绿，然后连续快速杀跌至尾盘，市场成交继续萎缩，明日美国将公布限制中方投资及出口管制清单，建议继续等待市场见底的企稳信号，等不确定因素释放完，先不着急入场。个人 ...展开全文c', '2018-06-28 21:47:27')
('今天有新股，不错的明德生物', '2018-06-28 21:30:59')
('【新股申购】今日新股：明德生物', '2018-06-28 21:20:09')
('今天明德生物新股-----申购--不要忘记摸彩票---祝大家好运', '2018-06-28 21:13:42')
('【擒牛早报】沪市半年报预披露时间表出炉，九华旅游拔得头筹；深交所：持续对高送转行为保持高压态势 每单必问、每单必查；农业农村部：“一带一路”奶业联盟成立；51信用卡今日开启招股，预期7月13日上市；发改委、商务部发布外商投资准入负面清单；新股明德生物今日申购。', '2018-06-28 21:00:12')
('宏时利大势研判（2018.06.29）：近期超短资金参与抢3连板以上的股票，意外没有被特停，市场短期气氛会有缓和，操作上，依然看好创业板守住1530点以上的的反弹，感谢各位对宏时利的关注与支持，祝各位投资愉快！新股申购】明德生物（002932)发行价20.45元，申购上限1.65万股，主营快速诊断试剂。', '2018-06-28 20:56:47')
('【今天市场看点】 1、熊市中期阶段每到周五就跌，因为担心周末有不确定性利空出现； 2、人民币持续贬值，受益股7月6日前有局部的操作机会； 3、权重股压力沉重，目前一定要从白马股撤离，不可大意； 4、明德生物今天申购，申购代码为：002932，主营医药制造业。网页链接', '2018-06-28 20:53:21')
('上海一老教授终把“股票七不买”讲清楚了，仅分享一次，今晚就删 $中国核电 sh601985$ $中船科技 sh600072$ $渝开发 sz000514$ $明德生物 sz002932$ 凌_BLove新...', '2018-06-28 20:48:13')
('【新股提示】6月29日发行002932明德生物20.45元/股，上限1.65万股。', '2018-06-28 20:41:35')
('【6月29日新股申购友情提示】※ 今日1支新股申购 ※○明德生物：申购代码002932，申购上限1.65万股，申购价格20.45元，公司主营POCT快速诊断试剂与快速检测仪器的自主研发、生产和销售。', '2018-06-28 20:34:54')
('早上好，打卡签到祝好运，新股申购002932明德生物。关注$红宇新材 sz300345$ $晓程科技 sz300139$ 。', '2018-06-28 20:27:38')
('【早知道：沪市半年报预披露时间表出炉，业绩增长受关注】今日明德生物可申购；沪市半年报预披露时间表出炉，业绩增长受关注；夏季用... 网页链接', '2018-06-28 19:39:03')
('【#明德生物#6月29日申购指南 顶格申购需配市值16.5万元】明德生物此次发行总数约1664.63万股，网上发行为1664.6万股，发行市盈率22.99倍，申购代码为：002932，申购价格：20.45元，单一帐户申购上限1.65万股，申购数量500股整数倍。|明德生物6...', '2018-06-28 19:33:34')
('明德生物(002932)明日将进行网上网下申购，发行价20.45元/股，发行市盈率22.99。公司以“创新即时诊断、引领智慧医疗”为经营宗旨，主要从事POCT快速诊断试剂与快速检测仪器的自主研发、生产和销售。', '2018-06-28 04:10:34')
('#申购信息#2018年6月29日，武汉明德生物科技股份有限公司（简称：明德生物）将通过深交所网下发行电子平台和交易系统发行新股，具体信息如下。', '2018-06-28 03:57:02')
('【明德生物6月29日申购宝典】根据监管层安排，明德生物将于6月29日（周五）在深交所上市申购，股票代码：002932，申购代码：002932，总发行数量1664万股，发行价格：20.45元，单账户申购上限为1.65万股，发行市盈率22.99倍，以下为明德生物申购宝典：网页链接', '2018-06-28 02:49:43')
('2018年6月27日，武汉明德生物科技股份有限公司（简称：明德生物）披露招股书，拟于近期在深市发行新股并上市。', '2018-06-27 05:26:16')
('国内外巨头抢占POCT产品市场，明德生物能否突出重围？(同步自@新浪看点)网页链接', '2018-06-25 22:42:40')
('4、证-监-会核发2家企业IPO批文筹资总额不超9亿证-监-会周五晚间核发2家IPO批文，分别为密尔克卫（上交所）、明德生物（深交所中小板），筹资总额不超过9亿元，创下年内新低。点评：本周大盘暴-跌，监管层保持异常沉默，还在雷打不动发IPO，虽然募资只有9亿，但重要的是态度问题，A股都病入膏肓了 ...展开全文c', '2018-06-24 20:33:26')
('3、证-监-会核发2家企业IPO批文 筹资总额不超10亿证-监-会周五晚间核发2家IPO批文，分别为密尔克卫（上交所）、明德生物（深交所中小板），筹资总额不超过9亿元，创新年内新低。点评：IPO可以常态化，但每周都雷打不动的发，内心挺拔凉的；制度是死的，但人是活的，现在市场如此弱势，暂停IPO一周 ...展开全文c', '2018-06-24 01:29:03')
('【证监会核发2家企业IPO批文，筹资总金额不超过9亿元】上交所主板：密尔克卫化工供应链服务股份有限公司，深交所中小板：武汉明德生物科技股份有限公司。其中，武汉明德生物科技股份有限公司将直接定价发行。网页链接', '2018-06-23 05:21:31')
('st天馬跌停太多，週末又發了兩家9億，武漢明德生物順利過會。', '2018-06-22 23:13:21')
