('益丰药房 大千生态 哈森股份 百利科技！#初灵信息 sz300250[股票]# #东方电热 sz300217[股票]# #雅本化学 sz300261[股票]# 许楚沛分析...', '2018-07-24 08:38:54')
('实时播报：益丰药房：拟收购石家庄新兴药房连锁股份有限公司的控股权，股票停牌。', '2018-04-16 06:41:29')
('对于武汉武昌的益丰大药房，感到非常可耻，第一次打那边接通了，我说我要买药，可以送快递吗，就把我电话挂掉了，我在打，就没人接……无语……', '2018-04-16 03:47:14')
('要闻掘金1）叙战火推高金价油价 快捋捋你的投资逻辑精准信息、成飞集成、万安科技、龙宇燃油2）加强知识产权保护送来春风 5领域展现“中国智慧”蓝盾股份、江丰电子、美亚柏科、兆易创新...展开全文c', '2018-04-15 21:29:02')
('好久没更新了，国际惯例，亏损了，万兴科技当天下午负2卖了，不够预期，气的当时也把华测导航卖掉了，善了个哉，当天空仓，然后第二天进了当代明诚，亏损2个点走，西部黄金亏损9个点走，目前在桃李面包，益丰药房，心态已经被玩坏了，市场又不好，估计持续吃面，在这样吃面，估计很快要和股市说再见了 ...展开全文c', '2018-04-15 20:17:55')
('徐州四道街站台路西，益丰大药房北侧向西（巷口）十米路南“济生堂”，打着九七军区医院的名头招摇撞骗，希望看到的朋友不要再上当，我是在徐州儿童医院遇到的拖，门诊大厅和医院外站台都有拖，希望看到的朋友提高警惕，不要学我病急乱投医❗❗❗❗❗❗', '2018-04-14 22:49:33')
('中金公司认为，对进口抗癌药实施零关税，鼓励抗癌药进国门，是此前国内药品政策延续，预计未来创新药国门进一步打开。关注：恒瑞医药、科伦药业、华东医药、贝达药业、乐普医疗、上海医药；银河证券看好相关企业长期发展，如恒瑞医药、爱尔眼科、信邦制药、一心堂、益丰药房。|市场热点丨...', '2018-04-13 20:38:24')
('【这10家“金牌”最受机构欢迎，1500亿公募资金重仓他们！】#第十四届新财富金牌董秘# 本届共评选出10名最受机构投资者青睐董秘，他们分别是：东江环保、共进股份、华夏幸福、金螳螂、科士达、立讯精密、深圳华强、天威视讯、益丰药房、赢时胜；截至2017 年度三季度，共有2187 家上市公司被机构重仓， ...展开全文c', '2018-04-13 11:00:40')
('底部所分析的医药连锁益丰药房，大参林，老百姓全部新高!数字中国之恒峰信息两连板！牛骨接二连三，未来机会在哪里？为什么说会有全面牛市？具体分析：|全面牛市倒...', '2018-04-13 01:23:44')
('发布了头条文章：《最新重磅妖股：好太太 益丰药房 江苏租赁 兰生股份》 $好太太 sh603848$ $益丰药房 sh603939$ $江苏租赁 sh600901$ $兰生股份 sh600826$ #上证快讯# |最新重磅妖...', '2018-04-12 22:39:45')
('关注：恒瑞医药、科伦药业、华东医药、贝达药业、乐普医疗、上海医药；银河证券看好相关企业长期发展，如恒瑞医药、爱尔眼科、信邦制药、一心堂、益丰药房。呵呵', '2018-04-12 21:23:23')
('中金公司认为，对进口抗癌药实施零关税，鼓励抗癌药进国门，是此前国内药品政策延续，预计未来创新药国门进一步打开。关注：恒瑞医药、科伦药业、华东医药、贝达药业、乐普医疗、上海医药；银河证券看好相关企业长期发展，如恒瑞医药、爱尔眼科、信邦制药、一心堂、益丰药房。|市场热点丨...', '2018-04-12 21:26:22')
('医药股值得关注！创新药行业：恒瑞医药、泰格医药、凯莱英、贝达药业、我武生物、康弘药业等。医药商业：重点关注连锁医疗/医药终端，包括专科医院（爱尔眼科）、连锁药店（益丰药房、老百姓）、体检机构（美年健康）；品牌中药（片仔癀、济川药业），国药股份、国药一致、上海医药。', '2018-04-12 09:52:24')
('4月12日，今天大盘低开跌走最多跌了30多点，还是受到贸易战的影响，昨晚美股下跌也受一定的影响，盘中个股表现低迷，自己看中益丰药房，今天还是逆势上涨一点，就这样吧', '2018-04-12 07:35:33')
('发布了头条文章：《A股短期重点关注：国电电力+大参林+益丰药房》 |A股短期重...', '2018-04-12 06:52:39')
('发布了头条文章：《益丰药房(603939):医疗电商精准消息流出，揭晓最佳的进入时机》 $益丰药房 sh603939$ $紫光股份 sz000938$ |益丰药房(6...', '2018-04-07 01:29:55')
('华尔街见闻：「此板块2018年迎来确定性大牛市，下一个恒瑞医药、益丰药房就藏在这张表里；一只被忽视的数字中国核心标... 更多内容详见：|华尔街见闻... @华尔街见闻APP 下载客户端：网页链接', '2018-04-03 21:00:44')
('#财经新闻# 【医药零售万亿市场待开掘 益丰药房加快门店建设并购步伐】随着政府改革力度的不断加大，药销占比控制和零加成政策的严格实施，加上部分医药厂家及医院互联网信息企业的推动，这种模式的创新将不断出现，并将逐步为院外药店带来流量。', '2018-04-03 10:20:28')
('#e公司快讯# 【益丰药房：北上资金对国内药店行业关注度在提升】e公司讯，益丰药房(603939)董秘王付国做客e公司微访谈时称，北上资金通过对全球药品零售市场的研究，对比中国药品零售的发展现状，认为中国药品零售市场呈现集中度低、人口众多且老龄化加速、健康消费升级、医药分开政策等特征，所以，目 ...展开全文c', '2018-04-03 04:48:45')
('#e公司快讯# 【益丰药房：将逐步加快门店建设和并购步伐】e公司讯，益丰药房(603939)董秘王付国做客e公司微访谈时称，公司在2015年提出了未来三年（2016-2018）发展规划，即“新建1000家和并购相当于1000家门店销售规模”，从过去两年的发展及2018年的规划来看，公司将可实现这一目标。完成后，公司将 ...展开全文c', '2018-04-03 03:48:03')
('美股死亡交叉，股票尽量选没有贸易争端的，比如医药股。比如$益丰药房 sh603939$', '2018-04-02 13:26:12')
('曲奇模具商业模式的典型代表：爱尔眼科、通策医疗、益丰药房、金牌橱柜、尚品宅配......', '2018-03-31 21:01:04')
('#股票#医药板块可以关注个股，300630最近医药板块有一些个股频频有好的表现，上一次分享的突破买进的603939益丰药房同样表现不俗。当前的整理非常整齐，早上突破冲高回落，前几天医药板块都很好，最近有回落的可能，等回落站稳了是不是可以关注了【个人建议，仅供参考】', '2018-03-28 22:54:13')
('#今日看盘# 我的股票池中的部分个股业绩追踪：（1）益丰药房公司2017 全年实现收入和归母净利润48.07 和3.14 亿元，分别同增28.76%和40.03%，其中扣非净利润3.09亿元，同增42.14%，全年实现EPS 0.86 元，同增30.32%，业绩高增长符合之前预期。同比调整扣除约1900 万元的理财投资收益，公司净利 ...展开全文c', '2018-03-27 10:26:56')
('发布了头条文章：《益丰药房(603939)：主力吸筹9亿底部启动 ，本周望绝地反弹,暴涨成妖》$益丰药房 sh603939$ $高鸿股份 sz000851$ $永辉超市 sh601933$ |益丰药房(6...', '2018-03-27 09:07:39')
('分享一段刚刚写的医药炒作路径————最近医药股分上中下三军。中路是化药 恒瑞 率先新高、泰格跟进，后面延续到中药 片仔癀等大白马 后军乃受益于处方外流的药房 益丰、老百姓皆新高；上路是医药次新股，剑走偏锋 ，以快打快适合游资，很典型一品红、九典；下路则是医疗器械，首选爱尔眼科、乐普，但 ...展开全文c', '2018-03-27 01:26:36')
('我争取下半周整理密码7或8吧，这几天的密码就是金卡智能，幸福，加一个大丰实业。另外，前面的走得好的股可不少，包括创业软件，岭南股份，新美星，赛升药业，智能自控，先导，都不错的。---------这个时候，就不看益丰药房了，也没啥。', '2018-03-26 13:26:40')
('周二，发布了头条文章：《岛形缺口怎么补?》 --------世界股市初步止跌回稳，但-沪深主板创业板的指数的技术形态，并未完全改善，岛形缺口的形态不是利多形态，想补上缺口，需要大利好，需要较长时间。技术上必须保持高度警惕和机动性，不宜重仓，不宜大赌毛衣战和之事。 |岛形缺口怎...', '2018-03-26 23:14:16')
('#益丰药房 sh603939[股票]# 今天又是涨停板，自公开推荐以来，涨幅已经达到30%！，你不懂，自然有聪明的资金懂！', '2018-03-26 22:53:11')
('$大参林 sh603233$ 和$益丰药房 sh603939$ ，医药电商布局。慢牛股。看前几大股东，外资在不停买买买', '2018-03-26 09:53:49')
('【益丰药房】2017业绩：营收48.07亿元（+ 28.76%），净利润3.14亿元（+ 40.03%）。【新华制药】①2017业绩：营收45.16亿元（+ 12.47%），净利润2.10亿元（+ 71.42%）；②公司及子公司新达制药再次被认定为高新技术企业。【迪瑞医疗】2018Q1业绩预告：净利润3426.76 ~4112.12 万元（+25%~50%）。【通 ...展开全文c', '2018-03-25 11:25:26')
('$益丰药房 sh603939$ 2017年，公司营业收入同比增长28.76%，主要原因，一是老店同比内生增长，二是公司加速了新店建设和同行业并购，全年净增门店524家。报告期内，归属于上市公司股东的净利润和归属于上市公司股东的净利润扣除非经常性损益的净利润分别为3.14和3.09亿，各自较上年同比增长40.03%和42 ...展开全文c', '2018-03-25 04:08:53')
('$益丰药房 sh603939$ 本月的涨势有些超预期了，新婚时车队的一位朋友捡了个大便宜', '2018-03-20 17:04:45')
('主升浪三角形战法个股603939益丰药房，内部狙击主升浪战法班继续持有中', '2018-03-20 02:46:37')
('给大家一个数据，A股目前涨势最好的几只医药股（包括医药商业等），其中港资持仓最重的分别是：恒瑞医药、益丰药房、通化东宝、云南白药、泰格医药......发现了么？只要是港资重仓的医药股就没有走得差的~', '2018-03-19 12:17:14')
('未来大牛股，回调到20日均线可以大胆买入：1.科伦药业0024222.中国国旅6018883.益丰药房603939', '2018-03-19 09:20:35')
('#今日看盘#我在#新浪理财师#发布了投资观点【一心堂、益丰药房、大参林、老百姓的前景分析】一， 四家上市公司，都是属于医药连锁企业，整体来看都是具有长线的投资价值，但是一定要注意，这个前景是长期的，也是长线角度… *仅供参考*今日策略如下 网页链接', '2018-03-12 02:13:31')
('第二只 #晨光文具 sh603899[股票]# 类的个股 #益丰药房 sh603939[股票]# 但是感觉没有晨光强，但是也值得跟踪，都是等待买点的个股。', '2018-03-06 06:06:33')
('603939益丰药房，也是小中线趋势股，适当关注$益丰药房 sh603939$', '2018-03-05 23:55:54')
('株洲【@言西早_好梦如旧 】让时光慢下来然后我吃冰！嘻嘻，对，没错！冬天里吃冰，真的很爽！很刺激！哈哈哈哈哈哈哈，去特么的冬天吃冰会感冒！我只愿与你一起度过一个愉快的下午，时光带不走的是我们的照片。地址:人民中路桥头25栋103(益丰大药房旁边巷子进来5米)，高德地图导航搜好梦如旧即可 ...展开全文c', '2018-02-10 23:52:12')
('截至昨日2018年1月24日，港资持股数量占A股百分比10%以上的股票有：上海机场 600009、飞科电器 603868、宇通客车 600066、方正证券 601901、福耀玻璃 600660、恒瑞医药 600276、益丰药房 603939、欧普照明 603515、中国国旅 601888、海康威视 002415、老板电器 002508。这些股票都是中国资本市场的大白 ...展开全文c', '2018-01-27 18:44:19')
('本周收官，擒获了华泰证券、永辉超市、正邦科技、同花顺、东方财富、益丰药房等短线股。中线票也开始发力。周日我会更新摩尔《周刊》文章，部署下周策略~ 下周见！周末愉快股池文章更新在这里：网页链接', '2018-01-19 02:10:10')
('私募传闻集锦20180118益丰药房：近期流感类药品销售有所上升汉王科技：广州汽车客运站采用汉王人证核验闸机晶盛机电：光伏设备大单来临未来值得期待科斯伍德：龙门教育业绩符合预期利润增速回升赢合科技：资产优化进军半导体设备市场华大基因：在无创单病领域获重大技术突破 ...展开全文c', '2018-01-17 20:46:35')
('高毅 湖南益丰大药房医药连锁有限公司 高毅 湖南... 高毅 湖南...', '2018-01-08 04:40:56')
('603939益丰药房：原本计划三年新建1000家门店，可是两年过去了，这才完成开设门店392家。为了赶进度，益丰药房决定改“建”为“收”，一口气收购了三家公司，合计244家药店。', '2018-01-08 00:47:16')
('2018.1.3外资增持TOP35个股 1、海能达 2、格力电器 3、云南白药 4、聚光科技 5、苏泊尔 6、三花智控 7、招商蛇口 8、小天鹅 9、科士达 10、信维通信 11、五粮液 12、平安银行 13、康得新 14、大华股份 15、美亚光电 16、拓邦股份 17、伟星新材 18、分众传媒 19、宇通客车 20、益丰药房 21、中国国旅22 ...展开全文c', '2018-01-03 19:53:30')
('为什么益丰大药房卖的都是些杂牌小药厂的药？一味追逐利润，欺骗消费者可不地道。', '2017-12-27 09:10:58')
('医药连锁今年都走的不错，$益丰药房 sh603939$ $老百姓 sh603883$ 都慢牛。看了下$大参林 sh603233$ 的股东信息，流动股十大股东基本外资@微博股票组合 @微博股票', '2017-12-25 08:42:31')
('【12月20日外资增持top30个股】@A股数据挖掘机1、上海机场 2、飞科电器 3、宇通客车 4、益丰药房 5、长江电力 6、春秋航空 7、白云机场 8、宏发股份......|12月20日外...', '2017-12-21 05:48:48')
('今天下午四点多，一位有糖尿病的阿姨在人民中路益丰大药房朝阳旁边因低血糖突然晕倒，热心市民叫了附近正在执勤的警察叔叔，热心市民叫了益丰大药房的医生过来急救，当时这位阿姨神智有点不清醒了，医生查看一番掐了阿姨的人中，经过一番问诊，才知道阿姨是低血糖引起的，警察叔叔在益丰大药店里买了葡 ...展开全文c', '2017-12-19 08:23:56')
('【北向资金撤离A股？没这回事 这些股反而被大幅加仓】对比12月16日与9月16日沪股通的前20大重仓股，很明显的是飞科电器，持股上升非常快，目前为仅次于上海机场的第二大重仓股。益丰药房、欧普照明、白云机场等个股获得大举加仓。|北向资金撤...', '2017-12-18 10:00:37')
('【国大药房27.67亿元战投落地 开启大扩张模式力保“老大”地位】“近两年来，一心堂、老百姓、益丰药房等企业并购速度和规模更快一些。这也对国大药房构成了压力。”一位行业人士向记者表示。另有接近国药控股的知情人士向《证券日报》记者表示，国大药房此次引入战略投资者一是借助资金加速扩张，二是 ...展开全文c', '2017-12-08 03:00:03')
('一网友私信《现在的中老年人素质有多差？》一中老年（50-60岁）骑电动车在人行辅道上，撞了人还理智气壮。最后还跑了...网友：“事发国和路益丰大药房附近，下午3点30左右，现在同事的脚肿的和猪蹄一样。”', '2017-11-29 02:27:16')
('沪港通开通三周年，深港通也即将满一年，在互联互通机制下，越来越多的港资进入A股市场，主要青睐股票曝光：共有8只沪股通标的股港资控盘比例超过一成，分别是上海机场、飞科电器、方正证券、宇通客车、福耀玻璃、恒瑞医药、欧普照明、益丰药房。', '2017-11-16 08:44:58')
('$益丰药房 sh603939$ 医药零售，看来券商的共识推它了。2017年1-3Q，公司通过“并购+新开”并重的外延式扩张和存量门店内生增长并举的方式实现快速增长。截至2017年9月30日，公司拥有门店1890家（含加盟门店70家），其中3Q净增门店107家（其中，新开81家，收购18家，加盟店20家，关闭12家）。此外，公 ...展开全文c', '2017-10-28 08:31:40')
('$益丰药房 sh603939$ 昨天公布的三季报亮眼，收入、利润、毛利同步上升。今天医药股整体修整，老百姓平平。这是个股独立行情。', '2017-10-26 22:08:20')
('#穿越而来的时空# $益丰药房 sh603939$', '2017-10-25 09:39:59')
('园东路益丰大药房门口有只小狗穿着衣服不像流浪狗感觉是走丢了一只在发抖大家看到麻烦帮忙转发找下主人吧🏻🏻🏻有没有人认识这个狗的！好可怜！它在焦急的等待主人@大厂在线', '2017-10-25 08:38:34')
('$欧普照明 sh603515$ $飞科电器 sh603868$ $益丰药房 sh603939$ 走势非常像', '2017-10-25 06:15:59')
('$益丰药房 sh603939$ mark一下，10年。', '2017-10-24 21:53:37')
('#今日看盘# 【送转预期标的汇总】$美芝股份 sz002856$ 美芝股份、扬杰科技、万林股份、中国电影 、田中精机、金贵银业、汇冠股份、金冠电气、益丰药房、川金诺。上述是目前所有在招股说明书里提及应当送转或（三年）至少送转一次的上市公司，其中美芝股份、扬杰科技、万林股份是大概率送转的标的，目前 ...展开全文c', '2017-10-12 22:56:51')
('发布了头条文章：《A股最强黑马：昭衍新药+益丰药房+老百姓》 $益丰药房 sh603939$ |A股最强黑...', '2017-09-29 21:13:42')
('今天社区在例行安全隐患检查的过程中发现了位于清凉门大街的益丰药房员工生活区一处电线电缆乱成一锅粥，存在安全隐患社区检查人员通知了益丰药房公司领导立即整改确保安全隐患消除在萌芽状态。', '2017-09-22 03:13:09')
