('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('今天盘面热点跟踪：富勒烯概念继续走强，龙头通产丽星四连板，亿利达涨停；石墨烯板块午后大涨，碳元科技、中超控股、大富科技、德尔未来、杭电股份等多股涨停。中兴通讯午后再度涨停，四天三板，带动5G板块走强，富春股份、邦讯技术、恒泰实达、飞荣达、菲利华、深南股份、纵横通信、沃特股份等 ...展开全文c', '2018-07-17 10:19:33')
('2连板 飞荣达 中兴通讯 纵横通信 海达股份 亿利达 金安国纪 沃特股份 南京新百', '2018-07-17 09:51:55')
('5G板块 富春股份 飞荣达 中兴通讯 大富科技 纵横通信 邦讯技术 瀛通通讯 沃特股份', '2018-07-17 09:51:09')
('大氛围不好，三变科技这种板，都不能强烈吸引投机客的大幅讨论。明天如果分歧中上板才会聚焦人气。风格来看，5g和石墨烯和锂电池和芯片，4个方向。锂电池：伊格尔能否二板。（条件：天华超净止跌。5g:纵横通信能否二板，能否不畏惧意华股份的标高限制。（条件：中兴通讯继续强势）石墨烯：情绪标高 ...展开全文c', '2018-07-17 09:49:05')
('7.18股市盘前八点半超跌行情，没啥热点，真是难操作。5g还是看港股中兴带盘效应，今天纵横通信卡位意华股份，沃特跟风，整体看还是弱，倒是芯片出现三只涨停。明天5g滞涨，芯片可能会有一日游行情。其他的次新还要补跌不到位置，天天说的锐科激光，仍然是随盘低位吸，做弱市次新要心态稳定，老手 ...展开全文c', '2018-07-17 09:49:00')
('发布了头条文章：《缩量暗藏玄机》 #财经头条文章# #今日看盘# $纵横通信 sh603602$ $邦讯技术 sz300312$ |缩量暗藏玄...', '2018-07-17 09:20:04')
('今日前排回顾：首先是意华股份市场的最前排，早上竞价非常不好，然后又被富勒烯这个玩意顶了一字直接四版，然后中兴通讯都高开了，弄得非常尴尬，就连小弟纵横通信都比他火，弄得没办法跟风中兴通讯，然后资金最后也没有选择去拉板意华股份，结果又是一碗大面。所以早上盘如果能看透这个逻辑，就不会去 ...展开全文c', '2018-07-17 09:13:24')
('今日操作写的够清楚了，双响炮，纵横通信，中兴通讯！全部涨停！另外明日值得关注的强势股有亿利达，金安国纪，飞荣达，沃特股份，南京新百，通产丽星，三变科技！每天总结一下 对大家有帮助的 看看牛股连板股到底是怎么走的？', '2018-07-17 08:54:19')
('英特集团获利出掉后打板金安国纪没有买进去，随后打板了纵横通信和亿利达，越博如期反弹，深冷没动在不强就走了，看明天票情况，打板账号本月0失误获利30多点了', '2018-07-17 08:39:53')
('波段账户惊喜$埃斯顿 sz002747$ 是在在上个月给圈内部分朋友的福利，波段持股已经不止26%利润，今天已经放量突破近期高位，看看是否还有惊喜话说今天早评分享的票也不错，$纵横通信 sh603602$ 纵横通信二连板成为接力意华股份的人气先锋，美格智能也还不错，$宝泰隆 sh601011$ 盘 ...展开全文c', '2018-07-17 08:16:28')
('网页链接 新浪财经讯 7月17日消息，早盘5G概念股持续走强，截止发稿，富春通信、恒康实达、飞荣达、菲利华、纵横通信等多股涨停，中...|快讯：5G概...', '2018-07-17 08:13:58')
('【今日热点回顾+领涨股点评】1. 5G：富春股份、邦讯技术、恒泰实达、飞荣达、菲利华、深南股份、纵横通信、中兴通讯富春股份（300299）：7月16日晚间，富春股份发布公司股票复牌暨推进重大资产重组公告称，公司拟以现金方式收购福建省鸿达电子技术开发有限公司（以下简称“鸿达电子”）51%股权，以 ...展开全文c', '2018-07-17 07:52:57')
('0717复盘及0718计划：今天沪市杀跌，5g和富勒烯线路赚钱效应爆棚，但是5g小票止步4板，弱于富勒烯。明日关注通产丽星5板换手承接6%的换手，纵横通信和飞荣达明天关注2进3的机会纵横今天换手漂亮，如果明天集合竞价带量1个亿高开6个点就开仓。', '2018-07-17 07:49:13')
('文来头狼精选（周三）下一步如何止盈头狼回顾：中兴通讯继续，意华股份回撤调整。涨停板精选1、中兴通讯 ...展开全文c', '2018-07-17 07:40:57')
('5穷6绝7翻身你还信吗#彤程新材 sh603650[股票]# #纵横通信 sh603602[股票]# #中兴通讯 sz000063[股票]# |7.17王者复...', '2018-07-17 07:37:46')
('5G板块今天继续爆发，中军$中兴通讯 sz000063$ 4天3板。龙头$意华股份 sz002897$ 接力意愿不足止步4板，被纵横通信卡位，邦讯科技，沃特股份，大富科技等助攻。关于这个板块，明天各位可以关注一下前排强势股的梯队，现在有点尴尬的是，没有高度板，除了中兴通讯其他都是2板。中兴我刚才看了一下龙猫榜 ...展开全文c', '2018-07-17 07:32:37')
('我们不妨继续看看5G板块，昨天谈到的涨停品种里，飞荣达，纵横通信还有中兴通讯继续涨停，整体依然具有很强烈的板块效应，持续性的攻击就这样体现了出来，这也就很自然进一步支撑了整个市场的做多氛围。下午创业板做多力量渐渐积蓄，最终创业板能再次收红，5G板块可以说是很好打下了做多的基础。这里有 ...展开全文c', '2018-07-17 07:04:45')
('市场乱拳打方向，明日该怎么参与？（2018-07-17 游资复盘）打开公众号关注一下，看复盘更方便：网页链接\ue627 财经头条文章 \ue627 微博股评团 \ue627 投资 \ue627 今日看盘 #上证指数sh000001# #沃特股份 sz002886[股票]# #中兴通讯 sz000063[股票]# #南京新百 sh600682[股票]# ...展开全文c', '2018-07-17 06:55:12')
('三大指数均现缩量调整，上证50两阴夹一阳，成为杀跌元凶，近乎收回周四涨幅后方止跌企稳；创业板再次被沪指拖累，受到5日线支撑后分时图筑双底暂时止跌企稳。盘面：1、富勒烯涨价+超跌的通产丽星4板成妖，成为当前空间板，三变科技地天板5天4板跟随，纵横通信、飞荣达、海达股份、亿利达、金安国际2 ...展开全文c', '2018-07-17 06:37:35')
('【7.17周二午间】湖南人涨跌停复盘涨停34家 连板6家 一字板8家 涨停开板15家 跌停18家【5G】300299 富春股份 一字板 1 5G+复牌收购收购鸿达电子300602 飞荣达 9:30 2 5G+业绩预增002417 深南股份 9:57 1 5G+中兴禁令解除300134 大富科技 10:32 1 5G+股权冻结 ...展开全文c', '2018-07-17 06:15:14')
('午间短评：两市早盘低开震荡下行，沪指直接击穿2800点整数关口。临近中午收盘，指数勉强止跌。市场热点萎靡，个股跌多涨少。预计午后仍有可能继续下探，建议以观望为主。盘面热点:①连板股：4只个股连板，2板亿利达、纵横通信、飞荣达、金安国纪。市场人气龙头天华超净陨落，新龙未出现之前多一分 ...展开全文c', '2018-07-17 05:42:01')
('短线风险开始加大，一言不合昨日冲击涨停没封住板的，今天就按跌停，譬如星云股份。全天板块热点5g，中兴通讯。纵横通信，大富科技等个股封涨停，但个人觉得溢价有限，昨日买5g龙头还是不错的，今日在买就没啥性价比了。大盘尾盘拉升一波，创业板直接拉红，说明最近市场还是创业板较为强势。个股风险比 ...展开全文c', '2018-07-17 05:40:39')
('中兴通讯午后再度涨停，四天三板，带动5G板块走强，富春股份、邦讯技术、恒泰实达、飞荣达、菲利华、深南股份、纵横通信、沃特股份等10逾只个股涨停。', '2018-07-17 04:52:06')
('通信今天涨的真凶，中兴通讯今天已近四连板了，纵横通信也涨停了。总觉得在A股市场价值投资不靠谱，但是有股市有题材有核心内涵的中兴还是在节节高，黑天鹅渐行渐远，中兴路在何方？', '2018-07-17 04:35:25')
('来自【A股市场动态】:5G板块持续强势，龙头飞荣达秒板，中兴通讯、大富科技、纵横通信涨停。石墨烯板块午后逆势拉升，龙头德尔 文章详见:|沪指失守28... @华尔街见闻APP 客户端：|Read less ...', '2018-07-17 04:33:27')
('沪指再度跌破2800点并跌超1%，5G、芯片等题材股逆市活跃，沪指收报2798点，跌0.57%。深成指收报9285点，跌0.35%。超级品牌、钢铁行业、煤炭采选、酿酒行业等板块跌幅靠前。行业板块方面，5G概念股再度拉升，中兴通讯(000063,诊股)触及涨停，富春通信、大富科技(300134,诊股)、纵横通信(603602,诊股) ...展开全文c', '2018-07-17 04:16:18')
('金哥7月13日VIP圈内潜伏的反弹强势牛股纵横通信603602再次强势拉升9%以上，目前喜获3天2板的走势，跟上操作的伙伴们盈利不低于22%的利润，后期利益会进一步扩大！ 网页链接', '2018-07-17 04:14:52')
('早盘，两市双双低开，开盘后震荡下行，盘中刺穿2800点后继续走低，并在上方压制下，跌破10日均线的支撑。此后，板块个股继续回落，指数也继续下行走低。10时30分许，金融股止跌小幅回升，带动指数盘中企稳。板块上，通信设备领涨，富春通信、纵横通信等涨停，中兴通讯等多股冲击涨停；环境保护紧随其后 ...展开全文c', '2018-07-17 04:01:26')
('连板：通产丽星-4、海达股份-2、亿利达-2、金安国际-2、纵横通信-2、飞荣达-2、中兴通讯-2、沃特股份-2、南京新百-2、5g：富春股份、飞荣达、深南骨粉、大富科技、纵横通信、中兴通讯、10家石墨烯：通产丽星、亿利达、德尔未来、5家 ...展开全文c', '2018-07-17 03:56:28')
('|20180717复... $纵横通信 sh603602$ $东方嘉盛 sz002889$ $美格智能 sz002881$ $亿嘉和 sh603666$ $汉嘉设计 sz300746$ $沃特股份 sz002886$ $华帝股份 sz002035$ $盛运环保 sz300090$ $地素时尚 sh603587$ $益生股份 sz002458$ $碳元科技 sh603133$', '2018-07-17 03:21:28')
('$上证指数 sh000001$ 开盘30分钟 市场持续走弱，权重50大盘股拖累市场。题材方面：5G板块开盘强势，龙头飞荣达、纵横通信率先2板，中兴通讯大涨8%，大富科技、纵横通信涨6%，意华股份、吴通控股均有冲高。传媒板块轮番拉升：引力传媒+6.4%，华谊兄弟+5.4%，华谊嘉信+4.4%。强势股昨日炸板三变科技天地 ...展开全文c', '2018-07-17 03:05:17')
('大盘确实不行 一直都不行 即便明天能到2700 已有个股走独立行情了所以7月底到8月初的这个反弹机会在创业板 在个股 推荐几只 仅供参考短线打板 要最强的002112 三变科技 明天开盘低开是买进机会603602 尽管不看好中兴通讯 但这只纵横通信值得期待...展开全文c', '2018-07-17 02:30:31')
('今天早盘的两只，纵横通信，京威股份和午盘的一只至纯科技，大肉利润，完全弥补昨天的斩仓，这就是一种调仓的手法。今天的割肉，我会去更快的地方找回。', '2018-07-17 02:21:07')
('#000063中兴通讯# #纵横通信 sh603602[股票]# 两只封板，#意华股份sz002897[股票]# 跟早上预测的一样高开低走#牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票 $上证指数 sh000001$@实战老张 #今日看盘##财经头条文章# $上证指数 sh000001$ $创业板指 sz399006$ #财经头条视频# @微博股票 ...展开全文c', '2018-07-17 02:18:14')
('盘中实时提示：沪指和创业板指双双震荡下跌，5G概念股表现持续活跃，富春股份，纵横通信，飞荣达，大富科技，4股涨停；彩票、中超、影视、手游等概念也有所表现。煤炭、钢铁、酿酒、医药等板块表现疲软，再次提示，这个时候的下杀，大家不要怕，下杀力度有限，本周还有反弹机会的，耐心等待 ...展开全文c', '2018-07-17 02:16:15')
('总结一下操作，绿色动力，天华超净低吸，竞价两笔，京威股份，纵横通信。彤程新材，卡位5日线介入。锁仓天永智能，就这些，然后耐心等待。', '2018-07-17 01:28:06')
('纵横通信吃了两个涨停走了，后面再怎么走和我无关，昨天开仓的天地数码，友讯达顺利拉伸，一切再掌握中，今天开仓三超新材，等明天吃肉，大盘明天弱反，黑周四或者黑周五', '2018-07-17 01:09:34')
('今天早盘没有特别好的标的，只小仓位买了纵横通信$纵横通信 sh603602$ ，另一部分低吸诚迈科技$诚迈科技 sz300598$ ，看下午有没有风来了', '2018-07-17 00:47:01')
('今日上纵横通信都是二板模式，通讯是热点，中兴通讯必做！大资金最爱！进出方便，又是低位，机构疯狂买入逻辑清晰，就好动手！', '2018-07-17 00:32:55')
('今日沪深两市股指低开高走随后回落，震荡下行，午盘前探底回升，创业板指一度翻红，午后股指再度持续走弱，沪指失守五日线。受中兴解禁港股大涨A股涨停带动，5G板块集体大涨，沃特股份、纵横通信、创意信息等多股涨停。目前还是反弹阶段，影响市场的不确定因素太多，如参与抢反弹宜快进快出不建议重仓...展开全文c', '2018-07-17 00:28:58')
('上证指数5分钟还没有出现底背离，创业板指数15分钟跌破了中枢下轨，目前看力度不是很大，暂时没有看到我昨天说的进场信号，继续耐心等待，多点耐心，反弹快了盘面来看，通产丽星4板，又是缩量一字套路，小心尾盘炸板就行，5G今天分化，意华股份冲高回落，纵横通信完成2板，中兴通讯继续走趋势，担当板 ...展开全文c', '2018-07-17 00:24:15')
('实盘记录，纵横通信，002886,002881.都有填权十通信。', '2018-07-17 00:07:07')
('昨天说了没法干，今天情况差不多，沪指中阴压制盘面，但题材股开始预热，近端填权又站了出来，纵横通信率先涨停，炸了还能回封，不错！另一个信号是三变科技拉出了地天板，厉害！看来可以找机会干点活了', '2018-07-16 23:58:27')
('纵横通信也是如期二板，但目前生态，还是不打板了！目前的炒作逻辑就是低吸底部筹码换手良好的超跌股！短期很多错杀个股！多翻翻会有黄金！今天复盘重点找错杀股！', '2018-07-16 23:56:09')
('多的不说！通产一字板！板块联动亿利达、中兴通讯。盛运高开六个点放弃了。纵横通信因为是603开头的票放弃了。大富科技上周说的反抽板。来晚了liangtiann', '2018-07-16 23:36:19')
('#赢在早盘# 周二早盘延续弱势，指数全线回调；小范围个股机会延续，具体看，富勒烯概念的通产丽星T字四连板，亿利达高开连板放量，玉龙股份连板后高位震荡；5G的纵横通信高开连板，盛洋科技连板后涨停开盘低走放量，新启动大富科技等助攻，中兴通讯大涨9%；超跌人气三变科技跌停开板天地板，同比缩量， ...展开全文c', '2018-07-16 23:35:32')
('$纵横通信 sh603602$ 如预期判断封上涨停（10：34分提示），就是那个时间在分时均价附近连续买入，之后这个点就成了最高价，强势两连板。都是通讯板块的个股。青春$合纵科技 sz300477$ 这个低吸高抛的T也做得好，赚了差不多5个点差价，进一步扩大了利润，现在该股上涨7个多点。', '2018-07-16 23:07:31')
('正在填权的还有佳发教育、荣飞达、纵横通信、科恒股份、埃斯顿、赫美集团、石基信息等', '2018-07-16 22:34:19')
('5G概念股早盘再度拉升，富春通信、恒康实达、飞荣达、大富科技、纵横通信等7只个股涨停，中兴通讯再度触及涨停，近4个交易日涨幅已达40%。中兴解禁提振5G预期，下半年开始，5G发牌的时间渐行渐近，5G的投资将进入实质阶段。', '2018-07-16 22:27:00')
('整点复盘：高位票继续回落，今天早盘5G分化，板块内大面积个股上涨，但始终没有出现领头羊，都在等直到纵横通信站出来卡位意华股份，但事与愿违的是并没有带动5G板块进一步的上攻，5G面临有利润兑现的可能性，不宜追涨。盘面的第二个现象，还是超低反弹的低价股非常活跃，最强日内振幅三变科技有较大概 ...展开全文c', '2018-07-16 22:16:54')
('最近连续涨停的（002897意华股份）（300602纵横通信）都是5G且还是高送转填权概念，次新股最近几天持续有所降温，高送转却在逐步升温，随着中报将陆续的公布，中报高送转的将很快实施，游资都是抓住炒预期和提前行动的', '2018-07-16 22:16:28')
('哪果继续封板需要的资金量可不是小数字，可能会比较吃力一些。5G概念的$纵横通信 sh603602$ 强势涨停,震荡行情建议大家把握好低吸机会!', '2018-07-16 22:16:29')
('$中兴通讯 sz000063$被美国解禁后，直接刺激5G.元器件，相关个股拉升，不过中兴这条咸鱼犹犹豫豫的，你到底是封上去呀，看看人家$纵横通信 sh603602$ ，彻底点请见$飞荣达 sz300602$\ue627 今日看盘', '2018-07-16 22:15:39')
('纵横通信，先拿一个涨停板兑现给你们。#纵横通信 sh603602[股票]#', '2018-07-16 22:15:37')
('上周策略提示进场的603602纵横通信，今天已经第二板了，稳健者可止盈出局锁定收益，激进者可跟我继续持股。\ue627 投资 \ue627 A股 \ue627 卦哥家', '2018-07-16 22:15:25')
('绿色动力，纵横通信，京威股份都介入一笔。', '2018-07-16 22:12:16')
('中兴通讯再度冲击涨停，刺激纵横通信、意华股份、大富科技等5G概念股拉升走强。而芯片方面，兆易创新、兆日科技、全志科技等也有些小动作。科技股如能走强，能在一定程度上缓解一下压力。', '2018-07-16 22:11:50')
('科技股持仓待涨，关注方向尽量做创业板方向科技股的低吸，由于大盘弱，要控制仓位。 纵横通信早盘封住涨停，源于港股的中兴通信 一路高歌。\ue627 今日看盘', '2018-07-16 22:11:22')
('大盘和上证50指数稍微反弹后继续下跌，（000063中兴通讯）被美国解禁后连续大涨反弹，今日刺激了5G、元器件等相关个股拉升，（603602纵横通信）（300602飞荣达）等继续连板', '2018-07-16 22:10:52')
('每日一板，弹无虚发！早盘公开推荐603602纵横通信成功涨停', '2018-07-16 22:09:34')
('纵横通信换手板，挺好，振静平盘出来先，今天利空有点大，中兴吸金，先观察', '2018-07-16 22:08:48')
('纵横通信，早盘封住涨停，源于港股的中兴通信 一路高歌创业板指翻红，观察6月19日向下的缺口能否突破，今日市场面临变盘的窗口，大家稳健行事有盈利的个股要懂得及时的止盈，落袋为安！目前盘面基本稳定，但是一定要精选一些板块个股，特别提示，大盘权重股大家千万别碰，是个坑。', '2018-07-16 22:07:49')
('早上买的603602纵横通信涨停', '2018-07-16 22:05:36')
('中兴通讯摸板，带动大富科技、纵横通信、美格智能、意华股份等通讯股拉起一波，创指为此翻红。但中兴通讯今天应该是本波的冲顶结束，明在进入调整。', '2018-07-16 22:02:57')
('意华昨天走的这么好，纵横通信是跟班，今天位置逆转了。', '2018-07-16 22:01:17')
('今日两个涨停，纵横通信，中兴通讯！加入教父实盘群，就是那么爽 实战涨停教...', '2018-07-16 22:00:49')
('【大盘：5G板块早盘强势 中兴通讯大涨8%】5G板块早盘强势，飞荣达(37.510, 3.41, 10.00%)、富春通信涨停，中兴通讯大涨8%，大富科技(10.680, 0.97, 9.99%)、纵横通信(36.850, 3.35, 10.00%)涨逾6%。', '2018-07-16 21:58:02')
('盘前推出的603602 纵横通信成功涨停，逆势大赚，恭喜大家！！', '2018-07-16 21:54:33')
('股票涨停预测，7月17日，国统股份（002205），维科技术（600152）、金安国纪（002636）、纵横通信（603602）、盛运环保（300090）由牛人推荐。P.S.不作为投资建议参考，仅作为实验记录', '2018-07-16 21:46:03')
('5G板块开盘强势，龙头$飞荣达 sz300602$ 秒板，中兴通讯大涨8%，大富科技、纵横通信涨6%，意华股份、吴通控股均有冲高。', '2018-07-16 21:44:49')
('盛洋科技，缩量一字，肯定是丢，这时候拒绝缩量一字，纵横通信，亿联网络，创意信息可以上，彤程新材，可以低吸高抛。... @爱股票网页链接', '2018-07-16 21:40:08')
('大盘惯性低开释放压力，静候反弹。开盘通信股反弹，富春股份、盛洋科技开盘涨停，中兴通讯、纵横通信、鼎信通讯、大富科技亦是上涨。', '2018-07-16 21:33:41')
('#股票每日分享#603602 纵横通信 5G板块600552 凯盛科技300183 东软载波600695 绿庭投资', '2018-07-16 21:30:18')
('竞价看异动：超跌概念股$维科技术 sh600152$ 、英特集团，业绩预增概念股$京威股份 sz002662$ ，5G概念股纵横通信、中兴通讯，并购重组概念股盛洋科技、盛屯矿业，富勒烯概念股通产丽星，独立个股亚夏汽车、三联虹普', '2018-07-16 21:26:40')
('早盘分享：$纵横通信 sh603602$', '2018-07-16 21:25:02')
('.5G：沃特股份+纵横通信+美格智能+飞荣达+意华股份+奥维通信+中兴通讯+创意信息。龙头是三板的意华股份，中军是中兴通讯，这个题材是基于中兴解禁的消息刺激，已经持续了三四天了，后面的风险大了，龙头意华股份，中兴通讯是上周操作今日继续关注的个股，后面可以观察其情况是否超预期。今日可跟个股： ...展开全文c', '2018-07-16 21:24:51')
('09:23 盘前精选牛股：纵横通信603602 该股是一家集通信工程建设服务、网络优化、软件产品研发、增值业务为一体的国家级高新技术企业，总部位于中国杭州，分支机构遍布北京、上海、河南、河北、陕西、广东、江苏、福建等地。多年来公司始终服务于全国各地的中国移动、电信、联通及网通等大型运营商；盘 ...展开全文c', '2018-07-16 21:23:59')
('集合竞价：$玉龙股份 sh601028$$盛洋科技 sh603703$$纵横通信 sh603602$$飞荣达 sz300602$$意华股份 sz002897$持续性比较好 ...展开全文c', '2018-07-16 21:23:15')
('【周一热点复盘】计算机：长亮科技芯片：金安国际、东软载波富勒烯：通产丽星、亿利达新能源汽车：京威股份、中能电气填权+5G：意华股份、纵横通信、美格智能、沃特股份 ...展开全文c', '2018-07-16 21:20:23')
('$上证指数 sh000001$ 核心1板：纵横通信、中兴通讯、海达股份核心2板：中能电气、英特集团、玉龙股份核心3板：意华股份、通产丽星、京威股份', '2018-07-16 21:19:33')
('说一下5G——龙头意华股份，龙二纵横通信，中军便是$中兴通讯 sz000063$ 。意华股份估计要一字板不好接力，如果不是一字板，也可能高开低走，总之我不玩。5G里面大都是缩量的，没那本事别进场接刀子。超跌：盛运环保，绿盘承接力强才可以考虑介入。次新：$彤程新材 sh603650$ ，昨天烂板，今天看能不 ...展开全文c', '2018-07-16 21:18:51')
('纵横通信/彤程新材：说实话，首板股太多，很难预判出哪一只首板股，会在明日抢夺人气，率先强势连板。仅从今日的盘面表现看，我觉得纵横和彤程，是明日比较值得关注的首板股。前者有5G、填权、次新和复牌概念，这几个概念近期都在持续表现，纵横是在天华炸板跳水的时候，逆势拉板，时间卡的很好，吸引 ...展开全文c', '2018-07-16 21:08:27')
('早盘策略1、先说短线5G：龙头意华股份，龙二纵横通信，中军中兴通讯。观察好了，意华股份估计要一字板开盘，不好接力的，如果不是一字板开盘，也不能上，可能高开低走。超跌：盛运环保，绿盘承接力强才可以考虑介入。...展开全文c', '2018-07-16 20:57:27')
('关注5G相关个股：$纵横通信 sh603602$佳力图 sh603912$科信技术 sz300565$沃特股份 sz002886$声明：本文所涉及的任何个股，板块均为交流学习之用，不作为买卖依据，不构成推荐或任何投资建议，据此操作，盈亏自负！', '2018-07-16 20:43:47')
('盘前牛股送出！金哥挖取纵横通信603602短线把握！预计今日盈利几个点出局不是问题！昨日金哥实战客户已经潜伏进去了 实力验证一切。 网页链接', '2018-07-16 20:35:11')
('【7月16日收评】 本人V芯“Hbug6188”,加我关注朋友圈点赞留言可领取对应福利! 投资者朋友,大家好!周一全天指数维持低位窄幅震荡态势,银行、周期等权重板块拖累股指走弱,但5G、集成电路等题材股表现活跃,纵横通信等多只5G概', '2018-07-16 20:27:20')
('今日涨停潜力股，纵横通信，中兴通讯，彤程新材，意华股份 股市有风险 投资需谨慎', '2018-07-16 20:25:32')
('发表了博文《7.17早盘策略》1、先说短线5G：龙头意华股份，龙二纵横通信，中军中兴通讯。观察好了，意华股份估计要一字板开盘，不好接力的，如果不是一字板开盘，也不能上，可能高开低走。超跌：盛运环保，绿|7.17早盘策...', '2018-07-16 20:22:00')
('方向2：科技股，主要是受中兴解禁利好提振，加上最高领导人多次提及自主可控，炒作主要围绕5G（中兴通讯、纵横通信）、芯片（东软载波、长川科技）、国产软件（中国软件、泛微网络）等。', '2018-07-16 20:15:46')
('7.16日复盘：（一）大局观：伴随天华超净瀑布流，昨日跌停数增加到30几家，又到了一不小心凉凉的境况，总体控制仓位为上。（二）板块及个股：1.中兴通讯领衔的5G板块，关注意华股份换手放量二封板，以及昨日逆势板纵横通信；2.京威股份领衔的锂电池板块，总龙头天华超净倒了，小弟日子估计不会好 ...展开全文c', '2018-07-16 19:00:28')
('今天的票从这里选8只个股：000065北方国际、002636金安国纪、002881美格智能、300183东软载波、300220金运激光、300269联建光电、603033三维股份、603602纵横通信。 |秦皇岛·南...', '2018-07-16 18:21:03')
('发表了博文《点评加明日资讯》盘中主要热点题材及点评1、5G：意华股份、纵横通信、中兴通讯、美格智能、创意信息、沃特股份、飞荣达、奥维通信点评：盘面最强热点，主要是美国正式解除中兴禁令刺激，主角是小市值|点评加明日...', '2018-07-16 10:49:55')
('7.16晚间汇总:空间板：3B，意华股份/通产丽星/京威股份。7B，欣锐科技/天华超净。5G：意华股份（+填权），纵横通信，中兴通讯。芯片：金安国纪。 ...展开全文c', '2018-07-16 10:48:55')
('很久没写复盘了，老是贴图 原因有二1是最近行情不乐观 高度股票参与不好就是大面2是观看的人虽不少但是点赞回复的人不多我又懒了写 其实盘前计划还是每天都做得今天简单说一下盘面早起中兴通讯高开5个点 随着意华股份的封板直接把资金带向了5g随后纵横通信的助攻 但是这个版块因为是名牌不建议去追， ...展开全文c', '2018-07-16 10:41:34')
('概念方面，卫星导航携手5G逆势拉升，中兴通讯、纵横通信、创意信息涨停，盛路通信、欣天科技、科信技术均有不同程度拉升；宽带提速联袂云计算花开两朵，中国软件、太极股份均有不俗表现。板块方面，银行、保险、航空、建材、汽车均跌幅靠前，华鹏飞跌停，吉祥航空、中国国航纷纷走弱。', '2018-07-16 09:59:39')
('科技5g那边，中兴通讯解禁，消息确定，早上我们观察的港股是大幅高开的，随后传导到a股这边，意华股份高开秒板，带动纵横通信的反包，中兴通讯也是分时逐步走高。早盘纵横通信反包板的时候，新能源龙头天华正好开板跳水了，这里5g就抢夺了新能源的人气，成为今天日内主流品种。...展开全文c', '2018-07-16 09:55:03')
('我发表了头条文章:《复盘time之20180716:意华股份、京威股份、纵横通信、彤程新材》 |复盘time之...', '2018-07-16 09:40:49')
('今日强势板块：超跌：涨停15家：龙一维科技术，龙二英特集团，龙三金安国纪业绩：涨停10家 ：龙一京威股份，龙二海达股份，龙三耐威科技5G ：涨停8家 ：龙一意华股份，龙二纵横通信，龙三中兴通讯重组 ：涨停5家 ：龙一盛洋科技，龙二盛屯矿业，龙三益丰药房 ...展开全文c', '2018-07-16 08:45:11')
('7/16涨停板记录5G002886 沃特股份、603602 纵横通信、002881 美格智能、002897 意华股份、002231 奥维通信、000063 中兴通讯、300366 创意信息业绩预增300062 中能电气、002662 京威股份、000065 北方国际、000676 智度股份、002228 合兴包装、002882 金龙羽、603345 安井食品、002842 翔鹭钨业、 ...展开全文c', '2018-07-16 08:20:05')
('复牌股票不知道这几点那就亏大了#短线牛股##金融#$纵横通信 sh603602$ $联建光电 sz300269$ 宣凤萍的秒...', '2018-07-16 08:11:11')
('美商务部与中兴通讯达成协议，取消制裁。该消息对5G概念是特大利 #意华股份 sz002897[股票]# $纵横通信 sh603602$ $铜陵有色 sz000630$ $美格智能 sz002881$ $华铁科技 sh603300$ $天永智能 sh603895$ ！比如说300452本来可以说是业绩预增概念龙头股！今天跌停板并未影响业绩预增概念！业绩预增概念没 ...展开全文c', '2018-07-16 07:54:01')
('还是一个字贪，绿色动力开盘该走的，想等翻红走，结果直接砸跌停。这票其实买入了一看k线，心里就隐隐不安，一个周末都没睡好。割肉华纺股份，是因为今天人民安跌他也没反应，感觉贬值题材已经过气，其实当前热点是5g.应该买纵横通信，意华股份位置太高，看来对题材的把握我还是不够敏锐。买入宜宾纸业 ...展开全文c', '2018-07-16 07:07:59')
('小伙伴说我最近不在微博瞎叨叨了 我这段时间都在群里，都是实时分享策略。发一下聊天记录和自选股。今天有点可惜的是昨晚策略中跨境电商没发酵起来，只有盘中5g一条线，意华股份-纵横通信-美格智能-沃特股份，还是港股中兴17%的刺激，没啥热点。', '2018-07-16 06:21:56')
('受中兴通讯解禁的影响，今天5G全面爆发。带动下芯片和国产软件，集成电路都起来了，但是要注意的话好的标的$纵横通信 sh603602$ $沃特股份 sz002886$ 美格智能，意华股份盘中都已经涨停了，这样的标的应该是没买入的居多，相反那些没涨停的：$中国软件 sh600536$ 风华高科，北斗星通张追高的反而是不在 ...展开全文c', '2018-07-16 05:09:38')
('中兴通讯涨停，通信板块连续走强，纵横通信、意华股份等5股涨停。军工股稳健攀升，耐威科技强势涨停，景嘉微、北斗星通大幅跟涨。半导体板块亦有所表现，东软载波、芯能科技相继涨停。涨价概念再度发力，煤炭、燃气板块均表现不俗，宝泰隆涨停。金融股今日领跌，中国太保跌近3%，建设银行、工商银行、 ...展开全文c', '2018-07-16 05:09:25')
