('年利润暴增572倍,次新第一龙头62跌至9元,有望乌鸡变凤凰 $纵横通信 sh603602$ $万里马 sz300591$ $*ST宜化 sz000422$ $金溢科技 sz002869$ 姚晓浪的秒...', '2018-07-25 01:51:27')
('广济药业、京山轻机、三特索道、*ST双环、*ST宜化……', '2018-07-24 06:05:40')
('发表了博文《腥风血雨》腥风血雨今天业绩风险集中爆发，首先是乐视网预亏超百亿元，在持有者伤口上又洒了一把盐；湖北宜化38亿市值亏48亿；*ST吉恩和*ST昆退市板上钉钉；獐子岛故技重施，扇贝又跑了。A股|腥风血雨', '2018-01-31 06:22:16')
('【业绩地雷引爆：逾600家公司掐点公布业绩预告】1月31日业绩预告最后的披露时限，超过600余家公司掐点公布2017年年度业绩预告，占目前所有业绩预告总量的近25%。A股开启比惨模式，乐视网、石化油服、湖北宜化、盐湖股份、ST信通、*ST海润、中国船舶等预告净利润下限亏损10亿以上。|业绩地雷引...', '2018-01-31 02:46:29')
('现在中国A股上市公司太多，退市的太少，不作为一度为了圈钱的又太多，垃圾公司太多了；现在IPO能不严审上市流程吗？贝因美：亏10个亿，服不服？乐视：不服，我加个零；保千里：亏的数都数不清；獐子岛：哦，我扇贝又跑了；st众和：我们董事长因诈骗被捕了；湖北宜化：我们亏48亿比市值还多；巴士在线： ...展开全文c', '2018-01-31 02:20:11')
('昨天股市雷人信息太多了！贝因美：亏10个亿，服不服？乐视：不服，我加个零...保千里：亏的数都数不清獐子岛：哦，我扇贝又跑了st众和：我们董事长因诈骗被捕了湖北宜化：我们亏的比市值还多 ...展开全文c', '2018-01-31 02:12:49')
('【扇贝跑了 董事长没了 诗和远方没了…它们昨夜比惨可今天更惨】有市场人士戏称，昨日的业绩预告，就如同一场扫雷游戏。也有人说，昨夜，A股就是一场比惨大会。于是，根据昨天的消息，小编模拟了这么一段对话：就在这场“比惨大会”结束之后的第二天早上，乐视网连续第6天开盘跌停，湖北宜化跌停，ST ...展开全文c', '2018-01-31 02:09:09')
('#财经头条文章##微博股票##上证快讯#1月31日公布业绩预告：乐视网、石化油服、湖北宜化、盐湖股份、ST信通、*ST海润、中国船舶、大唐电信、*ST吉恩、巴士在线、一汽夏利、漳泽电力、*ST天化、华银电力、中弘股份净利润下限亏损10亿以上，其中乐视网、石化油服亏损额居两市榜首，亏损额超百亿。', '2018-01-31 01:56:43')
('发表了博文《乐视网连续6个跌停！湖北宜化等巨亏预警公司集体大跌》乐视网连续第六天开盘跌停，石化油服逼近跌停，湖北宜化跌停，ST保千里跌停，獐子岛和抚顺特钢停牌。昨日，A股披露业绩预告的一众公司中，不乏|乐视网连续...', '2018-01-31 00:58:22')
('类似湖北宜化亏损44亿比市值还多，ST保千里亏的数额无法确定了，獐子岛扇贝又跑了，这些简直就是戏弄市场', '2018-01-31 00:43:49')
('【集体跌停！N家上市公司连环炸，今天是什么日子？】昨天夜里，A股爆出N个上市公司连环炸，中证君玩了一晚的扫雷游戏……今天早盘，A股应声跌倒，沪指一度下挫0.8%，创业板指一度跌逾2%，两市约50只个股跌停。其中，巨亏预警公司携手大跌，湖北宜化、盐湖股份、乐视网、*ST海润跌停，石化油服跌幅超7% ...展开全文c', '2018-01-31 00:27:22')
('【沪指低开，乐视网、湖北宜化等巨亏预警公司集体大跌】周期、传媒、计算机等板块继续回调；巨亏预警公司集体大跌，乐视网年报预亏116亿，连续六日跌停。石化油服跌停，湖北宜化跌停，ST保千里跌停，獐子岛和抚顺特钢停牌。沪指开盘报3470.51点，跌0.50%。深成指开盘报11210.06点，跌0.61%。创业板开盘 ...展开全文c', '2018-01-31 00:00:10')
('多家公司昨日发布业绩报告，乐视网、石化油服、湖北宜化、獐子岛、ST保千里、巴士在线等巨亏。开盘乐视网连续第六天封跌停，石化油服跌停，湖北宜化跌停，獐子岛和抚顺特钢停牌。 网页链接', '2018-01-30 23:40:58')
('【坑多】大幅预亏：乐视网、ST保千里（数额不明）、抚顺特钢（数额不明）、獐子岛、湖北宜化、巴士在线、一汽夏利、方正科技、一拖股份、漳泽电力、南风化工、东方通、邦讯技术、金龙机电、信雅达、美丽生态、福建水泥、安凯客车、东方钽业、保税科技、波导股份、盛运环保、中润资源、悦达投资、览海投 ...展开全文c', '2018-01-30 23:25:42')
('#微博股票# #上证指数# #今日看盘# #投资达人说# $上证指数 sh000001$【午评】周三早盘两市低开调整，业绩巨亏预警公司集体跌停。从盘面上看，两市早盘竞价低开，受较多个股业绩预告不及预期的情绪影响，开盘跌停家数明显增多。石化油服湖北宜化、ST保千里、本钢板材、安凯客车、盐湖股份等个股 ...展开全文c', '2018-01-30 22:34:02')
('年底要防止踩雷！！大幅预亏：乐视网、ST保千里（数额不明）、抚顺特钢（数额不明）、獐子岛、湖北宜化、巴士在线、一汽夏利、方正科技、一拖股份、漳泽电力、南风化工、东方通、邦讯技术、金龙机电、信雅达、美丽生态、福建水泥、安凯客车、东方钽业、保税科技、波导股 ...展开全文c', '2018-01-30 22:17:19')
('资本市场比惨之夜！贝因美：亏10个亿，服不服？乐视：不服，我加个零...保千里：亏的数都数不清獐子岛：哦，我扇贝又跑了抚顺特钢：我的钢失踪了皇台酒业：呵，我的酒蒸发了，改卖瓶了 ...展开全文c', '2018-01-30 22:02:31')
('【乐视网、湖北宜化等巨亏预警公司集体跌停】东方财富网30日讯，乐视网连续第六天开盘跌停，石化油服湖北宜化、ST保千里、本钢板材、安凯客车、盐湖股份等个股集体跌停，獐子岛和抚顺特钢停牌。', '2018-01-30 21:31:48')
('#孙力粉丝团# #投资达人说# #新浪理财师#乐视，亏116亿;保千里:无法计算，獐子岛:扇贝又跑了！st信通:亏38亿，巴士在线:赚2亿到预亏18亿，盐湖:亏40亿，st基恩:亏21亿退市，中国船舶:亏20亿，石化油服:亏107亿，st海润:亏28亿，德豪润达:下调亏9亿，湖北宜化亏48亿，这些亏损股，一定要规避', '2018-01-30 21:24:08')
('【乐视网、湖北宜化等巨亏预警公司集体跌停】年报披露中，业绩好的上市公司已经将股价拉升到一定高度，业绩差的公司如乐视网开盘后已有6个跌停，一同迈进跌停板的还有石化油服、湖北宜化、ST保千里，獐子岛和抚顺特钢则停牌。 真应验了那句话：股市风险大，投资应谨慎。', '2018-01-30 20:40:39')
('公告预亏个股开盘重挫，湖北宜化、石化油服、盐湖股份、ST信通跌停，巴士在线、獐子岛、抚顺特钢、中国船舶停牌。', '2018-01-30 20:39:14')
('乐视网连续第六天开盘跌停，石化油服逼近跌停，湖北宜化跌停，ST保千里跌停，獐子岛和抚顺特钢停牌。———虾夷扇贝的智商很高的，不但会游走还会停牌 |三亚·三亚...', '2018-01-30 20:35:13')
('【乐视网、湖北宜化等巨亏预警公司集体跌停】乐视网连续第六天开盘跌停,石化油服跌停,湖北宜化跌停,ST保千里跌停,獐子岛和抚顺特钢停牌。排雷排雷，一定要排雷！！！！预亏的小朋友，还是很多大家注意了：石化油服：预计亏损106亿；方正科技：预计亏损6.9到8.28亿；金杯汽车：预计亏损5.84亿； ...展开全文c', '2018-01-30 20:34:03')
('【乐视网、湖北宜化等巨亏预警公司集体跌停】乐视网连续第六天开盘跌停，石化油服跌停，湖北宜化跌停，ST保千里开盘再度跌停，已连续24日跌停，继续刷新A股史上最长连续跌停纪录。獐子岛和抚顺特钢停牌。网页链接', '2018-01-30 20:30:05')
('今天乐视网连续第六天开盘跌停，石化油服跌停，湖北宜化跌停，ST保千里跌停，獐子岛和抚顺特钢停牌。', '2018-01-30 20:29:25')
('【A股连环炸！股民哭了：乐视、石化油服预亏超100亿！獐子岛扇贝“又跑了”】A股连环炸！股民哭了：乐视网预亏116亿创深市纪录；2016年亏损161亿问鼎A股“亏损王”的石化油服，2017年预亏106亿，面临ST戴帽风险；湖北宜化预亏超40亿，这家公司亏损额度虽然比不上乐视、石油化服，可是它亏得比总市值都 ...展开全文c', '2018-01-30 20:15:17')
('昨晚雷人信息太多了！贝因美：亏10个亿，服不服？乐视网：不服，我加个零...保千里：亏的数都数不清獐子岛：哦，我扇贝又跑了st众和：我们董事长因诈骗被捕了湖北宜化：我们亏的比市值还多 ...展开全文c', '2018-01-30 20:12:38')
('今晚是比惨大会吗?湖北宜化亏44-48亿St信通亏38亿獐子岛亏5.3-7.2亿乐视网亏116亿抚顺特钢预亏且净资产将为负值巴士在线业绩变脸巨亏15-18亿 ...展开全文c', '2018-01-30 19:24:36')
('昨晚对很多人来说真是水深火热的一夜，乐视亏损116亿，浙江金盾董事长自杀，石化油服亏损百亿以上，湖北宜化亏损近50亿，st信通亏38亿，獐子岛扇贝又跑了亏损近七亿，巴士在线亏损16亿，st吉恩预亏21亿，将被退市，国信证券被立案调查……惨惨惨…………', '2018-01-30 18:32:11')
('近期一些业绩预告让人不寒而栗，持有这些股票的人将会心如刀割！！湖北宜化亏44-48亿St信通亏38亿獐子岛亏5.3-7.2亿乐视网亏116亿抚顺特钢预亏且净资产将为负值巴士在线业绩变脸巨亏15-18亿 ...展开全文c', '2018-01-30 17:28:43')
('今晚真是坑，獐子岛的扇贝跑了，乐视亏了113亿，湖北宜化亏了44亿，st信通亏38亿，保千里亏的数不清，金盾老总跳楼！！！', '2018-01-30 11:06:32')
('乐视网，前7年盈利共21亿，第8年一下亏损116亿。獐子岛，扇贝又跑了，预亏5.3亿元-7.2亿元。st保千里，已经亏得无法计算亏损额了。石化油服，亏损100亿，连续两年亏损超过100亿。 ...展开全文c', '2018-01-30 10:28:33')
('湖北宜化，乐视网，獐子岛，巴士在线，st昆机，保千里。今晚高潮迭起，惊吓连连', '2018-01-30 09:30:41')
('总市值28.78亿的ST信通上年亏了38亿，总市值38亿的湖北宜化上年亏了48亿，獐子岛的扇贝又旅游去了……金融市场的故事太多', '2018-01-30 09:17:33')
('有一个做超跌的，湖北宜化000422，2017年应该还是亏损吧，就要ST了', '2018-01-25 01:13:33')
('农业相关题材库尿素化肥(龙头)题材股有：*ST柳化，华鲁恒升，湖北宜化，鲁西化工， 阳煤化工 心连心猜一猜哪家产能最大收益最多？ |苏州', '2018-01-02 05:47:01')
('中央农村工作会议召开，农业相关，《小刺客炒股助手》题材库尿素化肥(龙头)题材股主要有：*ST柳化，华鲁恒升，湖北宜化，鲁西化工。题材库涨幅5.5%', '2018-01-01 23:38:24')
('数据宝统计显示，在今年交易日数超过60的股票中，有21只股票创新低交易日数超过*ST中安。其中，湖北宜化有48个交易日创出新低，位居首位。该股年内累计跌幅超过48%，今天股价又创出了新低。此外，华东科技、恒天海龙、*ST上普等5只股票均有超40个交易日创出新低。', '2017-12-20 06:58:42')
