('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏 $新开源 sz300109$ $京山轻机 sz000821$ $邦讯技术 sz300312$ $中昌数据 sh600242$ 马旷盈的秒...', '2018-07-24 11:53:15')
('两市高开，保险板块领涨。昨日热点题材中，医药盘龙药业涨停、华森制药涨5%、贵州百灵涨5%，国企改革林海股份涨停、轴研科技涨2%，独角兽可立克涨停、红豆股份平开、神州信息涨7%，次新股万兴科技涨6%、泰永长征涨6%、力盛赛车涨停。选股宝盘前，国产软件诚迈科技涨8%，无人机京山轻机涨5%，奋达科技涨 ...展开全文c', '2018-03-20 21:44:58')
('|武小松的图...【大疆概念】新出独角兽概念，龙1京山轻机（涨停），龙2芭田股份，龙3奋达科技，消息上大疆创新寻求新一轮融资，估值150亿美元。', '2018-03-20 21:38:17')
('2018年3月21日早盘关注个股：$京山轻机 sz000821$$森霸股份 sz300701$$创源文化 sz300703$(源自一休团队投顾部，仅供参考)', '2018-03-20 21:32:06')
('#雨哥看盘# 大疆独角兽 相关个股 京山轻机 来耍一把？', '2018-03-20 21:29:35')
('【京山轻机：全资子公司是深圳大疆供货方之一】东方财富网16日讯，京山轻机在回复投资者提问时表示，公司全资子公司惠州市三协精密有限公司是深圳市大疆创新科技有限公司的供货方之一。... 网页链接', '2018-03-16 01:25:16')
('高新兴其实我是看好本身能成长为物联网行业的细分龙头。所以长线看好。不是独角兽，应该胜似独角兽。京山轻机大涨的逻辑是大疆无人机产业链供应商。也相当于独角兽概念。目前市场上，本身是独角兽的反而涨得一般，跟未上市的独角兽搭上关系的反而大涨特涨。我这里点明一点，独角兽是主流是核心，但 ...展开全文c', '2018-03-15 23:25:01')
('京山轻机在深交所互动易平台回复投资者提问时表示，公司全资子公司惠州市三协精密有限公司是深圳市大疆创新科技有限公司的供货方之一。', '2018-03-15 23:09:14')
('问：老师帮忙看一下000821如何操作？谢谢。答：看早盘低点附近支撑，强支撑看11.8元附近#京山轻机 sz000821[股票]#', '2018-03-15 02:17:16')
('$上证指数 sh000001$今日关注京山轻机$京山轻机 $京山轻机 sz000821$ 及西藏天路$西藏天路 sh600326$ #今日看盘##财经头条#', '2018-03-13 21:23:29')
('京山轻机：子公司无人机马达已大量配套大疆创新无人机润建通信：预中标中国移动项目西部建设：目前正筹划雄安新区的厂站建设证通电子：中选“科技租赁深圳证通光明IDC机房项目”中国核建：2月新签合同额117.54亿 增长159%', '2018-03-13 21:00:17')
('实时播报：【京山轻机：子公司生产的无人机马达已大量配套大疆创新的无人机】，京山轻机在投资者互动平台表示，公司的全资子公司惠州市三协精密有限公司生产的无人机马达产品已大量配套深圳市大疆创新科技有限公司的无人机。', '2018-03-13 04:36:40')
('发布了头条文章：《000821京山轻机:无量上涨，看主力如何耍流氓!!!》 #股票分析# #股票# #财经头条# $京山轻机 sz000821$ |000821京山...', '2018-03-08 02:05:18')
('发布了头条文章：《东易日盛 丽珠集团 京山轻机 安琪酵母 :大盘调整期待强势股爆发》 $东易日盛 sz002713$ $丽珠集团 sz000513$ $京山轻机 sz000821$ $安琪酵母 sh600298$ #头条文章# #新浪股吧# #股票# #A股# |东易日盛 ...', '2018-03-07 21:27:21')
('发布了头条文章：《京山轻机000821：震荡蓄势暴露阴谋，后势欲夺领涨大旗！》 #一手财经数据# #新浪财经头条# $京山轻机 sz000821$ |京山轻机00...', '2018-03-07 01:21:07')
('投融资大事：湖北宜化/华灿光电/骆驼股份/京山轻机/泰晶科技(同步自@新浪看点)|投融资大事...', '2018-03-06 19:34:01')
('发布了头条文章：《主力强势杀入A股：久其软件 京山轻机 中泰化学 东方国信》 $久其软件 sz002279$ $京山轻机 sz000821$ $中泰化学 sz002092$ $东方国信 sz300166$ #上证快讯# |主力强势杀...', '2018-03-06 01:24:34')
('发布了头条文章：《最新消息流出：三江购物+京山轻机+凯乐科技》 |最新消息流...', '2018-03-01 22:23:12')
('工业互联网，从开端冒头就一致看多做多。周一开始到现在一直是最唱多的概念。对于这个板块来看，基本完全判断正确。而且在东土首板后次日在微信跟朋友说东土是本轮龙头，也成为事实。龙头，板块个股参与的有高新兴，汉得信息，京山轻机等。本周这些股涨幅应该还不错。明天大概率还能出现一致性，然后 ...展开全文c', '2018-03-01 04:00:54')
('【晚间复盘特点股总结】1、涨幅榜特征：低位小市值股。2、跌幅榜特征：次新股，短线高位回调股。3、总金额榜：中信证券、网宿科技。4、量比榜：博彦科技、京山轻机。5、内外比榜：st紫学、安徽合力；6、利好榜：桂发祥、中铁工业；7、图形榜：山东赫达、歌尔股份。（个人资料别人不能买，谁据此买谁是 ...展开全文c', '2018-02-28 20:26:53')
('兆驰股份看图，离我们第一目标点位3.47很近了。上周说本周可见3.47。应该有机会兑现汇中股份，17.8附近支撑，目前震荡，不破支撑看多京山轻机短线有回调的风险，但是只是小幅度调整，后市还有高点。天润曲轴，刚突破，关注回踩5.20附近机会。明天逢低可布局标的中国海诚 滞涨带路+国企改革+机器人 ...展开全文c', '2018-02-28 02:14:44')
('兆驰股份今日逢高减了部分仓位，京山轻机昨天买的仓位也先出来了，底仓不动。中国海诚持仓不动，还有空间云内动力，今日回踩很到位，加仓了。。其他的没操作。', '2018-02-27 22:28:41')
('今天逻辑上看多的主要有这些：1.工业互联网，看多东土科技，龙头首板，今日二连板。建议留意京山轻机，汉得信息，高新兴等2.市值管理或成为国企改革新着力点 关注的方向是国企改革+热门板块，比如中国海诚，国企改革+机器人概念，上海贝岭，国企改革+芯片等。低位混改依旧对云内动力有期待。3.芯片 ...展开全文c', '2018-02-27 21:10:56')
('上集：深圳机场 中华企业 世嘉科技 国药股份 $深圳机场 sz000089$ $中华企业 sh600675$ $世嘉科技 sz002796$ #国药股份 sh600511[股票]# #华鲁恒升 sh600426[股票]# （英洛华京山轻机文山电力南宁糖业！乐通股份全筑股份华力创通申通地铁！深冷股份天茂集团白云电器百洋股份！盘龙药业洪城水业） ...展开全文c', '2018-02-26 08:00:03')
('工业互联网建议留意一下京山轻机，山鸡兄，业绩不错，有潜力。。目前看好雄安资金回流，芯片，5G走强，国企改革超跌崛起。。国企改革龙头冠豪高新二连板了。。', '2018-02-25 21:30:48')
('发布了头条文章：《京山轻机（000821）弱势下的抄底反弹而已，注意这位置利润不再被套！》 $京山轻机 sz000821$ $上证指数 sh000001$ #资金流向# #新浪股吧# #微博股票# |京山轻机（...', '2018-02-21 01:13:29')
('一年才涨了10%这还能算房地产吗？#回乡见闻#', '2018-02-18 02:07:42')
('#回乡见闻# 坐标湖北京山。老婆的家乡，我是异乡人，近几年每年都来。县域只有一家上市公司$京山轻机 sz000821$ ，生产包装印刷机械，近年切入机器人和工业4.0概念，据说这一两年增长不错。县城主要的大街命名为轻机大道，房地产市场不错，去年初县城火车站附近买房今年已升值10%。农村人口流失严重， ...展开全文c', '2018-02-18 22:51:56')
('回乡见闻 湖北京山 2018 坐标湖北京山。老婆的家乡，我是异乡人，近几年每年都来。县域只有一家上市公司$京山轻机 sz000821$ ，生产包装印刷机械，近年切入机器人和工业4.0概念，据说这一两年增长不错。县城主要的大街命名为轻机大道，房地产市场不错，去年初县城火车站附近买房今年已升值10%。农村 ...展开全文c', '2018-02-18 06:44:51')
('赛腾股份现在是行业内的知名企业，在业内有一定的知名度和美誉度，公司的主要竞争对手有：珠海运泰利（2015年被长园集团收购）、富强科技（2015年被胜利精密收购）、惠州三协（2015年被京山轻机收购），从行业统计数据来看 ，国内的竞争对手基本上已经被行业内的知名上市公司收购。 ...展开全文c', '2018-02-14 18:54:17')
('发布了头条文章：《000821京山轻机600132重庆啤酒000559万向钱潮：长假前献上抄底技巧》 |000821京山...', '2018-02-14 06:15:34')
('发布了头条文章：《本周重磅利好解析：荣盛发展+东方财富+三诺生物+中兴通讯》 #新浪看点# #新浪股吧# #新浪财经头条# #头条文章# $万向钱潮 sz000559$ $青岛海尔 sh600690$ $京山轻机 sz000821$ $洛阳玻璃 sh600876$ |本周重磅利...', '2018-01-31 09:26:26')
('京山轻机：净利润同比增70%-100%京山轻机（000821）28日晚间公告，预计2017年年度实现归属于上市公司股东的净利润与上年同期相比，净利14500万元–17200万元，同比增70%-100%。$上证指数 sh000001$ #微博股票#', '2018-01-28 08:35:21')
('发布了头条文章：《A股下周最佳操作策略：展鹏科技 京山轻机 贝达药业》 #微博股票# #财经头条文章# #股票分析# $展鹏科技 sh603488$ $京山轻机 sz000821$ $贝达药业 sz300558$ |A股下周最...', '2018-01-27 22:45:25')
('发布了头条文章：《主力蠢蠢欲动：易成新能+京山轻机+东华科技》 |主力蠢蠢欲...', '2018-01-25 22:28:19')
('发布了头条文章：《1月主力资金大幅入场：乐视网+广发证券+视觉中国+京山轻机》 |1月主力资...', '2018-01-10 20:32:56')
('#*ST昆机 sh600806[股票]# ##京山轻机 sz000821[股票]# # *ST昆机预计2017年不能盈利，股票将可能被终止上市。12、京山轻机控股股东拟继续增持不超过3%股份。13、欧美股市小幅收跌，LME期镍收涨1.9%刷新两年半高位，美油逾三年来首次收于63美元上方；柯达宣布推出加密货币急升119%后，股价再升57%。', '2018-01-10 20:26:58')
('1月10日晚间上市公司利好消息一览（附名单）京山轻机：控股股东拟继续增持不超过3%股份欧浦智网：股东吕小奇拟要约收购5%公司股份华昌达：重大资产重组签订框架协议 拟收购喜平智能100%股权中环装备：拟7.2亿元收购兆盛环保100%股权宇顺电子：拟200亿收购成都润运100%股权 转型影院产业中金环境 ...展开全文c', '2018-01-10 20:15:12')
('（000821）京山轻机公司控股股东京源科技和间接控股股东轻机控股在6个月内（自2017年12月12日起）拟以自有资金或自筹资金通过轻机控股及其全资子公司京源科技账户择机增持京山轻机流通股份，累计增持比例不超过公司已发行总股份的3.00%.', '2018-01-10 18:30:49')
('参考上市公司重要消息一览:1、京山轻机：控股股东拟继续增持不超过3%股份2、欧浦智网：股东吕小奇拟要约收购5%公司股份3、华昌达：重大资产重组签订框架协议 拟收购喜平智能100%股权4、中环装备：拟7.2亿元收购兆盛环保100%股权5、宇顺电子：拟200亿... 网页链接', '2018-01-10 18:12:41')
('今日晚间公告汇总（1月10日）【增持】1、维维股份(600300)：控股股东增长1%股份2、金洲管道(002443)：大股东增持1%股份3、长高集团(002452)：实控人通过信托计划增持576万股 ...展开全文c', '2018-01-10 08:37:15')
('我的老家在湖北京山，位于大洪山脉。它有四个名片，国宝桥米，网球之乡，上市公司京山轻机，生态农业示范基地。2018年的第一场大雪把它装扮的非常美丽。|2018年京山...', '2018-01-04 19:27:04')
('四川双马 浙江永强 盛运环保 韵达股份$四川双马 sz000935$ $浙江永强 sz002489$ $盛运环保 sz300090$ $韵达股份 sz002120$#股票视频讲座# 玉龙股份海源机械洪都航空凯美特气百合花黔轮胎Ａ正业科技盐湖股份诺邦股份京山轻机三丰智能联化科技连云港海王生物海通证券吉祥航空 令哥看盘_...', '2018-01-04 06:59:22')
('【天风证券披露招股说明书 人福医药为第二大股东】云财经讯，12月29日，天风证券披露招股说明书。天风证券发行前股东榜显示，人福医药(600079)持有公司5.23亿股，持股比例达11.22%，为公司第二大股东。此外，当代明诚持股1.05%，三特索道持股0.55%，京山轻机持股0.23%。天风证券目前不存在控股股东和实 ...展开全文c', '2017-12-29 12:14:55')
('发布了头条文章：《京山轻机 鸣志电器 梦洁股份 山东华鹏 诚邦股份，最新消息解读》 $京山轻机 sz000821$ $鸣志电器 sh603728$ $梦洁股份 sz002397$ $山东华鹏 sh603021$ $诚邦股份 sh603316$ |京山轻机 ...', '2017-12-28 10:02:30')
('今日关注的板块和热点：电路板概念股：景旺电子（603228）、依顿电子（603328）、奥士康（002913）、世运电路（603920）机器人概念股：劲拓股份（300400）、泰尔股份（002347）、京山轻机（000821）、埃斯顿（002747）', '2017-12-26 20:29:45')
('【信息要闻】发改委印发三年行动计划，研究布局新一代智能机器人（来自中原资管） 机器人概念股：劲拓股份（300400）、泰尔股份（002347）、京山轻机（000821）、埃斯顿（002747）', '2017-12-26 20:22:28')
('机器人概念股：劲拓股份（300400）、泰尔股份（002347）、京山轻机（000821）、埃斯顿（002747）', '2017-12-26 20:19:52')
('发改委印发三年行动计划，研究布局新一代智能机器人评：最近听朋友说，商务楼里都是机器订餐取餐，饭菜都是机器人做的，并且味道很不错的，照这个发展下去，未来几年内，智能机器人有望成为我国智能制造的下一片蓝海；人工智能机器人概念股：劲拓股份（300400）、泰尔股份（002347）、京山轻机（0008 ...展开全文c', '2017-12-26 20:12:39')
('发布了头条文章：《你真的会看盘吗？关于盘口语言的干货分享》 $通裕重工 sz300185$ $中际旭创 sz300308$ $创元科技 sz000551$ $经纬纺机 sz000666$ $京山轻机 sz000821$ |你真的会看...', '2017-12-21 04:50:47')
('我记得周一给大家推荐的000821 京山轻机 目前还处在反弹趋势中 可以继续持有 但是不用加仓 #财经V峰会#', '2017-12-07 21:15:24')
('自从被000821京山轻机伤到后还没完全恢复，也没办法只好慢慢来。这几天股市还是不稳，倒没怎么伤到，昨天抄底002214大立科技，今天趁有获利出清；今天看看芯片没能延续，估计明天也够呛，5G方面封板都不少但都是次新股，感觉带动板块有限，还是不追高，最后建仓601012隆基股份，希望明天抢个交费用就好 ...展开全文c', '2017-12-07 08:09:19')
('京山轻机 股价运行在14元以下长线都是风险 目前风险是比较大，这种股票不止损有深套得风险哦。个人观点 不做买卖依据。', '2017-12-05 00:00:38')
('发布了头条文章：《龙虎榜利好消息：太极实业、中青宝、科伦药业 视觉中国 京山轻机》 |龙虎榜利好...', '2017-12-04 02:14:44')
('000821 京山轻机 短线冲击欲望较强 喜欢的朋友可以轻仓关注', '2017-12-03 20:50:14')
('据证监会网站信息，证监会并购重组委于11月29日和30日两次召开会议。上会结果显示，王府井(600859)、航天长峰(600855)、京山轻机(000821)、辅仁药业(600781)和海达橡塑等5家上市公司的申请均获通过。其中，募集配套资金必要性成为并购重组委关注的重点。(中证报)', '2017-12-03 20:17:18')
('发布了头条文章：《A股利好石破天惊：京山轻机 万科A 中兴通讯 达安股份》 |A股利好石...', '2017-12-02 02:05:41')
('$京山轻机 sz000821$ 京山轻机：三家机构买入，两家机构卖出，前买五合计占比24.41%，前卖五合计占比16.16%今天复牌，收购苏州晟成获重组委审核通过低开高走，三家机构买入2316万，两家机构卖出786万京山轻机曾经在10月31日获得两家机构买入2400多万，不过之后一直下跌 ...展开全文c', '2017-12-01 22:08:26')
('#龙虎榜数据揭秘# 【机构抢筹6只个股】 龙虎榜数据显示，机构今日现身14股，机构专用席位今天净卖出8.29亿元。科伦药业、视觉中国、京山轻机、三联虹普、名雕股份、华北高速等6股呈现机构净买入，买入额达1.10亿元；中环股份、尔康制药、凯普生物、武汉凡谷、中文在线、*ST众和、奥士康、乐歌股份等8股 ...展开全文c', '2017-12-01 08:53:32')
('发布了头条文章：《本周A股精准预测：华北高速 京山轻机 华通热力 梅轮电梯 》 #微博股票# #财经头条文章# |本周A股精...', '2017-12-01 01:25:27')
('今日交易提示复牌京山轻机、ST云维、航天长峰、荣华实业、王府井停牌 ...展开全文c', '2017-11-30 22:40:08')
('问：京山轻机(000821) 老师帮看看000821答：今天放量冲高回落，建议这个位置仓位多的话可以考虑高抛低吸做t为主。#京山轻机 sz000821[股票]#', '2017-11-30 21:44:58')
