('发布了头条文章：《天邦股份+龙元建设：庄家建仓完毕！机构36亿锁仓，必夺18年首席黑马》 $天邦股份 sz002124$ $龙元建设 sh600491$ #今日看盘# #股票# |天邦股份+...', '2018-07-23 10:56:45')
('【重大事项】：新疆火炬：股价5天4涨停 停牌核查信立泰：硫酸氢氯吡格雷片(25mg)通过一致性评价宝新能源：参股公司长城证券首发过会 持有发行前1.79%股份碧水源：中标25.2亿PPP项目中设集团：中标2.71亿元项目天邦股份：拟可转债募资12亿元 加码生猪养殖主业 ...展开全文c', '2018-04-18 04:16:36')
('2018.4.19调股动态〖可关注上升趋势股六支〗002124天邦股份300158振东制药300324旋极信息新纳入300596利安隆■调出002589瑞康医药 ...展开全文c', '2018-04-18 03:50:16')
('2018.4.16调股收盘总结〖可关注上升趋势股六支〗002124天邦股份-跌幅-0.69%300202聚龙股份-涨幅+1.72%今日新高002589瑞康医药-跌幅-2.49% ...展开全文c', '2018-04-16 04:51:09')
('天邦股份：拟可转债募资12亿元 加码生猪养殖主业金发科技：董事长涉嫌内幕交易遭证监会立案调查*ST华泽：预测无法按期披露年报和一季报必创科技：股票异动核查完毕 明起复牌宏辉果蔬：股票核查完毕 明日复牌宏川智慧：股票异常波动 明起停牌核查盘龙药业：公布股票停牌 ...展开全文c', '2018-04-13 04:02:51')
('【涨声晚间上市公司重要公告】观点内容： ◆皇庭国际公告，终止筹划重大资产重组。 ◆天邦股份公告，拟发行可转债募资12亿元，加码生猪养殖主业。 ◆东方银星公告，签署重大资产重组框架协议，拟收购起帆投资40%股权。 ◆*ST华泽公告，预测无法在法定期限内披露年报，股票将在5月2日起被实施停牌，随 ...展开全文c', '2018-04-11 10:28:23')
('天邦股份(002124)4月11日晚公告，公司拟发行可转换公司债券募资不超过12亿元，用于阜阳市阜南县地城现代化生猪养殖产业化项目等8项产业化项目，项目投资总额15.37亿元。公司主营业务是食品产业的开发(生猪育种及养殖和食品加工)、动物疫苗的研制与销售、饲料的研制与销售和工程环保服务。', '2018-04-11 09:00:58')
('实时播报：【天邦股份：拟可转债募资12亿元 加码生猪养殖主业】天邦股份(002124)4月11日晚公告，公司拟发行可转换公司债券募资不超过12亿元，用于阜阳市阜南县地城现代化生猪养殖产业化项目等8项生猪养殖、农业产业园项目，以上项目投资总额15.37亿元。', '2018-04-11 05:52:20')
('最新重磅特大利好：天邦股份 湘潭电化 银轮股份 南极电商 郑傅琦看盘...', '2018-04-10 22:53:01')
('【IPO屡败 鲟龙科技谋曲线上市】曾两次冲击IPO却未能如愿叩开资本市场的大门，上市欲望强烈的杭州千岛湖鲟龙科技股份有限公司（以下简称“鲟龙科技”）上市之路走得异常艰辛。如今，面对证监会对IPO被否企业重组项目的加强监管，鲟龙科技“投身”天邦股份（002124）再谋上市。在业内人士看来，鲟龙科技 ...展开全文c', '2018-04-10 09:42:12')
('#今日看盘#[投资事宜]中原环保 000544：预中标8.5亿PPP项目金诚信 603979：子公司签署7746万元采矿工程施工承包合同中曼石油 603619：签订1.44亿元巴基斯坦钻井工程项目合同[定增重组]*ST众和 002070：兴业矿业 000426拟参与公司重整并获控股权 9日起停牌 ...展开全文c', '2018-04-08 20:58:28')
('【天邦股份：拟1.14亿元收购鲟龙科技23.8%股权】财联社4月8日讯，天邦股份(sz002124)公告，公司拟以自有资金人民币1.14亿元收购杭州千岛湖鲟龙科技股份有限公...|【天邦股份...', '2018-04-08 09:34:42')
('2018.4.9调股动态推荐关注〖可关注上升趋势股六支〗600299安迪苏002124天邦股份300202聚龙股份002589瑞康医药 ...展开全文c', '2018-04-08 07:49:55')
('猪肉概念股集体回调，$傲农生物 sh603363$ 大跌3%，新五丰、天邦股份跌逾2%，金新农、温氏股份、雏鹰农牧等个股纷纷走低。马上是清明长假了，此刻至关时刻，大家个股有什么不懂及时的问我！！#双双##大盘-个股-趋势-解答#', '2018-04-03 22:05:36')
('《证券日报》市场研究中心根据同花顺(51.61 -2.90%,诊股)数据统计发现，昨日，农林牧渔板块逆市上涨，板块内54只成份股走强，傲农生物和宏辉果蔬联袂涨停，万向德农(11.39 -2.23%,诊股)（7.27%）、众兴菌业(11.08 -0.89%,诊股)（5.97%）、新五丰(5.95 +2.23%,诊股)（5.24%）、天邦股份(9.08 +1.11%,诊 ...展开全文c', '2018-04-03 03:42:35')
('【002124天邦股份】目前价位9.08可以关注，轻仓介入！#股票##期权投资# #投资理财# $上证指数 sh000001$ #股票期权投资#', '2018-04-03 02:00:31')
('#002124天邦股份 昨天8.85介入 今天已收3个点， 继续持有观望，目前大盘局势不明，针对此股可做做高抛低吸 。', '2018-04-02 22:57:29')
('农产品板块持续拉升，宏辉果蔬涨停，傲农生物、牧原股份、正邦科技、唐人神、天邦股份等个股均有拉升。', '2018-04-02 22:27:44')
('猪肉概念股集体飘红，牧原股份大涨5%，天邦股份、温氏股份、新五丰、唐人神等等个股均涨超3%。 #阿里巴巴全资收购饿了么##温榆河杯百万实盘大赛##财经头条# $乐视网 sz300104$', '2018-04-02 22:01:20')
('#微博股评团# #微博股票# 猪肉概念股集体飘红，$牧原股份 sz002714$ 大涨5%，$天邦股份 sz002124$ 、温氏股份、新五丰、唐人神等等个股均涨超3%。二师兄再度出手，抡起九齿钉耙护盘了。', '2018-04-02 21:57:07')
('#财经# #牛股推荐# #大盘~股市~股票~证券~中线~短线# 猪肉板块持续走强，牧原股份涨逾5%，天邦股份、温氏股份、新五丰、傲农生物、唐人神涨逾3%。', '2018-04-02 21:49:30')
('猪肉概念股集体飘红，牧原股份大涨5%，天邦股份、温氏股份、新五丰、唐人神等等个股均涨超3%，市场还是在围绕中美贸易战展开。', '2018-04-02 21:47:44')
('这次潜伏002124天邦股份目的达到，被上次贸易战高002477雏鹰农牧高开低走吓怕了，一早还是获利落袋为安。减仓002245澳洋顺昌和300446乐凯新材，先把上周五获利的收一收。等下午探明情况再说。', '2018-04-01 22:21:08')
('现在的公务员不容易啊，半夜发公告，市场都以为贸易战休战了，我反而觉得这个贸易战会持续影响下去，上周五加仓了猪肉002124天邦股份，果不其然啊，看来清明回程的交通费可以到手咯，到这个突然重磅，对市场总体走向还不好说，总不会上周五已经高潮的市场今天来个180度集体卧倒吧 ...展开全文c', '2018-04-01 18:27:22')
('下午创业板高歌猛进，个股开花啊，601015陕西黑猫获利清仓，002245澳洋顺昌和300558贝达药业减了点仓，002300乐凯新材和002124天邦股份加了仓，账户持股实现全部获利。603938三孚股份上午还被点名，下午看来不好意思，直接飙了，还满意，返程票算是到手了，安安心心过周末啦，下周再战', '2018-03-30 06:10:10')
('同时，《每日经济新闻》记者还注意到，这些上市公司的股价在2017年的涨幅也较为不错，除杭州银行、金科文化和天邦股份在2017年录得负收益外，其余均实现正收益。如果从2017年收盘价区间最大涨幅来看，兆易创新涨幅达153.76%、恒逸石化涨幅达82.8%、闰土股份涨幅达47.27%。', '2018-03-28 01:47:10')
('《每日经济新闻》记者统计发现，上述8家上市公司除了天邦股份外，其余均在2017年实现了净利润同比正增长，如兆易创新、恒逸石化和冀东水泥，2017年净利润增幅均实现翻倍，而金科文化和跨境通也实现了90%以上的高增长。另外，从金科文化和跨境通已披露的今年一季度业绩预告来看，净利润表现仍然优异，前 ...展开全文c', '2018-03-28 01:47:03')
('据东方财富数据统计显示，今年以来至3月25日，千合资本共计调研了8家上市公司，在1月和2月分别调研了天邦股份和冀东水泥，其余6家上市公司的调研均集中在3月份，分别是兆易创新、金科文化、恒逸石化、闰土股份、杭州银行和跨境通。', '2018-03-28 01:46:55')
('发布了头条文章：《002124天邦股份：主力究竟在耍什么“心眼”，小散们被坑死了！》$天邦股份 sz002124$ #财经头条文章# |002124天邦...', '2018-03-27 11:32:45')
('【每日收盘总结】：2018.3.27调股收盘总结〖可关注上升趋势股六支〗002124天邦股份-涨幅+0.23%300270中威电子-涨幅+3.53%002589瑞康医药-涨幅+2.64% ...展开全文c', '2018-03-27 06:45:17')
('发布了头条文章：《002124天邦股份：最新消息流出，99％散户还在茫然！》$天邦股份 sz002124$ #财经头条文章# |002124天邦...', '2018-03-26 03:49:48')
('两市指数继续走低，深成指和创小板指数跌幅超过5%，沪指大跌4%，贸易战刚刚打响，A股就尿了，郭嘉队不出面维稳，市场一片恐慌，血流成河。我们的天邦股份也开始扛不住了，期望不要翻绿就好！不翻绿下周就还有机会，继续关注。$天邦股份 sz002124$ #这一刻的小时光# #偶像练习生#', '2018-03-23 02:37:43')
('面对突如其来的利空，我们还算好的，早盘推荐的$天邦股份 sz002124$ 目前还维持3个点左右震荡，整体上仓位我们都没有超过半仓，前面操作的肉票都有利润，这种大跌行情不是技术能力的问题，而是黑天鹅，那些不好的，基本上都逃不掉的。', '2018-03-23 01:35:03')
('漂亮，早盘低吸的$天邦股份 sz002124$ 继续反弹拉升，近6个点了，看着趋势是要去封板的，继续关注。在线的朋友来点掌声与鼓励！祝今日能够封死涨停！', '2018-03-22 22:52:28')
('受外围大跌影响，各大指数全线大幅度低开，下跌个股达98%，仅农业股，黄金股相对强势。短线关注天邦股份002124，短线有企稳拉升迹象，逢低关注。$天邦股份 sz002124$ #今日看盘# #偶像练习生#', '2018-03-22 22:01:10')
('早盘推荐的$天邦股份 sz002124$ 开始反弹一波，近3个点了，还不错，继续跟踪。 #今日看盘# @微博股票网页链接', '2018-03-22 22:01:03')
('#畜牧业新闻#全球前40名生猪养殖企业，温氏股份第二，万洲国际第一!美国WATT传媒公布了2017全球前40名生猪养殖企业与生猪屠宰加工企业排名，评选的主要依据为现有母猪存栏量;国内有3名企业进入全球排行榜前10名，分别是史密斯菲尔德、温氏股份、天邦股份。京东与史密斯菲尔德签定合作协议 ...展开全文c', '2018-03-18 21:40:30')
('【股东减持】海源机械、大金重工、浙江美大；【今日复牌】菲达环保、八一钢铁、兰州民百、乐视网、龙星化工、天华超净、万兴科技、龙星化工。【限售股解禁】杭州银行、天邦股份、兴森科技、通源石油、汉鼎宇佑、东杰智能。', '2018-03-15 21:23:34')
('限售股解禁：杭州银行、天邦股份、兴森科技、通源石油、汉鼎宇佑、东杰智能。', '2018-03-15 21:15:44')
('#投资达人说# #今日看盘# @微博股票 $用友网络 sh600588$ $合肥城建 sz002208$ 复牌个股：菲达环保、八一钢铁、兰州民百、乐视网、龙星化工、天华超净、万兴科技、龙星化工。限售股解禁：杭州银行、天邦股份、兴森科技、通源石油、汉鼎宇佑、东杰智能。', '2018-03-15 20:25:24')
('【停/复牌、解禁股数据】复牌个股：龙星化工、万兴科技、八一钢铁、天华超净、乐视网、菲达环保、兰州民百停牌个股：通达股份解禁个股：通源石油、兴森科技、黑芝麻、汉鼎宇佑、天邦股份、杭州银行（注：以上数据截至22：00，以沪深市场交易当日公布最终数据为准，仅供参考！）', '2018-03-15 10:32:26')
('发布了头条文章：《A股最新走势揭秘：天邦股份+中视传媒+恒立液压》 |A股最新走...', '2018-03-13 06:42:00')
('#天邦股份 sz002124[股票]# 前期快速上涨后，目前缩量回踩，没有止跌企稳，不过下方三条均线支撑，9.2附近支撑较强，建议先等等，后市支撑附近企稳可适当考虑。', '2018-03-12 23:33:23')
('下周解禁比例大于5%的股票：中葡股份、金轮股份、中国国航、道道全、大千生态、ST保千里、环能科技、寒锐钴业、康隆达、万润股份、拉芳家化、捷捷微电、正源股份、克来机电、博士眼镜、诚意药业、天邦股份、网页链接', '2018-03-11 08:50:34')
('#财经头条文章##微博时评团##原创首发# $上证指数 sh000001$ $创业板指 sz399006$ #股评师问答#这20只个股解禁压力大，回避风险多转发点赞评论666。综合解禁市值，解禁比例，解禁类型可以看出寒锐钴业、ST保千里、中国国航、捷捷微电、ST宝实、...展开全文c', '2018-03-10 21:14:38')
('天邦股份汉世伟公司江苏标准化家庭农场，单批存栏30000头。 网页链接 苗乐伟v的...', '2018-03-08 09:02:30')
('$天邦股份 sz002124$ #生猪饲料# #生物柴油# #猪肉#，上面14和16附近是压力位，黄圈内低点作为可以参考的止损位。再次严正声明，本人微博中涉及的任何股票和商品，都是作为学习交流之用，不作为您开、平仓的依据，盈亏自负！！！#股票# #股市# #V影响力峰会# @微博股票点评团 ...展开全文c', '2018-03-08 07:32:56')
('实时播报：天邦股份：2月份销售商品猪13.38万头，销售收入1.97亿元，销售单价13.25元/公斤，环比变动分别为30.03% 、1.44%、-10.53%；1-2月累计销售商品猪23.67万头，销售收入3.9亿元，销售均价13.98元/公斤，同比变动分别为163.3%、124.87%、-16.28%。', '2018-03-06 02:59:31')
('【一次交流会曝光两大硬伤 天邦股份董秘真会玩还是真不会？】上市公司做市值管理，品牌塑造，召开机构投资者交流会是必不可少的一个环节，但是在机构投资者交流会上，哪些能说哪些不能说，董秘们就要为公司把控了，在这点上，天邦股份董秘张宇做的就有点瑕疵。 |一次交流会...', '2018-03-05 03:30:30')
('#上市公司那点事儿# 【一次交流会曝光两硬伤 天邦股份董秘会玩还是不会玩】华泰证券研究员表示的是华泰证券方预计的公司2018年生猪养殖完全成本将降至11.7元/公斤，但是实际上从记录表可以看到，明明就是上市公司自己说的。天邦股份董秘这是在玩啥？ |一次交流会...', '2018-03-05 02:45:57')
('○ 世界级品牌3月齐提价，轴承迎来涨价潮轴承概念股：长盛轴承(300718)、雷迪克(300652)、襄阳轴承（000678）、南方轴承（002553）○ 水产饲料涨价蔓延，旺季量价齐升可期水产饲料概念股：海大集团(002311)、天马科技(603668)、天邦股份（002124）、通威股份（600438）', '2018-03-04 20:31:40')
('水产饲料涨价蔓延，旺季量价齐升可期水产饲料概念股：$海大集团 sz002311$ 、$天马科技 sh603668$ 、$天邦股份 sz002124$ 、$通威股份 sh600438$ 网页链接', '2018-03-04 20:25:20')
('水产饲料概念股：海大集团(002311)、天马科技(603668)、天邦股份（002124）、通威股份（600438）', '2018-03-04 20:07:15')
('【9只个股同受公私募关注 王亚伟调研天邦股份后涨11%】与去年三季度末相比，在2017年四季度末，公募基金共对67只个股进行了大幅减持，减持数量均超过了5000万股。2018年以来，这67只个股仅有9只受到公募和私募的频繁调研，其中苏宁易购等3家公司迎来了重阳投资等知名私募的调研。网页链接', '2018-03-01 05:51:31')
('【9只个股同受公私募关注 天邦股份被调研后涨11%】随着2017年基金四季报的披露，公募基金在四季度期间的调仓路线也基本浮出水面。在2017年四季度末，公募基金共对67只个股进行了大幅减持，减持数量均超过了5000万股。值得注意的是，2018年以来，这67只个股仅有9只受到公募和私募的频繁调研。', '2018-02-28 10:28:23')
('【9只个股同受公私募关注 天邦股份被调研后涨11%】备受关注的王亚伟的千合资本在今年以来也出动调研了2家公司：天邦股份和冀东水泥。《证券日报》基金新闻部据Wind资讯数据统计，与去年三季度末相比，基金在去年四季度对天邦股份的持有数量基本保持不变，但对冀东水泥进行了增持，较去年三季度末增持了 ...展开全文c', '2018-02-27 23:30:03')
('【2.26盘中直击持仓股】：群内盘中动态策略已建仓个股天邦股份国芳集团川恒股份捷成股份', '2018-02-25 20:24:38')
('2.26预测：两波冲高回落 网页链接$创业板指 sz399006$$建研院 sh603183$$众信旅游 sz002707$$天邦股份 sz002124$$泰山石油 sz000554$$亿帆医药 sz002019$ ...展开全文c', '2018-02-25 07:01:41')
('发布了头条文章：《天邦股份002124：主力再次耍阴谋，不经意间透漏了一重要消息》 $天邦股份 sz002124$ #A股#股票# |天邦股份00...', '2018-02-23 22:56:14')
('大盘己启稳，但磨底要很长时间，会反复去摸脚底，或许半个月以上。但形态好的个股有一波上涨行情。有好的个股我会放在微博上，有看我微博的朋友买一成仓位，娱乐开心就好了，天邦股份002124。等下跌时买进。明天如果有买的朋友给个回复。', '2018-02-12 10:07:17')
('汇冠股份 承德露露 恒通股份 金达威 $汇冠股份 sz300282$ $承德露露 sz000848$ $恒通股份 sh603223$ #金达威 sz002626[股票]# #英搏尔 sz300681[股票]# 《莱美药业联得装备天邦股份！华平股份丽鹏股份沪电股份华录百纳！神思电子GQY视讯富临精工科恒股份！朗姿股份吉艾科技通达股份恒锋信息》 ...展开全文c', '2018-02-12 09:00:03')
('#上证指数(SH000001)# $天邦股份 sz002124$ 唯有一点红，明天又要开市了！', '2018-02-11 06:32:37')
('中国股市百股跌停，今天难道要来个历史性大跌？还是超跌反弹#创业软件 sz300451[股票]# #东方能源 sz000958[股票]# #天邦股份 sz002124[股票]# #大宗商品 sh000979[股票]# 乔继凤分析...', '2018-02-10 21:57:42')
('发布了头条文章：《天邦股份002124释放洪荒之力，后期走势大揭秘》#天邦股份 sz002124[股票]# #大盘~股市~股票~证券~中线~短线# |天邦股份00...', '2018-02-09 01:43:58')
('发布了头条文章：《天邦股份002124后市展望精准预测，散户必看！》#天邦股份 sz002124[股票]# #大盘~股市~股票~证券~中线~短线# |天邦股份00...', '2018-02-09 01:34:09')
('我刚刚调仓了微博股票组合网页链接，以成交价9.71买入$天邦股份 sz002124$。', '2018-02-07 01:16:38')
('发布了头条文章：《天邦股份(002124)：黑马强势来袭，主力289亿抢筹，妖王崛起!》 $天邦股份 sz002124$ #牛股笔忆录# #个股、牛股不断# |天邦股份(0...', '2018-02-06 06:10:44')
('发布了头条文章：《天邦股份002124：黑马强势来袭，蓄势待发，有望强势反弹！》 #微博股票# $天邦股份 sz002124$ |天邦股份00...', '2018-02-06 04:31:17')
('发布了头条文章：《天邦股份002124 ：股价金针探底曝光主力做多意图，暴涨指日可待》 $天邦股份 sz002124$ #微博股票#股票分析# |天邦股份00...', '2018-02-05 22:48:50')
('巴士在线（002188）：《保证合同》上所盖公司公章系伪造金盾股份（300411）：公司可能存在公章被伪造情形 已向公安机关报案歌华有线（600037）：参与发起设立歌华丝路金桥传媒产业并购基金西部牧业（300106）：1月份自产生鲜乳产量环比下跌近两成天邦股份（002124）：1月份商品猪销售收入1.94亿元 ...展开全文c', '2018-02-05 20:14:20')
('发布了头条文章：《最新利好消息：天邦股份+神农基因+海大集团》 #上证快讯# #微博股票# #财经头条文章# $天邦股份 sz002124$ $神农基因 sz300189$ $海大集团 sz002311$ |最新利好消...', '2018-02-05 07:11:26')
('发布了头条文章：《主力最新阴谋：中远海控 中科三环 凯发电气 国脉科技》 #天地科技 sh600582[股票]# #天邦股份 sz002124[股票]# #百利科技 sh603959[股票]# |主力最新阴...', '2018-02-04 05:46:21')
('发布了头条文章：《明日最新看点：广晟有色 安琪酵母 天邦股份 陕天然气》 #财经头条文章# #百利科技 sh603959[股票]# #祥源文化 sh600576[股票]# #胜宏科技 sz300476[股票]# |明日最新看...', '2018-02-04 05:36:50')
('【天邦股份从事生猪养殖等业务】天邦股份，近两年生产性生物资产规模快速提升，新投产的西式母猪场PSY（断奶仔猪数/母猪/年）高达28-31头，进一步提升了公司养殖效率，在猪苗成本上有相对优势，生猪产能释放速度超预期。近期我国中东部降雪天气影响局部运输，加之养殖户受涨价预期影响有所惜售，短期推 ...展开全文c', '2018-02-04 03:55:33')
('发布了头条文章：《A股走势精准分析:华宇软件 天邦股份 陕天然气 冠福股份》 #上证快讯# #头条文章# #新浪看点# #新浪股吧# $华宇软件 sz300271$ $天邦股份 sz002124$ $陕天然气 sz002267$ $冠福股份 sz002102$ |A股走势精...', '2018-02-03 03:25:07')
('昨天有人问我天邦股份死了，死了？大盘死了，他死了吗？你就死了，走得多强！', '2018-02-01 22:08:03')
('发布了头条文章：《天邦股份002124：新一轮回调趋势震撼来袭，股民：及时减仓才是王道》 $天邦股份 sz002124$ #股票分析#微博股票# |天邦股份00...', '2018-02-01 20:03:13')
('发布了头条文章：《重大利好爆出：腾龙股份 兴化股份 福成股份 中国国贸》 #财经头条文章# #天邦股份 sz002124[股票]# #中国核电 sh601985[股票]# #华域汽车 sh600741[股票]# |重大利好爆...', '2018-01-31 04:37:32')
('服装家纺在森马服饰不断新高带动下，今天一致性高潮了，是目前场内最强热点。目前场内走趋势行情的品种，除了森马服饰，就是#天邦股份 sz002124[股票]# 了，这个属于猪肉品种#微博股票# #投资达人说# #今日看盘#', '2018-01-30 21:05:38')
('牛股点评猪肉概念：$天邦股份 sz002124$ 近期不断新高，可能会对板块有影响，正邦科技等猪肉品种可以参考。航空股：中国国航近期不断新高，南方航空，春秋航空等可能会有联动表现。 #今日看盘# @微博股票网页链接', '2018-01-30 20:32:07')
('天邦股份002124 短线有望继续拉升，逢低关注。#微博自媒体# #上证指数sh000001#', '2018-01-30 20:22:49')
('好吧，发布一下，今日股票池（昨日15点50成立）：$天邦股份 sz002124$ $浙江东日 sh600113$ $博汇纸业 sh600966$ $华联控股 sz000036$ $乐通股份 sz002319$ $宜华健康 sz000150$ $楚江新材 sz002171$ $宜华健康 sz000150$ $湖南投资 sz000548$ $太阳纸业 sz002078$ (一家之言，仅供参考，据此操作，盈 ...展开全文c', '2018-01-30 20:17:50')
('明日A股股池（1.30） 1月最后一天，涨了一个月终于调整了。$巨化股份 sh600160$ 预计盈利5倍，走势出在前期短线技术面的调整后期，看这庄会不会来一波拉升。$众信旅游 sz002707$ 持续推荐。不多说。$天邦股份 sz002124$ 这逆市拉升的态势可以，是为了 ...展开全文c', '2018-01-30 08:44:27')
('大股连续两天大跌，指数两天下跌70个点，以大股参考大股没稳定下来之前，指数稳定的概率不大，不排除后期还有调整。涨价这两天活跃度比较高一些，早盘煤炭有色比较强势，但是尾盘也扛不住了。从盘面看，趋势股比较好的就是森马服饰，男装这两天已经有跟风资金在炒作，没多少肉了。其次就是天邦股份，猪 ...展开全文c', '2018-01-30 02:05:13')
('#今日牛股推荐# 禽流感概念股近期也很强，$天邦股份 sz002124$ 天邦股份突破年线后持续走强，$鲁抗医药 sh600789$ 鲁抗医药近期表现也很强势，走势是不是和海南板块很类似，天邦股份、鲁抗医药领涨，继续观察，后期加速禽流感还是有短线机会 $上证指数 sh000001$', '2018-01-30 00:38:36')
('不少个股都是在悄悄走强的，$山西焦化 sh600740$ 不知不觉已经新高$天邦股份 sz002124$ 不知不觉已经上涨达到20%，这个是养猪的。#老吴说市# #大盘行情# #投资达人说#', '2018-01-29 21:56:56')
('$天邦股份 sz002124$ 2017.11.9日，尾盘搞了点儿，然后就被套住了...没到在“一号文件”预期的带动下，涨的这么欢乐', '2018-01-29 20:54:20')
('【20180130早盘特供：公司与行业】1）：中央一号文件连续14年聚焦“三农”问题 农业供给侧结构性改革受关注。北大荒、亚盛集团、海南橡胶、苏垦农发2）：春节临近，且近期中东部地区普降雨雪，农产品价格有望上涨。罗牛山、天邦股份。3）：纺织服装出口数据转暖 行业持续复苏。开润股份、太平鸟、水 ...展开全文c', '2018-01-29 10:17:36')
('发布了头条文章：《002124天邦股份： 一路强势拉升，何时才是转折点？》 #个股推荐与走势分析# #股票技术分享# #个股、牛股不断# |002124天邦...', '2018-01-28 21:58:18')
('天邦股份：过年杀猪！近期温和放量上涨，主力量能堆积较好，不用担心目前涨的可怕，没走眼的话会反复空中加油，目标价15元。', '2018-01-28 21:19:12')
('【23只个股突破年线】截至今日下午收盘，上证综指3558.13点，收于年线之上，涨跌幅0.277%，A股总成交额为4472.86亿元。到目前为止今日有23只A股价格突破了年线，其中乖离率较大的个股有诚志股份、天邦股份、安迪苏等，乖离率分别为3.83%、2.95%、2.22%；珠江实业、纳思达、会稽山等个股乖离率小，刚刚 ...展开全文c', '2018-01-26 15:49:03')
('每日复盘沙隆达A 今日走势和预期一样，收个下影线的小阳线，回踩后继续前行，持股待涨！（今天意外的是昨天出货的天邦股份，没有横盘整理，直接就拉升了。）', '2018-01-26 05:05:02')
('发布了头条文章：《A股最新利好榜:广发证券+北特科技+天邦股份+山鹰纸业》 #头条文章# #新浪看点# $秦安股份 sh603758$ $凯撒文化 sz002425$ $跨境通 sz002640$ $远望谷 sz002161$ |A股最新利...', '2018-01-26 03:59:09')
('发布了头条文章：《A股走势深度解析：阳光股份 南方航空 先导智能 天邦股份》#新浪股吧# $阳光股份 sz000608$南方航空 sh600029$先导智能 sz300450$天邦股份 sz002124$ |A股走势深...', '2018-01-26 03:47:09')
('天邦股份这个票图形还是不错的，只不过让我犹豫的是里面信托资金太多了，其中就有陕国投', '2018-01-25 22:18:18')
('每日复盘天邦股份 今日冲高到昨天高点附近清仓了，获利3个点，到昨日高点附近没有放量，大概率是会回调。沙隆达A 尾盘附近抄底了沙隆达A，明天跌破今日低点出局，收阳线继续持有！前期拉升大盘的板块基本都在回调了，风险越来越大，82转换几率太小，控制仓位！！', '2018-01-25 06:12:04')
('每日复盘天邦股份 早盘冲高回落，没有及时高抛，趋势没有变化，今日没跌没涨，实在郁闷（后期关注雄安概念，前期关注的冀东装备今日拉升后小幅回落，后期多关注）近期低位票横盘并且有很多下影线的票，可以打开60分钟分时图，一般会形成一个箱体结构，在箱体底部低吸，破低位价格，止损，到箱体顶 ...展开全文c', '2018-01-24 03:27:15')
('每日复盘金奥博 今天早上冲高果断止损了，没想到会收红盘，亏损3个点天邦股份 昨天突破前期小平台，今天高开高走，微微放量，在一个点的时候买入，目前微微盈利，（盘中看到沙隆达A突破今日回踩到买点，苦闷没有仓位，这么多年改不掉满仓的毛病）', '2018-01-23 10:36:59')
('伊之密 鲁北化工 中国石化 伊力特 $伊之密 sz300415$ $鲁北化工 sh600727$ $中国石化 sh600028$ $伊力特 sh600197$ #金融# 章源钨业北京银行晋亿实业天邦股份北京城建恒顺众昇天山生物合锻智能瑞泰科技英洛华艾华集团通用股份京新药业合纵科技海南矿业杰瑞股份光电股份万里马永太科技铁龙物流 ...展开全文c', '2018-01-23 10:31:03')
('明日A股股池（1.23 ）重复昨天的话：大盘开启一个新的阶段了。未来的变化不会重复，要跟紧节奏。$德联集团 sz002666$ 重点关注，看会不会是下一个建新股份。$天邦股份 sz002124$ 农业板块的六连阳，看走势能不能中线。$永和智控 sz002795$ 底部持续放量拉升。 ...展开全文c', '2018-01-23 07:32:01')
('发布了头条文章：《备受主力青睐：建设银行 康尼机电 天邦股份 润达医疗》 $建设银行 sh601939$ $康尼机电 sh603111$ $天邦股份 sz002124$ $润达医疗 sh603108$ |备受主力青...', '2018-01-18 03:18:16')
('发布了头条文章：《主力瞒天过海：天邦股份+通合科技+运达科技》 |主力瞒天过...', '2018-01-15 21:47:45')
('#阜阳政务#【孙正东与天邦股份总裁沈伟平进行商务洽谈】1月9日上午，阜阳市委副书记、市长孙正东与来阜阳考察投资的天邦股份有限公司总裁沈伟平一行进行商务洽谈。副市长李红、市政府秘书长黄琦及市直相关部门负责同志参加洽谈。宁波天邦股份有限公司是以绿色环保型饲料的研发、生产、销售和技 ...展开全文c', '2018-01-10 01:39:48')
('发布了头条文章：《有一只龙头惊现！华通热力 香飘飘 三利谱 佛燃股份》 $华通热力 sz002893$ $香飘飘 sh603711$ $三利谱 sz002876$ $佛燃股份 sz002911$ #每日热点# 中原高速七 匹 狼世龙实业海航基础天邦股份海量数据北新路桥朗迪集团一汽富维普路通桐昆股份艾比森潍柴重机王子新材棕榈股份 ...展开全文c', '2018-01-09 08:40:10')
('#股市大赢家# $天邦股份 sz002124$ 反弹行情，关注上方9.05元附近压力能否突破，下行可以8.6元附近支撑暂持', '2018-01-09 03:05:17')
('发布了头条文章：《A股重大利好来袭：大理药业 赢时胜 高伟达 天邦股份》#新浪股吧#股票分析#新浪看点#$大理药业 sh603963$赢时胜 sz300377$高伟达 sz300465$天邦股份 sz002124$ |A股重大利...', '2018-01-08 03:50:04')
('猪肉板块多股大涨 $温氏股份 sz300498$ 商品猪销售均价环比回升。1月8日早盘，猪肉板块表现强势，截至发稿，$温氏股份 sz300498$ 、$牧原股份 sz002714$ 幅均超过5%，$唐人神 sz002567$ 、$龙大肉食 sz002726$ 、$天邦股份 sz002124$ 上涨超过2%。消息面上，温氏股份公告称，2017年12月，公司销售 ...展开全文c', '2018-01-07 21:16:46')
