('A股历史上的底部：股价底，经济底，估值底 那个先来？$跃岭股份 sz002725$$保利地产 sh600048$$海南瑞泽 sz002596$ 杨超分析的...', '2018-07-24 08:29:18')
('发布了头条文章：《跃岭股份002725震荡蓄势完毕 ，后市欲夺领涨大旗！》 #跃岭股份 sz002725[股票]# #大盘~股市~股票~证券~中线~短线# #微博股票热议榜# |跃岭股份00...', '2018-07-02 08:28:30')
('股市唯一不骗人的超短线九大要点，句句在理，建议散户收藏$跃岭股份 sz002725$ $申通快递 sz002468$ $乐普医疗 sz300003$ $光线传媒 sz300251$ 论A股堂的...', '2018-07-02 06:47:44')
('涨势如潮直线狂飙，喜人走势大揭秘！$烽火通信 sh600498$ $蓝晓科技 sz300487$ $跃岭股份 sz002725$ $寒锐钴业 sz300618$ \ue627 短线牛股 \ue627 投资达人说 #财经趣闻# 苍白自恋缠...', '2018-07-02 06:41:36')
('麦趣尔 宏良股份 金一文化 金轮股份 金莱特 海洋王 跃岭股份 股海大咖的...', '2018-07-02 04:53:23')
('发布了头条文章：《跃岭股份(002725)：国产芯片+5G双龙头吸金筑底，后市有望逆势拉升！》$跃岭股份 sz002725$ #跃岭股份 sz002725[股票]# \ue627 微博股票 |跃岭股份(0...', '2018-07-02 03:50:12')
('无视大盘大跌！昨日提示三只关注股和两只备选股。襄阳轴承一字涨停开盘，天津普林高开五六个点，这两只股不具备上下三个点买入原则舍弃。今天早盘跌三个点买入跃岭股份今天预计大赚十个点，中矿资源早盘跌三个点买入今日预计小赚一个点，山东金泰早盘跌三个点买入今日赚两个点。我今日错过了赚十个点 ...展开全文c', '2018-07-02 03:46:17')
('发布了头条文章：《跃岭股份002725：主力资金重金抢筹 ，本月有望暴涨成妖》 $跃岭股份 sz002725$ $上证指数 sh000001$ \ue627 财经头条文章 \ue627 股票分析 |跃岭股份00...', '2018-07-02 03:34:54')
('观察跃岭股份、福达合金、盛弘股份、猛狮科技、金奥博、晓程科技、森霸传感、红宇新材', '2018-07-02 02:55:23')
('芯片 跃岭股份拉升冲击涨停板，会助攻 晓程科技，看是否有资金拉晓程科技了', '2018-07-02 02:38:10')
('#跃岭股份 sz002725[股票]# 近期上升趋势，阳线多，伴随放量，表现较好，今日涨幅已经不小，不建议此时去追，关注5日线附近机会', '2018-07-02 02:07:34')
('行情脆弱大跌，能逆势的品种少之又少，送出的个股中，集泰股份 倒是直线拉升， 世名科技 跃岭股份 华自科技 也是震荡走高，不惧大盘下跌，路畅科技 的盘面还是比较稳定，阿科力，阿石创 这些也要继续观察好机会$晓程科技 sz300139$ $格力电器 sz000651$ $上证指数 sh000001$ #今日看盘# ...展开全文c', '2018-07-02 01:55:55')
('妖股跃岭股份又要涨停，星网宇达！你还要怎么玩', '2018-07-02 01:51:35')
('发布了头条文章：《后期走势精准解析，联诚精密+可立克+阿实创+跃岭股份》 $联诚精密 sz002921$ $可立克 sz002782$ $阿石创 sz300706$ $跃岭股份 sz002725$ |后期走势精...', '2018-07-01 23:52:56')
('11：06 雅溥直播间里不光有代码，更多的是教给大家持股的方法和选股的技巧，如果你们真心学 是早晚可以学有所成 自己独立的，如果只为了代码 有奶就是娘 你注定也走不远！这个市场没永远的赢家！雅溥觉得有时候，偶尔忍受一下非议，收获的时候什么痛苦煎熬都觉得不值一提，这种感觉蛮好。一句话 这就是 ...展开全文c', '2018-07-01 23:06:56')
('10：50 从今日的盘面来看，雅溥不建议大家去碰蓝筹股了，除非有明显的买点信号，主方向还是以科技题材为主，蓝筹股短期真是熊，创业板稳定就好，注意选择好方向，方向选择不对，自然做起来就不会很顺的。#跃岭股份 sz002725[股票]#', '2018-07-01 22:51:40')
('特朗普虽然放烟 雾弹干扰，但是中国股市今天开盘后还保持了相对稳健的走势，尤其是创业板一直保持稳定,这说明市场还是延续上周五的反弹节奏，只是外因干扰了短线资金的跟风效应,直播间给大家分享的跃岭股份持续的逼空拉升，此股走势很强劲啊！', '2018-07-01 22:46:54')
('股市唯一不骗人的指标——筹码分布，读懂，不会炒股也能多赚少赔$跃岭股份 sz002725$ $安凯客车 sz000868$ $春兴精工 sz002547$ $快意电梯 sz002774$ 胡亦彰的秒...', '2018-07-01 22:45:44')
('10：31 今天市场本身就支持冲高小幅回落来承接周五的获利盘,不过盘面开盘冲高幅度不大,创业板周五的突破，可以维持盘面一定时间的稳定,短期机会依旧在创业板科技题材上面,等什么时候风格切换了，雅溥会给大家提示的#跃岭股份 sz002725[股票]#', '2018-07-01 22:32:19')
('实时盯盘-- 新能源汽车个股集体拉升，安凯客车涨停5天4板，跃岭股份涨5%、中通客车、亚星客车集体拉升。', '2018-07-01 22:28:08')
('$跃岭股份 sz002725$ 这只票也是林龙兵在6月22日左右推荐二次操作的的个股，多篇博文及直播被删，所以大家都无法回顾，但是长期关注林龙兵的朋友一定不陌生，上周我都还在反复点评，上周获利2个涨停板，跟上的朋友获利25%左右，有操作的朋友可以把握止盈了。', '2018-07-01 22:27:33')
('晓程科技 欣锐科技 两只票妖股已成，六连板！ 超跌品种的 邦讯技术 也是够强悍，虽然没连板，但5个涨停也是傲视群雄，次新一向会出妖股，这个板块是重点方向，另外，跃岭股份，福达合金，庄园牧场，湖南盐业 泰永长征 等逢低关注 $晓程科技 sz300139$ $格力电器 sz000651$ @微博股票', '2018-07-01 22:11:58')
('跃岭股份如果能走出大趋势来的话，将是一个格局非常大的票，像当年的跨境通，可以去看看当年的跨境通的股性表现，非常极致，像武将里的关云长赵云，走一步看一步吧，万一又没有走出趋势来呢，', '2018-07-01 22:09:03')
('上海女博士: "集合竞价"是股市唯一获利指标, 再忙也花3分钟看完 $鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-01 22:00:50')
('$锋龙股份 sz002931$$跃岭股份 sz002725$我获利出了买入$长盈精密 sz300115$ 四成$信息发展 sz300469$ 三成', '2018-07-01 21:59:54')
('$跃岭股份 sz002725$ 上周五在出了减持公告后，跌停开盘，但随后打开跌停拉升。今天盘中继续表现出强势。这标的资金进入深，做多意愿非常强。可以继续跟踪关注！#今日看盘#', '2018-07-01 21:58:28')
('史上最全“换手率口溜”, 再忙也要花上3分钟背熟，堪称价值连城 $永泰能源 sh600157$ $泰格医药 sz300347$ $宇环数控 sz002903$ $跃岭股份 sz002725$ 论A股堂的...', '2018-07-01 12:12:04')
('发布了头条文章：《7月超级金妖报警来袭？002725跃岭股份+002684猛狮科技》 $跃岭股份 sz002725$ $猛狮科技 sz002684$ $上证指数 sh000001$ \ue627 股票分析 #热门股票推荐# #财经趣闻# |7月超级金...', '2018-07-01 11:42:24')
('49岁杭州女股民讲透了“K线的线上阴线买，线下阳线抛”，太绝了$跃岭股份 sz002725$ $安凯客车 sz000868$ $春兴精工 sz002547$ $快意电梯 sz002774$ 胡亦彰的秒...', '2018-07-01 05:21:09')
('利好消息：海洋王 跃岭股份 龙大肉食 刘庆谈财的...', '2018-07-01 05:06:51')
('“线上阴线”是股市唯一能500%获利法，熟记5条后可实现股神梦想$永泰能源 sh600157$ $泰格医药 sz300347$ $宇环数控 sz002903$ $跃岭股份 sz002725$ 论A股堂的...', '2018-07-01 05:04:24')
('#股票#战绩回顾：6.19推荐300514友讯达大涨18%6.20推荐002725跃岭股份大涨30%6.21推荐600117西宁特钢大涨15%6.22推荐002562兄弟科技大涨15%6.22推荐300578会畅通讯大涨10% 6.26推荐300745欣锐科技大涨35% ...展开全文c', '2018-07-01 04:45:58')
('发布了头条文章：《庄家最怕的短线“指标之王”CCI指标，十拿九稳原来炒股很简单》 $宇环数控 sz002903$ $跃岭股份 sz002725$ $申通快递 sz002468$ $乐普医疗 sz300003$ $光线传媒 sz300251$ |庄家最怕的...', '2018-07-01 04:17:31')
('7月股市即将云消雾散，涨停潮来袭：$跃岭股份 sz002725$ $宏辉果蔬 sh603336$ $泰合健康 sz000790$ $中国国航 sh601111$ \ue627 股票分析 #财经头条# #财经趣闻# 期待词组宁...', '2018-07-01 02:28:21')
('中国芯第一股从47跌至2元，神秘机构6300万股增持，7月有望飙涨封$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪振峯1983...', '2018-07-01 02:04:06')
('上海炒股冠军分享：终于把庄家吸筹说透彻了，学会轻松跟庄获利！$跃岭股份 sz002725$ $安凯客车 sz000868$ $春兴精工 sz002547$ $快意电梯 sz002774$ 胡亦彰的秒...', '2018-07-01 01:28:34')
('国芯片第一龙头从67跌至5元，大股东增持5555万股，节后有望乌鸦变$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪振峯1983...', '2018-06-30 22:19:24')
('发布了头条文章：《跃岭股份(002725)：5G概念股，机构增持37亿，下周必登龙虎榜！》 #跃岭股份 sz002725[股票]# $跃岭股份 sz002725$ |跃岭股份(0...', '2018-06-30 21:58:39')
('发布了头条文章：《7月股市强势预警涨停潮：002725跃岭股份+300667必创科技》 \ue627 短线牛股 \ue627 投资达人说 #财经趣闻# $跃岭股份 sz002725$ $必创科技 sz300667$ |7月股市强...', '2018-06-30 21:52:03')
('发布了头条文章：《年度气质黑马突袭？002725跃岭股份+002260*ST德奥》 $跃岭股份 sz002725$ $*ST德奥 sz002260$ #个股推荐与走势分析# #热门股票# #短线牛股# |年度气质黑...', '2018-06-30 21:43:27')
('杭州老教授玩转股市：27年坚持只做“筹码分布”,实现百亿梦想 $跃岭股份 sz002725$ $申通快递 sz002468$ $乐普医疗 sz300003$ $光线传媒 sz300251$ 马旷盈的秒...', '2018-06-30 20:23:47')
('7月绝地反击时刻来临:$跃岭股份 sz002725$ $宏辉果蔬 sh603336$ $泰合健康 sz000790$ $中国国航 sh601111$ \ue627 短线牛股 \ue627 投资达人说 #财经趣闻# 苍白自恋缠...', '2018-06-30 06:37:12')
('发布了头条文章：《跃岭股份002725主力蓄势待发严重低估，后市有望突破大涨》 #跃岭股份 sz002725[股票]# #财经头条文章# #微博股票热议榜# |跃岭股份00...', '2018-06-30 05:26:42')
('跃岭股份六月收获总收益49%，上半年行情同时完美收官。技术面上证指数基本探明了阶段底部，七月翻身行情将循序展开。', '2018-06-30 03:11:32')
('$上证指数 sh000001$减持中装建设：股东拟减持不超5.42%股份跃岭股份：实控人及部分股东拟减持不超3.25%股份恒康医疗：持股5%以上股东拟减持不超2%股份远大控股：持股5%以上股东拟减持不超1%股份', '2018-06-29 09:03:32')
('不要怂，满仓抢反弹$跃岭股份 sz002725$', '2018-06-29 06:35:24')
('6月29日重点股发布大单流向超短线振静股份、高风险金奥博、森霸传感、盛弘股份、猛狮科技、跃岭股份、汉嘉设计、振静股份、泰合健康、红宇新材、ST天马、 ...展开全文c', '2018-06-29 05:21:39')
('【2018-6-29收评】今天指数全线暴涨立马就到了各大压力位创业板领涨很强势也放量跑赢创业板指数的又有多少股只有少数票会强者恒强70%的票还会有低点 ...展开全文c', '2018-06-29 04:11:24')
('今天市场整体表现不错，只可惜美中不足的是量不够，下周检验反弹的真假！陈香大胆预测了一下下周一的走势，仅仅只是预测，不准打我脸至于个股方面，跌幅较凶的无法就是前期的一些强势股，如$振静股份 sh603477$ $超频三 sz300647$ $红宇新材 sz300345$ 、跃岭股份、猛狮科技等，但相信 ...展开全文c', '2018-06-29 03:32:50')
('今天午后开始了报复性的反弹，大盘指数回收2800点，盘面上只有不到百只是绿盘收尾。其中5G+芯片概念的$跃岭股份 sz002725$ 就是其中之一，今天跌停板开盘后翘板，但始终没能收红，该股的高位减持是今天逆势下跌的原因之一，预计下周可能还会回调，没有买入的朋友建议先观察为主，不要以为是有便宜可以 ...展开全文c', '2018-06-29 03:19:04')
('罕见利好消息：$南京聚隆 sz300644$ $名臣健康 sz002919$ $澄天伟业 sz300689$ $阿石创 sz300706$ $跃岭股份 sz002725$ 刘庆谈财的...', '2018-06-29 03:07:42')
('发布了头条文章：《跃岭股份002725：最新消息出炉,最佳布局信号！》$跃岭股份 sz002725$\ue627 微博股票热门股票推荐#股市~a股~大盘~股票#微博股票热议榜\ue627 股票股票分析# |跃岭股份 0...', '2018-06-29 02:52:38')
('持有这几只票的朋友，有拿不准的可以直接私信我，还有医药，煤炭，电力板块也可以问。$道森股份 sh603800$ $贝肯能源 sz002828$$跃岭股份 sz002725$ $环球印务 sz002799$#大盘-个股-趋势-解答# #今日看盘#', '2018-06-29 02:47:05')
('罕见利好消息：$南京聚隆 sz300644$ $宏川智慧 sz002930$ $集泰股份 sz002909$ $跃岭股份 sz002725$ $深信服 sz300454$ 刘庆谈财的...', '2018-06-29 02:26:58')
('发布了头条文章：《爆7月最具气质妖王来袭：002725跃岭股份+300004南风股份》 $跃岭股份 sz002725$ $南风股份 sz300004$ $上证指数 sh000001$ \ue627 股票分析 \ue627 短线牛股 #财经趣闻# |爆7月最具...', '2018-06-29 00:40:51')
('盛宏股份这也是奔着妖股去啊，服了，超过跃岭股份', '2018-06-28 23:07:14')
('如果跃岭股份有再回落到跌停附近的话，是难得的机会', '2018-06-28 22:15:01')
('止盈了昨天的红宇新材、猛狮科技，止损了跃岭股份，买了重点看好的两个新能源汽车股！仓位还是三成！', '2018-06-28 22:13:10')
('发布了头条文章：《7月顶级妖王耀世登场：华菱钢铁+跃岭股份+坚瑞沃能+马钢股份》 $华菱钢铁 sz000932$ $跃岭股份 sz002725$ $跃岭股份 sz002725$ $马钢股份 sh600808$ \ue627 股票分析 #个股推荐与走势分析# #财经趣闻# |7月顶级妖...', '2018-06-28 22:03:51')
('发布了头条文章：《早盘策略：莫被下跌迷惑，反弹窗口将近！》 $超频三 sz300647$ $中信建投 sh601066$跃岭股份 sz002725$南京证券 sh601990$ |早盘策略：...', '2018-06-28 21:56:20')
('资金介入深的逆势强者恒强品种继续走高， 一直跟踪的 300139 晓程科技 今天再次涨停，五天五涨停了，连续五板估计要关小黑屋了，欣锐科技 也一度拉高，这两票都建议大家获利了解落袋为安好，由于深交所又半夜鸡叫拿高送转说事，超频三，金奥博，跃岭股份 为代表的填权概念全线走低，次新板块因此受 ...展开全文c', '2018-06-28 21:55:17')
('$跃岭股份 sz002725$ 今天跌停开板，现在反抽抛出，亏损约8个点止损离场。', '2018-06-28 21:45:24')
('一旦股票出现“长阴倒拔杨柳”形态，十买九涨，值得散户深度学习$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪哥论市的...', '2018-06-28 21:38:08')
('沪指高开，2021年取消金融领域外资股比限制，金融股受益；周期股和家电股复苏；创题材方面工业互联网、5G表现不俗。跃岭股份减持利空复牌跌停。', '2018-06-28 21:33:38')
('妖股$超频三 sz300647$ 和$跃岭股份 sz002725$ 今天都是跌停开盘，有打开，这类型妖股近期到头了', '2018-06-28 21:32:52')
('$跃岭股份 sz002725$ 、超频三跌停，猛狮科技也接近跌停', '2018-06-28 21:25:11')
('9：23 深交所表示，持续对上市公司高送转行为保持高压态势，通过健全规则、强化监管、加强投资者教育，严防概念炒作，不断净化资本市场生态环境。在深交所对高比例送转的合理性和必要性每单必问、每单必查的严监管态势下，高送转降温明显，推出高送转方案的公司数量明显下降，先看看集合竞价情况哈。 ...展开全文c', '2018-06-28 21:24:23')
('9：13 小米公开认购超10倍 成全球最大散户规模IPO。小米公开认购数据已经出来，比预期要好很多。截止28日十二点，共有超10万投资者参与小米的散户认购，认购总额超10.3亿股。根据港股市场中央结算中心的时间因素，这一数据暂未包括散户28日半天提交的认购数。小米公开认购超10倍，储备的韭菜还是比较充 ...展开全文c', '2018-06-28 21:14:57')
('A股唯一“不骗人”的MACD顺口溜,熟读3句不再被洗出局$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪哥论市的...', '2018-06-28 21:11:58')
('49岁杭州女股民首次透露：“线上阴线，线下阳线”炒股变得更简单 $杭电股份 sh603618$ $跃岭股份 sz002725$ $原尚股份 sh603813$ $迪生力 sh603335$ 凌_BLove新...', '2018-06-28 15:55:39')
('跃岭股份：实控人及部分股东拟减持不超3.25%股份。股价涨的大股东都受不了了。', '2018-06-28 12:46:40')
('实时播报：【跃岭股份：实控人及部分股东拟减持不超3.25%股份】跃岭股份公告，公司控股股东、实控人林仙明、林万青、林信福、林申茂、林平、林斌拟6个月内合计减持不超678万股，占公司总股本2.65%；持股9.69%的股东钟小头拟减持不超80万股，占公司总股本的0.5%；此外，公司副总经理万士文拟减持不超14. ...展开全文c', '2018-06-28 12:04:35')
('白天网络差，没法盯盘。晚上没网咖，没法编辑。就这样吧，这股市，大家耐心，明天过后就是7月了～#今日复盘# $跃岭股份 sz002725$ $三钢闽光 sz002110$ $智动力 sz300686$世界杯分析前两场日本vs波兰和哥伦比亚vs塞内加尔已经发了。不过那条微博点赞和回复的很少，看来大家看我酒驾决定跳车了，所 ...展开全文c', '2018-06-28 09:46:47')
('在中国股市，一旦出现这个主升浪，日后都会涨不停，绝无例外$ST东北高 sh600003$$沃特股份 sz002886$$跃岭股份 sz002725$ 杨超分析的...', '2018-06-28 09:46:47')
('跌的爽不爽，刺不刺激，直至今天，还有人跟我讲可以抄底了，我还是那句话，底是走出来的，坚守底线就是赢家，其实最近也挺好做的，300139在25号属于260型，类似的有跃岭股份，超频三这个妖孽降不住，其次现在也是最好的学习机会，如果你在现在的市场能生存并能赚钱，牛市来了你就是神话！ ...展开全文c', '2018-06-28 08:44:00')
('发布了头条文章：《跃岭股份(002725)：主力控盘封涨停，后市有望翻倍式拉升！》 $跃岭股份 sz002725$ |跃岭股份(0...', '2018-06-28 08:00:27')
('6月28日重点股发布大单流向超短线汉嘉设计、集泰股份、宁德时代、华锋股份、亿嘉和、地素时尚、南都物业、宏川智慧、高风险金力泰、南京证券、森霸传感、智动力、跃岭股份、必创科技、友讯达、阿石创、中大力德、福达合金、华斯股份、宇顺电子、中科信息、振静股份、 ...展开全文c', '2018-06-28 07:34:53')
('一旦股票出现“三线金叉”洗盘信号,打死也不要卖,股价将一路疯涨$跃岭股份 sz002725$ $安凯客车 sz000868$ $春兴精工 sz002547$ $快意电梯 sz002774$ 胡亦彰的秒...', '2018-06-28 07:06:42')
('明天重点观注；芯片（晓程科技，必创科技）国产软件（神州信息，中国软件）高送转（三联虹普，今飞凯达，凯伦股份，双一科技，）股权变更（富临运业，宏达新材，丽鹏股份，红宇新材）人民币贬值（华纺股份）汽配（浩物股份，跃岭股份，）新能源汽车（欣锐科技，猛狮科技）。大盘指数涨跌与你无关紧要的 ...展开全文c', '2018-06-28 05:16:41')
('$跃岭股份 sz002725$ 尾盘这一波是坑人吗？$中国软件 sh600536$ 龙头也冲高回落了。有人买了吗？#大盘-个股-趋势-解答# \ue627 今日看盘$上证指数 sh000001$', '2018-06-28 05:01:31')
('$猛狮科技 sz002684$ $金奥博 sz002917$ $跃岭股份 sz002725$ $宏辉果蔬 sh603336$ 周四果然是魔咒 还能怎样 要么管住手 要买只买强势股 比如金奥博 猛狮 宏辉果蔬也该表现了 跃岭没封住 卖了', '2018-06-28 04:22:52')
('昨天振静卖的比较晚，跃岭股份是昨天下午盯着晓程做半路套利，早上刚好有事，不然早上会出了换晓程，竟然错过了就等跃㱓拉的差不多也卖了，然后半路上了一只可惜没涨停目前盈利3％，等卖了才能说，不然会被说吹票', '2018-06-28 03:45:30')
('发布了头条文章：《特大利好消息，振静股份跃岭股份金奥博亚夏汽车》 $鹏辉能源 sz300438$ $上海凯宝 sz300039$ $济川药业 sh600566$ |特大利好消...', '2018-06-28 03:34:03')
('跃岭股份表现还算不错，主力算是有良心的了，想想我今天买的，简直渣渣\ue627 今日看盘$上证指数 sh000001$ $跃岭股份 sz002725$', '2018-06-28 03:14:27')
('收盘，沪指收盘下跌近1%失守2800点 再创逾两年新低，创业板虽然出现明显的拉升态势，但是无奈尾盘资金放量杀跌，收盘再次以绿盘报收，大家注意明日是本月最后一个交易日了，同时七月翻身行情也为时不远了，希望大家多多坚持下，看看后市的走势能否顺利的回升，注意下文博提醒的尾盘股 ...展开全文c', '2018-06-28 03:10:47')
('昨晚提示的三只票和备选两只票，除了跃岭股份让人恶心，其他都很不错，妈的，我就买了跃岭股份这只恶心的票。今天赚了一个多点，明天估计吃面', '2018-06-28 03:05:38')
('收盘…跃岭股份昨天在付费群小分队和小课堂都讲了，封板可入。第一天摸压力，第二天封死。次日必有肉吃。但是我自己没能买进，恭喜买进的小伙伴吃肉肉咯~昨天我买同样形态的阿石创，今天回补了上影线，做了反T，还没接回。尾盘抄底一支，#世名科技 sz300522[股票]# 希望吃到小肉肉咯~ ...展开全文c', '2018-06-28 03:03:05')
('一旦遇见“线上阴线试盘”股票形态，坚决满仓捂股，股价再飞冲天$跃岭股份 sz002725$ $安凯客车 sz000868$ $春兴精工 sz002547$ $快意电梯 sz002774$ 胡亦彰的秒...', '2018-06-28 02:56:20')
('14：52 近期就是杀死那些权重蓝筹股和白马股的赌博者。前期这些板块活跃吸引资金追风后机构拉高出逃后砸盘，看来验证了雅溥一周前的定位，当时就提示了白马股拉高出货，而且半个月前茅台挑战800元的时候我就说了也是拉高波段出货手段。不适合小散玩。那是机构的游戏#跃岭股份 sz002725[股票]#', '2018-06-28 02:53:54')
('午后还是要注意量，如果午后持续缩量或者不放量，可能再次上演冲高回落的套路,大盘走弱，无量的后遗症.银行、保险午后再度走弱，另外白马股也继续调整，拖累大盘继续走弱。金奥博涨停，虽有丰得不太牢固，但是对高送转的刺激还是有，跃岭股份、友达讯、合纵科技、庄园牧场等大幅拉升.同样受益人民币贬 ...展开全文c', '2018-06-28 02:23:00')
('金奥博涨停，虽有丰得不太牢固，但是对高送转的刺激还是有，跃岭股份、友达讯、合纵科技、庄园牧场等大幅拉升', '2018-06-28 02:14:10')
('sz002725(跃岭股份)如期涨停，哈哈，大智给大家挖掘出来的逆市大牛股朋友们都好好珍惜机会吗？自周二提示以来目前已经两个涨停板，跟上步伐的朋友短线看见25%收益轻松到手，实力有目共睹。想跟上大智步伐吗？\ue627 今日看盘 \ue627 投资达人说 $中兴通讯 sz000063$ $超频三 sz300647$ @微博股票', '2018-06-28 02:08:24')
('上个厕所回来，指数咋又跌破2800了，妖股$跃岭股份 sz002725$ 冲涨停，大金融板块午后持续回踩，午后到明天，2800点连续跌破指数短期就有朝着新低走的风险，个股回踩并不大，主要是调整补跌的权重股。尾盘继续看券商拉回去。', '2018-06-28 02:07:39')
('牛逼啦！$跃岭股份 sz002725$ 再次冲板了，强者恒强！爽歪歪的赶脚！跟上的朋友们利润进一步扩大了，关注今日能否再次封死涨停板。', '2018-06-28 02:07:25')
('$跃岭股份 sz002725$ 卖了后又拉了两个板。这股里面大资金还坑了佛山几个点。。', '2018-06-28 02:07:11')
('\ue627 今日看盘 妖股跃岭股份冲欲涨击停，大金融板块午后持续回踩，午后到明天，2800点连续跌破指数短期就有朝着新低走的风险，个股回踩并不大，主要是调整补跌的权重股。$跃岭股份 sz002725$ @微博股票', '2018-06-28 02:06:41')
('指数再创新低，大家都不敢买股票的时候 。当市场溃败的时候跃岭股份002725 为何逆势上板？这就是 反人性。每当市场恐慌的时候，我都擦亮眼睛，观察盘面动向，找到市场的那个 G点，你就是赢家。网页链接', '2018-06-28 02:06:13')
('填权个股异动，$跃岭股份 sz002725$ 冲击涨停，友讯达+8.95%。', '2018-06-28 02:05:33')
('6月19日，圈内挖掘的$跃岭股份 sz002725$ 跃岭股份，冲击涨停！\ue627 新浪理财师 \ue627 今日股市 \ue627 微博股票', '2018-06-28 02:00:51')
('#投资达人说# #今日看盘# @微博股票 $猛狮科技 sz002684$ $乐视网 sz300104$ 深交所就六间房与花椒重组下发问询函 关注交易估值合理性,避免追高相关上市企业,不过这些一般都是者都买不到，大家还是多注意下先止盈 跃岭股份 002725 吧，此股上周以来逆势拉升已经超过40%了， ...展开全文c', '2018-06-28 01:33:38')
('下午不买股了，两个帐户共持有4支股，今天持股比较集中。中午收盘前9分钟分时均价的位置加了一笔$跃岭股份 sz002725$ ，这股早盘没买到好位置，以为会亏钱，中午收盘这股与002917金奥博都微博。现在跃岭走得还可以，看收盘如何。另外临收盘买了$福达合金 sh603045$ ，买的位置较高，目前与成本价持 ...展开全文c', '2018-06-28 01:20:21')
('$华纺股份 sh600448$ -----$贝肯能源 sz002828$ 板上抛。$欣锐科技 sz300745$ 第一次割肉。三个板涨停板应该报仇了吧？$晓程科技 sz300139$ 昨天板上跑今天杀回去。手贱少赚几个点。$跃岭股份 sz002725$ 业绩预降今天还涨是判断错误。金奥博和振静股份不敢买也没错误。神州信心老情人...第一波四连 ...展开全文c', '2018-06-28 01:03:56')
('阿石创，跃岭股份，百度cdr，星网宇达，华阳集团，路畅科技，创维数字，吸筹？', '2018-06-28 00:51:38')
('发布了头条文章：《重磅消息：铭普光磁+跃岭股份+荣晟环保，本周操作策略解读》 $铭普光磁 sz002902$ +$跃岭股份 sz002725$ +$荣晟环保 sh603165$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-28 00:30:49')
('发布了头条文章：《跃岭股份002725：无穷六绝七翻身，目前可考虑清仓，布局七月满仓抄底》 $跃岭股份 sz002725$ $上证指数 sh000001$ \ue627 股票分析 |跃岭股份00...', '2018-06-27 23:50:42')
('80后美女股神分享选股技巧: 涨停板回调买入法及加仓, 建议收藏 $泰格医药 sz300347$ $宇环数控 sz002903$ $跃岭股份 sz002725$ $申通快递 sz002468$ 马旷盈的秒...', '2018-06-27 23:22:08')
('.最近创业板开始筑底了，虽然大盘还是遭到蓝筹股的波动而跟着波动，但小票杀跌动能已不足，市场逐步也会稳定起来！今日我们止盈了跃岭股份，手中持仓的个股稍微再拉一波也会止盈出局，题材科技不弱，就有可操作空间，我们诚邀有想加入内部用户的股友们，之前行情弱的时候，之前只字不提，就是因为行情 ...展开全文c', '2018-06-27 23:06:09')
('一位成熟交易员的成交量买卖法，简单才更有效#跃岭股份 sz002725[股票]# 颂娟评股的...', '2018-06-27 22:57:52')
('上海女博士：“成交量”是股市唯一盈利指标，堪称散户经典$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪哥论市的...', '2018-06-27 22:44:33')
('股市成交量+KDJ买卖策略，轻松捕获最佳买卖点#跃岭股份 sz002725[股票]# 颂娟评股的...', '2018-06-27 22:35:28')
('跃岭股份开盘可以直接落袋，留意需不需要回落接回，另外丰元股份开盘加仓\ue627 今日看盘', '2018-06-27 22:34:05')
('跃岭股份（002725）大涨8%，小伙伴们来点 掌声，+点赞+送上来，大家热情高一点，给整上涨停板去，跟上亚林步伐的朋友接近25%的收益了哦。这只票子可是二次操作，对于有潜力的票子绝对不会放过。#牛股推荐# #沪港通# @微博股票 $超频三 sz300647$ $乐视网 sz300104$', '2018-06-27 22:26:26')
('跃岭股份昨日尾盘强势涨停，今日继续震荡拉升，目前已经5个多点了，昨日也说了，激进的可以继续持有，看来这一波很丰厚啊！该股是我们6月13号推荐的，这么久以来也有持续跟踪关注，截止目前已经31%以上的盈利了，爽吧！#华谊兄弟 sz300027[股票]# \ue627 今日看盘 #新浪财经# ...展开全文c', '2018-06-27 22:22:24')
('股侠提示的002725 跃岭股份继续大涨，很给力，恭喜跟进一直持有的朋友稳稳幸福！！！', '2018-06-27 22:21:54')
('股友们，此处大家可以来点掌声，及时雨直播间重点潜伏的$跃岭股份 sz002725$再次的冲击涨停板，不过由于龙头超频三出现跳水的举动，因此及时雨建议大家注意，如果今日不继续的封死涨停板，就建议大家先止盈吃肉先。', '2018-06-27 22:20:16')
('$跃岭股份 sz002725$ 模仿 $晓程科技 sz300139$ 越来越像了 。', '2018-06-27 22:19:33')
('跃岭股份放了头牛。 超频三倒下了，欣天科技有些承压', '2018-06-27 22:18:44')
