('发布了头条文章：《亿利达002686 ：主力暴力洗盘暗藏做多意图，此点企稳必将一飞冲天》 $亿利达 sz002686$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |亿利达0026...', '2018-07-24 07:02:18')
('早盘提前收!没戏，手里没有票的!我建议先观望!下午来看，先打预防针!后边有情况也不怕!$上证指数 sh000001$ $深证成指 sz399001$ $创业板指 sz399006$ #建哥传奇-cj# $亿利达 sz002686$', '2018-07-16 23:16:55')
('富勒烯 三剑客--通产丽星、豫金刚石、亿利达。', '2018-07-16 23:14:08')
('发布了头条文章：《一招有效识别强庄股诀窍，招招管用 看懂的没一个是穷人！》 $亿利达 sz002686$ $中体产业 sh600158$ $丹邦科技 sz002618$ $恒泰实达 sz300513$ |一招有效识...', '2018-07-16 23:07:46')
('ka开盘富勒烯概念继续强势，龙头通产丽星继续一字领涨亿利达小高开后上板。中兴通讯高开冲板后被砸，意华股份没能延续强势上板。次新开盘表现平淡但也不再弱势明显的那种了，大盘直接破2800点。', '2018-07-16 23:02:28')
('【快讯】7月17日讯，富勒烯概念股早盘再度走强，龙头通产丽星一字板四连板，亿利达两连板，豫金刚石、黄河旋风等个股纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。点评：新概念都是比较强悍的。', '2018-07-16 22:51:30')
('周板的股票都是从第一个涨停开始的，远的不说，上周的宏达矿业，天华超净，长盛轴承，三变科技都是如此，现在的亿利达，金安国际', '2018-07-16 22:40:07')
('富勒烯概念股早盘再度走强，通产丽星（002243）一字板四连板，亿利达（002686）秒板，豫金刚石（300064）、四方达（300179）、黄河旋风（600172）、江淮汽车（600418）纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。近日，由内蒙古碳谷科技有限公司创建的国内首条吨级富勒烯生产线正式投产。据 ...展开全文c', '2018-07-16 22:33:49')
('#bl布股# #牛股推介# 中小创个股机会还是比较多的，每次调整都是布局的机会。。成交量不放大，反复震荡是必然。$亿利达 sz002686$ $飞荣达 sz300602$ #股民故事#', '2018-07-16 22:23:46')
('三个点卖了英特集团，锁仓至纯，没开新仓。通产丽星一字想买亿利达，不过手上没仓位等处理完都封死了。', '2018-07-16 22:01:17')
('昨天钟华的头条文章中，关于富勒烯概念股我也是特别提到过了，今天早盘果不其然再度走强，龙头通产丽星一字板四连板，亿利达两连板，豫金刚石、黄河旋风等个股纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。', '2018-07-16 21:56:22')
('昨天2个点说的亿利达继续涨停，已经有18%的涨幅了买潜伏一样可以买到大牛，这不比通产丽星的收益差的。$上证指数 sh000001$', '2018-07-16 21:52:53')
('开盘指数小幅下探，主要是外围油价大跌，石油板块拖累的指数，暂时不用过分担心，震荡行情就是波动会大一些，创业板快速拐头，市场短期风口就是创业板科技题材上面。昨天涨停板延续性上来看，德威新材，亿利达，金安国际，飞荣达四个延续涨停，说明了什么最起码能说明的是，市场的热点延续性不那么好。', '2018-07-16 21:49:52')
('漂亮，昨天说的亿利达今日开盘继续强势涨停，二连板！已经有不错的涨幅了，买潜伏一样可以买到大牛，这不比通产丽星的收益差的。恭喜跟上的朋友们啦，利益扩大化！#牛股推荐# #新浪财经# @微博股票 $华帝股份 sz002035$ $中兴通讯 sz000063$', '2018-07-16 21:45:55')
('富勒烯概念股早盘再度走强，$通产丽星 sz002243$ 一字板四连板，$亿利达 sz002686$ 秒板。', '2018-07-16 21:41:53')
('富勒烯（Fullerene) 是单质碳被发现的第三种同素异形体。任何由碳一种元素组成，以球状，椭圆状，或管状结构存在的物质，都可以被叫做富勒烯，富勒烯指的是一类物质。初步研究表明，富勒烯类化合物在抗HIV、酶活性抑制、切割DNA、光动力学治疗等方面有独特的功效。龙一是通产丽星，龙二是亿利达，龙三 ...展开全文c', '2018-07-16 21:41:49')
('今天还是超跌股较为强势。富勒烯龙头通产丽星一字板，小弟亿利达涨停助攻，但连续两个缩量一字板，要炸起来也会很恐怖。5g中兴通讯继续涨停，有点超预期，就看能不能带动科技股走一波行情。#今日看盘#', '2018-07-16 21:41:26')
('富勒烯概念$亿利达 sz002686$ 秒板!早盘开盘的时候想去的，想了想还是没去追!$上证指数 sh000001$ $创业板指 sz399006$ #建哥传奇-cj#', '2018-07-16 21:39:27')
('昨天涨停板延续性上来看，一般， sz300325(德威新材)，sz002686(亿利达)，金安国际，sz300602(飞荣达)四个延续涨停， 说明了什么，最起码能说明的是，市场的热点延续性，不那么好， 所以要挑选的，绝对是绝对的热点！#投资达人说# #今日看盘# $中兴通讯 sz000063$ $天华超净 sz300390$ @微博股票', '2018-07-16 21:39:25')
('$风华高科 sz000636$ 只要不死，那么MLCC我会继续看好$火炬电子 sh603678$ ，$三环集团 sz300408$ 今天进入到调整模式。昨天2个点说的亿利达继续涨停，已经有18%的涨幅了买潜伏一样可以买到大牛，这不比通产丽星的收益差的。', '2018-07-16 21:38:10')
('【周一热点复盘】计算机：长亮科技芯片：金安国际、东软载波富勒烯：通产丽星、亿利达新能源汽车：京威股份、中能电气填权+5G：意华股份、纵横通信、美格智能、沃特股份 ...展开全文c', '2018-07-16 21:20:23')
('早评：昨天继续挖掘牛股，盘中两个点说的#豫金刚石 sz300064[股票]# 和#亿利达 sz002686[股票]# 都冲击涨停，今天会继续挖掘类似牛股，大家要多多支持吴哥。$上证指数 sh000001$', '2018-07-16 21:20:11')
('#华谊兄弟 sz300027[股票]# 昨天直播继续挖掘牛股，盘中两个点说的豫金刚石和亿利达都冲击涨停，今天直播会继续挖掘类似牛股，大家要多多支持腾飞。昨天投机品种吃大面，相比较之下，有业绩的票反而好的多，风华高科历史新高加速，日成交量达到30亿，排名两市第二，由此我们知道现在多少资金在这种业绩 ...展开全文c', '2018-07-16 21:11:09')
('7.16日主要涨停:1、超跌线:$盛运环保 sz300090$ ，$英特集团 sz000411$ ，$科迪乳业 sz002770$ ，$通产丽星 sz002243$ ，盛洋科技，南京新百等，二连板多，很多超跌股叠加业绩预增或者石墨烯概念2、富勒烯石墨烯:通产丽星，$亿利达 sz002686$ ，$沃特股份 sz002886$ ，$宝泰隆 sh601011$ ，维科技术 ...展开全文c', '2018-07-16 12:12:14')
('盘中新材料概念炒了一波，富勒烯，龙头通产丽星直接被顶到一字、豫金刚石、亿利达。这个题材纯粹的概念炒作，几年前就炒过，不具备产业化条件，没有的就不适合去接力了。', '2018-07-16 10:21:03')
('富勒烯还真干出来了，下午板了好几只，早上铁粉小群让打的$通产丽星 sz002243$ ，应该要大肉了。下午$豫金刚石 sz300064$ ，$亿利达 sz002686$ ，$四方达 sz300179$ 都是。现在亏钱效应和赚钱效应都很极端，亏钱效应就不说了，周五的龙头票基本都大面，而盘面上有36只涨停，9只连板。这种行情 ...展开全文c', '2018-07-16 07:16:51')
('【7.16复盘】指数全天震荡整理，新旧热点切换；前期强势股大跌，锂电池的天华超净天地板、次新的绿色动力跌停；5G：意华股份3板、中兴通讯2板等七股涨停；富勒烯：通产丽星3板，亿利达等两股涨停；中报预增：京威股份3板、中能电气2板等十二股涨停。', '2018-07-16 04:41:30')
('收评：咱们的票今天还是可以的，上周五涨停，今天这么差的盘面(风华高科净值已经拉升十几个点了。上周五重点提示大家低吸的票(盛运环保涨停兴源环境早盘提示加仓午盘表现也不错！直播的票也很给力，今天盘中两个点说的亿利达和豫金刚石，一个涨停，一个收盘不到7个点。蓝筹今天集体杀跌，指数调 ...展开全文c', '2018-07-16 03:13:42')
('#华谊兄弟 sz300027[股票]# 收评：今日战绩还是很给力的，今天这么差的盘面，我们早盘盘中两个点说的亿利达和豫金刚石，一个涨停，一个收盘不到7个点。周六文章中提到的盛运环保午后开盘没多久就秒板！上周四早盘推荐的彤程新材今日午盘也是强势涨停！跟上的朋友获利丰厚！再接再厉！今日除了跌停的33 ...展开全文c', '2018-07-16 03:12:34')
('蓝筹今天集体杀跌，指数调整，蓝筹今天可能是一个低吸的机会，短暂休息后，明天或者后天还会再来一次拉升。直播的票也很给力，今天盘中两个点说的#亿利达 sz002686[股票]# 和#豫金刚石 sz300064[股票]# ，一个涨停，一个收盘不到7个点。今天直播就到这，我们明天见。#今日看盘# #微博股票# ...展开全文c', '2018-07-16 03:04:08')
('胖哥收评：咱们的票今天还是可以的，上周五涨停，今天这么差的盘面，尾盘上涨一个多点，净值已经拉升十几个点了。直播的票也很给力，今天盘中两个点说的亿利达和豫金刚石，一个涨停，一个收盘不到7个点。上周四说的合肥城建在周五盘中涨停，今天盘中8个多点，两天下来也有十几个点的利润，国瓷材料 ...展开全文c', '2018-07-16 03:00:24')
('下午主要在炒富勒烯概念（$亿利达 sz002686$ /$豫金刚石 sz300064$ ）。这块老道要提醒各位富勒烯$通产丽星 sz002243$ 是行业龙头，亿利达则是当初牛股，可以先关注一波。现在的市场专职收割龙头，强势的超级龙头一旦见顶之后很难有反弹，所以看到建议大家千万不要试图去博反弹，否则下场会很 ...展开全文c', '2018-07-16 02:11:22')
('中报 概念个股基本是冲高回落的走势，对于此类概念股只适合低吸，不适合追涨。富勒烯概念股午后异动拉升，豫金刚石（300064）午后秒板，通产丽星（002243）三连板，四方达（300179）、亿利达（002686）、江淮汽车（600418）纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。近日，由内蒙古碳谷科技 ...展开全文c', '2018-07-16 02:10:19')
('午后指数又一次出现回落，而且每次下探就会有资金低吸，往上涨资金又不敢去追高，说明资金开始变得“精明”了，不得不说环境才是最好的老师！富勒烯概念午后全线发动，亿利达站稳涨停板，豫金刚石被砸，看收盘前能否回封。而随着本轮行情总龙头的见顶，就像上一波行情$超频三 sz300647$ 到头 ...展开全文c', '2018-07-16 02:00:06')
('$亿利达 sz002686$ 这种形态见一个低吸一个！', '2018-07-16 01:55:41')
('我们早盘分析推荐的3只票，$豫金刚石 sz300064$ ，$亿利达 sz002686$ 目前都已经强势涨停了，另外一只$江淮汽车 sh600418$ 目前也已经3个多点了，涨幅5%；这战绩杠杠的，跟上的朋友获利丰厚了！在线的朋', '2018-07-16 01:33:37')
('富勒烯板块午后集体拉升，龙头通产丽星一字板，龙二豫金刚石午后秒板，亿利达随后封板，四方达冲击涨停。\ue627 今日看盘 \ue627 投资达人说 $中兴通讯 sz000063$ $天华超净 sz300390$ @微博股票', '2018-07-16 01:33:14')
('我们早盘分析推荐的3只票，豫金刚石，亿利达目前都已经强势涨停了，另外一只江淮汽车目前也已经3个多点了，涨幅5%；这战绩杠杠的，跟上的朋友获利丰厚了！在线的朋友小手点点赞不要吝啬！多个点赞，多一份鼓励与支持，你们的支持，就是我挖掘牛股的动力！#牛股推荐# #新浪财经# @微博股票 ...展开全文c', '2018-07-16 01:29:09')
('风华高科这走势，早盘回落到三四个点的时候，是不是很多人都慌张了，但是我说了，这条线我继续看好，随着风华高科趋势再次走出来，那么接下来跟风品种也会起来的。不要瞧不起跟风，那是因为你不懂得怎么去跟风。我今天早盘说的两个涨停的票(亿利达)(豫金刚石)都是跟风，不比打龙头效果差的 ...展开全文c', '2018-07-16 01:27:29')
('\ue627 大盘 富勒烯概念股午后异动拉升，豫金刚石午后秒板，通产丽星三连板，四方达、亿利达、江淮汽车纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。近日，由内蒙古碳谷科技有限公司创建的国内首条吨级富勒烯生产线正式投产。据了解，富勒烯是1985年天文学家在研究宇宙星云构成时意外发现的。 ...展开全文c', '2018-07-16 01:25:33')
('【盘口热点速递】超跌板块走强超跌个股凯盛科技、恒通股份、联建光电、亿利达、盛洋科技、豫金刚石涨停，德尔未来、黄河旋风快速拉升。点评：超跌概念一直是本轮反弹的一条主线，虽然多数个股会叠加其他题材概念，但是相对来说，同概念中超跌的个股会更受市场认可，持续期也会更久，比如 ...展开全文c', '2018-07-16 01:25:06')
('亿利达 和 豫金刚石 都是早上2个点的时候，我跟大家说的，恭喜跟上的朋友。$上证指数 sh000001$', '2018-07-16 01:23:11')
('富勒烯概念午后全线动了，我早盘说的时候，亿利达和豫金刚石也就是2个点，目前已经双双涨停了；你看现在一爆发，市场都在说富勒烯了。很多人是热点出现才去做热点，我在热点没出现之前就挖掘热点。就像之前的合肥城建一样，都是提前告知机会了的，稳稳的幸福！#牛股推荐# #新浪财经# @微博股票 ...展开全文c', '2018-07-16 01:22:52')
('#华谊兄弟 sz300027[股票]# 买龙头的问题，在于，你买入的点，你怎么确定不是最高点？如果你在买入的点能判断，趋势会延续，那么打龙头就是超额收益，没那么本事，最后一次接力，那么吃面就不奇怪的。我们今天直播战绩还是不错的，亿利达和豫金刚石，都是早盘2个点说的，目前都涨停了。#新浪财经# ...展开全文c', '2018-07-16 01:21:24')
('咱们今天直播战绩还是不错的，$亿利达 sz002686$ 和豫金刚石，都是早盘2个点说的，目前都涨停了', '2018-07-16 01:20:02')
('富勒烯概念午后全线动了，我早盘说的时候，亿利达和豫金刚石也就是2个点，你看现在一爆发，市场都在说富勒烯了。很多人是热点出现才去做热点，我在热点没出现之前就挖掘热点。', '2018-07-16 01:11:59')
('继紫光国芯后，又一紫光系国产芯片龙头曝光，18年暴涨已成定局！ $三星医疗 sh601567$ $新五丰 sh600975$ $神州B sz200018$ $亿利达 sz002686$ 3305079245...', '2018-07-16 00:53:14')
('目前连板最强的就是通产丽星，三板。这只股概念还不错，深圳国资改革。还有就是目前市场挖掘出来的富勒烯，相关标的有豫金刚石，亿利达和江淮汽车。这条线可以看看$上证指数 sh000001$', '2018-07-15 22:29:35')
('目前连板最强的就是通产丽星，三板。这只股概念还不错，深圳国资改革。还有就是目前市场挖掘出来的富勒烯，相关标的有豫金刚石，亿利达和江淮汽车。这条线可以看看#牛股推荐##新浪财经# @微博股票 $天华超净 sz300390$ $华帝股份 sz002035$', '2018-07-15 22:21:59')
('医药第一龙头股，机构尾盘狂砸33亿疯抢，18年行情敢超华森制药 $江苏新能 sh603693$ $亿利达 sz002686$ $川环科技 sz300547$ $金麒麟 sh603586$ 姚晓浪的秒...', '2018-07-15 20:13:58')
('在@大众点评客户端 上发现这个店很不错哦!合気屋·居酒屋,★★★★★,¥128/人,南山中心区 日本料理,南山大道2009号亿利达村3栋112 网页链接', '2018-07-15 16:38:28')
('1、工业界安卓系统“supOS”发布，国产工业操作系统应用提速。利好个股：维科技术、万向钱潮2、我国网站高危漏洞显著增加，网络安全形势严峻。利好个股：启明星辰、绿盟科技、美亚柏科、中孚信息3、 我国首条吨级富勒烯生产线投产，美俄等国产量仅公斤级。利好个股：亿利达、江淮汽车、通产丽星、 ...展开全文c', '2018-07-15 12:22:23')
('一退休老教授狂言：股市唯一不骗人“线上阴线买”曝光，字字抖金 $大华股份 sz002236$ $沙隆达A sz000553$ $天津磁卡 sh600800$ $亿利达 sz002686$ L-花花-V幸...', '2018-07-15 10:51:24')
('广州一女博士扬言：28年坚持“七不买”口诀，盈利至今，建议收藏 $东旭蓝天 sz000040$ $亿利达 sz002686$ $西安旅游 sz000610$ $百洋股份 sz002696$ 我的小蜗牛...', '2018-07-15 03:29:31')
('一位顶尖操盘手首爆“底部双雄”战法，背熟分分钟擒拿大黑马，值$完美世界 sz002624$ $亿利达 sz002686$ $掌趣科技 sz300315$ $宝新能源 sz000690$ 蒋涛分析的...', '2018-07-15 02:14:36')
('上海一老教授看穿股市：28年坚持只做“内盘外盘”可实现百亿梦想 $兆新股份 sz002256$ $亿利达 sz002686$ $千红制药 sz002550$ $众兴菌业 sz002772$ 3305079245...', '2018-07-14 13:10:26')
('#世界杯经济学#我刚刚调仓了微博股票组合网页链接，委托卖出$亿利达 sz002686$。', '2018-07-14 11:31:18')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $盐田港 sz000088$ $科达洁能 sh600499$ $川金诺 sz300505$ $亿利达 sz002686$ yokki阳sup...', '2018-07-14 03:35:04')
('武汉一女博士说破股市：内盘外盘黄金口诀,句句经典,堪称金玉良言 $东方时尚 sh603377$ $中国铁建 sh601186$ $ST中安 sh600654$ $亿利达 sz002686$ 姚晓浪的秒...', '2018-07-13 11:14:40')
('发布了头条文章：《【红学堂】7月13日早盘内参》【我国首条吨级富勒烯生产线投产，美俄等国产量仅公斤级】$亿利达 sz002686$ （002686）控股子公司青岛海洋新材料科技有限公司拥有“一种富勒烯-聚酰亚胺导电膜的制备方法”专利。$江淮汽车 sh600418$ （600418）拥有“一种PS-富勒烯复合材料及其制备方 ...展开全文c', '2018-07-12 21:30:13')
('沪指低开，铁矿石板块领涨。昨日热点题材中，5G新易盛涨2%、意华股份涨停、锐科激光涨7%、太辰光平开，半导体至纯科技涨2%、台基股份涨5%、北京君正平开，次新股南京证券涨5%，新能源汽车天华超净涨8%、长盛轴承涨3%、宁德时代跌3%，房地产新城控股、招商蛇口涨2%，富勒烯亿利达涨5%。', '2018-07-12 21:29:43')
('今日关注的热点和个股：网安概念股：启明星辰（002439）、绿盟科技（300369）、美亚柏科（300188）、中孚信息（300659）富勒烯概念股：亿利达（002686）、江淮汽车（600418）、通产丽星（002243）、四方达（300179）', '2018-07-12 21:28:45')
('○ 我国首条吨级富勒烯生产线投产，美俄等国产量仅公斤级富勒烯概念股：亿利达（ 002686 ）、江淮汽车（ 600418 ）、通产丽星（ 002243 ）、四方达（ 300179 ）○ 惠州机场定位为深圳第二机场，两地联系将更加紧密惠深两地连接概念股：红墙股份（ 002809 ）、深圳机 ...展开全文c', '2018-07-12 21:04:39')
('由内蒙古碳谷科技有限公司创建的国内首条吨级富勒烯生产线正式投产，美俄等国产量仅公斤级。吨级富勒烯生产线的投产将以这种新型碳纳米材料产业化为目标，对掌握核心关键技术自主可控权具有重要意义。概念股：通产丽星、豫金刚石、亿利达、江淮汽车。', '2018-07-11 21:08:25')
('发布了头条文章：《7-12操盘策略》 |7-12操盘策...', '2018-07-12 20:18:39')
('#深圳租房#求合租啊，在南山亿利达大厦附近上班，想在桃园地铁站附近或者亿利达大厦附近的更好，半小时车程这样然后8月初入住的，本人呢是个可爱加好相处的女孩纸啦还会做饭喔，有没有小姐姐召唤我过去呢', '2018-07-11 01:27:56')
('今天太尴尬了，去玩密室逃脱（坐标：亿利达广场1栋601）那个前台小哥哥好帅啊！他让我们带着眼罩进去，还牵着我的手！啊啊啊啊啊！我跟阿怡40分钟都不过了第一关，然后很颓的坐在地上，那个小哥哥就用对讲机跟我们说你们怎么坐下了，我们才发现他在用监控看我们，想起自己之前做过很多猥琐的动作，我的 ...展开全文c', '2018-07-10 07:00:06')
('预知后市是出是留，盲目没有方向的来，指点后市如何操做。亿利达(sz002686) 津膜科技(sz300334) 中信重工(sh601608) 迪森股份(sz300335) 新文化(sz300336) 金河生物(sz002688) 静心静唔的...', '2018-07-09 04:15:06')
('股市高级操盘手详解MACD指标高级应用,强势股龙头股十拿九稳 $东方能源 sz000958$ $亿利达 sz002686$ $韦尔股份 sh603501$ $神思电子 sz300479$ L-花花-V幸...', '2018-07-08 10:25:29')
('郑州一老教授看破股市：27年坚持只做“换手买”可实现百亿梦想 $ST坊展 sh600149$ $亿利达 sz002686$ $西宁特钢 sh600117$ $江淮汽车 sh600418$ 李域悟看盘...', '2018-07-07 23:52:17')
('一位老股民的血泪史：“钓鱼线”一旦出现，果断跑路，套你没商量 $伟明环保 sh603568$ $宏达高科 sz002144$ $亿利达 sz002686$ $浙江美大 sz002677$ 小正太Ente...', '2018-07-07 04:02:27')
('资深牛散从万卷股票书中总结的波段操作技巧，深知股市涨跌 $南风股份 sz300004$ $亿利达 sz002686$ $建投能源 sz000600$ $恒逸石化 sz000703$ 我的小蜗牛...', '2018-07-03 14:53:35')
('北京63岁老教授自暴：26年只盯牢一种股票做，字字抖金，建议收藏 $北玻股份 sz002613$ $佳隆股份 sz002495$ $奥赛康 sz300361$ $亿利达 sz002686$ 李小麦同学...', '2018-07-03 08:52:04')
('发布了头条文章：《本周主力阴谋曝光：亿利达+金洲管道+荣泰健康》 $亿利达 sz002686$ $金洲管道 sz002443$ $荣泰健康 sh603579$ #股票分析# |本周主力阴...', '2018-07-03 03:39:44')
('“线上阴线买”是股市唯一600%获利法，句句经典，值得散户收藏 $柳钢股份 sh601003$ $金花股份 sh600080$ $亿利达 sz002686$ $海通证券 sh600837$ QueenieL的...', '2018-07-01 23:32:30')
('42岁杭州女股民吐露：股市唯一获利法“集合竞价”曝光，值得收藏 $恒大高新 sz002591$ $亿利达 sz002686$ $南京公用 sz000421$ $亚宝药业 sh600351$ 李域悟看盘...', '2018-07-01 13:36:22')
('利好消息：猛狮科技 华东重机 亿利达 刘庆谈财的...', '2018-07-01 03:47:17')
('股市唯一不骗人RSI的指标，总是能买在低点卖在高点，受益终身 $英联股份 sz002846$ $纽威股份 sh603699$ $亿利达 sz002686$ $中环股份 sz002129$ 我的小蜗牛...', '2018-06-30 22:41:37')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $亿利达 sz002686$ $首创股份 sh600008$ $中科金财 sz002657$ $沃森生物 sz300142$ 我的小蜗牛...', '2018-06-29 06:39:59')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $长亮科技 sz300348$ $亿利达 sz002686$ $滨海能源 sz000695$ $齐心集团 sz002301$ 我的小蜗牛...', '2018-06-28 10:24:08')
('一代股神的滴血经验：绝不要小看分时图，熟记后，精准把握高低点 $亿利达 sz002686$ $读者传媒 sh603999$ $光大银行 sh601818$ $冠昊生物 sz300238$ 凌_BLove新...', '2018-06-27 22:43:03')
('股市唯一不欺骗人的“集合竞价”顺口溜，新手熟记：可实现百亿梦 $立立电子 sz002257$ $中信海直 sz000099$ $亿利达 sz002686$ $湘邮科技 sh600476$ 我的小蜗牛...', '2018-06-26 22:45:24')
('发布了头条文章：《重磅消息：亿利达+安阳钢铁+东晶电子，本周操作策略解读》 $亿利达 sz002686$ +$安阳钢铁 sh600569$ +$东晶电子 sz002199$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-25 03:20:33')
('利好消息：亿利达 乔治白 金河生物 刘庆谈财的...', '2018-06-25 02:50:44')
('发布了头条文章：《超级涨停潮震撼登场！002686亿利达+600569安阳钢铁+601155新城控股》 $亿利达 sz002686$ $安阳钢铁 sh600569$ $新城控股 sh601155$ \ue627 股票分析 #热门股票推荐# #财经趣闻# |超级涨停潮...', '2018-06-24 22:49:11')
('发布了头条文章：《利好消息：亿利达 乔治白 金河生物》 |利好消息：...', '2018-06-24 02:52:50')
('@深圳交警 南山创业路亿利达大厦公交站，停在公交站范围内。', '2018-06-22 07:26:33')
('这辆车早晨一直停在亿利达公交站内，阻碍公交进站，了解一下？？@深圳交警 @深圳南山交警 |深圳·中兴...', '2018-06-21 19:54:52')
('本人女，想在南山区亿利达大厦附近找房子，有没有人在附近想找人合租的，有空调热水器就行，有的话私信我 |深圳', '2018-06-16 21:07:06')
('发布了头条文章：《备受主力青睐：卓郎智能 联美控股 彩讯股份 亿利达 》 $卓郎智能 sh600545$ $联美控股 sh600167$ $彩讯股份 sz300634$ $亿利达 sz002686$ \ue627 股票分析 \ue627 微博股票 #个股专业点评# \ue627 头条文章 |备受主力青...', '2018-06-16 04:41:25')
('网约大巴乱停，共享单车乱停，你们管吗？亿利达大厦公交站@深圳交警', '2018-06-12 19:53:21')
('你不明由你，信不信，有我，修不修由你悟，不悟有我，大道真理，放之，则弥六合决制，则退藏于密，谢军四人。各人观点不同，故此事难眠，你不看政府，往往要开辟一条大道，亿利达，到交通，但仍有些地主却舍不得失去网页链接', '2018-06-12 07:22:08')
('宏大爆破 猛狮科技 华东重机 亿利达 乔治白 股海大咖的...', '2018-06-09 03:00:03')
('发布了头条文章：《002686 亿利达：18年将涅槃重生，近期或有大动作!》 \ue627 股票分析 \ue627 股票短中长线 $亿利达 sz002686$ |002686 亿...', '2018-06-06 03:12:39')
('龙洲股份 宏大爆破 猛狮科技 华东重机 亿利达 股海大咖的...', '2018-06-05 09:57:41')
('发布了头条文章：《重磅消息：宏川智慧+睿康股份+亿利达，本周操作策略解读》 $宏川智慧 sz002930$ +$睿康股份 sz002692$ +$亿利达 sz002686$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-05 04:34:41')
('猛狮科技 华东重机 亿利达 乔治白 股海大咖的...', '2018-06-03 01:14:55')
('20年前亿利达做德国单也是3个德国监理常驻深圳南山工厂，还隔三差五派我们间中检查质量，德国人不相信没有德国人控制的工厂质量，很正常啊，因为出了事他们赔不起！@范剑平: //@虚心一涵泳：我强烈支持中兴解体，有此先例，以后会被川普玩死的，他们会设法做下一个局！', '2018-05-25 15:17:45')
('【路透社： 中兴解决方案出来了】今天，美国商务部告诉国会， 已就解决中兴问题达成协议：- 中兴交付高额（substantial）罚款- 美国合规官员进驻中兴 ...展开全文c', '2018-05-25 20:54:53')
('有菲迷在深圳南山南油这边吗，买了张电影票，没空去看，改签改到了今天还是没空超时空同居！！！是南山亿利达的，晚上8点50，谁要，送！#刘亦菲花木兰##刘亦菲陆曼笙##刘亦菲南烟斋笔录#', '2018-05-24 04:27:13')
('亿利达符合短线买点', '2018-05-16 05:24:28')
('发布了头条文章：《兴业科技 长生生物 亿利达 博实股份：妖气冲天，志在远方？！》 $兴业科技 sz002674$ $长生生物 sz002680$ $亿利达 sz002686$ $博实股份 sz002698$ $上证指数 sh000001$ |兴业科技 ...', '2018-05-15 10:40:41')
('发布了头条文章：《皖维高新+泛海控股+亿利达+湖南黄金:走势将这样走，你意想不到》 #皖维高新 sh600063[股票]# #泛海控股 sz000046[股票]# #亿利达 sz002686[股票]# #湖南黄金 sz002155[股票]# #上证指数(SH000001)# |皖维高新+...', '2018-05-15 04:23:12')
('发布了头条文章：《下周关键走势揭秘：第一药业 长生生物 亿利达 睿康股份》 $第一医药 sh600833$ $长生生物 sz002680$ $亿利达 sz002686$ $睿康股份 sz002692$ |下周关键走...', '2018-05-10 23:34:06')
('浙江亿利达（SZ002686）风机股份有限公司成立于1994年，是国内规模最大的空调风机、工程风机生产企业之一，国家高新技术企业，“中国科技名牌500强”企业。公司总部位于浙江台州，总占地面积148000平方米，总资产3亿多元。旗下设有广东亿利达风机有限公司，并与德国wolter公司合资成立了台州华德通风机 ...展开全文c', '2018-05-09 08:29:34')
('【一分钟搞掂！南山这些公交站台可直接充深圳通了！】“南山部分公交站台内可直接充值深圳通了！”近日，有市民发现，亿利达大厦、荔香公园等多个公交站台内出现一种名为“卡亭”的装置，通过该装置可直接为深圳通进行充值。商报君了解到，目前该装载尚处于公测阶段，仅在宝安区、南山区部分公交站安装 ...展开全文c', '2018-05-08 20:30:03')
('#亿利达# #002686# 还在亏？你out了！高手都在用鸿通交割单分析系统辅助炒股！网页链接 #A股# #哀股# 002686 亿利达 收盘:9.76', '2018-05-01 05:40:25')
('亿利达：实控人及主要股东合计转让6.09%的股份 不排除继续减持 |亿利达：实...', '2018-04-30 11:21:47')
('#临沂身边事# 【临沂兰山农商行状告自己股东】商业银行向大股东追债的不多，但是山东临沂兰山农商行是其中之一。该行第三大股东亿利达集团由于涉及多宗借款纠纷，所持银行股权面临拍卖处置，而银行对于股东的追债也丝毫“不手软”，多次提起诉讼并申请了财产保全。戳↓', '2018-04-22 02:04:03')
('发布了头条文章：《下周A股走势精准预测：比亚迪 赣锋锂业 亿利达 冀东装备》 $比亚迪 sz002594$ $赣锋锂业 sz002460$ $亿利达 sz002686$ $冀东装备 sz000856$ #上证快讯# |下周A股走...', '2018-04-21 23:59:37')
('发布了头条文章：《主力强势追击：二三四五+仙琚制药+亿利达+立思辰》 |主力强势追...', '2018-04-16 09:35:56')
('看了002686亿利达 002660茂硕电源 600648外高桥的分时走势，我发现不要脸的小庄家是越来越多了，尾盘拉升一方面可以节省拉升成本，方便第二天出货，另一方面又能吸引不明真相的小散来接盘，大家记住一点，凡是尾盘拉升的个股非奸即盗千万不要碰！', '2018-04-16 09:09:48')
