('#投资达人说# #今日看盘# $恒通股份 sh603223$ 恒通股份是短信坑人票，明天注意回避，谨慎不要追高！', '2018-07-15 14:26:14')
('5.21热点题材环保：博天环境、鹏鹞环保、上海洗霸、久吾高科、中持股份、迪森股份、伟明环保、雪迪龙知识产权：中国科传、安妮股份、光一科技、视觉中国、美亚柏科物流：宏川智慧、恒基达鑫、恒通股份、上海雅仕、畅联股份5G：天邑股份、广和通、润建通信、中天科技、烽火通信、超讯通信、中际旭创 ...展开全文c', '2018-05-21 09:16:01')
('明天的备选，2板选手：恒通股份、鹏鹞环保、天邑股份、深冷股份、中远海能。3板选手：贝肯能源、宝利国际、厚普股份、海默科技。4板选手：道森股份、阿科力、南京聚隆、奥洋科技，4板需要放量确认后打。 |山西中医药...', '2018-05-21 07:52:45')
('发布了头条文章：《603223恒通股份：逆天涨停，超级游资引爆白马股加速行情！》 #股市~a股~大盘~股票# #财经头条文章##恒通股份 sh603223[股票]# |603223恒通...', '2018-05-21 05:47:41')
('周一晚评：从市场看，继续强势的上涨，也就是连续上涨的走势，从前期有2个大阳线走势，再次连续阳线的走势，也就是等高阳线的走势，也就是市场热点明显，主要是连板宏川智慧7个涨停板，是物流的热点板块，从物流的热点看，有恒通股份等高前期无下影线涨停板，再次无下影线高开涨停板的走势，也就是热 ...展开全文c', '2018-05-21 03:03:48')
('今天我们股战场的天永智能 天邑股份 阿科力 恒通股份 前期的久吾高科 中石科技都出现了再涨停板上，明天牛股王旗斌股战场已经挖掘出来欢迎更多的投资者与王旗斌一同交流互动，QQ:2217-575-965 VX同步 一同把握暴利个股行情！', '2018-05-21 02:54:27')
('中国股市发出骇人新闻，最大利好降临A股！$恒通股份 sh603223$ $广和通 sz300638$ $道森股份 sh603800$ 韩壹铭的秒...', '2018-05-21 01:40:40')
('A股大变盘再度上演！散户喜迎出头日！！$万通智控 sz300643$ $嘉泽新能 sh601619$ $保隆科技 sh603197$ $恒通股份 sh603223$ 韩壹铭的秒...', '2018-05-21 01:38:31')
('早盘涨停板次新+环保：博天环境、鹏鹞环保、上海洗霸、久吾高科、中持股份次新化工：南京聚隆、阿科力、川恒股份次新+石油龙头：宏川智慧 ...展开全文c', '2018-05-21 00:42:59')
('5.21日上午：恒通股份上周股友19.2附近多位买今天22.58涨出逄低一千股有5百元差价分批接，博天环境之前连续提示买入今天复牌28.83封涨停板预测复牌有3个以上板始终不变股有还持股吗？ 现在每周六周日反复发布精选潜力牛股实盘选股技巧博文供网友参考。详见5月18首荐恒通股份今天22.58涨停出', '2018-05-20 22:40:07')
('物流板块早盘再度走强，龙头宏川智慧7连板，恒基达鑫、恒通股份双双封涨停，怡亚通、上海雅仕、畅联股份等个股纷纷跟涨。', '2018-05-20 22:17:24')
('LNG ，我今天选择了恒通股份和中集集团，都是业绩估值合理，概念也纯正的标的', '2018-05-20 21:02:56')
('【周一】简单说说风口中的几类标的：基于现金为王，机构推荐的环保标的：工业气环保龙头：龙净环保固废处理： 东江环保 0.65，0.82，0.98元。启迪桑德 1.57， 2， 2.52元 ...展开全文c', '2018-05-20 22:12:48')
('$宏川智慧 sz002930$ 封板！ 7连板！恒基达鑫、恒通股份双双封涨停，怡亚通、上海雅仕、畅联股份等个股纷纷跟涨。 $恒基达鑫 sz002492$ $恒通股份 sh603223$', '2018-05-20 22:00:12')
('物流板块集体拉升，宏川智慧缩量一字，恒基达鑫随后涨停，恒通股份封板，上海雅仕、畅联股份纷纷跟涨。 $上证指数 sh000001$', '2018-05-20 21:51:19')
('5-21 9:49牛大发了，上周五提示的恒通股份拉了个涨停，继续持有大家，股战场阵营猛将如云,争先恐后展现身手！', '2018-05-20 21:49:35')
('油气周末发酵，今天肯定普遍高开。这里挖掘一下相对冷门的LNG概念，重点看恒通股份和$深冷股份 sz300540$ ，这两者LNG业务都占到80%以上，相对位置也不高。做套利的话，今天看$天地数码 sz300743$ ，今天大概率开板，开板位置不是特别高的话，可以买十分之一仓位。盐津铺子看今天是走妖股路线还是大 ...展开全文c', '2018-05-20 21:29:47')
('$厚普股份 sz300471$ $恒通股份 sh603223$ $潜能恒信 sz300191$ 周末消息面比较多，最终的消息莫过于中美经贸摩擦休战，当初经贸摩擦，大盘出现断崖式下跌，大盘从3300点附近一路下跌到3100点附近，既然发生摩擦是利空，目前休战对股市绝对是利好，所以，大盘后期有望出现修复性上涨行情，最终会收复当 ...展开全文c', '2018-05-20 21:17:40')
('隔夜早盘521:恒通股份，LNg营收占80%，周五尾盘拉升，天地数码开板可能性大。', '2018-05-20 20:33:29')
('今日操作策略:周末贸易战停止，对大盘刺激较大，预计会高开幅度较多。而谈判中，关于LNG的放开将会对相关产业链构成较大的刺激，宁德时代的新股发行，也将会使新股板块继续活跃。关注:锋龙股份，恒通股份LNG$锋龙股份 sz002931$', '2018-05-20 20:29:46')
('发布了头条文章：《A股下周精准预测：恒通股份 贵州燃气 鼎胜新材 兰石重装 》 $恒通股份 sh603223$ $贵州燃气 sh600903$ $鼎胜新材 sh603876$ $兰石重装 sh603169$ #上证快讯# |A股下周精...', '2018-05-19 22:36:48')
('5-18 14:14恒通股份603223短期有望走高一线', '2018-05-18 02:15:25')
('发布了头条文章：《本周股市独家爆点：奇信股份+二三四五+天津磁卡+恒通股份》 |本周股市独...', '2018-05-17 02:55:54')
('上午复盘 09:32 物流板块开盘冲高，龙头原尚股份封死涨停，龙二畅联股份大涨6%，飞力达、长久物流、恒通股份跟涨，消息面上，国常会决定简化外资企业设立程序、降低物流业成本 09:43 妖股板块大幅分化，龙头宏川智慧强势涨停，湖南盐业大涨6%，而华锋股份一度跌停，新光药业、锋龙股份跌7% 09:49 海南 ...展开全文c', '2018-05-17 00:51:25')
('$上证指数 sh000001$ 【5月17日上午复盘】 09:32 物流板块开盘冲高，龙头原尚股份封死涨停，龙二畅联股份大涨6%，飞力达、长久物流、恒通股份跟涨，消息面上，国常会决定简化外资企业设立程序、降低物流业成本09:43 妖股板块大幅分化，龙头宏川智慧强势涨停，湖南盐业大涨6%，而华锋股份一度跌停，新 ...展开全文c', '2018-05-16 23:42:25')
('发布了头条文章：《恒通股份(603223)：物流行业穷追不舍，次新股强势赶超》$恒通股份 sh603223$ #大盘~股市~股票~证券~中线~短线# #股市最热门# #牛股推荐# #股今期谈# #新浪股吧# # |恒通股份(6...', '2018-05-16 23:08:43')
('2018年5月17日9点30到10点30盘面：强势板块：石油：宏川智慧、道森股份、恒泰艾普、博迈科、中油工程次新股：宏川智慧、彩讯股份、创业黑马纺织服装：拉夏贝尔、延江股份、太平鸟、万里马物流：宏川智慧、原尚股份、怡亚通、恒通股份...展开全文c', '2018-05-16 22:45:12')
('物流板块开盘冲高，龙头原尚股份封死涨停，龙二畅联股份大涨6%，飞力达、长久物流、恒通股份跟涨。上涨原因主要受消息面利好提振，国常会决定简化外资企业设立程序、降低物流业成本。', '2018-05-16 21:59:35')
('消息面上，国-常-会决定简化外资企业设立程序，降低物流业成本，物流板块开盘冲高，（603813原尚股份）封死涨停，（603648畅联股份）大涨6%，（300240飞力达）（603569长久物流）（603223恒通股份）等纷纷跟涨', '2018-05-16 21:55:02')
('【大盘：实体经济物流成本有望降低 物流板块早盘冲高】物流板块开盘冲高，截止发稿，原尚股份(32.880, 2.99, 10.00%)封死涨停，龙二畅联股份(20.550, 0.76, 3.84%)大涨6%，飞力达(8.110, 0.39, 5.05%)、长久物流(26.600, 0.80, 3.10%)、恒通股份(19.340, 0.60, 3.20%)跟涨。', '2018-05-16 21:42:00')
('物流异动原尚股份(603813) 10%上海雅仕(603329) 2%畅联股份(603648) 3.03%恒通股份(603223) 3.58%飞力达(300240) 5.44%长久物流(603569) 2.98%$原尚股份 sh603813$', '2018-05-16 21:40:44')
('#最新咨询# #个股解答# #股票#$恒通股份 sh603223$ 震荡整理，关注上方19.5元附近压力，不能突破无力上行， 下行可以18.2元附近止损', '2018-05-16 01:52:45')
('节能环保全面失控了，迷离设下惊天骗局收割韭：恒通股份 华菱钢 彭曲评股的...', '2018-05-12 03:03:18')
('发布了头条文章：《A股主力惊天揭密：振江股份 起步股份 金徽酒 恒通股份 》 $振江股份 sh603507$ $起步股份 sh603557$ $金徽酒 sh603919$ $恒通股份 sh603223$ #上证快讯# |A股主力惊...', '2018-05-09 03:28:22')
('#治污我们在行动# @山东环境 @临沂环境 4月25日，临沂市环境应急专家座谈会在郯城经济开发区举行。与会人员实地察看了恒通化工股份有限公司环境风险防控情况，观看了氯气罐装岗位操作人员应急处置演练。在座谈会上，有关专家、县区负责同志分别就应急管理工作注意事项做了交流发言。', '2018-04-25 22:11:17')
('特大最新利好消息：江山欧派 日月股份 济民制药 恒通股份 非妍看盘的...', '2018-04-25 03:11:47')
('发布了头条文章：《主力惊天阴谋揭露：白银有色+恒银金融+上海洗霸+恒通股份》 $白银有色 sh601212$ $恒银金融 sh603106$ $上海洗霸 sh603200$ $亨通光电 sh600487$ #原创首发# |主力惊天阴...', '2018-04-19 10:20:46')
('午间复盘：09:33 有色铝板块开盘活跃，龙头华锋股份一字板，丽岛新材秒板，云铝股份大涨6%，中国铝业涨5%,神火股份、常铝股份跟涨09:48 物流板块开盘活跃，龙头韵达股份大涨7%，原尚股份涨5%，圆通速递、德邦股份、恒通股份纷纷跟涨09:59 国产软件板块持续拉升，龙头雄帝科技强势封板，中国软件 ...展开全文c', '2018-04-19 00:23:30')
('#我们在行动##治污我们在行动# @临沂环境 郯城县环保局固废科、开发区中队对山东阳煤恒通化工股份有限公司危险废物台帐及危废贮存库规范化建设情况进行检查。', '2018-04-18 23:11:06')
('发布了头条文章：《最新主力惊天揭秘：恒通股份 圣龙股份 恒银金融 大恒科技》 #上证快讯# $恒通股份 sh603223$ $圣龙股份 sh603178$ $恒银金融 sh603106$ $大恒科技 sh600288$ #上证快讯# |最新主力惊...', '2018-04-17 08:02:30')
('发布了头条文章：《A股最新走势：恒通科技 中国联通 海德股份 智飞生物 星网锐捷》 #美国对叙利亚空袭# #股票# #头条文章# #新浪股吧# #新浪看点# $恒通科技 sz300374$ $中国联通 sh600050$ $海德股份 sz000567$ $智飞生物 sz300122$ $星网锐捷 sz002396$ |A股最新走...', '2018-04-16 06:27:51')
('强势反弹，逆市反弹！好股来了！截至4月13日收盘，有89只A股的5日均线主动上穿10日均线，其中$宏创控股 sz002379$ 、能科股份、$恒通科技 sz300374$ 等个股的5日均线较10日均线距离最大，分别达1.54%、1.20%、1.15%。这种5日均线上穿10日均线的走势意味着个股后将继续走强。', '2018-04-16 03:53:44')
('发布了头条文章：《看清主力大动作：宁波海运 恒通股份 惠而浦 亚泰集团》 $宁波海运 sh600798$恒通股份 sh603223$惠而浦 sh600983$亚泰集团 sh600881$ #大盘# #微博股票# #大盘-个股-趋势-解答# #股市~a股~大盘~股票# #A股# #a股~股市~股票~大盘~指数# |看清主力大...', '2018-04-16 01:45:25')
('发布了头条文章：《后市展望精准预测： 隆基股份 有研新材 恒通股份》 $隆基股份 sh601012$ $有研新材 sh600206$ $恒通股份 sh603223$ #新浪股票# |后市展望精...', '2018-04-04 23:36:06')
('发布了头条文章：《揭秘A股后期惊人走势：恒通股份+黄河旋风+晶方科技+三安光电》 |揭秘A股后...', '2018-04-04 04:01:43')
('发布了头条文章：《A股主力揭开神秘面纱：恒通股份+西部黄金+金桥信息+华联综超》 |A股主力揭...', '2018-04-04 02:10:17')
('发布了头条文章：《A股强势股票揭秘：科林电气+狮头股份+恒通股份+西部黄金》 |A股强势股...', '2018-04-03 23:47:13')
('$恒通股份 sh603223$我获利出了', '2018-04-03 12:20:23')
('中美贸易战 不忍直视神仙打架 凡人受伤回避大金融个股其他的看游资主力自会解读消息小盘看盘面就行目前持仓： ...展开全文c', '2018-04-02 20:28:48')
('【2018-4-2收评】今天指数试盘 失败…一直回落到5日线上明天还有一个继续调整的过程指数都到了重要阻力位马上又要过清明节周末消息面也比较多 ...展开全文c', '2018-04-02 11:30:32')
('$恒通股份 sh603223$做t部分出了20.52买入$和科达 sz002816$ 四成', '2018-04-02 04:36:33')
('发布了头条文章：《603223 恒通股份：注意风险！289亿资金继续出逃！或有风险注意持仓》 #财经头条文章# #股票分析# $恒通股份 sh603223$ |603223 恒...', '2018-04-02 03:53:48')
('发布了头条文章：《主力金蝉脱壳暴露惊天阴谋：广宇发展+蓝帆医疗+恒通股份+用友网络》 $广宇发展 sz000537$ $蓝帆医疗 sz002382$ $恒通股份 sh603223$ $用友网络 sh600588$ #牛股推荐# |主力金蝉脱...', '2018-04-01 23:18:07')
('$亚光科技 sz300123$我出了买入$恒通股份 sh603223$ 三成做t', '2018-04-01 22:48:09')
('一季报出来了预计接下来的热点围绕这些业绩大幅增长的公司周线级别的反弹预计持续到五月份但是金融方面新规不断要看主力如何解读了 ...展开全文c', '2018-04-01 22:37:30')
('分享自线神西野 《每日连板股预报(4月1日)》 - ... (来自 @头条博客) - 上期（3月29日周四）共预报连板涨停股5只，603223恒通股份、002758华通医药、002137麦达数字、603722阿科力和603067振华股份，3月30日周五共涨停四只，即华通医药、麦达数字、阿科力和振华股份', '2018-04-01 08:10:29')
('【2018-3-30收评】创业板今天爆拉指数个股却是高位震荡以及二线补涨上海三毛早盘补跌又被甩下车了 捂脸不喜欢做妖股 啥都不用看感觉不如小散 ...展开全文c', '2018-03-30 14:25:25')
('发布了头条文章：《鲁西化工(000830):主力强势洗盘，庄家吸筹，后势必有惊人表现》 #反击贸易战# #乐视危机# $奥翔药业 sh603229$ $恒通股份 sh603223$ |鲁西化工(0...', '2018-03-29 22:09:28')
('$卫信康 sh603676$我获利出了买入$恒通股份 sh603223$ 三成', '2018-03-29 22:09:24')
('雄安新区板块表现不俗，渤海股份、森远股份先后涨停，同济科技、精工钢构、恒通科技快速走强。$上证指数 sh000001$ $创业板指 sz399006$ $深证成指 sz399001$', '2018-03-29 21:53:19')
('#投资达人说# #今日看盘# $恒通股份 sh603223$ 恒通股份是短信黑嘴票，注意回避，谨慎追高！', '2018-03-29 19:17:57')
('【今日热点】1、次新股：金桥信息、天鹅股份、恒通股份、莎普爱思、集泰股份、清源股份、天龙股份、阿科力、徕木股份2、房地产：南都物业、泰禾集团、荣安地产、世荣兆业3、钢铁股：汇金通、西宁特钢、赛福天#今日看盘##投资达人说# $贵州茅台 sh600519$ $乐视网 sz300104$ @微博股票', '2018-03-29 05:56:40')
('603223恒通股份，昨日分成推荐，今日涨停，如果用7W直接买入这个股票，利润才7000.假设用期权花7W买入这个股票100W的市值，今日涨停获利100000，减去成本7W，一天净利润直接30000', '2018-03-28 22:37:04')
('发布了头条文章：《浪潮软件(600756)：国产软件开启低估崛起机会，8亿资金成就大牛股！》$浪潮软件 sh600756$ $恒通股份 sh603223$ $莎普爱思 sh603168$ |浪潮软件(6...', '2018-03-28 22:28:01')
('恒通股份目前涨停，注意关注成交量，异常增加就不是好事，当然也可能明日放量，到21.天鹅股份早上给了机会，还不错。 没赶上的，还有天顺，不过天顺估计要等待一段时间。', '2018-03-28 22:10:39')
('昨日带领客户布局的#恒通股份 sh603223[股票]# 早盘封板，T+1获利10%，恭喜客户获利！想要把握火箭式月末拉升个股速度回复888', '2018-03-28 21:42:49')
('盘前牛股送出!金哥挖取恒通股份603223短线把握！预计今日盈利几个点出局不是问题！昨日金哥实战客户已经潜伏进去了 实力验证一切。 网页链接', '2018-03-28 20:17:27')
('明日短信股票，603223 恒通股份，手上有此票的股民朋友，注意开盘拉高后出场。没有的不要介入，避免追高风险', '2018-03-28 05:38:13')
('恒通股份#股市~a股~大盘~股票# 短线票建仓！明天可以关注~', '2018-03-28 05:30:11')
('$恒通股份 sh603223$ ,今天小幅低开高走，主力资金实力并不强大，由于 周一是二浪的尾声，明上午顺势完成小三浪，建议有货的出货，去选择强势调整的短线股为好。在大盘不好的前提下，短线是很重要的操作原则。$上证指数 sh000001$ $深证成指 sz399001$ $创业板指 sz399006$', '2018-03-28 04:26:20')
('今天我们VIP圈内实战建仓603223恒通股份，18.30建仓的成功，预计明天目标8个点以上，拭目以待！ 网页链接', '2018-03-28 03:45:40')
('$恒通股份 sh603223$明天来个好收益', '2018-03-28 03:35:57')
('$恒通股份 sh603223$买了点，仓位不多，能赚一点是一点', '2018-03-28 03:31:25')
('尾盘买进603223恒通股份，明天早盘大幅拉升就出货。', '2018-03-28 03:21:41')
('明天关注、603223恒通股份股市散户合...（上#秒拍#看我的最新短视频，下载秒拍->网页链接）', '2018-03-28 03:11:47')
('03月29日内线金股公开验证【恒通股份603223】周四早盘强力拉升，切勿追高买入，敬请关注！', '2018-03-28 03:10:06')
('3月28日超短线恒通股份603223大家可以关注一下噢 恭喜发财99...', '2018-03-28 03:10:00')
('$恒通股份 sh603223$大盘不好就少赚点', '2018-03-28 03:09:43')
('$恒通股份 sh603223$ 明天大涨，及时私信我赢牛股 $上证指数 sh000001$ #财经头条# #上证盘前#', '2018-03-28 03:03:33')
('通知：03月28日今日我们机构带客户建仓( #恒通股份 sh603223[股票]# 恒通股份 ) 将在03月29日 星期四超短线拉升带客户获利出局，邀请关注，勿追！！', '2018-03-28 03:03:32')
('【每日推荐】$恒通股份(SH603223)$ 明日将拉升，未介入者不要随意操作，持有者跟随冲高止盈，注意规避风险。', '2018-03-28 03:02:45')
('603223恒通股份明早拉升，非用户不要追涨', '2018-03-28 03:02:22')
('$恒通股份 sh603223$ #不二--乐道# 明天看你表演！！！', '2018-03-28 03:01:32')
('限售股解禁：东方证券、无锡银行、康尼机电、华孚时尚、唐人神、圣阳股份、银信科技、恒通科技、富临精工、久吾高科、麦格米特、捷荣技术、三晖电气', '2018-03-22 21:29:01')
('复牌个股：欧比特、神雾节能、德艺文创、航新科技、天安新材、ST尤夫。限售股解禁：东方证券、无锡银行、康尼机电、华孚时尚、唐人神、圣阳股份、银信科技、恒通科技、富临精工、久吾高科、麦格米特、捷荣技术、三晖电气。', '2018-03-22 21:21:21')
('/复牌、解禁股数据】复牌个股：实达集团、航新科技、ST尤夫、神雾环保、神雾节能、天广中茂、德艺文创、天安新材、欧比特停牌个股：法尔胜、新力金融、浙江东日解禁个股：富临精工、恒通科技、东方证券、圣阳股份、振东制药、麦格米特、捷荣技术、华孚时尚、卫士通、久吾高科、三晖电气、康尼机电、 ...展开全文c', '2018-03-22 10:58:16')
('雄安股再冲一波，太空板业、北新建材、韩建河山、青龙管业、启迪设计、恒通科技、中设股份等冲高。', '2018-03-20 03:23:57')
('雄安股再冲一波，$太空板业 sz300344$ 、$北新建材 sz000786$ 、$韩建河山 sh603616$ 、$青龙管业 sz002457$ 、$启迪设计 sz300500$ 、$恒通科技 sz300374$ 、$中设股份 sz002883$ 等冲高。$韩建河山 sh603616$ 是赢天下上周点评过的，有跟上的股友都赚了两个涨停板的盈利。#新浪财经# #.今日看盘.# ...展开全文c', '2018-03-20 01:54:16')
('限售解禁：300010 立思辰300431 暴风集团603111 康尼机电300432 富临精工300433 蓝思科技002371 北方华创300049 福瑞股份603179 新泉股份000875 吉电股份002619 艾格拉斯002415 海康威视002772 众兴菌业300374 恒通科技601689 拓普集团603789 星光农机603268 松发股份300406 九强生物002502 骅威文化6 ...展开全文c', '2018-03-18 21:02:25')
('【停/复牌、解禁股数据】复牌个股：光环新网、大富科技、香山股份、司尔特、隆平高科、国投中鲁停牌个股：露天煤业、中成股份解禁个股：吉电股份、康尼机电、骅威文化、艾格拉斯、松发股份、立霸股份、四通新材、富临精工、诚益通、恒通科技、宜华健康、众合科技、北方华创、骅威文化、海康威视、九 ...展开全文c', '2018-03-18 10:38:05')
('发布了头条文章：《下周最新主力动向曝光：宏达高科 银龙股份 万业企业 恒通科技 》 #财经头条文章# #顾地科技 sz002694[股票]# #达安基因 sz002030[股票]# #达安基因 sz002030[股票]# |下周最新主...', '2018-03-16 05:41:32')
('雄安板块今天不仅领涨市场，概念股更是迎来大爆发。板块内，创业环保、青龙管业、太空板业、冀东装备、河北宣工、启迪设计、恒通科技、韩建河山、渤海股份等近20只概念股强势涨停，同济科技、富煌钢构、红墙股份、先河环保、千方科技等个股亦有不同程度的大涨表现。消息面上，河北省副省长、雄安新区 ...展开全文c', '2018-03-11 19:51:08')
('$恒通股份 sh603223$ 等待小级别低点入一些，看看这支股超跌反弹能走多久？', '2018-03-08 20:20:30')
('今日上涨0.51%，深成指涨1.05%，创业板指涨0.45%；两市上涨2317家，下跌797家；自然涨停64家，跌停2家。涨停：（1） 雄安概念（建科院、创业环保、青龙管业，太空板业，冀东装备，河北宣工，天域生态，启迪设计，中设股份，科林电气，恒通科技，保变电气，韩建河山,渤海股份，建投能源）（2） 次新 ...展开全文c', '2018-03-08 09:28:43')
('3.8热点题材次新股：万兴科技、中科信息、泰永长征、科创信息、倍加洁、大烨智能、超频三、淳中科技、宣亚国际、一品红、大理药业、贵州燃气、盐津铺子、赛隆药业、上海雅仕、昭衍新药、英联股份、中石科技、比音勒芬、高斯贝尔雄安：青龙管业、太空板业、建科院、中设股份、启迪设计、恒通股份、冀 ...展开全文c', '2018-03-08 08:08:19')
('3月8日消息，雄安新区板块午后持续拉升，青龙管业、太空板业、建科院、中设股份、启迪设计、恒通科技、科林电气等7股涨停，红墙股份、韩建河山、千方科技、建投能源等个股均有拉升表现。', '2018-03-08 02:21:53')
('指数有所回落，雄安股再起，太空板业、冀东装备、杭州园林、中设股份、建科院、恒通科技、韩建河山、冀东水泥等急冲。', '2018-03-08 01:49:41')
('雄安板块持续上涨，青龙管业、太空板业、启迪设计、建科院、中设股份、恒通科技等6股涨停，东土科技、千方科技、科林电气涨近7%，韩建河山、冀东装备等纷纷上涨。$冀东装备 sz000856$ $韩建河山 sh603616$', '2018-03-08 00:56:16')
('文来实盘播报13：30 雄安新区再来一波，还是一波流，青龙管业、中设股份、太空板业、启迪设计、建科院、恒通科技涨停。', '2018-03-08 00:34:06')
('发布了头条文章：《最新消息流出：恒通科技 辰欣药业 晶瑞股份 光弘科技 》 #股票# #冀东装备 sz000856[股票]# #圆通速递 sh600233[股票]# #精测电子 |最新消息流...', '2018-03-07 22:38:34')
('发布了头条文章：《主力最新阴谋:恒通股份 创兴资源 恒星科技 福建金森 》 #财经头条文章# #捷顺科技 sz002609[股票]# #聚光科技 sz300203[股票]# #航天电子 sh600879[股票]# |主力最新阴...', '2018-03-04 10:07:33')
('发布了头条文章：《下周最新利好曝光：济川药业+赤峰黄金+恒通科技+美达股份》 |下周最新利...', '2018-03-04 02:08:17')
('发布了头条文章：《最新消息流出：恒通科技 青岛双星 冠福股份 中科三环》 #财经头条文章# #华光股份 sh600475[股票]# #佐力药业 sz300181[股票]# #镇海股份 sh603637[股票]# |最新消息流...', '2018-03-04 01:35:56')
('发布了头条文章：《A股主力蓄谋已久：恒通科技 雄塑科技 久吾高科 达安股份》 $恒通科技 sz300374$ $雄塑科技 sz300599$ $久吾高科 sz300631$ $达安股份 sz300635$ #上证快讯# |A股主力蓄...', '2018-03-04 01:30:07')
('发布了头条文章：《最新利好：西部黄金 恒通科技 中科三环 美丽生态 长生生物 华光股份》 #新浪股吧# $西部黄金 sh601069$恒通科技 sz300374$中科三环 sz000970$美丽生态 sz000010$长生生物 sz002680$华光股份 sh600475$ |最新利好：...', '2018-03-03 22:44:14')
('昨夜美股大跌影响，今日股指全线低开，创业板摸高至半年线附近回落。临近尾盘，开板的个股多了起来，工业互联网龙头东土科技涨停处放量，博实股份、英洛华、$佐力药业 sz300181$ 、东杰智能、创业黑马、华胜天成、中科三环、东方中科、襄阳轴承、融捷股份、恒通科技、$剑桥科技 sh603083$ 、正海磁材等 ...展开全文c', '2018-03-01 23:38:13')
('发布了头条文章：《最新消息流出：科顺股份+润都股份+恒通科技》 |最新消息流...', '2018-03-01 21:07:13')
('20180228公告淘金太极实业：联合中标34.7亿华虹集成电路工程项目通富微电：控股股东增持公司2%股份贝因美：2017年亏损9.64亿元，将被实施退市风险警示恒通科技：股东中科燕山拟清仓减持不超8.36%公司股份', '2018-02-27 20:44:38')
('【利空公告】○ 贝斯特：终止重大资产重组事项○ 宁波精达：终止筹划重大资产重组 股票复牌○ 陕鼓动力：终止重大资产重组 ...展开全文c', '2018-02-27 20:09:26')
('【公告：增减持】TCL集团：股东减持4195万股 持股降至5%同花顺：年报净利降四成 证金公司增持欧浦智网：股东所持股份被动减持 ...展开全文c', '2018-02-27 09:54:52')
('【恒通科技：中科燕山拟清仓减持8.36%股份】恒通科技(300374)2月27日晚公告，持股8.36%的股东中科燕山拟在未来六个月内减持不超2056万股(占公司总股本8.36%)。注：中科燕山为中科招商的控股子公司。', '2018-02-27 08:19:09')
('#个股利空【恒通科技：股东拟清仓减持8.36%】 云财经讯，恒通科技：持股股份20,556,800股的股东北京市中科燕山创业投资有限公司拟以集中竞价、大宗交易、协议转让方式减持不超过公司股份20,556,800股（占公司总股本比例8.36%）。', '2018-02-27 04:51:49')
('【恒通科技：股东中科燕山拟清仓减持不超8.36%公司股份】恒通科技持股8.36%的股东北京市中科燕山创业投资有限公司计划的6个月内，减持公司股份不超20,556,800股（占公司总股本比例8.36%）。', '2018-02-27 04:35:40')
('发布了头条文章：《603223 恒通股份：最新主力动向曝光，吹响反攻号角，后市暴涨拉升！》 #财经头条文章# #股票分析# $恒通股份 sh603223$ |603223 恒...', '2018-02-23 03:46:19')
('发布了头条文章：《603223恒通股份： “熊孩子”被抛弃了？ 》$恒通股份 sh603223$ #财经头条文章# |603223恒通...', '2018-02-03 10:45:57')
('发布了头条文章：《恒通股份603223：庄家多次布局，主力重金锁仓，有望荣登18年妖王宝》 #恒通股份 sh603223[股票]# #乐视网 sz300104[股票]# #今日话题# #明日头条征文# |恒通股份60...', '2018-02-03 01:31:40')
('发布了头条文章：《震荡源头已查明：恒通股份 大丰实业 西藏旅游》 |震荡源头已...', '2018-02-02 22:57:26')
('【移动悄悄扣了你这笔费用，谁“指使”的？我们把Ta找出来了】近日，中国移动因存在隐形扣费项目遭新华社曝光，引起舆论关注。根据报道，有中国移动用户在不知情的情况下，手机套餐开通了月租为10元“车友助理”的增值业务。记者注意到，“车友助理”这项业务的提供公司为世纪恒通科技股份有限公司（以 ...展开全文c', '2018-02-02 02:49:03')
('今天就做了一次滚动仓位，高抛了昨天低吸的兰太实业（1成仓位），然后低吸了维业股份恒通科技毕竟还是不属于次新范畴，弱了点。中原高速底仓继续不动，等一个加仓时机，比如5.03或者5.08，但是如果明天突破5.3估计得追买了。。创业板，大涨一波然后震荡整理2-3天，再拉一根大阳是比较好的。所以现在 ...展开全文c', '2018-01-23 04:27:18')
('最近几天就是滚动仓位来回做，昨天补了兰太，今天t出后补了维业股份。很多股看着是下跌，其实还是回调，有的就真的是跌了。。现在比较确定的是在未来6个交易日内维业股份和恒通科技都会出业绩快报。兰太不确定，但是兰太算是低估。大股东贼坏，停牌错过一波资源股上涨行情，复牌又刚好遇上纯碱 ...展开全文c', '2018-01-22 23:56:02')
('恒通科技5均线附近可以适当低吸，维业股份当前点位可以低吸。现在行情没爆发逢低加仓是王道。兰太实业继续观察，目前量能还不够，观察是否跌破均价黄线，跌破就适当留意一下反抽乏力。整体上今天还是蓝筹补涨。质优补涨。', '2018-01-22 21:09:46')
('发布了头条文章：《恒通股份603223：主力究竟在耍什么“心眼”，小散们被坑死了》 #微博股票# $恒通股份 sh603223$ |恒通股份60...', '2018-01-22 05:43:32')
('发布了头条文章：《最新消息出炉：亚星锚链+恒通股份+富奥股份》 |最新消息出...', '2018-01-19 22:09:42')
('发布了头条文章：《恒通股份300374：主力洗盘或是抄底良机？股民：站稳此支撑位再说》$恒通股份 sh603223$ #热门股票点评# #热门股票推荐# |恒通股份30...', '2018-01-19 03:29:54')
