('19岁股市奇才豪言曝光：MACD指标100%盈利方法，4分钟获28次掌声 $东山精密 sz002384$ $璞泰来 sh603659$ $罗平锌电 sz002114$ $太极股份 sz002368$ 论A股堂的...', '2018-07-24 10:58:37')
('利好消息：台海核电 康力电梯 太极股份 刘庆谈财的...', '2018-07-02 05:10:20')
('股市唯一不欺骗人的“换手率”顺口溜，仅今晚分享一次，今晚删 $康惠制药 sh603139$ $梅安森 sz300275$ $XD北京城 sh600266$ $太极股份 sz002368$ 李域悟看盘...', '2018-07-01 15:16:11')
('平滑移动平均线MACD指标详解 MACD抓涨技巧战略炒股十拿九稳 $太极股份 sz002368$ $神州泰岳 sz300002$ $微光股份 sz002801$ $新华文轩 sh601811$ 李域悟看盘...', '2018-07-01 10:48:33')
('7月股市即将云消雾散，涨停潮来袭：$阿科力 sh603722$ $木林森 sz002745$ $太极股份 sz002368$ $中国巨石 sh600176$ \ue627 股票分析 #财经头条# #财经趣闻# 期待词组宁...', '2018-07-01 02:36:59')
('7月绝地反击时刻来临:$阿科力 sh603722$ $木林森 sz002745$ $太极股份 sz002368$ $中国巨石 sh600176$ \ue627 短线牛股 \ue627 投资达人说 #财经趣闻# 苍白自恋缠...', '2018-06-30 06:44:06')
('发布了头条文章：《太极股份（002368）：最后的机会，与庄共舞》 $太极股份 sz002368$ \ue627 财经头条文章 \ue627 股票分析 |太极股份（...', '2018-06-30 06:09:16')
('【实战案例教学：怎么做超跌反弹？】以$软件服务板块 hq67109357$ 为例，已经处于下跌的中后期，板块指数的反弹也强于$上证指数 sh000001$ ：1、优先找日线突破21天均线的股票；2、其次找60分钟K线突破21均线；比如：$太极股份 sz002368$ ：60分钟级别突破21均线低吸； ...展开全文c', '2018-06-29 03:14:49')
('发布了头条文章：《走势精准剖析：亚太药业 太极股份 航天科技 洁美科技》 $亚太药业 sz002370$ $太极股份 sz002368$ $航天科技 sz000901$ $洁美科技 sz002859$ \ue627 股票分析 \ue627 微博股票 #个股专业点评# #财头条文章# \ue627 头条文章 |走势精准剖...', '2018-06-29 01:55:00')
('国产软件板块持续走高，中国软件领涨，宝信软件、浪潮信息涨幅居前，同有科技、卫宁健康、华宇软件、浪潮软件、太极股份、东华软件、久其软件等大幅上涨。', '2018-06-28 23:23:01')
('利好消息：太极股份 卓翼科技 亚太药业 刘庆谈财的...', '2018-06-28 02:09:58')
('软博会在即，软件反弹也很强势，近日中国软件、太极股份大涨，今天四方精创和中科信息在填权的+软博会的双重驱动下强势涨停', '2018-06-27 22:04:40')
('事实上，从近期盘面看，即使指数波动幅度较大，但市场赚钱主线仍较为明显，如前期经历充分调整的半导体板块，晓程科技连续三个交易日涨停，长川科技连续两个交易日涨停，北方华创、兆易创新、海特高新等也是持续上涨；还有国产软件板块，中国软件、浪潮信息、太极股份等涨幅显著。', '2018-06-27 22:01:42')
('#安信要闻掘金# #今日看盘# 【要闻掘金】1) 韩正会见林郑月娥 就大湾区发展规划听取意见嘉诚国际、珠海港、世荣兆业、格力地产2) 车联网“钱景”引巨头竞逐 汽车智能网联快速发展安凯客车、太极股份、东风科技 ...展开全文c', '2018-06-27 20:57:22')
('盘前策略周三沪深两市低开后震荡走低，沪指一度击穿2800点。盘面上，白酒、食品饮料、医药、地产等权重蓝筹集体下行，其中白酒、民航、机场等板块领跌约3%，计算机板块的神州信息、中国软件连续第二天涨停，而浪潮信息、太极股份等涨幅靠前。周三消费白马出现集体补跌，一方面显示大盘调整仍然持续 ...展开全文c', '2018-06-27 20:09:13')
('最近股市大跌～好慌～以前买的北方华创，太极股份感觉快要把我坑死了，以前不会看什么是买入点卖出点～真吃亏，吃一堑长一智……', '2018-06-27 10:45:16')
('发布了头条文章：《重磅消息：美尚生态+太极股份+世龙实业，本周操作策略解读》 $美尚生态 sz300495$ +$太极股份 sz002368$ +$世龙实业 sz002748$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-27 07:53:24')
('发布了头条文章：《元隆雅图+太极股份+上海新阳,昔日王者再度归来》\ue627 股票 #新浪看点# #股票# #头条文章# #上证指数# $元隆雅图 sz002878$ +$太极股份 sz002368$ +$上海新阳 sz300236$ |元隆雅图+...', '2018-06-27 07:47:33')
('昨天昨天软件股作为创业板的主要支撑之一；率先反弹出现涨停板非常有意义，今早盘提示的，重点关注中国软件和太极股份今日的持续性；午后中国软件涨停封板，在市场最艰难的时候！这个意义和风险非常重要，还是那句话，重视超跌的机会！', '2018-06-27 02:45:35')
('20180627操作参考周二盘面上看，科技股两张两市，题材板块领涨风口在国产软件和国产芯片，次新股和高送填权强势 。盘面上，国产软件、云计算、信息安全、工业互联、芯片、次新股、卫星导航涨幅靠前。国产软件太极股份、中国软件、浪潮软件、同有科技涨停、信息安全兆日科技、神州信息涨停，工业互联- ...展开全文c', '2018-06-27 02:33:26')
('机构关注软件和芯片股，其中浪潮信息三机构买1.01亿，长川科技三机构买2658万，太极股份两机构买1754万，海特高新一机构买1366万。跌停股下挫股机构分歧明显，其中中南建设三机构买7020万，不过也有四机构卖出1.1亿，康盛股份两机构卖出1.07亿。机构综述：机构关注芯片和软件股，其中浪潮信息三机 ...展开全文c', '2018-06-27 01:34:38')
('#bl布股# #股民故事# #牛股推介# 创业板顺理成章成为两市最大看点，以国产软件、芯片以及新能源汽车等为代表的科技成长股集体卷土重来掀起了报复性反弹，中国软件、太极股份、浪潮软件以及晓程科技等10余股先后拉板。另外，从涨幅榜来看，前期遭遇严重杀估值的超跌垃圾股和次新板块也借机复活掀起涨停 ...展开全文c', '2018-06-26 23:22:44')
('关注太极股份二板力度', '2018-06-26 22:30:33')
('昨日盘前重点推荐的软件股今日继续大涨，神州信息、荣科科技涨停，中国软件、太极股份、海德控制、浪潮软件均涨幅居前。', '2018-06-26 22:23:18')
('$浪潮信息 sz000977$ $太极股份 sz002368$ $中国软件 sh600536$ 等软件股还是如此强势，昨天的龙虎榜也显示机构席位买入为主，说明上证50出来的基金开始低吸科技股，我们三合一、尖端、小妖都是这个板块！', '2018-06-26 22:23:12')
('\ue627 大盘 指数平开，页岩气板块领涨。昨日热点题材中，数字中国神州信息涨8%、太极股份涨2%，新能源汽车安凯客车涨6%，充电桩万马股份涨2%、欣锐科技涨停，总体开盘情绪还算不错', '2018-06-26 21:36:31')
('实时盯盘--指数平开，页岩气板块领涨。昨日热点题材中，数字中国神州信息涨8%、太极股份涨2%，新能源汽车安凯客车涨6%，充电桩万马股份涨2%、欣锐科技涨停，芯片晓程科技涨4%、海特高新平开、兆日科技涨5%，高送转中大力德涨4%、金奥博涨9%，页岩气贝肯能源、杰瑞股份涨3%，维生素花园生物涨2%。', '2018-06-26 21:33:21')
('竞价沪深小幅低开，欣锐科技、雄帝科技开盘涨停，金奥博、振静股份大幅高开。关注中国软件、东方网络、澄天伟业、浪潮软件、世嘉科技、太极股份。', '2018-06-26 21:27:22')
('机构动向：1.浪潮信息（000977）：三机构席位买入1.01亿，两机构席位卖出2799万2.长川科技（300604）：兴业成都航空路及招商无锡新生路游资封板，三机构买入2658万3.太极股份（002368）：财富南京新模范马路及金元杭州丰潭路游资封板，两机构买入1754万4.海特高新（002023）：东兴泉州温陵北路 ...展开全文c', '2018-06-26 21:25:52')
('昨日盘后数据显示，机构对于数字中国板块整体布局较为积极，#太极股份 sz002368[股票]# ，#浪潮信息 sz000977[股票]# ，#神州信息 sz000555[股票]# 等均获机构席位青睐，主力资金全面做多数字中国，无疑是一次科技投资风起的积极信号，建议投资者适当关注超跌的科技股，国产软件，芯片等品种。我认为， ...展开全文c', '2018-06-26 21:09:47')
('在创业板的这几个月的大幅下跌下，很多不错的科技股都是跌出了空间，而且前期进场的一些机构也是被套的很惨，今天来看，机构抓住时机今天开始买入软件类个股，比如软件类的浪潮信息今天就买的不少，还有太极股份也是有机构在买，可以看出来机构已经开始尝试在这个位置开始做一些仓位的配置。浪潮信息 ...展开全文c', '2018-06-26 20:14:08')
('6/27翔哥股市早盘牛股精选：世嘉科技 三联虹普国产软件：龙头中国软件，第二梯队浪潮软件、太极股份，浪潮信息，超图软件、用友网络等，这几个票的一个关键点是大都回调到年线附近区域出现企稳，关键点位叠加大阳线企稳，这个还是值得期待的，跟踪好是否能出现一波反弹行情，软件先于大盘开始调整，这 ...展开全文c', '2018-06-26 20:08:38')
('盘面会说明一切的，600536中国软件从集中竞价开始就明显顶了上来，最终带动了002368太极股份，600756浪潮软件，300302同有科技这些个股上涨', '2018-06-26 19:40:13')
('复盘：在中美贸易战升级，美股大跌的影响下，今日A股出现大幅低开，上证50为首的权重股继续杀跌，银行、地产、煤炭、钢铁等成为下跌的重灾区，人民币也继续贬值，加上内部金融去杠杆政策延续、信用违约风险和股权质押融资风险仍存，内忧外患之下市场继续受到压制，短期投资者仍对市场存谨慎态度；就 ...展开全文c', '2018-06-26 18:34:35')
('文来头狼精选（周二）期待新头狼出现头狼回顾：期待新头狼出现涨停板精选1、神州信息2、太极股份 ...展开全文c', '2018-06-26 11:17:42')
('#世界杯经济学#我刚刚调仓了微博股票组合网页链接，委托买入$太极股份 sz002368$。', '2018-06-26 11:12:57')
('科技类000555 神州信息9:49:30有开板。软件板块300333 兆日科技10:19:16 芯片概念。600536 中国软件 10:19:19 有开板。软件板块。002368 太极股份 10:47:22 有开板。软件板块。300302 同有科技 11:02:30 软件板块。600756 浪潮软 ...展开全文c', '2018-06-26 10:44:03')
('今日受中兴跌停开板影响，两市在科技，军工的带领下反弹。科技，军工持续低迷，今日终于迎来反弹，后市科技是否能持续反弹？毫无疑问，科技股会带领创业板指一路高歌，会迎来一波行情。持续关注国产软件及芯片概念！具体个股，太极股份，中国软件，浪潮信息，用友网络，北方华创，紫光国微 ...展开全文c', '2018-06-26 09:41:27')
('盘后龙虎榜显示，今日机构净买入浪潮信息、长川科技、太极股份、海特高新、华数传媒、川金诺、鸿达兴业以及南京新百等8股。中大力德、地素时尚、中南建设以及康盛股份机构净卖出金额超千万元。', '2018-06-26 09:19:08')
('机构是进来抄底了吗？$太极股份 sz002368$ 的龙虎榜进了机构加深股通，$长川科技 sz300604$ 和$浪潮信息 sz000977$ 值得关注下也进了很多机构。', '2018-06-26 09:11:19')
('6.26热点题材白酒：水井坊、ST皇台、舍得酒业、今世缘、口子窖、青青裸酒汽车：安凯客车、中通客车、亚星客车、众泰汽车、东风汽车新能源汽车：尖锐我能、京威股份、安凯客车、欣锐科技国产软件：神州信息、中国软件、兆日科技、太极股份、同有科技、晓程科技、海特高新、浪潮软件、榕基软件、超图 ...展开全文c', '2018-06-26 07:44:58')
('#华谊兄弟 sz300027[股票]# 盘中热点一，新能源车概念板块。其中安凯客车、合康新能、坚瑞沃能、海德控制、欣锐科技、万马科技等8股涨停！重点关注其持续性，板块目前属于超跌反弹，耐心等待调整后的机会，追涨不可取。盘中热点二，国产替代（软件、芯片）板块。其中中国软件、太极股份、浪潮软件、兆 ...展开全文c', '2018-06-26 06:26:45')
('【软件股大涨，机构席位积极炒作】香港万得通讯社报道，6月26日，软件股大涨，机构席位积极炒作。三机构席位买入浪潮信息1.01亿元，两机构席位卖出2799万元，深股通买入1099万元并卖出918万元。两机构席位买入太极股份1754万元，深股通买入305万元并卖出370万元。 --(网页链接 分享自Wind金 ...展开全文c', '2018-06-26 06:23:52')
('发布了头条文章：《A股本周走势曝光：三泰控股 太极股份 澄天伟业 安妮股份》 |A股本周走...', '2018-06-26 04:32:06')
('发表了博文《2018年6月26日》沪指下跌0.52%，创业板上涨1.71%。行业板块软件服务和航天国防涨幅居前。软件服务太极股份等5股涨幅居前。航天国防航新科技和海特高新涨幅居前。概念板块云计算和信息|2018年6月2...', '2018-06-26 04:26:30')
('好了，今天直播就到这里了。惯例点赞下班吧！尾盘市场出现一波抄底抢跑资金。$太极股份 sz002368$ $坚瑞沃能 sz300116$ $中国软件 sh600536$ $万马股份 sz002276$', '2018-06-26 03:00:33')
('国防军工板块走强，华自科技、航新科技、山河智能、太极股份、金奥博、同有科技、东土科技等多股涨停，海特高新、浪潮信息、爱乐达、中国长城涨幅居前，中科曙光、星网宇达、北方华创、振华科技等大幅上涨。', '2018-06-26 02:27:06')
('「午间机构看市：市场底部基本探明 一类股值得关注」-- 来自同花顺随着创业板震荡走高，芯片、国产软件等科技成长概念纷纷迎来强势反弹成为两市最大看点，太极股份（002368）、中国软件等多股先后涨停；此外，宁德时代（300750）、工业富联（601138）等这几只独角兽集体回暖也对次新股人气构成不小提 ...展开全文c', '2018-06-26 02:12:10')
('$中国软件 sh600536$ $太极股份 sz002368$ $浪潮软件 sh600756$ $神州信息 sz000555$ ，虽然神州信息最早上板，但是中国软件是日内核心，软件股是拉指数的最核心力量', '2018-06-26 00:37:24')
('6月26日 一句话午评热门板块：超跌个股，计算机软件，半导体， 高送转预期热门个股：乐视网，太极股份，兆易创新，退市吉恩，神州信息，000555妖股：上海凤凰，超频三策略：指数依旧延续昨日下跌惯性，但是盘中看到了很有趣的现象，个股跌不动了，超跌个股的 ...展开全文c', '2018-06-25 23:58:45')
('创业板指涨1.6%收复5日线，科技股全线复苏，三大股指受外盘大跌影响均大幅低开，无板块领涨；随后创业板在科技和通信股的全线回暖下单边拉升，芯片、软件股带领计算机板块掀涨停潮，兆日科技、太极股份、中国软件等近10股涨停；工业互联网等通信股表现亮眼，东土科技、海得控制双双封板；军工股集体走 ...展开全文c', '2018-06-25 23:44:20')
('发布了头条文章：《集体反弹，遍地黄金：海立股份+新 和 成+太极股份》$海立股份 sh600619$ $新和成 sz002001$ $太极股份 sz002368$ #股票分析# |集体反弹，...', '2018-06-25 23:40:14')
('今天科技股真不错太极股份、中国软件、海得控制、神州信息、东土科技等人气科技股涨停前段时间我给大家提示，哪类个股如果意外遭到市场杀跌可以抗住其中一类就说了是有预期的科技股就比如说软件股、芯片股、人工智能等、国家的发展方向就在此势必会反复出现政策，遭到资金炒作如果深套再止损割肉 ...展开全文c', '2018-06-25 23:00:54')
('软件股今天也大幅反弹，太极股份、中国软件相继涨停，超图软件、浪潮软件、用友网络、长亮科技等大幅走强。早盘，题材以及开始出现明显的反攻。', '2018-06-25 22:59:34')
('【科技股集体大涨 创业板涨1%】早盘两市分化，蓝筹集体大跌，科技股集体低开高走，带领创业板涨1%；软件板块领涨，中国软件等涨停，云计算、工业互联网、芯片、集成电路、人工智能等集体大涨，太极股份、神州信息、兆日科技、宜通世纪、海得控制等涨停。如果资金能够持续从高处流 ...展开全文c', '2018-06-25 22:57:40')
('2018年6月26日9点30到10点30盘面：强势板块：高送转预期：金奥博、中大力德、雪浪环境、振静股份次新股：南京证券、新锐科技、越博动力、宏川智慧国产软件：中国软件、太极股份、超图软件、浪潮信息新能源车：坚瑞沃能、何康新能、安凯客车、新锐科技、越博动力、京威股份工业互联网：宜通世纪、 ...展开全文c', '2018-06-25 22:55:17')
('太极股份这会儿也要涨停了，自主可控分支全面启动。', '2018-06-25 22:55:10')
('芯片、软件、半导体等科技股成为了今日资金主打方向， $中国软件 sh600536$ 、用友网络、太极股份等普涨。', '2018-06-25 22:48:09')
('有资金从银行、地产中流出。流出的这部分资金去哪了？ 我猜想很可能流入创蓝筹里了，自选股中中国软件、用友网络、太极股份这类“自主可控”、也是我们的创蓝筹今天大涨。', '2018-06-25 22:39:34')
('权重领跌 上证50指数跌逾2%：上证50指数跌逾2%，地产、钢铁、煤炭、水泥建材、银行、保险等权重板块跌幅靠前。国产软件走强：国产软件走强，中国软件涨停，汉得信息、太极股份、浪潮软件、超图软件、北信源、用友网络等涨幅靠前。', '2018-06-25 22:38:40')
('重仓股吃肉，舒服！所以不要看其他人吹嘘，买了什么股，涨停什么的，他买了100股，涨停也没赚什么，所以仓位是第一位的事情。盘面与2月初的下跌很相似，这里没有太大的风险，大盘股补跌，2800点要破一下的，这是好事。国产软件板块逆市大涨，中国软件涨停，浪潮软件涨逾7%，太极股份、浪潮信息涨 ...展开全文c', '2018-06-25 22:38:06')
('国产芯片异动兆日科技(300333)+10.06%富瀚微(300613)+3.03%海特高新(002023)+4.77%东土科技(300353)+6.05%盈方微(000670)+3.31%兆易创新(603986)+3.95%国产软件走强，中国软件涨停，汉得信息、太极股份、浪潮软件、超图软件、北信源、用友网络等涨幅靠前。', '2018-06-25 22:36:07')
('【国产软件板块逆市大涨 中国软件涨停】6月26日早盘，国产软件板块逆市大涨。截至发稿，板块指数涨逾3%，个股方面，中国软件涨停，浪潮软件涨逾7%，太极股份、浪潮信息涨逾5%。', '2018-06-25 22:30:49')
('创业板指数低开高走，准备翻红！板块方面，国产软件领涨，中国软件、北信源、华胜天成、太极股份等表现。不过今日大盘指数创下新低就是不妙，创业板指数短期内很难走出单边上涨行情，建议控制好仓位，多看少动。', '2018-06-25 22:13:28')
('发布了头条文章：《太极股份002368： 主力强势出击，卧虎藏龙冲龙虎榜！！》 $太极股份 sz002368$ \ue627 短线牛股 #财经头条文章# #投资达人说# |太极股份00...', '2018-06-25 22:10:17')
('发布了头条文章：《A股空头肆虐引暴跌 ：凯发电气 超频三 太极股份 当代明诚》 $凯发电气 sz300407$ $超频三 sz300647$ $太极股份 sz002368$ $当代明诚 sh600136$ #股票# #上证快讯# |A股空头肆...', '2018-06-23 02:15:25')
('这周股票大跌，不敢买，庄园牧场盈亏比例－14.12％ 四川双马盈亏比例－24.84% 太极股份－31.55% @陇西董彦峰', '2018-06-21 22:46:11')
('发布了头条文章：《计算机系列之六：太极股份》 |计算机系列...', '2018-06-19 06:13:03')
('太极股份10家机构调研', '2018-06-15 20:48:51')
('发布了头条文章：《002368 太极股份：被严重低估了，近期有望直线拉升！》 \ue627 微博股票 \ue627 股票短中长线 $太极股份 sz002368$ |002368 太...', '2018-06-15 09:50:53')
('发布了头条文章：《600325华发股份 股票在上升之前, 会有哪些信号?》\ue627 股票分析 #股票抓涨停# #短线牛股# #交通银行 sh601328[股票]# #太极股份 sz002368[股票]# |600325华发...', '2018-06-15 05:39:16')
('股票只要遇到“单阳不破”形态,定是大牛股,千万别急着卖出 $汉王科技 sz002362$ $太极股份 sz002368$ $科远股份 sz002380$ $天原集团 sz002386$ 论A股堂的...', '2018-06-15 04:36:04')
('发布了头条文章：《一场资本阴谋游戏开始：汉王科技 太极股份 科远股份 天原集团》 $汉王科技 sz002362$ $太极股份 sz002368$ $科远股份 sz002380$ $天原集团 sz002386$ $上证指数 sh000001$ |一场资本阴...', '2018-06-14 23:14:51')
('年度黑马来袭？生物股份+科蓝软件+太极股份+川化股份,$生物股份 sh600201$ $科蓝软件 sz300663$ $太极股份 sz002368$ $川化股份 sz000155$ #个股推荐与走势分析# #短线牛股# #上证指数 sh000001[股票]# 月落玩财经...', '2018-06-14 22:36:10')
('前面牛逼如太极股份等，今天都开始直接闪崩，流动性有问题。', '2018-06-14 22:06:12')
('发布了头条文章：《太极股份002368 ：股价喋喋不休予以何为？后市此点将至关重要》 $太极股份 sz002368$ #太极股份 sz002368[股票]#微博股票[超话]#微博股票热议榜#股票分析[超话]#股票最热门# |太极股份00...', '2018-06-14 21:26:07')
('近日，园区企业视联动力和太极股份共同签署了战略合作协议，双方将全面推广“太极•视联网 ”建设，并成立“联合创新中心”。双方将投入双方各自的优势资源，组织专业的团队，在多个重点行业共同推动双方产品、技术、服务深度合作，预示着双方合作将迈上一个全新的台阶。', '2018-06-14 02:29:51')
('智讯财富版：关闭次高端白酒热点组合，新设科创自主化热点组合调入北方华创、太极股份、浪潮信息；互联网金融热点组合调入东方财富、恒生电子。仅供参考。', '2018-06-12 22:56:07')
('推荐了$太极股份 sz002368$ ，什么政务云。这两年军工券商好淡！ |吉林·珲春...', '2018-06-12 07:07:00')
('发布了头条文章：《赫美集团 汉王科技 太极股份 丽鹏股份：是机遇还是徒劳无功？》 $赫美集团 sz002356$ $汉王科技 sz002362$ $太极股份 sz002368$ $丽鹏股份 sz002374$ $上证指数 sh000001$ |赫美集团 ...', '2018-06-11 10:42:02')
('发布了头条文章：《重磅利好消息：台海核电 康力电梯 太极股份 卓翼科技》 |重磅利好消...', '2018-06-10 22:00:07')
('发布了头条文章：《下周操作策略：安妮股份+太极股份+吉大通信》 $安妮股份 sz002235$ $太极股份 sz002368$ $吉大通信 sz300597$ \ue627 股票分析 |下周操作策...', '2018-06-09 22:46:48')
('发布了头条文章：《A股下周挣脱束缚：太极股份 东宏股份 民和股份 利安隆 》 #新浪股吧# #上证快讯# $太极股份 sz002368$ $东宏股份 sh603856$ $民和股份 sz002234$ $利安隆 sz300596$ |A股下周挣...', '2018-06-07 23:46:26')
('金融云：航天信息、神州信息、长亮科技、东华软件、高伟达、润和软件、恒生电子、赢时胜等；医疗云：东华软件、卫宁健康、万达信息、思创医惠、东软集团、创业软件、久远银海等；工业云(工业互联网)：用友网络、东方国信、宝信软件、汉得信息、赛意信息等；政务云(数字中国)：太极股份、东华软件、 ...展开全文c', '2018-06-06 02:21:29')
('没事小崔搞混属于正常，还有太极股份，太极集团，一个电子一个医药。新华制药，新华医疗，一个上证一个深证，都是淄博的。还有三星医疗、三鑫医疗。联创光电、联建光电。 安记食品、安井食品。银河磁体、银河生物、银河电子。银轮股份、银龙股份、银都股份、银邦股份、银江股份。中远海发、中远海控、 ...展开全文c', '2018-06-05 04:45:48')
('发布了头条文章：《太极股份+粤传媒+海欣食品，后市行情还将如何演绎？》\ue627 股票 #新浪股吧# #新浪看点# #头条文章# #上证指数# $太极股份 sz002368$ +$粤传媒 sz002181$ +$海欣食品 sz002702$ |太极股份+...', '2018-06-03 02:55:01')
('发布了头条文章：《太极股份002368：遭到获利资金集中了结，主力能否杀回马枪？》 \ue627 财经头条文章 \ue627 股票分析 $太极股份 sz002368$ 太极股份002368：遭到获利资金集中了结，主力能否杀回马枪？ |太极股份00...', '2018-06-01 10:06:25')
('1）工业云（工业互联网），龙头：东方国信、用友网络、宝信软件、汉得信息、赛意信息2）政务云（数字中国），龙头：国家队：太极股份，中国软件，浪潮信息，浪潮软件，东软集团，神州数码，神州信息，航天信息，东华软件，紫光股份，中科曙光，易华录体制改革：数字政通，辰安科技等 ...展开全文c', '2018-05-30 22:13:18')
('发布了头条文章：《主力吹响反攻号角：太极股份 丽江旅游 宏图高科 银河磁体》 $太极股份 sz002368$ $丽江旅游 sz002033$ $宏图高科 sh600122$ $银河磁体 sz300127$ \ue627 股票分析 \ue627 微博股票 #个股专业点评# #头条文章# |主力吹响反...', '2018-05-30 05:11:40')
('$太极股份(002368)$目前处于下跌调整阶段，留意下方28.8附近的支撑，尽量选择一些趋势向上的个股操作，仅供参考', '2018-05-29 22:20:21')
('国产替代都有哪些方向，芯片是一个，另外就是我们自主可控的方向。看到$中国软件 sh600536$ 、$太极股份 sz002368$ 开始纷纷上涨。', '2018-05-29 22:01:50')
('贸易战的开启，刺激了自主可控、芯片概念快速拉升，个股如紫光国芯、太极股份、上海贝岭等逆势拉升上涨。', '2018-05-29 21:55:04')
('益生股份依旧做t，继续看好，觉得马上变盘了，大概率往上，明天观察一下安妮股份，这几天有点异动，持仓，半仓益生股份，一层太极股份 |武汉·南湖•...', '2018-05-24 08:09:52')
('发布了头条文章：《A股最新走势：川恒股份 济川药业 太极股份 同方股份 通富微电》 \ue627股票 #新浪股吧# #新浪看点# \ue627头条文章 \ue627上证指数 $川恒股份 sz002895$ $济川药业 sh600566$ $太极股份 sz002368$ $同方股份 sh600100$ $通富微电 sz002156$ |A股最新走...', '2018-05-24 06:15:41')
('发布了头条文章：《A股最新走势：川恒股份 济川药业 太极股份 同方股份 通富微电》 \ue627 股票 #新浪股吧# #新浪看点# \ue627 头条文章 \ue627 上证指数 $川恒股份 sz002895$ $济川药业 sh600566$ $太极股份 sz002368$ $同方股份 sh600100$ $通富微电 sz002156$ |A股最新走...', '2018-05-24 05:07:19')
('清空了金牌志邦赚了20%，回吐了不少利润，加了点酱油榨菜，前几天融资买的海虹持有不动，今天又融资买了太极股份，很久没买过科技股了！抛跌跌不休金牌志邦加高高在上的酱油榨菜，这样的操作不知道会不会打脸？随它去吧，反正重仓的是茅台恒瑞爱尔通策。', '2018-05-24 03:20:18')
('发布了头条文章：《A股新一波行情出现：太极股份+罗牛山+安妮股份+盘龙药业》 |A股新一波...', '2018-05-23 02:15:10')
('发布了头条文章：《A股新一波行情出现：太极股份 庄园牧场 凯乐科技 中鼎股份》 #上证指数# #股票# #头条文章# #新浪看点# #新浪股吧# $太极股份 sz002368$ $庄园牧场 sz002910$ $凯乐科技 sh600260$ $中鼎股份 sz000887$ |A股新一波...', '2018-05-23 02:06:17')
('发布了头条文章：《庄家巨资抬轿龙头股,太极股份+振芯科技+勤上股份+闰土股份》$太极股份 sz002368$ $振芯科技 sz300101$ $勤上股份 sz002638$ $闰土股份 sz002440$ #热门股票推荐# #个股推荐与走势分析# #股票分析# |庄家巨资抬...', '2018-05-21 22:44:50')
('这不是推荐《一只小白的炒股笔记》$太极股份 sz002368$ 实在是初学做T的最美伴侣，两个波段的高点和低点差不太多。。。日线macd也快金叉了吧，周线似乎想来第二波，月线金叉，但这庄一直很妖娆啊，没票的别乱追，这庄特别爱洗盘，连皮带肉的。。。。$三六零 sh601360$ 跌伤了，肯定要磨擦一段时 ...展开全文c', '2018-05-21 04:00:30')
('【2018数字经济大会召开 机构抢先调研7家公司谋布局】5月份以来，机构频频走访数字经济相关领域上市公司，7家公司获机构重点关注，美亚柏科期间接待38家机构扎堆调研，太极股份、银江股份、紫光股份、星网锐捷、神州数码、易联众等6家公司也均有机构进行调研走访。网页链接', '2018-05-20 21:15:03')
('$太极股份(002368)$目前处于调整阶段，等待后市方向的选择。仅供参考', '2018-05-20 20:55:03')
('为了和无脑黑拉开差别，这一波呢也不能怪联想好吧，更不要说他没这个理想和能力了啦//@80后的北国风光:太极股份有国产操作系统//@八大山债人:国有操作系统？我比较无知，是各种linux么？//@阿猫阿狗干投行://@战争史研究WHS:这事有点向奇奇怪怪的方向发展过去了', '2001-09-08 21:46:40')
('抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接', '2018-05-20 09:35:36')
('凡是趁这波黑联想不爱国的，就是为了黑而黑，如果说联想做不出优秀的产品，这我信，你说联想在什么国际投票规则中不爱国，就是脑子不太灵光，也太低估我党的政治思想工作了//@八大山债人:回复@80后的北国风光:呵呵呵呵//@80后的北国风光:太极股份有国产操作系统//@八大山债人:国有操作系统？我', '2001-09-08 21:46:40')
('抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接', '2018-05-20 09:15:42')
('发布了头条文章：《太极实业002368：主力减仓出逃，后期暴跌已定？》#财经头条文章# #股市~a股~大盘~股票# #太极股份 sz002368[股票]# |太极实业00...', '2018-05-20 04:35:58')
('发布了头条文章：《下周妖王点金；滨化股份+天津普林+太极股份》 $滨化股份 sh601678$ $上证指数 sh000001$ #股票分析# #投资达人说# #财经头条文章# #.今日看盘.# |下周妖王点...', '2018-05-19 22:34:13')
('发布了头条文章：《机构再度锁仓金妖：星源材质+天津普林+太极股份+精测电子》$星源材质 sz300568$ $天津普林 sz002134$ $太极股份 sz002368$ $精测电子 sz300567$ #热门股票推荐# #个股推荐与走势分析# #短线牛股# |机构再度锁...', '2018-05-19 04:49:41')
('沪深软件股下挫，拖累创业板偏软0.49%，$中国软件 sh600536$ 中国软件急挫7%，浪潮信息跌3%，太极股份挫3.5%，用友网络跌0.7%，二三四五跌1.1%。', '2018-05-18 02:20:47')
('【5.18】5.18意思我要发，早盘平局出了太极股份。买入了三成中国银行。（原因:打新富士康）', '2018-05-17 23:31:59')
('今天跌幅前列的依然是昨天跌幅榜上的品种，早盘一度强势的啤酒板块跌幅第一，医药已经连续两天展开回调，白酒、航空也是如此，太极股份企稳发力，注意芯片龙头的表现', '2018-05-17 22:46:35')
