('安利股份 鸿利智汇 金运激光 银禧科技！#北大荒 sh600598[股票]# #超频三 sz300647[股票]# #贵州茅台 sh600519[股票]# 许楚沛分析...', '2018-07-24 04:36:25')
('中文在线300364、顺网科技300113 在2017年期间底部放量，可能是经过了充分的筹码交换。金运激光300220、中环股份002129 也是2017年期间底部放量的个股。如果不打压个股炒作，很多底部个股都可能连续涨停，毫无征兆。', '2018-01-24 18:17:49')
('发布了头条文章：《A股走势惊天大揭秘：金运激光 鑫茂科技 北新建材 泰格医药》 $金运激光 sz300220$ $鑫茂科技 sz000836$ $北新建材 sz000786$ $泰格医药 sz300347$ |A股走势惊...', '2018-01-19 02:22:17')
('苹果进军3D打印取得新进展，市场规模攀上百亿美元3D打印概念股：$南风股份 sz300004$ 、$光韵达 sz300227$ 、$苏大维格 sz300331$ 、$金运激光 sz300220$ 网页链接', '2018-01-17 19:49:40')
('公共交通小额高频支付，成阿里腾讯都关注的新风口点评：华铭智能、鼎汉技术互联网巨头加码海底光缆，行业景气周期有望提升点评：永鼎股份 、通光线缆、太阳电缆苹果进军3D打印取得新进展，市场规模攀上百亿美元点评：光韵达、苏大维格、金运激光中工国际 002051：截至2017年末海外业务在手合同余 ...展开全文c', '2018-01-17 19:38:38')
('发布了头条文章：《下周A股走势惊天揭秘：华工科技 海源机械 华中数控 金运激光》 |下周A股走...', '2018-01-14 10:00:37')
('金运激光、泳衣裁片自动下料机、激光切割机、印花智能定位裁剪机 金运激光、...', '2018-01-03 03:22:30')
('lace laser cutting machine 蕾丝花边切割机 经编花边切边机 金运激光切割机 lace laser...', '2018-01-03 03:20:37')
('我刚刚调仓了微博股票组合网页链接，委托卖出$金运激光 sz300220$。', '2018-01-03 02:44:12')
('买进了300221-银喜科技--300220-金运激光--601127小康股份', '2017-12-29 01:33:01')
('前天分享贵州燃气明天操作策略！博创科技 宝莫股份 大理药业 $贵州燃气 sh600903$ $博创科技 sz300548$ $宝莫股份 sz002476$ #大理药业 sh603963[股票]# 招商轮船晶华新材上海钢联雪浪环境三夫户外四川美丰开尔新材振华重工世纪星源上证指数达 意 隆金运激光思创医惠博济医药欢瑞世纪太钢不锈伟星新材 ...展开全文c', '2017-12-26 06:52:58')
('大数据盘中异动，临近尾盘再度拉升，银信科技三天两实体板，海量数据冲击涨停，中新赛克、荣科科技、美亚柏科、航天信息等大涨。此外，黄金（西部黄金、银泰资源）、实体经济（徐工机械、金运激光）均有反弹。', '2017-12-14 01:47:35')
('【3D打印板块走强，电光科技涨停】3D打印板块走强，电光科技午后涨停，爱司凯和金运激光涨幅接近6%，光韵达涨幅超4%。消息面上，13日，工信部、发改委等十二部门联合印发《增材制造(3D打印)产业发展行动计划(2017-2020年)》，提出到2020年，增材制造产业年销售收入超过200亿元，年均增速在30%以上； ...展开全文c', '2017-12-14 01:26:11')
('【概念股关注】金运激光$金运激光 sz300220$ 、光韵达$光韵达 sz300227$ 、$上证指数 sh000001$ #股票# #实战师—陈国生#', '2017-12-13 22:21:52')
('2017年12月14日9点30到10点30盘面：强势板块：ST：ST众合、ST中安、 涨停9只3D打印：电光科技、艾司楷、南风股份、金运激光大数据：银禧科技、荣科科技、天玑科技、海量数据黄金：西部黄金、银泰资源、赤峰黄金、燃气：安彩高科、贵州燃气、佛燃股份、新天然气、大众公用 ...展开全文c', '2017-12-13 21:36:17')
('【3D打印概念股走强 分析：该产业有望迎快速发展】今日早盘，3D打印概念股快速走强，截至发稿，金运激光涨6.24%，银邦股份涨5.20%，金运激光，南风股份，光韵达，电光科技，海源机械，爱司凯，大族激光等股均有不错表现。|3D打印概念...有分析认为，随着3D打印技术的发展和我国政策的大力支持，3D ...展开全文c', '2017-12-13 21:06:02')
('$金运激光 sz300220$ 直接打涨停才对，别怂了，勇敢上', '2017-12-13 20:43:20')
