('发布了头条文章：《通达股份+红豆股份：庄家再出幺蛾子！机构45亿锁仓，定成18年首席大》 $通达股份 sz002560$ $红豆股份 sh600400$ #今日看盘# #股票# |通达股份+...', '2018-07-23 10:59:55')
('这些时候的股运是相当差。一直持有的山东地矿，之前一直在重组说不会被ST，尼玛换了个财务说利润还是负数，2018年开始ST；一个跌停出来，买了个豫能控股，第二天说全年利润大减，一季度利润大减，开盘亏了3%出来；还有我那个通达股份，一会增发一会不增发；圣阳股份，重组了快一年，昨天说不重组了。', '2018-04-23 20:21:40')
('发布了头条文章：《通达股份002560：主力资金最新动向，将这样操作！》#微博财经# #财经头条文章# $通达股份 sz002560$ 通达股份002560：主力资金最新动向，将这样操作！ |通达股份00...', '2018-04-23 07:54:12')
('发布了头条文章：《002560（通达股份）002561（徐家汇）002562（兄弟科技）》 |002560（通...', '2018-04-16 22:12:04')
('发布了头条文章：《主力强势追击：朗玛信息+合力科技+科融环境+通达股份》 |主力强势追...', '2018-04-12 21:31:45')
('发布了头条文章：《主力惊天阴谋揭露：通达股份 大禹节水 ST保千里 敦煌种业》 $通达股份 sz002560$ $大禹节水 sz300021$ $ST保千里 sh600074$ $敦煌种业 sh600354$ #上证快讯# #头条文章# #微博股票热议榜# #股票# |主力惊天阴...', '2018-04-12 05:39:02')
('【通达股份一季度净利预计同增30%-50%】#金融下午茶# 3月30日，河南通达电缆股份有限公司（以下简称“公司”）发布2018 年第一季度业绩预告，业绩预告显示，公司一季度业绩预计同比上升，归属于上市公司股东的净利润为611.12万元-705.14万元，去年同期为470.09万元，同比上涨30%-50%。 ...展开全文c', '2018-03-30 05:09:16')
('【停牌个股】无【复牌个股】商业城、特尔佳、麦迪电气、通达股份', '2018-03-29 21:47:49')
('川投能源获长江电力举牌，持股达5%；通达股份董事会审议通过定增预案；嘉泽新能拟25亿元收购中盛光电100%股权，拟500万元参股新能源区块链技术公司；科大智能拟定增募资14.7亿加码高端机器人；麦迪电气拟4.8-5.8亿元收购其持有的麦迪医疗80%股权；上海电气拟1.98亿元收购上海舒勒79.39%股权；阳光能源 ...展开全文c', '2018-03-29 21:40:18')
('商业城、特尔佳、通达股份、麦迪电气、上海三毛今日复牌。', '2018-03-29 21:40:04')
('限售解禁：002225 濮耐股份 002320 海峡股份300204 舒泰神002616 长青集团300229 拓尔思002682 龙洲股份000553 沙隆达A603041 美思德300269 联建光电603636 南威软件300504 天邑股份 002503 搜于特300291 华录百纳601021 春秋航空停牌中再资环、联美控股、和晶科技复牌特尔佳、通达股份、麦迪电气 ...展开全文c', '2018-03-29 21:14:19')
('今日交易提示新股申购无停牌中再资环、联美控股、和晶科技复牌特尔佳、通达股份、麦迪电气、上海三毛、德新交运', '2018-03-29 21:09:28')
('3.30【停复牌】停牌：中再资环、和晶科技、联美控股复牌： ...展开全文c', '2018-03-29 21:05:00')
('今起复牌：○ 特尔佳 002213：终止筹划重大资产重组 股票复牌○ 通达股份 002560：董事会审议通过定增预案 股票复牌○ 麦迪电气 300341：拟收购其持有的麦迪医疗 80%股权 股票复牌○ 商业城 600306：终止重大资产重组 股票复牌#微博股票# #今日看盘#', '2018-03-29 20:20:22')
('【停/复牌、解禁股数据】复牌个股：德新交运、商业城、特尔佳、麦迪电气、通达股份停牌个股：和晶科技、联美控股解禁个股：拓尔思、联建光电、濮耐股份、舒泰神、长青集团、龙洲股份、海峡股份、美思德、海峡股份（注：以上数据截至22：00，以沪深市场交易当日公布最终数据为准，仅供参考！）', '2018-03-29 12:48:46')
('通达股份公告，公司拟向包括公司副总经理任健在内的不超过10名特定投资者非公开发行股票不超过85,381,390股，募集资金总额不超过74,000万元。公司副总经理任健以自有资金2,000万元认购，其余部分面向除任健外的不超过9名特定投资者竞价发行。扣除发行费用后募集资金净额全部用于航空零部件制造基地建设 ...展开全文c', '2018-03-29 09:46:28')
('发布了头条文章：《利好消息：亚威股份 通达股份 徐家汇 兄弟科技 森马服饰》 |利好消息：...', '2018-03-29 07:29:32')
('【今起停牌】通达股份、闽发铝业、欧比特【今起复牌】光环新网、大富科技、香山股份、司尔特、隆平高科', '2018-03-18 20:28:32')
('停复盘公告：复牌公司：龙星化工、乐视网、天华超净、万兴科技、菲达环保、八一钢铁、兰州民百停牌公司：通达股份、国投中鲁', '2018-03-15 21:19:50')
('今起停牌：通达股份 002560：停牌筹划非公开发行。#微博股票# #今日看盘#', '2018-03-15 21:16:02')
('限售解禁：300164 通源石油600926 杭州银行002436 兴森科技 002124 天邦股份300300 汉鼎宇佑复牌龙星化工、乐视网、天华超净、万兴科技、菲达环保、八一钢铁。...展开全文c', '2018-03-15 21:13:12')
('复牌龙星化工、乐视网、天华超净、万兴科技、菲达环保、八一钢铁。停牌通达股份。', '2018-03-15 21:05:29')
('【停/复牌、解禁股数据】复牌个股：龙星化工、万兴科技、八一钢铁、天华超净、乐视网、菲达环保、兰州民百停牌个股：通达股份解禁个股：通源石油、兴森科技、黑芝麻、汉鼎宇佑、天邦股份、杭州银行（注：以上数据截至22：00，以沪深市场交易当日公布最终数据为准，仅供参考！）', '2018-03-15 10:32:26')
('通达股份：拟非公开发行募集资金总额预计5-10亿元，募集资金拟主要投向航空零部件制造基地项目，用于扩大公司航空零部件产能规模，股票停牌。', '2018-03-15 05:54:30')
('我刚刚调仓了微博股票组合网页链接，以成交价6.83卖出$通达股份 sz002560$。', '2018-03-14 23:29:57')
('发布了头条文章：《通达股份002560:趋势已准确无误!》 #股票##微博头条# |通达股份00...', '2018-03-14 03:57:34')
('发布了头条文章：《通达股份002560：庄家多次布局，主力重金锁仓，有望荣登18年妖王宝》 #通达股份 sz002560[股票]# #乐视网 sz300104[股票]# #今日话题# #明日头条征文# |通达股份00...', '2018-03-13 23:56:16')
('发布了头条文章：《A股最新解析:300298 三诺生物 002560 通达股份 300684 中石科技 》 #上证快讯# #新浪股吧# #新浪微博头条# #微博股票热议榜# $三诺生物 sz300298$ $通达股份 sz002560$ $中石科技 sz300684$ |A股最新解...', '2018-03-13 22:49:26')
('个股利空：通达股份终止定增事项；重庆燃气终止投资合江县LNG综合利用项目；百川能源、任子行、天华超净股东减持；仙坛股份、普丽盛、激智科技股东拟减持。', '2018-03-13 21:51:40')
('个股利空：华能国际2017年盈利近18亿元 同比下滑逾八成；空港股份2017年净利润同比下滑44%；利群股份提示风险：与腾讯云、启明星的合作尚处于探索阶段；通达股份：终止非公开发行股票事项；重庆燃气：终止投资合江县LNG综合利用项目；仙坛股份遭减持。', '2018-03-13 21:19:03')
('上周整理的票早盘出现了反弹， $智慧农业 sz000816$ 、 $农发种业 sh600313$ 、通达股份、桐昆股份等，但力度都一般！不要随意参与，整理充分的有色、煤炭板块多留意，不要嫌慢，这类股这个阶段是相对安全的，如果中小创个股调整很多是要砸20个点之上的，你想考虑下你能否承受 #今日看盘# #投资达人说# ...展开全文c', '2018-03-12 23:19:30')
('发布了头条文章：《通达股份(002560)短期没戏，董事长还没增持完怎会大涨？等下半年吧…》 $通达股份 sz002560$ #新浪财经# #新浪股吧# #微博股票# |通达股份(0...', '2018-03-12 22:16:53')
('发布了头条文章：《002560 通达股份：主力加速赶顶中，抓住最后一波赚钱机会》 $通达股份 sz002560$ #财经头条# |002560 通...', '2018-03-03 22:34:18')
('发布了头条文章：《通达股份600100 ：主力暴力洗盘或是上车良机？本周此点将至关重要》 $通达股份 sz002560$ #股票分析#微博股票# |通达股份60...', '2018-03-03 22:06:41')
('发布了头条文章：《002560通达股份：重磅利好，业绩预增+大手笔增持，将翻倍上涨》 #股票分析# #财经头条# #股票# $通达股份 sz002560$ |002560通达...', '2018-02-27 19:55:09')
('#通达股份 sz002560[股票]# 该股是军工个股，近期持续震荡上行，走势还不错，个股的重要压力是8元，如果能突破，未来空间很大', '2018-02-27 19:51:53')
('发布了头条文章：《通达股份002560 ：股价震荡暗藏主力大手笔，后市定让散户大吃一惊》 $通达股份 sz002560$ #股票分析#热门股票推荐#微博股票# |通达股份00...', '2018-02-27 02:38:22')
('发布了头条文章：《反光镜下看走势，永远都是错》 #暴风集团 sz300431[股票]# #通达股份 sz002560[股票]# #海普瑞 sz002399[股票]# 落袋为安。#艾比森 sz300389[股票]# #七匹狼 sz002029[股票]# #广汇物流 sh600603[股票]# 追买建仓 |反光镜下看...', '2018-02-26 03:26:15')
('002560 通达股份，看起来有点意思，如果指数稳健后可以考虑！$通达股份 sz002560$', '2018-02-25 21:02:23')
('发布了头条文章：《通达股份002560：最新消息流出，99%散户还在茫然！》$通达股份 sz002560$ #热门股票点评#热门个股#热门股票推荐# |通达股份00...', '2018-02-25 00:54:24')
('发布了头条文章：《乐视疯狂秀，手握镰刀要割谁的肉》 #乐视网 sz300104[股票]# #暴风集团 sz300431[股票]# #海普瑞 sz002399[股票]# #通达股份 sz002560[股票]# |乐视疯狂秀...', '2018-02-23 03:57:16')
('我刚刚调仓了微博股票组合网页链接，委托卖出$通达股份 sz002560$。', '2018-02-22 22:50:37')
('汇冠股份 承德露露 恒通股份 金达威 $汇冠股份 sz300282$ $承德露露 sz000848$ $恒通股份 sh603223$ #金达威 sz002626[股票]# #英搏尔 sz300681[股票]# 《莱美药业联得装备天邦股份！华平股份丽鹏股份沪电股份华录百纳！神思电子GQY视讯富临精工科恒股份！朗姿股份吉艾科技通达股份恒锋信息》 ...展开全文c', '2018-02-12 09:00:03')
('发布了头条文章：《震荡源头已查明：览海投资+东阳光科+通达股份》 |震荡源头已...', '2018-02-06 01:13:31')
('发布了头条文章：《通达股份002560：股价金针探底曝光主力做多意图，暴涨指日可待》 $通达股份 sz002560$ #微博股票#股票分析# |通达股份00...', '2018-02-05 09:54:30')
('发布了头条文章：《明日最新看点：荣安地产 通达股份 新亚制程 顺网科技》 #财经头条文章# #山西焦化 sh600740[股票]# #鲁抗医药 sh600789[股票]# #翔鹭钨业 sz002842[股票]# |明日最新看...', '2018-02-05 05:59:52')
('发布了头条文章：《本周A股走势分析：富瑞特装+中南建设+通达股份》 |本周A股走...', '2018-02-05 03:23:07')
('发布了头条文章：《主力最新揭秘：合盛硅业 通达股份 思源电气 滨化股份》 #财经头条文章# #大豪科技 sh603025[股票]# #华宏科技 sz002645[股票]# #恒源煤电 sh600971[股票]# |主力最新揭...', '2018-02-04 22:50:47')
('发布了头条文章：《通达股份002560 ：股价喋喋不休引来上车时机，此点操作可翻倍暴涨》 $通达股份 sz002560$ #股票分析#微博股票# |通达股份00...', '2018-02-04 01:54:40')
('发布了头条文章：《最新A股诊断：红太阳+德联集团+通达股份》 $红太阳 sz000525$德联集团 sz002666$通达股份 sz002560$ #股票#A股# |最新A股诊...', '2018-02-04 01:24:54')
('发布了头条文章：《主力阴谋最新揭秘：梅雁吉祥 阳光电源 平高电气 中国巨石》 #财经头条文章# #海正药业 sh600267[股票]# #通达股份 sz002560[股票]# #飞凯材料 sz300398[股票]# |主力阴谋最...', '2018-01-30 01:44:43')
('发布了头条文章：《A股疯狂走势精彩揭秘：东北电气 通达动力 美尚生态 银之杰》 $东北电气 sz000585$ $通达股份 sz002560$ $美尚生态 sz300495$ $银之杰 sz300085$ #上证快讯# |A股疯狂走...', '2018-01-29 02:44:28')
('发布了头条文章：《A股最新消息：春秋电子 方大炭素 京东方Ａ 通达股份》 #头条文章# #新浪股吧# #新浪财经# #新浪看点# $春秋电子 sh603890$ $方大炭素 sh600516$ $京东方Ａ sz000725$ $通达股份 sz002560$ |A股最新消...', '2018-01-29 02:39:08')
('发布了头条文章：《今日股市最新行情揭秘：格力电器 中信证券 张家港行 通达股份》 #微博头条文章作者# #新浪财经# #头条文章# #新浪看点# #新浪股吧# $格力电器 sz000651$ $中信证券 sh600030$ $张家港行 sz002839$ $通达股份 sz002560$ |今日股市最...', '2018-01-28 20:38:32')
('通达股份（002560）：实控人史万福拟增持0.2亿元-0.8亿元公司股份。#通达股份 sz002560[股票]#', '2018-01-28 20:07:00')
('1.29【增减持】通达股份：实控人拟增持2000万元-8000万元嘉欣丝绸：实控人之一致行动人拟增持不超2%股份奇信股份：股东减持337万股 持股比例降至5%以下', '2018-01-28 19:59:02')
('嘉欣丝绸(002404)实际控制人的一致行动人晟欣实业计划于未来6个月内，累计增持公司股份比例不超过总股本的2%。通达股份(002560)控股股东计划未来12个月内择机增持2000万元至8000万元', '2018-01-28 19:32:49')
('不难看出，沪深两市近日震荡加速，行业板块及概念板块轮动明显。在此背景下，部分个股依然强势不改，股价连续上涨。数据宝统计显示，93只个股连续上涨4天以上，其中5只个股连涨8天以上，分别是齐翔腾达、绿盟科技、中南文化、苏交科、通达股份。齐翔腾达连续上涨9天，该股连日来持续小幅上涨，但成交量 ...展开全文c', '2018-01-28 19:02:05')
('通达股份：实控人拟增持2000万元-8000万元通达股份28日晚间公告，公司控股股东及实际控制人史万福计划自2018年1月29日起十二个月内择机增持2000万元至8000万元人民币的公司股份。本次增持的总股数不超过公司总股本的2.00%。', '2018-01-28 18:57:58')
('公司高送，增持减持·高送转·健友股份年报拟10转3派1.5元精测电子年报拟10送5转5派5元...展开全文c', '2018-01-28 17:19:17')
('发表了博文《周末晚间公告汇总》【增减持公告】嘉欣丝绸(002404)：实控人的一致行动人拟增持不超过总股本的2%通达股份(002560)：控股股东计划增持2000万元至8000万元人民币【公告】网宿科|周末晚间公...', '2018-01-28 10:11:23')
('【增减持公告】#嘉欣丝绸 sz002404[股票]# ：实控人的一致行动人拟增持不超过总股本的 2%#通达股份 sz002560[股票]# ：控股股东计划增持 2000 万元至 8000 万元人民币', '2018-01-28 08:43:51')
('发布了头条文章：《A股下周最佳操作策略：南大光电 重庆建工 通达股份 东方雨虹》 #微博股票# #股票分析# #财经头条文章# $南大光电 sz300346$ $重庆建工 sh600939$ $通达股份 sz002560$ $东方雨虹 sz002271$ |A股下周最...', '2018-01-28 08:04:20')
('发布了头条文章：《主力最新揭秘：国电南瑞 北玻股份 歌尔股份 创兴资源》 #财经头条文章# #通达股份 sz002560[股票]# #劲拓股份 sz300400[股票]# #万林股份 sh603117[股票]# |主力最新揭...', '2018-01-27 22:38:52')
('#军民融合#周五军民融合板块也有不错表现，为行情锦上添花。四川九洲、金奥博、安达维尔、晨曦航空强势涨停，宏达电子、中兵红箭大涨5%，天海防务、新余国科、启明星辰、爱乐达均上涨4%以上，航天电子、久之洋、华舟应急、通达股份等个股亦有不同程度的上涨。消息面上，1月17日，新都区航空产业投资 ...展开全文c', '2018-01-25 04:21:09')
('发布了头条文章：《指数连阳，7成爆亏：如何躲开“胜利阴影”》 $通达股份 sz002560$ $上证50 sh000016$ #财经头条文章# #新浪股吧# |指数连阳，...', '2018-01-20 17:53:21')
('有点绝望的感觉！大盘今天终于止步十一连阳，白马股一再新高，每次添加自选关注的时候都跌，删除自选就涨。格力电器和海康威视算是典型。而自己的股，动不动碰上几连阴，前阵子大盘十一连阳，我的股却6连阴，今天大盘下跌，它却跌的比谁都快！西藏天路，中兵红箭，南山铝业，市北高新，通达股份，中通 ...展开全文c', '2018-01-19 01:44:02')
('【2018年以来公布增持计划的上市公司名单】参考数据宝整理，2018年以来公布增持计划的上市公司名单，包括*ST昌九、广誉远、三德科技、*ST丹科、同德化工、云内动力、亚星化学、红豆股份、交大昂立、通达股份、文投控股、通达动力、风神股份、宁波韵升... 网页链接', '2018-01-15 02:08:16')
('达安股份：中标中国移动8.85亿采购项目。赫美集团：拟将以不超过2.5亿元的股权转让款、不超过1.5亿元的增资款的总交易对价受让新尚品持有的尚品网90%股权、和诚宇信100%股权。浩物股份：拟收购内江鹏翔100%股权。迦南科技：正在筹划购买资产事项预计交易金额为12-18亿。通达股份：总经理曲洪普计划增持 ...展开全文c', '2018-01-10 18:39:11')
('午间公告：迦南科技停牌筹划购买现代服务业资产，交易额12至18亿；恺英网络停牌筹划重大资产重组；香山股份停牌筹划购买设备制造业资产；东方园林联合中标总投资9.2亿的PPP项目；达安股份预中标中移动采购项目，金额8.85亿；通达股份总经理拟增持股份；赫美集团子公司拟受让尚品网90%及和诚宇信100%股 ...展开全文c', '2018-01-08 00:07:23')
('【午间公告】 通达股份：收到秘鲁PDI产品供货合同，合同金额计2880万美元，另外中标缅甸联邦共和国国家电力和能源部输配线路项目，中标金额606.8万美元。 蓝光发展：发布重要事项，午后停牌 青岛啤酒：澄清公告：公司产品大幅提价报道严重失实', '2018-01-07 23:54:33')
('【午间公告】通达股份：收到秘鲁PDI产品供货合同，合同金额计2880万美元，另外中标缅甸联邦共和国国家电力和能源部输配线路项目，中标金额606.8万美元。雄韬股份：拟在山西省大同市投资不少于30亿元建设氢能产业园项目，公司同时拟投资10亿元在湖北赤壁高新区投资建设电池绿色环保回收再利用项目。...展开全文c', '2018-01-05 00:05:38')
('【午间公告】1、东方园林中标9.85亿PPP项目2、通达股份中标2.27亿元海外项目3、东方雨虹高管集体减持4、雄韬股份拟30亿投资氢能项目', '2018-01-05 00:04:29')
('【午间公告】1，通达股份：收到秘鲁PDI产品供货合同，合同金额计2880万美元2，雄韬股份：拟在山西省大同市投资不少于30亿元建设氢能产业园项目3，东方园林：与子公司组成的联合体中标9.85亿元PPP项目。', '2018-01-05 00:00:29')
('通达股份，后市下跌。', '2018-01-02 23:02:29')
('$通达股份 sz002560$ 进入新平台，突破走高', '2017-12-31 00:05:37')
('本月又亏损超过8.6%，不过小账户倒是首次翻红了，虽然只有0.52%的收益。依然水逆的不行，通达股份，市北高新，国科微，南山铝业都是卖掉之后马上上涨，连续红几天，中通客车也是再次完美错过。换股索菱股份也是就买入当时上涨，一度亏损两千有余，最后一个交易日总算稍微回来一点。买了国债逆回购，免 ...展开全文c', '2017-12-29 02:36:09')
('江西铜业 湘电股份 中超控股 天润曲轴 $江西铜业 sh600362$ $湘电股份 sh600416$ $中超控股 sz002471$ $天润曲轴 sz002283$ 道森股份渤海金控莱茵生物格力地产凯莱英双林股份中科三环冀东装备利达光电万马科技中集集团永安药业牧高笛神剑股份飞马国际银江股份新开源湖北宜化杭氧股份梦洁股份通达股份 ...展开全文c', '2017-12-27 01:40:13')
('探低回升，军民融合板块异动拉升，$中兵红箭、$通达股份、$北化股份、$光威复材等冲高。', '2017-12-26 04:26:15')
('发布了头条文章：《主力阴谋最新揭秘:国电南瑞+宏发股份+宇环数控+延江股份》 #财经头条文章# #通达股份 sz002560[股票]# #韶钢松山 sz000717[股票]# #皇马科技 sh603181[股票]# |主力阴谋最...', '2017-12-21 10:21:01')
('发布了头条文章：《最新黑马来袭：安图生物+国电南瑞+绿地控股+宏发股份》 #财经头条文章# #赣锋锂业 sz002460[股票]# #通达股份 sz002560[股票]# #纵横通信 sh603602[股票]# |最新黑马来...', '2017-12-21 03:47:06')
('发布了头条文章：《主力蠢蠢欲动：通达股份+金桥信息+远大控股》 |主力蠢蠢欲...', '2017-12-21 01:33:24')
('【12月11日午间公告】1、粤水电：控股股东水电集团与广东省建工集团合并，建工集团作为合并后的新主体。此次改革重组主要为集团层面重组合并，暂不涉及公司经营业务变化2、通达股份：预中标国家电网2017年第二次配网线路材料协议库存招标，总价值共6529.08万元3、铜陵有色：与中国航发资产、中国 ...展开全文c', '2017-12-11 00:14:02')
('的确是心乱到极点。本想好好静下心来，却真的有点无法淡定了。横盘长达几个月之久的通达股份，看见军工崛起的机会再次买入潜伏，结果其他军工涨，它跌，军工跌它也跌，跌完波动小到极致，无法做T卖出，怕发生以往的卖出就涨，留了三分之一多守了一个星期，依旧不动，卖出，然后立即开涨，连续涨两天， ...展开全文c', '2017-11-30 02:58:24')
('#投资达人说# #今日看盘# $通达股份 sz002560$ 通达股份是短信黑嘴票，注意回避，谨慎追高！', '2017-11-29 03:01:43')
('掘金敢死团：002560通达股份11月29日 中午13：00 ，切勿追高,敬请关注!', '2017-11-28 22:30:37')
('山西经纬通达股份有限公司 自备敞箱 全路首发 欢迎各大老板来我公司发运！！ |朔州·小平...', '2017-11-23 03:49:32')
