('东江环保 西部证券 兴业科技 东诚药业 顺威股份 股海大咖的...', '2018-07-24 04:10:19')
('一文告诉你，士兰微：股价下跌，是出货还是蓄意洗盘？妖王就要这样完蛋了#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 王鹏分析的...', '2018-06-25 08:07:17')
('东江环保操作员的界面可以直接打开参数设置，对监测废气的各种参数如量程、斜率等参数进行修改。目前，江西丰城市已经要求企业停产整治，这家企业包括法人在内的多名责任人被江西丰城市公安局刑事拘留。', '2018-06-25 08:02:07')
('发布了头条文章：《晨鑫科技 东江环保 华平股份 聚龙股份：底部异动，静待佳音？》$晨鑫科技 sz002447$ $东江环保 sz002672$ $华平股份 sz300074$ $聚龙股份 sz300202$ \ue627 股票 #上证指数 sh000001[股票]# |晨鑫科技 ...', '2018-06-25 07:28:20')
('$东江环保 hk00895$ 逆市上涨三月，遇利空一夕创出新低，足见熊市利空杀伤力之大，尤其是象这样的特别具有冲击力的舆论杀伤，对股票的伤害尤其严重。然而，慌乱之下必出昏招，暴跌之下还要跑路吗？我认为不必。理由如次。第一、负面消息影响范围可控，如无罚款，业绩几乎无影响。第二、如无对公司全局 ...展开全文c', '2018-06-25 07:19:47')
('【东江环保环保问题遭媒体曝光 深交所下发关注函】6月25日讯，今日央视报道东江环保存在污染物监测数据造假等问题，深交所当日下发关注函。深交所要求公司全面说明公司及各子公司的排污信息和环境监测方案执行情况；说明公司及各子公司停产整改的范围、时间，相关人员刑事拘留情况及对生产经营的影 ...展开全文c', '2018-06-25 06:14:51')
('#微江西#【央视曝光：丰城东江环保背后存在“猫鼠同盟”】东江环保是一家专业从事危险废物处置的上市企业，具备40多类危险废物经营资质，江西省政府公布的整改时限是2017年4月底。在江西丰城东江环保公司的处置现场，企业负责人表示，中央环保督察要求的整改措施都已经如期完成，目前企业运行正常，污 ...展开全文c', '2018-06-25 05:43:41')
('如何追涨龙头股？新手必学的弱势调仓换股技巧盘点#东江环保 sz002672[股票]# 颂娟评股的...', '2018-06-25 05:22:17')
('牛股形态骤然爆发:$金财互联 sz002530$ $东江环保 sz002672$ $九典制药 sz300705$ $金螳螂 sz002081$ \ue627 股票分析 #财经头条# #财经趣闻# 期待词组宁...', '2018-06-25 05:10:08')
('BOLL是股市唯一的赚钱指标，牢记三大口诀，天天抓牛股#东江环保 sz002672[股票]# 颂娟评股的...', '2018-06-25 05:04:03')
('【老陈收评】股指二次探底概率较大 信心恢复需要时间盘面综述：两市高开低走，尾盘沪指再度跳水，跌超1%；创业板指早盘持续高位震荡，午后翻绿。央行昨日正式宣布降准，并鼓励银行实施债转股项目，债转股概念股受追捧。人民币兑美元跌势扩大，航空股受挫，中国国航午后跌停。东江环保早间遭央视点名批 ...展开全文c', '2018-06-25 04:48:06')
('A股史上无所不能的“K线”铁律，散户一旦学会，日赚斗金妥妥的#东江环保 sz002672[股票]# 颂娟评股的...', '2018-06-25 04:31:39')
('骨灰级操盘手的终极感悟：什么样的股票容易涨停散户该如何追涨#东江环保 sz002672[股票]# 颂娟评股的...', '2018-06-25 03:50:02')
('在本轮大跌中，环保股都跌得惨不忍睹，只有东江环保逆势抗跌，恐怕和高毅资产的邓晓峰持仓有关，但今天该股被中央台点评后跌停。不知道在前期的放量震荡中，邓晓峰跑了没有？', '2018-06-25 03:24:59')
('东江环保今天引来黑天鹅#东江环保#', '2018-06-25 03:09:56')
('在线解盘，有需要解析的股票请将你的 【股票代码+成本价格】$晨鑫科技 sz002447$ $东江环保 sz002672$$奥飞娱乐 sz002292$ $宝德股份 sz300023$ 买进的注意了', '2018-06-25 02:35:40')
('解盘：人民币兑美元跌势扩大航空股受挫，中国国航跌9%。在经历七个一字跌停板后，中兴通讯今天打开跌停板。东江环保早间遭央视点名批评，闪崩跌停。比较强势的债转股概念大涨，陕国投A、闽东电力、信达地产、天津普林、海德股份、摩恩电气、长航凤凰涨停。债转股概念都是垃圾股，不需要考虑。中国国 ...展开全文c', '2018-06-25 02:22:04')
('（一）康尼机电此前并购龙昕科技，当时就被媒体曝光过问题。这周末出了个子公司龙昕科技违规担保三个多亿。联想到今早另一个雷东江环保的问题，江西子公司治理混乱，环保危废处置问题被曝光。', '2018-06-25 02:02:26')
('今日三大股指集体高开，早盘银行等权重板块走弱，沪指受此拖累逐渐下行，随后沿平盘线展开窄幅震荡；深成指持续高位震荡。人民币兑美元跌势扩大航空股受挫，中国国航跌6%。在经历七个一字跌停板后，中兴通讯今天打开跌停板。东江环保早间遭央视点名批评，闪崩跌停。', '2018-06-25 01:03:14')
('#东江环保# 东江环保A股跌停H股泻25% 遭官媒点名批评东江环保A股跌停H股泻25% 遭官媒点名批评 网页链接', '2018-06-25 00:45:06')
('实时播报：央视新闻直播间今日报道中央环保督察“回头看”，点名批评东江环保背后的猫鼠同盟。东江环保H股目前大跌19.4%，A股跌停。', '2018-06-25 00:38:25')
('这些公司都是骗子公司、专骗中．小散户投资者．中央政府和证监会有关部门负责人应该对这些公司和企业加重处罚！……尴尬！被央视点名批评后东江环保股价暴跌 国金证券却给买入评级 |尴尬！被央...分享自@和讯网#和讯网#', '2018-06-24 23:49:18')
('东江环保已经纳入本人的股票池，尚在观察中。好险.....！最怕这种不道德的公司！！！在A股市场，这样的风险即多又大...', '2018-06-24 22:22:25')
('$东江环保 sz002672 今日央视直播间报道东江环保背后的猫鼠同盟，中央环保督查非常严厉，A股跌停，港股跌接近20%', '2018-06-24 23:43:35')
('600872 这个股感觉很奇怪，不知道为什么。每次觉得合适，放到自选，我的个股都不太好。今天也是，周末放了自选，今天东江环保居然跌停。。。不得不止损了。 这个股跟我天克，我绝对不会买的 送给大家吧 查看图片', '2018-02-13 20:47:33')
('600872资金没有出逃迹象', '2018-06-24 23:33:21')
('2018年最郁闷的股民：持有1个月，血亏15万，股民：这年没法过了#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 王鹏分析的...', '2018-06-24 23:04:00')
('上周五开板的波导股份今天攻击跌停板，东江环保突然闪崩跌停。', '2018-06-24 22:48:13')
('$东江环保 sz002672$一个新闻就直接跌停。。处理总量远低于产出总量，叫环保企业怎么处理呢？看似对环保多严厉，问题出在哪里都不知道。还督查？', '2018-06-24 22:38:03')
('$东江环保 sz002672$ $东方时尚 sh603377$$聚龙股份 sz300202$ 闪崩。。。$中兴通讯 sz000063$ 开板，逃命的绝佳良机了', '2018-06-24 22:21:32')
('开盘缺乏上行动能转而向下，是转势还是回调，给大家解几支票，有持有的朋友在评论区留下你的脚印金正大 002470春秋航空 601021东江环保 002672大有能源 600403', '2018-06-24 22:16:41')
('发布了头条文章：《超级涨停潮震撼登场！002584西陇科学+002672东江环保+600682南京新》 $西陇科学 sz002584$ $东江环保 sz002672$ $南京新百 sh600682$ \ue627 股票分析 #热门股票推荐# #财经趣闻# |超级涨停潮...', '2018-06-24 22:16:33')
('$东江环保 sz002672$ 国金证券的研报一出，股票就跌停了？！太厉害了吧！ |昆明·五一...', '2018-06-24 22:00:16')
('中兴啊，东江环保啊，全是雷啊～～还是主账户抱着中国建筑稳当～～$东江环保 sz002672$', '2018-06-24 21:54:49')
('$东江环保 sz002672$ 任何脱离组织的单独行动，都是耍流氓。', '2018-06-24 21:44:45')
('东江环保猫鼠会？？？', '2018-06-24 21:44:12')
('今日东江环保跌停！ |丽水·松源...', '2018-06-24 20:20:20')
('发布了头条文章：《东江环保(002672)：超强龙头吸金筑底锁仓，后市有望逆势拉升！》$东江环保 sz002672$ #东江环保 sz002672[股票]# \ue627 微博股票 |东江环保(0...', '2018-06-24 11:02:59')
('发布了头条文章：《中航飞机+东江环保+华海药业，主力蓄势待发，后市展望精准预测》$中航飞机 sz000768$东江环保 sz002672$华海药业 sh600521$上证指数 sh000001$ |中航飞机+...', '2018-06-24 10:51:30')
('发布了头条文章：《华大基因 + 锦江股份+东江环保，震荡蓄势完毕,后势欲夺领涨大盘！》$华大基因 sz300676$锦江股份 sh600754$东江环保 sz002672$上证指数 sh000001$ |华大基因 +...', '2018-06-24 02:50:19')
('发布了头条文章：《东江环保（002672）：市场前景利好，后市行情将稳步拉升!》 $东江环保 sz002672$ \ue627 股票分析 #财经头条# |东江环保（...', '2018-06-24 02:03:57')
('发布了头条文章：《今世缘603369+东江环保002672：主力惊现大动作，散户千万规避风险》#财经头条文章# #今世缘 sh603369[股票]# #东江环保 sz002672[股票]# |今世缘6033...', '2018-06-23 10:43:39')
('发布了头条文章：《短线反弹行情开启：东江环保+迈克生物+中广核技》 |短线反弹行...', '2018-06-23 05:38:24')
('投机一次两次不难，从投机到投资的转换不是每个人都能做到，好比这次股灾，美亚光电和东江环保为什么没跌，现在的机会在哪里，工程机械板块有肉，次新这次周期指向两个月后了，股市没有神，大V不是照样吃面吗，稳健盈利方能穿越牛熊。', '2018-06-23 01:01:23')
('纪念第一次加班到三点。东江环保危废子公司的梳理告一段落了，我一定要把这个公司理顺，研究透彻，加油', '2018-06-22 15:22:35')
('东江环保危废处理行业龙头，无害化处理产能迅速增长 网页链接 下载请戳网页链接', '2018-06-21 22:05:04')
('海沧区卫生计生监督所对罚没物品进行集中销毁2018年6月14日，海沧区卫生计生监督所清点了近期打击非法行医行动中依法没收的药品、器械，并按程序移交给厦门东江环保科技有限公司进行无公害化集中销毁。销毁的罚没物品包括葡萄糖注射液、氯化钠注射液、头孢类注射液等药品，以及剪刀、镊 ...展开全文c', '2018-06-20 23:41:53')
('#6月21日券商晨会研报汇编#【东吴证券】环保工程及服务：去杠杆，关注资本金生成能力！建议关注：东江环保、国祯环保、伟明环保、中金环境；蓝焰控股、龙马环卫、龙净环保、聚光科技。网页链接', '2018-06-20 20:52:31')
('【刀客·观点】这几天我觉得没有什么可以说的，因为当前的行情变化更多和逻辑没有关系，完全受情绪和消息主导，明天是关键，等待随时操作，是走还是留，明天见分晓。昨天关注的东江环保眼睁睁看着他扶摇直上没有下手，主要还是从稳健角度出发，没有打出最后23%的仓位，今天减持格力5%，主要基于如果这里 ...展开全文c', '2018-06-20 11:00:39')
('#微博股票# #新浪财经# 蓝天保卫战，利好环保概念，今日盘中环保板块也有异动。伟明环保、三维丝，东江环保等都表现较强，且趋势没有被这次大跌破坏。最后一条预计对医药板块形成刺激，今日也是表现较强的板块，医疗器械服务等资金介入明显，还有机会！$上证指数 sh000001$', '2018-06-20 08:08:07')
('遭60家机构943亿疯狂买入，主力卷跑279亿巨款，上市将遭26个跌停 #汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-20 01:49:15')
('“重组”势必惨遭跌停，854万股民买进去被深套，小散：说好的20连 #汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-19 02:39:46')
('发布了头条文章：《下周前瞻：炒股与买球》 #今日复盘# #财经头条长文# #上证指数# $东江环保 sz002672$ $韵达股份 sz002120$ $京泉华 sz002885$ @微博股票毕竟本职还是财经股票博主，复盘是要写的，今晚三场世界杯的分析将在赛前给出。 |下周前瞻：...', '2018-06-18 06:27:53')
('3568万股挂跌停 6.4万股民疯狂出货！一天仅成交68手，谁都跑不了 #汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-16 03:07:06')
('发布了头条文章：《东江环保(002672)：神秘资金疯抢锁仓，节后有望常驻龙虎榜！》$东江环保 sz002672$ #东江环保 sz002672[股票]# \ue627 微博股票 |东江环保(0...', '2018-06-15 04:03:16')
('环保板块持续下跌，#东江环保 sz002672[股票]# 却能保持强势，值得注意', '2018-06-15 02:11:06')
('股市唯一不败的黄金组合：MACD+KDJ，牢记5条，轻松盈利 $宏辉果蔬 sh603336$ $云南能投 sz002053$ $东江环保 sz002672$ $航天长峰 sh600855$ 马旷盈的秒...', '2018-06-14 11:06:51')
('股市不会骗人的走势——三金叉见底，字字珠玑，建议散户收藏！$宏辉果蔬 sh603336$ $云南能投 sz002053$ $东江环保 sz002672$ $航天长峰 sh600855$ 马旷盈的秒...', '2018-06-14 10:43:57')
('遭游资6.58亿锁仓，目标五连板，主升浪即将开启#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-14 05:50:27')
('要闻掘金1） 国常会部署实施蓝天保卫战三年行动计划 关注概念股齐翔腾达、海越股份、东江环保、龙马环卫2） 电影市场又将迎来新机会 影视板块行情可期光线传媒、金逸影视、中国电影、横店影视...展开全文c', '2018-06-13 20:03:52')
('发布了头条文章：《重磅利好公布：东江环保(002672)、上海机场(600009)》$东江环保 sz002672$ #东江环保 sz002672[股票]# $上海机场 sh600009$ #上海机场 sh600009[股票]# |重磅利好公...', '2018-06-13 11:00:14')
('$宏辉果蔬 sh603336$ $云南能投 sz002053$ $东江环保 sz002672$ $航天长峰 sh600855$ 马旷盈的秒...', '2018-06-13 10:39:45')
('其他环保园林股都崩了，为什么东江环保在涨？难道就因为高毅的邓晓峰买了？', '2018-06-13 02:04:48')
('#深圳交警一线#6月13日上午，@深圳龙岗交警 组织警力走进年丰社区为 “东江环保”公司员工开展交通安全培训会议。民警结合真实案例普及交通安全知识，提升广大交通参与者文明交通意识，营造全社会共同关注交通安全的良好氛围。', '2018-06-12 22:40:18')
('发布了头条文章：《东江环保(002672)：神秘资金悄然筑底，后市有望强势拉升成妖！》$东江环保 sz002672$ #东江环保 sz002672[股票]# \ue627 微博股票 |东江环保(0...', '2018-06-12 22:36:20')
('A股主力上演疯狂套现大戏，仅5天减持18％，接盘的小散怕是真的要#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-12 05:40:46')
('#清水源 sz300437[股票]#周一,清水源逆势收涨9%。近期弱市下,一直弱鸡的环保板块更是接连重挫,但是以清水源、东江环保为代表的现金流很棒的环保股,其实正在悄悄上涨。区分于主流PPP公司,清水源是AH唯一的工业水全产业链标的,主业水处理剂(耗材)每年持续为公司供应稳定现金流和利润。近期公司发布可 ...展开全文c', '2018-06-11 10:48:05')
('年利润暴增98倍，独角兽又一妖股问世底部再现金叉，18年有望碾压#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-11 03:47:41')
('发布了头条文章：《下周走势力挽狂澜：东江环保 山东墨龙 酒钢宏兴 华泰股份》$东江环保 sz002672$ $山东墨龙 sz002490$ $酒钢宏兴 sh600307$ $华泰股份 sh600308$ \ue627 股票 #上证快讯# |下周走势力...', '2018-06-10 02:40:52')
('股民遭遇最恐怖“黑天鹅”，一天换手发疯89% ，跌停剧震玩哭千万#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-10 01:46:12')
('5万员工举债25亿抄底公司股票，没想连续遭遇7个跌停，这种公司不#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-08 09:47:57')
('上演“逆转”大戏，主力358巨资亿控盘，满仓介入！#汇金通#汇金通 sh603577[股票]##激智科技 sz300566[股票]##东江环保 sz002672[股票]##万隆光电 sz300710[股票]# 彭曲评股的...', '2018-06-08 02:04:02')
('发布了头条文章：《东江环保002672：外围大量资金注入，三大迹象显示主力上攻决心》 \ue627 财经头条文章 \ue627 股票分析 $东江环保 sz002672$ 东江环保002672：外围大量资金注入，三大迹象显示主力上攻决心 |东江环保00...', '2018-06-07 07:44:34')
('持仓日记20180606操作逻辑:1.上午出清上海银行和温氏股份2.下午出清东江环保。卖出价16.753.浙江龙盛今日尾盘放量，暂时留着再看看4.今日卖股原因是大盘没有动力缺少量能，走势有点看不懂了，另外新进品种走势也不及预期。 ...展开全文c', '2018-06-06 03:14:21')
('发布了头条文章：《明日最佳操作策略：东江环保+东方国信+创业软件》$东江环保 sz002672$东方国信 sz300166$创业软件 sz300451$ \ue627 股票A股[超话]# |明日最佳操...', '2018-06-05 05:20:55')
('持仓日记20180605操作逻辑:1.午市卖掉64.74卖掉中国平安，等待回调后买入。2.16.68加仓买入东江环保。3.尾盘新进两个品种，浙江东盛，温氏股份$上海银行 sh601229$ ，买入价15.66 ...展开全文c', '2018-06-05 04:30:22')
('【20180605】昨天收出“标志性K线”的个股，我关注的有：深圳华强，和兴包装，东江环保，同益股份，中公高科，福能股份等。', '2018-06-04 20:05:04')
('发布了头条文章：《002672 东江环保：资金不见转机，今日上攻或成回光返照？》 \ue627 短线牛股 \ue627 股票推荐 $东江环保 sz002672$ |002672 东...', '2018-06-04 12:04:45')
('发布了头条文章：《002672 东江环保：重磅利好强袭，短期股价将暴涨》\ue627 短线牛股 \ue627 股票推荐 $东江环保 sz002672$ |002672 东...', '2018-06-04 04:47:18')
('发布了头条文章：《东江环保002672 ：股价长阳突破暗藏主力大手笔，本周操作精准点评》 $东江环保 sz002672$ #东江环保 sz002672[股票]#热门股票点评#微博股票热议榜#热门股票推荐\ue627 股票分析 |东江环保00...', '2018-06-04 04:37:56')
('发布了头条文章：《东江环保002672调整之后，市场开始一波的行情》#东江环保 sz002672[股票]# #大盘~股市~股票~证券~中线~短线##微博股票热议榜# |东江环保00...', '2018-06-04 04:17:25')
('发布了头条文章：《东江环保+神开股份+长亮科技,后市买卖点精》 \ue627 股票 #新浪股吧# #新浪看点# #头条文章# #上证指数# $东江环保 sz002672$ +$神开股份 sz002278$ +$长亮科技 sz300348$ |东江环保+...', '2018-06-03 23:01:19')
('联诚精密从涨停直接闪崩翻绿，东江环保闪崩下跌，市场部分个股流动性出现危机，注意操作上回避流动性不足的品种，日成交量在亿元以上的底部个股持有不会有大的问题，前提是基本面不要有问题', '2018-05-31 23:20:26')
('持仓日记20180601操作逻辑:期待行情走起。$中国平安 sh601318$ ，买入价63.65$上海银行 sh601229$ ，买入价15.66 ...展开全文c', '2018-05-31 10:58:07')
('持仓日记20180529操作逻辑:守股如守寡，越到关键时点，越发感觉蓝筹起飞的脚步在快速到来。$中国平安 sh601318$ ，买入价63.65$上海银行 sh601229$ ，买入价15.66 ...展开全文c', '2018-05-29 04:29:15')
('发布了头条文章：《本周A股行情开启：东江环保+苏宁易购+天翔环境》 $东江环保 sz002672$ $苏宁易购 sz002024$ $天翔环境 sz300362$ \ue627 股票分析 |本周A股行...', '2018-05-29 03:09:21')
('002672 东江环保 工业废物处理和市政废物处理', '2018-05-29 00:42:20')
('持仓日记20180528操作逻辑:今日持仓未变，坚定判断坚定持有。等待进攻的号角。$中国平安 sh601318$ ，买入价63.65$上海银行 sh601229$ ，买入价15.66 ...展开全文c', '2018-05-28 05:17:02')
('东江环保-002672-强者恒强，危废处置领域的领军者 网页链接', '2018-05-23 12:41:51')
('持仓日记20180521操作逻辑:周末消息利好较多，坚定认为风起了，可以加仓。早盘受市场情绪影响买入东江环保，因利好兑现的影响，持续杀跌回撤。但坚信有成长空间，准备打持久战。谨防风险: ...展开全文c', '2018-05-21 07:02:37')
('发布了头条文章：《重磅消息：方盛制药+东江环保+金麒麟，本周详细操作策略》 $方盛制药 sh603998$ +$东江环保 sz002672$ +$金麒麟 sh603586$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-05-21 06:46:49')
('发布了头条文章：《爆炸性消息黑马来袭,中南建设+智飞生物+东江环保+天龙集团》$中南建设 sz000961$ $智飞生物 sz300122$ $东江环保 sz002672$ $天龙集团 sz300063$ #热门股票推荐# #个股推荐与走势分析# #股票分析# |爆炸性消息...', '2018-05-21 02:49:58')
('环保行业有望迎来新一轮发展契机。而中央首次对环保行业的商业模式和投入机制进行重点强调，对商业模式清晰、现金流状况稳健的环保细分领域龙头企业显然构成利好，比如危废处置领域的东江环保、水务运营领域的国祯环保和再生资源回收利用的葛洲坝等', '2018-05-20 20:05:23')
('生态环境保护大会召开、政策组合挙助产业成长。多位业内人士表示，此次大会对行业的具体影响需静待后续配套政策和文件的发布，而中央首次对环保行业的商业模式和投入机制进行重点强调和明确表态，商业模式清晰、现金流状况稳健的环保细分领域有望受益，比如危废处置领域的东江环保（002672） -0.12%、 ...展开全文c', '2018-05-20 19:03:35')
('我来自福建省厦门市翔安区新圩镇东寮社区居民！我们这里有一家东江环保科技有限公司，专门焚烧医疗用品，东江环保科技有限公司，里面的烟囱24小时排放，臭味熏天，烟囱排放好比毒气泄漏，臭得我们东寮社区想呼吸新鲜空气都难！而且我们东寮社区居民，都有很多️了食道癌，鼻癌！恳求广大社会媒体， ...展开全文c', '2018-05-18 02:06:45')
('环保板块因全国环保大会预期未来有一定空间，环境监测日趋严格，前期该板块一度出现一定，龙头中环环保、东江环保已经走出独立趋势，注意该板块调整中的低吸机会', '2018-05-18 02:02:10')
('发布了头条文章：《002672东江环保：风格转变，强弱切换？丨龙虎榜追踪》 #股市~a股~大盘~股票# #财经头条文章##东江环保 sz002672[股票]# |002672东江...', '2018-05-17 03:37:20')
('环保板块也出现异动，德创环保、东江环保等出现拉升，力度还需再加码。', '2018-05-16 23:19:31')
('环保板块也出现异动，#德创环保 sh603177[股票]# 、#东江环保 sz002672[股票]# 等出现拉升，力度还需再加码。', '2018-05-16 22:39:37')
('今日机会股$东江环保 sz002672$ ：危废龙头东江环保。6亿元投建涉县循环经济示范中心$合盛硅业 sh603260$ ：拟44亿投资年产20万吨硅氧烷项目$东方园林 sz002310$ ：联合中标逾18亿元全域旅游PPP项目', '2018-05-16 22:07:20')
('【粤港澳大湾区规划呼之欲出 五领域投资机会初露锋芒】近1个月内，共有30只粤港澳大湾区概念股获机构给予“买入”或“增持”等看好评级，中炬高新、汇川技术、新纶科技、招商蛇口、迪森股份、中集集团、东江环保、赢合科技等8只个股获机构扎堆推荐，机构看好评级家数达到10家及以上。 ...展开全文c', '2018-05-16 21:10:03')
('河北雄安生态环境局挂牌 千亿环保市场有望爆发 5月16日河北雄安新区生态环境局挂牌，这是生态环境部组建后全国首个地方生态环境局，引发市场关注。第八次全国生态环保大会或将召开，建议关注：碧水源（300070）、启迪桑德（000826）、东江环保（002672）；全国首个地方“生态环境局”成立，建议关注： ...展开全文c', '2018-05-16 21:08:09')
('5-17 9:05东江环保：6亿元投建涉县循环经济示范中心联发股份：7.5亿投建高档家纺坯布及配套纱线生产项目合盛硅业拟44亿元投资新疆年产20万吨硅氧烷项目华钰矿业与中色地科签署合作框架协议江河集团收购光正眼科医院股权加码眼科医疗思美传媒：与新蓝网络设立传媒公司开展短视频等业务', '2018-05-16 21:06:05')
('东江环保5月16日晚间公告，公司与邯郸市涉县龙西工业聚集区管委会签订合同书，就推进涉县循环经济示范中心投资事宜达成合作意向。涉县循环经济示范中心总投资预计6亿元，建设规模为年处理工业固体废物总规模约15万吨。', '2018-05-16 18:51:58')
('环保板块的投资机会还未结束，很多龙头非次新并没有怎么表现，如碧水源、东江环保、清新环境、博世科等，可以继续逢低布局。', '2018-05-15 22:39:24')
('【固废处理或成环保工作下一重点 三大高景气细分领域藏“金”】对于固废处理产业链龙头股的布局，东吴证券也表示：危废、环卫、再生资源回收等均是商业模式清晰、现金流稳健的高景气度固废处理细分领域。可关注以下龙头股：1.工业危废：东江环保、金圆股份、中金环境；2.环卫服务：启迪桑德、龙马环卫 ...展开全文c', '2018-05-14 21:20:03')
('生态环境部启动“清废行动2018”，对长江经济带固体废物倾倒情况进行全面摸排核实，专项行动从5月9日开始至6月底结束。危废非法处置案件频发，引起政府高度重视。相关个股：东江环保、高能环境、格林美', '2018-05-14 01:26:58')
('午评：早盘三大股指高位震荡，成交量表现平平，上方探测3200点为大概率事件，当月月底资金流有望开始补给流入。富士康概念走高，安彩高科涨停，京泉华、奥士康、领益智造等涨幅居前。临近午盘，环保股拉升：德创环保、东江环保、鹏鹞环保直线拉升。A股"入摩"在即，本周MSCI将会在正 ...展开全文c', '2018-05-14 01:16:13')
('#鹏城论股# #今日看盘#午盘：早盘三大股指高位震荡，成交量表现平平，上方探测3200点为大概率事件，当月月底资金流有望开始补给流入。富士康概念走高，安彩高科涨停，京泉华、奥士康、领益智造等涨幅居前。临近午盘，环保股拉升：德创环保、东江环保、鹏鹞环保直线拉升。A股 ...展开全文c', '2018-05-14 00:56:21')
('回复@书源锦绣:锡业股份在酝酿中。东江环保拉高先调节//@书源锦绣:000960和东江环保，请帮忙看下哪个短线好点', '2018-05-10 23:19:56')
('【麦氏论述】5月11日 温馨提醒： 静观其变，等待变盘，下周二“一切不一样”。 越过3月23日收盘3152点再挑战3208点。 上证指数在40日均线3261点来回震荡争夺 。 创业板指数可以越过1900点后再涨。|麦氏理论创...（下载App->网页链接）', '2018-05-13 20:54:00')
('发布了头条文章：《下周关键走势揭秘：东江环保 万安科技 海南瑞泽 世纪华通》 $东江环保 sz002672$ $万安科技 sz002590$ $海南瑞泽 sz002596$ $世纪华通 sz002602$ |下周关键走...', '2018-05-10 23:20:57')
('#早间看盘# 近期热点散乱，市场上并没见增量资金参与，还是场内资金博杀。4.24下跌以来部分股已反弹至前高点压力位，此处应减仓观望。参考股像002672东江环保，作为可参考图型，此处出还是留？我偏向将低位补的出尽留底仓得了。愿大家今天顺利。', '2018-05-10 21:18:31')
('发布了头条文章：《东江环保002672遭23亿主力介入，有望成9月第一妖王》 $东江环保 sz002672$ $上证指数 sh000001$ #短线牛股# #投资达人说# #股票分析# |东江环保00...', '2018-05-09 10:57:36')
('【技术革新化解危废处置行业长期痛点】资源化工艺主要分为贵金属回收与有机溶剂回收：1）从危废中回收废金属主要有湿法和火法金属冶炼技术；湿法资源化代表企业为东江环保；火法资源化代表企业为新金叶。2）回收废有机溶剂采用简易预处理法、常压蒸馏法和减压精馏法较多，代表企业包括广州首联和中旭石 ...展开全文c', '2018-05-07 23:13:15')
('发布了头条文章：《002672东江环保：主力暗度陈仓蕴藏大手笔，此点做好万全准备》 |002672东江...', '2018-05-07 02:37:44')
('$东旭蓝天 sz000040$ 、$东江环保 sz002672$ 带动环保概念走强，第八届环保大会将于年内召开，会议题材驱动下环保板块受到资金关注，环保板块也属于超跌反弹的范畴', '2018-05-06 23:34:43')
('【危废处理黄金时代开启 政策助推行业健康发展 】危废领域由于种类繁多，细分市场复杂，不同能力与资源禀赋的企业分别行走在资源化(油脂、金属)、焚烧(涉毒、难处理)、填埋的道路上，实现全工艺布局的企业凤毛麟角。从行业发展格局来看，目前行业内仍是东江环保一家独大，但近几年已有十多家企业或通过 ...展开全文c', '2018-05-02 08:21:54')
('今日环保工程涨幅居前，主要是受到消息刺激，辉丰股份董事长因涉嫌污染环境罪被逮捕。板块均线粘合，盘整许久不跌，整体处于关键期，若能突破盘整区，看好未来走势。桐哥看好的两只标的，其中一只是#东江环保 sz002672[股票]# ，下面从两个角度来分析：从基本面的角度来说，公司主营工业和市政废物的 ...展开全文c', '2018-05-02 04:29:21')
('高毅资产新进安迪苏、奥特佳、法拉电子、海思科、$合盛硅业 sh603260$ 、$迈克生物 sz300463$ ，$洽洽食品 sz002557$ 持股不变，加仓鱼跃医疗、东江环保。', '2018-04-27 03:56:05')
('发布了头条文章：《诡异信号曝光主力阴谋：东江环保 汇顶科技 比音勒芬 山西焦化》 #股市财经头条# #微博股票推荐# #短线牛股汇集# $东江环保 sz002672$ $汇顶科技 sh603160$ $比音勒芬 sz002832$ |诡异信号曝...', '2018-04-26 04:41:50')
